Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
59.45	62.57	59.60	59.53	60.09	60.09	16.28	60.09	60.09	60.37	0.26	0.26	0.29	0.29	0.08	0.29	0.29	0.29	63.30	62.14	64.15	64.54	62.11	0.82	0.81	0.92	0.92	0.89	1.00	2.00	100.05	99.95	0.17	100.05	0.18	0.49	0.17	0.48	0.50	
61.17	64.39	61.12	61.11	61.65	61.64	23.02	61.64	61.64	61.01	0.39	0.39	0.43	0.43	0.16	0.43	0.43	0.43	63.90	62.05	64.71	64.49	62.51	2.76	2.69	3.03	3.02	2.93	1.00	6.00	100.14	99.86	0.26	100.14	0.25	0.57	0.26	0.57	1.00	
62.28	65.56	62.16	61.90	62.83	62.81	100.95	62.81	62.81	61.89	0.50	0.50	0.56	0.56	0.86	0.56	0.56	0.55	59.48	57.20	60.98	60.16	58.44	4.68	4.50	5.14	5.07	4.93	1.00	10.00	100.29	99.74	0.37	100.29	0.36	0.72	0.37	0.73	1.50	
62.89	66.20	62.77	62.12	63.46	63.43	?	63.42	63.42	62.00	0.62	0.61	0.68	0.68	?	0.68	0.68	0.66	52.25	49.86	54.54	53.09	51.82	6.13	5.86	6.81	6.63	6.48	1.00	14.00	100.54	99.55	0.62	100.54	0.61	0.92	0.63	0.94	2.00	
63.07	66.39	62.99	61.65	63.81	63.77	?	63.75	63.75	61.85	0.72	0.71	0.79	0.79	?	0.79	0.79	0.77	43.95	41.70	47.10	45.12	44.24	6.91	6.56	7.82	7.50	7.36	1.00	18.00	101.00	99.24	0.80	100.99	0.79	1.09	0.82	1.13	2.50	
62.91	66.22	62.89	61.30	63.85	63.78	?	63.74	63.74	61.72	0.82	0.80	0.89	0.89	?	0.89	0.89	0.86	35.70	33.76	39.36	37.13	36.58	7.02	6.65	8.14	7.68	7.57	1.00	22.00	101.68	98.83	0.98	101.67	0.98	1.27	1.01	1.30	3.00	
62.47	65.75	62.51	60.58	63.66	63.55	?	63.48	63.48	60.58	0.91	0.88	0.99	0.99	?	0.98	0.98	0.94	29.79	28.12	33.62	31.38	30.95	6.99	6.60	8.25	7.70	7.60	1.00	26.00	102.73	98.33	1.17	102.73	1.15	1.44	1.21	1.50	3.50	
61.80	65.05	61.88	59.61	63.28	63.11	?	62.99	62.99	59.73	0.99	0.96	1.08	1.08	?	1.07	1.07	1.03	25.85	24.38	29.84	27.63	27.16	6.97	6.58	8.38	7.76	7.63	1.00	30.00	104.59	97.74	1.35	104.61	1.34	1.61	1.41	1.70	4.00	
60.94	64.15	61.06	58.24	62.73	62.50	?	62.30	62.30	58.65	1.07	1.03	1.16	1.16	?	1.15	1.15	1.10	23.04	21.72	26.91	24.82	24.34	6.96	6.56	8.43	7.78	7.63	1.00	34.00	110.80	97.05	1.52	111.57	1.51	1.78	1.60	1.88	4.50	
59.95	63.11	60.08	57.11	62.07	61.75	?	61.42	61.42	57.82	1.14	1.09	1.24	1.23	?	1.23	1.23	1.16	63.66	60.26	64.82	64.68	60.35	1.88	1.79	2.04	2.04	1.92	3.50	2.00	229.92	96.28	1.70	216.59	1.70	1.96	1.78	2.06	5.00	
