	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	6.6665034943E-02	8.7197509696E-03	5.9185602587E-02	8.1643941489E-02	8.4400884942E-02	4.5611355804E-01	1.1218177520E-01	1.1218177520E-01	1.1896820891E-01	2.5130812479E00	2.5145818368E00	2.5106143554E00	2.5093829494E00	2.5046543023E00	2.5131417174E00	2.5131417174E00	2.5139970805E00	8.5130834137E-01	9.0515147303E-01	8.9743555097E-01	9.3890330737E-01	9.5699877698E-01	2.0683852920E00	2.0891226263E00	2.0710722287E00	2.0948932339E00	2.0934920843E00	2.2638070812E00	1.8755133269E00	7.7999841139E01	6.0854199774E-01	2.4516665799E00	7.7999995694E01	2.4520651800E00	2.4318025686E00	2.4500015669E00	2.4292627806E00	2.0809701324E00	
Target (LIBOR)	6.6665034943E-02	0.0000000000E00	6.8876343399E-02	1.2162200742E-01	1.4291976212E-01	1.4495791996E-01	5.0828377209E-01	1.7732197653E-01	1.7732197653E-01	1.8264788576E-01	2.5173321620E00	2.5187607793E00	2.5149840102E00	2.5138106299E00	2.5093045779E00	2.5173901967E00	2.5173901967E00	2.5182045622E00	8.9760608735E-01	9.5114429506E-01	9.4344832212E-01	9.8453947368E-01	1.0025631885E00	2.0848537657E00	2.1048428106E00	2.0874493514E00	2.1104130143E00	2.1090572798E00	2.2787626826E00	1.8991577803E00	7.7999841139E01	5.5096720760E-01	2.4587626195E00	7.7999995694E01	2.4591425584E00	2.4398239668E00	2.4569370466E00	2.4373748657E00	2.1023510595E00	
Caplet Vola Analytic Single-Curve	8.7197509696E-03	6.8876343399E-02	0.0000000000E00	6.1822172633E-02	8.4841616904E-02	8.7563242029E-02	4.5681386639E-01	1.0960950855E-01	1.0960950855E-01	1.2146649613E-01	2.5088280959E00	2.5103264600E00	2.5063643121E00	2.5051356727E00	2.5004173227E00	2.5088879868E00	2.5088879868E00	2.5097420531E00	8.5377196749E-01	9.0766943037E-01	8.9994415165E-01	9.4144785358E-01	9.5956504692E-01	2.0730552242E00	2.0938302425E00	2.0757484409E00	2.0996147489E00	2.0982091500E00	2.2600561501E00	1.8789807585E00	7.7999841139E01	6.0612040339E-01	2.4475382830E00	7.7999995694E01	2.4479364601E00	2.4276962837E00	2.4456259195E00	2.4251319224E00	2.0760857253E00	
Caplet Vola Monte-Carlo Single-Curve	5.9185602587E-02	1.2162200742E-01	6.1822172633E-02	0.0000000000E00	8.4298485404E-02	8.7053054773E-02	4.2280706838E-01	1.0227621923E-01	1.0227621923E-01	1.0189148226E-01	2.5261996086E00	2.5273995689E00	2.5239931714E00	2.5227707820E00	2.5158997088E00	2.5264963688E00	2.5264963688E00	2.5271444834E00	7.9896792590E-01	8.5194301374E-01	8.4438411848E-01	8.8531774328E-01	9.0305438047E-01	2.1061787872E00	2.1276423830E00	2.1089708766E00	2.1336450601E00	2.1321785199E00	2.2675209453E00	1.8904736687E00	7.7999841139E01	6.1150290912E-01	2.4675987155E00	7.7999995694E01	2.4682304304E00	2.4459210687E00	2.4666710602E00	2.4437348764E00	2.0978966658E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.1643941489E-02	1.4291976212E-01	8.4841616904E-02	8.4298485404E-02	0.0000000000E00	6.7480929586E-02	4.3314651715E-01	5.9806681053E-02	5.9806681053E-02	9.5167288042E-02	2.4701380608E00	2.4720962866E00	2.4671713674E00	2.4658967132E00	2.4740148366E00	2.4694777693E00	2.4694777693E00	2.4710855547E00	8.3098361190E-01	8.8481079537E-01	8.7710857857E-01	9.1862480445E-01	9.3669707850E-01	2.0419874843E00	2.0655307302E00	2.0439025166E00	2.0677522543E00	2.0694844066E00	2.2279443220E00	1.8667756119E00	7.7999841139E01	6.7193012560E-01	2.4011289077E00	7.7999995694E01	2.4019727966E00	2.3821858727E00	2.3985978021E00	2.3786510803E00	2.0178751042E00	
Caplet Vola Analytic Multi-Curve Ju	8.4400884942E-02	1.4495791996E-01	8.7563242029E-02	8.7053054773E-02	6.7480929586E-02	0.0000000000E00	4.2705984377E-01	1.2610279238E-01	1.2610279238E-01	1.2561811623E-01	2.4145836615E00	2.4164798766E00	2.4117063736E00	2.4104877589E00	2.4185416773E00	2.4139301743E00	2.4139301743E00	2.4154918218E00	8.2355051267E-01	8.7651972392E-01	8.6894770492E-01	9.0980181036E-01	9.2755801252E-01	2.0079144099E00	2.0306844718E00	2.0097407245E00	2.0327452614E00	2.0344817491E00	2.1823036764E00	1.8384972611E00	7.7999841139E01	6.6926698783E-01	2.3482903318E00	7.7999995694E01	2.3491135049E00	2.3299120790E00	2.3458309673E00	2.3264772028E00	1.9750679486E00	
Caplet Vola Analytic Multi-Curve Ho	4.5611355804E-01	5.0828377209E-01	4.5681386639E-01	4.2280706838E-01	4.3314651715E-01	4.2705984377E-01	0.0000000000E00	4.1239095821E-01	4.1239095821E-01	3.7740857588E-01	2.4312941779E00	2.4336354366E00	2.4287294490E00	2.4266403073E00	2.4187901124E00	2.4321324026E00	2.4321324026E00	2.4338000238E00	7.4582271740E-01	7.9445393674E-01	7.8755969418E-01	8.7269661974E-01	8.4131412843E-01	1.9739268947E00	2.0023831069E00	1.9759234420E00	1.9881764149E00	2.0075794104E00	2.2079439174E00	1.8126981663E00	7.7999841139E01	8.5885672920E-01	2.3708446973E00	7.7999995694E01	2.3710686980E00	2.3529991210E00	2.3688915740E00	2.3507408407E00	2.0143926329E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1218177520E-01	1.7732197653E-01	1.0960950855E-01	1.0227621923E-01	5.9806681053E-02	1.2610279238E-01	4.1239095821E-01	0.0000000000E00	0.0000000000E00	4.9384883287E-02	2.4910306462E00	2.4930588174E00	2.4879598488E00	2.4866335359E00	2.4949647312E00	2.4903523643E00	2.4903523643E00	2.4920156807E00	7.9763488672E-01	8.5147196097E-01	8.4378745331E-01	8.8541485002E-01	9.0346130362E-01	2.0299802605E00	2.0540539266E00	2.0319283551E00	2.0562962402E00	2.0580891902E00	2.2398764317E00	1.8514051047E00	7.7999841139E01	6.8698005817E-01	2.4193872628E00	7.7999995694E01	2.4202583158E00	2.3997997737E00	2.4167712162E00	2.3961470056E00	2.0040644076E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1218177520E-01	1.7732197653E-01	1.0960950855E-01	1.0227621923E-01	5.9806681053E-02	1.2610279238E-01	4.1239095821E-01	0.0000000000E00	0.0000000000E00	4.9384883287E-02	2.4910306462E00	2.4930588174E00	2.4879598488E00	2.4866335359E00	2.4949647312E00	2.4903523643E00	2.4903523643E00	2.4920156807E00	7.9763488672E-01	8.5147196097E-01	8.4378745331E-01	8.8541485002E-01	9.0346130362E-01	2.0299802605E00	2.0540539266E00	2.0319283551E00	2.0562962402E00	2.0580891902E00	2.2398764317E00	1.8514051047E00	7.7999841139E01	6.8698005817E-01	2.4193872628E00	7.7999995694E01	2.4202583158E00	2.3997997737E00	2.4167712162E00	2.3961470056E00	2.0040644076E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1896820891E-01	1.8264788576E-01	1.2146649613E-01	1.0189148226E-01	9.5167288042E-02	1.2561811623E-01	3.7740857588E-01	4.9384883287E-02	4.9384883287E-02	0.0000000000E00	2.4463164166E00	2.4478842796E00	2.4437299296E00	2.4424592299E00	2.4458563661E00	2.4463714404E00	2.4463714404E00	2.4472646721E00	7.5008039342E-01	8.0291562490E-01	7.9540607396E-01	8.3638218097E-01	8.5402365214E-01	2.0330251050E00	2.0545318483E00	2.0357994046E00	2.0604941645E00	2.0590545513E00	2.1928839421E00	1.8164301847E00	7.7999841139E01	6.8298175755E-01	2.3836408249E00	7.7999995694E01	2.3842931319E00	2.3619905821E00	2.3827076394E00	2.3593060096E00	2.0124424573E00	
Caplet Value Analytic Single-Curve	2.5130812479E00	2.5173321620E00	2.5088280959E00	2.5261996086E00	2.4701380608E00	2.4145836615E00	2.4312941779E00	2.4910306462E00	2.4910306462E00	2.4463164166E00	0.0000000000E00	4.4599755010E-02	4.0099542909E-02	9.9714356331E-02	2.3450672031E-01	2.8246353335E-02	2.8246353335E-02	4.2334155522E-02	3.0504845302E00	3.1521390862E00	2.9956182656E00	3.1373358596E00	3.0721426934E00	2.6892946095E00	2.5961896402E00	2.6614669718E00	2.8622794616E00	2.5472403504E00	4.0419080532E00	4.5783365228E00	7.7999841139E01	2.3262431932E00	1.0775152141E00	7.7999995694E01	1.0765188399E00	1.0725377663E00	1.0663561575E00	1.0769650998E00	3.3329236713E00	
