	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.1282051282E-02	4.4987766414E-03	5.1948784144E-01	1.9282464183E-01	6.6537392000E-02	1.2727937472E-01	3.9876093420E-01	3.9876093420E-01	1.1070393675E-01	1.8631175545E00	1.9125019175E00	1.8363437868E00	1.8600536479E00	1.8548179172E00	1.9097836144E00	1.9097836144E00	1.8736022687E00	6.0330476449E-01	6.9233041512E-01	7.4392562120E-01	6.4246071444E-01	5.2249053676E-01	1.4067898077E00	1.4570762532E00	1.5394988859E00	1.4705864502E00	1.3922902364E00	1.5389752351E00	1.1403252068E00	2.0000000000E00	5.4211942888E-01	1.8201084924E00	2.0000000000E00	1.8203439295E00	1.8209135260E00	1.8187036297E00	1.8055144931E00	1.3164531562E00	
Target (LIBOR)	5.1282051282E-02	0.0000000000E00	5.0839016900E-02	5.6699365796E-01	1.4189336667E-01	7.7644742350E-02	1.2019114626E-01	4.4748083374E-01	4.4748083374E-01	1.5544922552E-01	1.8697387959E00	1.9167858081E00	1.8442078931E00	1.8668179863E00	1.8618262669E00	1.9141976740E00	1.9141976740E00	1.8797321355E00	6.4956265876E-01	7.3707020841E-01	7.8323274653E-01	6.8077698868E-01	5.6414110014E-01	1.4322403069E00	1.4806981744E00	1.5599911345E00	1.4937066456E00	1.4182565852E00	1.5594878859E00	1.1744375056E00	2.0000000000E00	4.9427269596E-01	1.8287179154E00	2.0000000000E00	1.8289425893E00	1.8294861406E00	1.8273772497E00	1.8147885066E00	1.3450342513E00	
Caplet Vola Analytic Single-Curve	4.4987766414E-03	5.0839016900E-02	0.0000000000E00	5.1990123132E-01	1.9238542995E-01	6.3109139460E-02	1.2658314165E-01	3.9903384925E-01	3.9903384925E-01	1.1077554281E-01	1.8631761490E00	1.9125398509E00	1.8364133568E00	1.8601135064E00	1.8548799310E00	1.9098226991E00	1.9098226991E00	1.8736565218E00	6.0370772104E-01	6.9272058492E-01	7.4408302213E-01	6.4262754977E-01	5.2292379176E-01	1.4070137555E00	1.4572842412E00	1.5396795030E00	1.4707900548E00	1.3925186820E00	1.5391560309E00	1.1406243744E00	2.0000000000E00	5.4170865333E-01	1.8201846406E00	2.0000000000E00	1.8204199827E00	1.8209893494E00	1.8187803443E00	1.8055965046E00	1.3167043676E00	
Caplet Vola Monte-Carlo Single-Curve	5.1948784144E-01	5.6699365796E-01	5.1990123132E-01	0.0000000000E00	6.9491018507E-01	5.2588041516E-01	5.3780834575E-01	3.4648255298E-01	3.4648255298E-01	4.2256068075E-01	1.7725207650E00	1.8533497882E00	1.7292684238E00	1.7675510060E00	1.7590705346E00	1.8488647931E00	1.8488647931E00	1.7895668696E00	2.3273258801E-01	2.4365553191E-01	4.3156685493E-01	4.5306692303E-01	3.4512061883E-01	1.0856536582E00	1.1564220248E00	1.2749145826E00	1.1813282847E00	1.0654579240E00	1.2741517635E00	7.2914363302E-01	2.0000000000E00	9.9177990246E-01	1.7032325672E00	2.0000000000E00	1.7036091003E00	1.7045201772E00	1.7009864056E00	1.6799511948E00	9.6132305616E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.9282464183E-01	1.4189336667E-01	1.9238542995E-01	6.9491018507E-01	0.0000000000E00	1.8602499773E-01	1.7861246824E-01	5.8016487180E-01	5.8016487180E-01	2.9392679694E-01	1.8865078626E00	1.9276116128E00	1.8641482757E00	1.8839517849E00	1.8795822494E00	1.9253537668E00	1.9253537668E00	1.8952495419E00	7.7362992242E-01	8.5656746797E-01	8.9876742427E-01	7.8973623737E-01	6.9114476043E-01	1.4980245160E00	1.5416175955E00	1.6126438565E00	1.5532958863E00	1.4854181200E00	1.6121942681E00	1.2636842414E00	2.0000000000E00	3.5866803682E-01	1.8505638445E00	2.0000000000E00	1.8507609796E00	1.8512378946E00	1.8493874457E00	1.8383360268E00	1.4192129116E00	
Caplet Vola Analytic Multi-Curve Ju	6.6537392000E-02	7.7644742350E-02	6.3109139460E-02	5.2588041516E-01	1.8602499773E-01	0.0000000000E00	1.3881367447E-01	4.0506916355E-01	4.0506916355E-01	1.1082587309E-01	1.8640217000E00	1.9130872048E00	1.8374173374E00	1.8609773029E00	1.8557748373E00	1.9103866683E00	1.9103866683E00	1.8744394107E00	6.0953516242E-01	6.9836224738E-01	7.4755904062E-01	6.4428358158E-01	5.3228754673E-01	1.4102479714E00	1.4602877096E00	1.5422873526E00	1.4737301575E00	1.3958179360E00	1.5417664621E00	1.1449468720E00	2.0000000000E00	5.3575645340E-01	1.8212835819E00	2.0000000000E00	1.8215175529E00	1.8220836017E00	1.8198874633E00	1.8067800918E00	1.3203328807E00	
Caplet Vola Analytic Multi-Curve Ho	1.2727937472E-01	1.2019114626E-01	1.2658314165E-01	5.3780834575E-01	1.7861246824E-01	1.3881367447E-01	0.0000000000E00	4.9098295554E-01	4.9098295554E-01	2.0716507888E-01	1.8650001262E00	1.9137204654E00	1.8385791971E00	1.8619768525E00	1.8568104044E00	1.9110391581E00	1.9110391581E00	1.8753452950E00	6.2592427785E-01	7.1277540954E-01	8.0656639873E-01	6.9135475805E-01	5.8399321669E-01	1.4139963327E00	1.4637680367E00	1.5453083884E00	1.4771368994E00	1.3996418661E00	1.5447904942E00	1.1499611366E00	2.0000000000E00	5.2881125135E-01	1.8225554064E00	2.0000000000E00	1.8227877895E00	1.8233499961E00	1.8211687582E00	1.8081499477E00	1.3245395339E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.9876093420E-01	4.4748083374E-01	3.9903384925E-01	3.4648255298E-01	5.8016487180E-01	4.0506916355E-01	4.9098295554E-01	0.0000000000E00	0.0000000000E00	2.9898422086E-01	1.7984326455E00	1.8703709039E00	1.7597934215E00	1.7939980733E00	1.7864277782E00	1.8663884148E00	1.8663884148E00	1.8136329716E00	4.9117052238E-01	5.0862951552E-01	4.7426074396E-01	5.6473785156E-01	4.9026688516E-01	1.1726468382E00	1.2383441048E00	1.3477075504E00	1.2684147093E00	1.1538456661E00	1.3470060427E00	8.5666165746E-01	2.0000000000E00	8.9240835453E-01	1.7364856800E00	2.0000000000E00	1.7368230205E00	1.7376392335E00	1.7344731571E00	1.7156126770E00	1.0980711750E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.9876093420E-01	4.4748083374E-01	3.9903384925E-01	3.4648255298E-01	5.8016487180E-01	4.0506916355E-01	4.9098295554E-01	0.0000000000E00	0.0000000000E00	2.9898422086E-01	1.7984326455E00	1.8703709039E00	1.7597934215E00	1.7939980733E00	1.7864277782E00	1.8663884148E00	1.8663884148E00	1.8136329716E00	4.9117052238E-01	5.0862951552E-01	4.7426074396E-01	5.6473785156E-01	4.9026688516E-01	1.1726468382E00	1.2383441048E00	1.3477075504E00	1.2684147093E00	1.1538456661E00	1.3470060427E00	8.5666165746E-01	2.0000000000E00	8.9240835453E-01	1.7364856800E00	2.0000000000E00	1.7368230205E00	1.7376392335E00	1.7344731571E00	1.7156126770E00	1.0980711750E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1070393675E-01	1.5544922552E-01	1.1077554281E-01	4.2256068075E-01	2.9392679694E-01	1.1082587309E-01	2.0716507888E-01	2.9898422086E-01	2.9898422086E-01	0.0000000000E00	1.8488798179E00	1.9032722464E00	1.8194513490E00	1.8455099658E00	1.8397527094E00	1.9002745137E00	1.9002745137E00	1.8604156879E00	5.0861679033E-01	6.0043315449E-01	6.5267756562E-01	5.6990987825E-01	4.5139204627E-01	1.3530364342E00	1.4070865167E00	1.4959918056E00	1.4216325531E00	1.3374785027E00	1.4954257341E00	1.0690245703E00	2.0000000000E00	6.3583700809E-01	1.8016269164E00	2.0000000000E00	1.8018852872E00	1.8025103812E00	1.8000852750E00	1.7856177109E00	1.2563009355E00	
