	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	7.9369669162E-02	1.0677129009E00	6.4488378816E-01	?	?	7.7930138154E-01	4.3429082386E00	4.3429082386E00	1.0938011184E00	1.4883723388E00	1.4997115845E00	?	?	1.4927482233E00	1.4934724783E00	1.4934724783E00	1.4933282739E00	4.5780353727E-01	?	3.7240198397E00	2.6727382424E00	?	1.4797090314E00	?	1.4677497343E00	1.4615601385E00	?	1.4980237141E00	1.4880237141E00	?	5.0852346569E-01	1.5097911485E00	?	1.5095854150E00	1.5065694036E00	1.5062905482E00	1.5031800313E00	1.5030237141E00	
Target (LIBOR)	7.9369669162E-02	0.0000000000E00	9.8834323174E-01	7.1201504321E-01	?	?	8.2031724373E-01	4.3035272483E00	4.3035272483E00	1.0299620911E00	1.5677420080E00	1.5790812537E00	?	?	1.5721178925E00	1.5728421475E00	1.5728421475E00	1.5726979430E00	5.1585458131E-01	?	3.6846388494E00	2.6200274085E00	?	1.5590787005E00	?	1.5471194034E00	1.5409298077E00	?	1.5773933832E00	1.5673933832E00	?	5.8789313485E-01	1.5891608176E00	?	1.5889550841E00	1.5859390727E00	1.5856602173E00	1.5825497004E00	1.5823933832E00	
Caplet Vola Analytic Single-Curve	1.0677129009E00	9.8834323174E-01	0.0000000000E00	1.6500768143E00	?	?	1.1162274372E00	3.9810628193E00	3.9810628193E00	1.0992595918E00	2.5560852397E00	2.5674244854E00	?	?	2.5604611242E00	2.5611853792E00	2.5611853792E00	2.5610411748E00	1.4166863873E00	?	3.3621744204E00	2.2718735492E00	?	2.5474219323E00	?	2.5354626352E00	2.5292730394E00	?	2.5657366150E00	2.5557366150E00	?	1.5762363666E00	2.5775040494E00	?	2.5772983158E00	2.5742823045E00	2.5740034491E00	2.5708929322E00	2.5707366150E00	
Caplet Vola Monte-Carlo Single-Curve	6.4488378816E-01	7.1201504321E-01	1.6500768143E00	0.0000000000E00	?	?	1.1949001586E00	4.6044193751E00	4.6044193751E00	1.6963371449E00	9.5523308016E-01	9.6657232588E-01	?	?	9.5960896467E-01	9.6033321966E-01	9.6033321966E-01	9.6018901520E-01	3.4648864984E-01	?	3.9855309763E00	3.0046780277E00	?	9.4656977273E-01	?	9.3461047562E-01	9.2842087989E-01	?	9.6488445541E-01	9.5488445541E-01	?	3.8508874546E-01	9.7665188983E-01	?	9.7644615630E-01	9.7343014492E-01	9.7315128952E-01	9.7004077263E-01	9.6988445541E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	7.7930138154E-01	8.2031724373E-01	1.1162274372E00	1.1949001586E00	?	?	0.0000000000E00	5.0911470542E00	5.0911470542E00	1.0515813330E00	1.8074878608E00	1.8224591483E00	?	?	1.8104427843E00	1.8118948884E00	1.8118948884E00	1.8111807296E00	1.0534191240E00	?	4.4722586553E00	2.2811340868E00	?	1.7572247866E00	?	1.7437400945E00	1.7375504988E00	?	1.8214251537E00	1.7714251537E00	?	8.3279030524E-01	1.8357439633E00	?	1.8362748216E00	1.8304724128E00	1.8288653064E00	1.8257002995E00	1.8214251537E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.3429082386E00	4.3035272483E00	3.9810628193E00	4.6044193751E00	?	?	5.0911470542E00	0.0000000000E00	0.0000000000E00	4.6283322556E00	5.0636989067E00	5.0711690733E00	?	?	5.0630922142E00	5.0630922142E00	5.0630922142E00	5.0717006640E00	4.3931185751E00	?	1.9256779481E00	3.3651299139E00	?	4.9402795568E00	?	4.9102901345E00	4.9103907591E00	?	4.9311470542E00	5.0311470542E00	?	4.4427753737E00	5.0576722399E00	?	5.0590801641E00	5.0890801641E00	5.0640936733E00	5.0634370879E00	4.8961470542E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.3429082386E00	4.3035272483E00	3.9810628193E00	4.6044193751E00	?	?	5.0911470542E00	0.0000000000E00	0.0000000000E00	4.6283322556E00	5.0636989067E00	5.0711690733E00	?	?	5.0630922142E00	5.0630922142E00	5.0630922142E00	5.0717006640E00	4.3931185751E00	?	1.9256779481E00	3.3651299139E00	?	4.9402795568E00	?	4.9102901345E00	4.9103907591E00	?	4.9311470542E00	5.0311470542E00	?	4.4427753737E00	5.0576722399E00	?	5.0590801641E00	5.0890801641E00	5.0640936733E00	5.0634370879E00	4.8961470542E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0938011184E00	1.0299620911E00	1.0992595918E00	1.6963371449E00	?	?	1.0515813330E00	4.6283322556E00	4.6283322556E00	0.0000000000E00	2.2783778591E00	2.2957543964E00	?	?	2.2793209649E00	2.2805366325E00	2.2805366325E00	2.2758329594E00	1.5403222777E00	?	4.0094438568E00	3.0306396762E00	?	2.1577379659E00	?	1.9442098301E00	1.9991222104E00	?	2.2967426380E00	2.1667426380E00	?	1.3112483994E00	2.3093068914E00	?	2.3096737398E00	2.2943782175E00	2.3004352999E00	2.2973048180E00	2.2867426380E00	
