	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.2040270711E-02	4.0467056974E-01	4.9769495611E-01	?	?	3.7156627632E-01	1.1031214769E00	1.1031214769E00	4.7973959632E-01	1.9062384053E00	1.9487265042E00	?	?	1.9078010760E00	1.9031767472E00	1.9031767472E00	1.9409570204E00	3.2377876926E-01	?	1.0588029015E00	7.1560247766E-01	?	1.3078697787E00	?	9.1523657128E-01	9.6318556208E-01	?	1.8088856414E00	1.5744268585E00	?	2.0036869929E-01	1.9354620675E00	?	1.9363122863E00	2.0274141258E00	1.9430665446E00	1.9360959066E00	1.6905369122E00	
Target (LIBOR)	5.2040270711E-02	0.0000000000E00	3.5632226564E-01	5.4553611371E-01	?	?	3.3254753047E-01	1.0668000451E00	1.0668000451E00	4.9935701986E-01	1.9122211740E00	1.9526872446E00	?	?	1.9137096482E00	1.9093017244E00	1.9093017244E00	1.9452931100E00	3.7005906170E-01	?	1.0218419124E00	6.7424305167E-01	?	1.3358892859E00	?	9.4558542464E-01	9.9412933898E-01	?	1.8191638202E00	1.5941962616E00	?	2.4863619651E-01	1.9400441464E00	?	1.9408541003E00	2.0275197955E00	1.9472931301E00	1.9406568993E00	1.7057775350E00	
Caplet Vola Analytic Single-Curve	4.0467056974E-01	3.5632226564E-01	0.0000000000E00	8.5944458750E-01	?	?	2.6299305504E-01	8.6548483679E-01	8.6548483679E-01	6.5854412133E-01	1.9781801610E00	2.0083891781E00	?	?	1.9793778375E00	1.9762481510E00	1.9762481510E00	2.0022888164E00	6.9895047376E-01	?	8.0020884846E-01	4.6218634885E-01	?	1.5288253158E00	?	1.1680159395E00	1.2172616385E00	?	1.9107575354E00	1.7315089248E00	?	5.8475394764E-01	2.0000399065E00	?	2.0006635037E00	2.0626641698E00	2.0048670905E00	1.9998838450E00	1.8258986879E00	
Caplet Vola Monte-Carlo Single-Curve	4.9769495611E-01	5.4553611371E-01	8.5944458750E-01	0.0000000000E00	?	?	8.0718588807E-01	1.4125785912E00	1.4125785912E00	6.3341579579E-01	1.8242073183E00	1.8908086635E00	?	?	1.8266043940E00	1.8191905962E00	1.8191905962E00	1.8795502601E00	2.5765715182E-01	?	1.3659113466E00	1.0918622537E00	?	9.7842378254E-01	?	6.5866820442E-01	6.7831790821E-01	?	1.6739634540E00	1.3303891292E00	?	3.2153603497E-01	1.8685096114E00	?	1.8699715921E00	2.0185028080E00	1.8813826549E00	1.8704324125E00	1.4971863119E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	3.7156627632E-01	3.3254753047E-01	2.6299305504E-01	8.0718588807E-01	?	?	0.0000000000E00	1.0062461324E00	1.0062461324E00	6.5682421189E-01	2.0179864781E00	2.0523302148E00	?	?	2.0187823216E00	2.0155171732E00	2.0155171732E00	2.0457343900E00	6.6935316776E-01	?	9.2137111238E-01	5.6245079366E-01	?	1.5023588851E00	?	1.0940941442E00	1.1495302938E00	?	1.9500372205E00	1.7311438806E00	?	5.2694059472E-01	2.0430896055E00	?	2.0437950567E00	2.1150130944E00	2.0485409417E00	2.0428285253E00	1.8537588836E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1031214769E00	1.0668000451E00	8.6548483679E-01	1.4125785912E00	?	?	1.0062461324E00	0.0000000000E00	0.0000000000E00	1.3488054361E00	2.0929041749E00	2.1085839950E00	?	?	2.0937842346E00	2.0915425931E00	2.0915425931E00	2.1064969800E00	1.2735568871E00	?	2.7374144615E-01	6.8460162538E-01	?	1.8185212838E00	?	1.6022684059E00	1.6300632780E00	?	2.0364896875E00	1.9609405794E00	?	1.2214687532E00	2.1003588437E00	?	2.1007724736E00	2.1384467532E00	2.1047381823E00	2.1023930435E00	1.9822692794E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1031214769E00	1.0668000451E00	8.6548483679E-01	1.4125785912E00	?	?	1.0062461324E00	0.0000000000E00	0.0000000000E00	1.3488054361E00	2.0929041749E00	2.1085839950E00	?	?	2.0937842346E00	2.0915425931E00	2.0915425931E00	2.1064969800E00	1.2735568871E00	?	2.7374144615E-01	6.8460162538E-01	?	1.8185212838E00	?	1.6022684059E00	1.6300632780E00	?	2.0364896875E00	1.9609405794E00	?	1.2214687532E00	2.1003588437E00	?	2.1007724736E00	2.1384467532E00	2.1047381823E00	2.1023930435E00	1.9822692794E00	
Caplet Vola Monte-Carlo Multi-Curve	4.7973959632E-01	4.9935701986E-01	6.5854412133E-01	6.3341579579E-01	?	?	6.5682421189E-01	1.3488054361E00	1.3488054361E00	0.0000000000E00	2.1565674554E00	2.2143426933E00	?	?	2.1592156207E00	2.1540742685E00	2.1540742685E00	2.1987663124E00	5.4617761669E-01	?	1.2960881862E00	1.0058883520E00	?	1.4596507816E00	?	1.0816947053E00	1.1272123738E00	?	2.0460337494E00	1.7384113632E00	?	4.8853255542E-01	2.2031144373E00	?	2.2042329176E00	2.3124059421E00	2.2094031330E00	2.1997090285E00	1.9065574292E00	
Caplet Value Analytic Single-Curve	1.9062384053E00	1.9122211740E00	1.9781801610E00	1.8242073183E00	?	?	2.0179864781E00	2.0929041749E00	2.0929041749E00	2.1565674554E00	0.0000000000E00	4.3004740767E-01	?	?	8.5463263994E-02	6.2252256126E-02	6.2252256126E-02	3.6384688954E-01	1.8619390257E00	?	2.0215222299E00	2.0339431254E00	?	1.8304081264E00	?	2.1633535674E00	2.1404549612E00	?	1.1512197967E00	1.6287118039E00	?	1.8718630156E00	4.7928346514E-01	?	4.8307373407E-01	1.9749837930E00	4.3053603242E-01	3.4765616101E-01	1.3326210912E00	
Caplet Value Monte-Carlo Single-Curve	1.9487265042E00	1.9526872446E00	2.0083891781E00	1.8908086635E00	?	?	2.0523302148E00	2.1085839950E00	2.1085839950E00	2.2143426933E00	4.3004740767E-01	0.0000000000E00	?	?	4.3477927454E-01	4.5484955579E-01	4.5484955579E-01	2.5190165388E-01	1.9168359245E00	?	2.0364898494E00	2.0577915394E00	?	1.9790357589E00	?	2.2528722546E00	2.2354472448E00	?	1.4253940657E00	1.8641339386E00	?	1.9220743041E00	4.3671704516E-01	?	4.3372607952E-01	2.0034739378E00	2.3487234979E-01	2.3105824860E-01	1.5752532824E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ho	1.9078010760E00	1.9137096482E00	1.9793778375E00	1.8266043940E00	?	?	2.0187823216E00	2.0937842346E00	2.0937842346E00	2.1592156207E00	8.5463263994E-02	4.3477927454E-01	?	?	0.0000000000E00	8.9185390744E-02	8.9185390744E-02	3.7828260897E-01	1.8643162096E00	?	2.0221580036E00	2.0347771027E00	?	1.8333959951E00	?	2.1646131413E00	2.1418814034E00	?	1.1779765533E00	1.6311822334E00	?	1.8735709080E00	4.9265930544E-01	?	4.9676253440E-01	2.0015139609E00	4.4252791448E-01	3.6033600597E-01	1.3490555190E00	
