Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
150.80	158.74	257.57	97.49	214.76	193.51	178.40	168.83	168.83	170.72	1.97	0.83	1.79	1.64	1.53	1.46	1.46	1.47	119.54	71.93	171.06	207.72	181.44	2.83	1.77	4.03	4.65	4.21	1.00	2.00	100.05	99.95	-0.18	100.05	-0.16	0.15	0.17	0.48	0.50	
136.88	144.09	238.68	73.67	221.05	196.62	183.14	166.86	166.86	174.72	2.39	0.90	2.40	2.21	2.10	1.95	1.95	2.02	97.01	65.69	174.79	153.69	236.03	7.42	5.13	12.88	11.63	15.89	1.00	6.00	100.38	99.86	-0.43	100.39	-0.48	0.10	0.26	0.57	1.00	
127.55	134.26	222.99	63.06	230.27	213.21	182.55	166.48	166.48	180.16	2.63	0.95	2.82	2.71	2.47	2.32	2.32	2.45	84.15	60.22	188.05	156.17	334.74	11.30	8.20	23.58	20.41	32.71	1.00	10.00	104.49	99.74	-0.48	103.21	-0.55	0.30	0.37	0.73	1.50	
121.29	127.68	209.84	61.04	247.73	241.03	179.60	166.38	166.38	230.67	2.84	1.10	3.17	3.14	2.74	2.62	2.62	3.09	76.64	56.63	206.99	165.97	237.68	14.90	11.13	36.25	30.76	39.68	1.00	14.00	14031.48	99.55	-0.26	4192.13	-0.29	1.24	0.63	0.94	2.00	
117.10	123.26	198.73	61.31	266.38	264.76	176.53	167.16	167.16	176.30	2.98	1.25	3.40	3.39	2.95	2.87	2.87	2.95	72.05	54.41	230.84	180.69	171.47	18.32	13.96	50.68	42.73	41.05	1.00	18.00	99999.00	99.24	0.02	99999.00	0.01	0.75	0.82	1.13	2.50	
114.29	120.31	189.25	64.30	284.76	284.51	174.41	168.39	168.39	116.53	3.10	1.46	3.54	3.54	3.12	3.07	3.07	2.47	69.07	?	257.72	198.34	?	21.60	?	66.21	55.99	?	1.00	22.00	99999.00	98.83	0.41	99999.00	0.43	-0.32	1.01	1.30	3.00	
112.41	118.32	181.09	68.84	303.31	303.29	172.34	170.09	170.09	72.28	3.21	1.69	3.65	3.65	3.27	3.26	3.26	1.84	67.04	?	288.48	219.19	?	24.69	?	82.34	70.35	?	1.00	26.00	99999.00	98.33	0.89	99999.00	0.82	-1.65	1.21	1.50	3.50	
111.14	116.99	174.03	72.09	322.27	322.27	169.26	172.21	172.21	64.10	3.30	1.90	3.73	3.73	3.40	3.42	3.42	1.79	65.59	?	325.38	244.72	?	27.55	?	98.60	85.69	?	1.00	30.00	99999.00	97.74	1.33	99999.00	1.19	-1.76	1.41	1.70	4.00	
110.30	116.10	167.86	70.63	341.79	341.79	165.13	174.74	174.74	63.90	3.38	2.00	3.79	3.79	3.49	3.55	3.55	1.91	64.52	?	367.31	274.07	?	30.20	?	114.17	101.42	?	1.00	34.00	99999.00	97.05	1.54	99999.00	1.49	-1.50	1.60	1.88	4.50	
130.05	136.90	162.44	69.03	361.97	361.97	160.58	177.61	177.61	66.27	3.46	2.08	3.85	3.85	3.57	3.66	3.66	2.08	103.61	71.30	177.20	172.30	69.26	4.75	3.53	6.68	6.61	3.57	3.50	2.00	99999.00	96.28	1.74	99999.00	1.88	-1.12	1.78	2.06	5.00	
119.21	125.49	157.65	68.42	382.86	382.86	156.16	180.72	180.72	67.16	3.52	2.17	3.88	3.88	3.62	3.75	3.75	2.21	87.08	65.63	187.31	135.75	57.56	12.89	10.16	21.02	18.18	9.36	3.50	6.00	99999.00	95.43	1.98	99999.00	2.17	-0.83	1.96	2.22	5.50	
111.94	117.84	153.38	69.02	404.55	404.55	152.08	184.26	184.26	66.67	3.57	2.29	3.91	3.91	3.67	3.82	3.82	2.29	77.95	60.03	205.45	132.22	50.24	19.95	15.89	36.48	30.24	13.95	3.50	10.00	99999.00	94.51	2.26	99999.00	2.38	-0.62	2.12	2.37	6.00	
107.07	112.71	149.57	70.50	427.08	427.08	148.39	188.52	188.52	67.31	3.60	2.41	3.93	3.93	3.70	3.87	3.87	2.39	72.68	56.48	229.07	174.98	45.37	26.41	21.12	52.33	48.57	17.77	3.50	14.00	99999.00	93.52	2.57	99999.00	2.64	-0.36	2.26	2.50	6.50	
103.81	109.27	146.14	69.26	450.49	450.49	145.06	193.57	193.57	66.84	3.62	2.45	3.94	3.94	3.73	3.90	3.90	2.46	69.47	?	255.53	356.71	?	32.52	?	67.81	68.91	?	3.50	18.00	99999.00	92.47	2.71	99999.00	2.81	-0.19	2.38	2.63	7.00	
101.62	106.97	143.04	68.62	474.81	474.81	142.05	199.05	199.05	63.19	3.64	2.50	3.94	3.94	3.74	3.92	3.92	2.42	67.38	?	287.32	151.01	?	38.21	?	82.40	69.90	?	3.50	22.00	99999.00	91.39	2.87	99999.00	2.78	-0.22	2.49	2.74	7.50	
100.15	105.42	140.24	66.96	500.09	500.09	139.31	205.02	205.02	64.36	3.64	2.51	3.93	3.93	3.74	3.92	3.92	2.51	65.96	?	324.85	367.42	?	43.45	?	95.74	95.91	?	3.50	26.00	99999.00	90.27	2.95	99999.00	3.03	0.03	2.58	2.82	8.00	
99.17	104.39	137.68	67.75	526.33	526.33	136.82	211.49	211.49	64.25	3.64	2.58	3.91	3.91	3.73	3.90	3.90	2.55	64.93	?	367.62	192.13	?	48.33	?	107.96	100.21	?	3.50	30.00	99999.00	89.12	3.17	99999.00	3.17	0.17	2.65	2.89	8.50	
113.89	119.89	135.35	66.31	0.00	0.00	134.54	218.14	218.14	59.44	3.63	2.58	3.89	3.89	3.72	3.88	3.88	2.44	95.56	69.49	194.35	154.79	65.69	5.77	4.61	7.71	7.39	4.54	6.00	2.00	99999.00	87.95	3.23	99999.00	2.99	-0.01	2.73	2.96	9.00	
105.45	111.00	133.21	61.94	0.00	0.00	132.45	224.93	224.93	59.81	3.62	2.49	3.86	3.86	3.70	3.86	3.86	2.48	81.97	62.71	211.30	129.31	56.12	15.68	12.77	23.34	20.90	11.98	6.00	6.00	99999.00	86.77	3.10	99999.00	3.16	0.16	2.81	3.02	9.50	
99.79	105.04	131.24	61.63	0.00	0.00	130.54	231.90	231.90	60.47	3.60	2.51	3.83	3.83	3.68	3.83	3.83	2.53	74.73	57.15	234.57	131.37	48.88	24.27	19.57	38.78	34.74	17.55	6.00	10.00	99999.00	85.57	3.23	99999.00	3.34	0.34	2.88	3.08	10.00	
96.00	101.05	129.43	63.37	0.00	0.00	128.76	239.34	239.34	56.43	3.59	2.59	3.79	3.79	3.65	3.79	3.79	2.43	70.65	?	260.98	131.44	?	32.17	?	53.57	47.88	?	6.00	14.00	99999.00	84.35	3.49	99999.00	3.17	0.17	2.95	3.13	10.50	
93.45	98.37	127.75	60.63	0.00	0.00	127.13	246.71	246.71	56.73	3.57	2.53	3.75	3.75	3.62	3.75	3.75	2.45	68.16	?	294.28	140.41	?	39.39	?	67.39	61.65	?	6.00	18.00	99999.00	83.12	3.43	99999.00	3.30	0.30	3.02	3.16	11.00	
91.75	96.58	126.19	61.68	0.00	0.00	125.62	252.79	252.79	55.25	3.55	2.58	3.70	3.70	3.58	3.70	3.70	2.41	66.53	?	332.96	258.82	?	46.04	?	80.13	80.01	?	6.00	22.00	99999.00	81.89	3.64	99999.00	3.28	0.28	3.09	3.18	11.50	
90.61	95.37	124.75	57.76	0.00	0.00	124.20	260.85	260.85	58.92	3.51	2.48	3.65	3.65	3.54	3.65	3.65	2.53	65.40	?	377.24	166.55	?	52.22	?	91.99	88.18	?	6.00	26.00	99999.00	80.64	3.47	99999.00	3.66	0.66	3.13	3.19	12.00	
101.31	106.64	123.39	58.75	?	?	122.86	273.23	273.23	57.77	3.46	2.50	?	?	3.49	3.60	3.60	2.49	89.47	66.25	225.12	148.63	60.35	6.13	5.06	7.79	7.56	4.84	8.50	2.00	99999.00	79.40	3.61	99999.00	3.66	0.66	3.12	3.21	12.50	
94.73	99.72	122.13	56.36	?	?	121.60	287.02	287.02	55.92	3.40	2.42	?	?	3.45	3.55	3.55	2.43	78.18	?	246.75	131.29	?	16.79	?	23.02	21.75	?	8.50	6.00	99999.00	78.18	3.49	99999.00	3.59	0.59	3.10	3.21	13.00	
90.33	95.08	120.95	61.14	?	?	120.43	300.15	300.15	56.28	3.34	2.54	?	?	3.38	3.48	3.48	2.43	72.33	?	273.47	137.09	?	26.12	?	37.52	35.81	?	8.50	10.00	99999.00	76.99	3.89	99999.00	3.65	0.65	3.06	3.17	13.50	
87.37	91.97	119.84	55.80	?	?	119.33	313.53	313.53	54.25	3.28	2.37	?	?	3.32	3.41	3.41	2.35	68.98	?	308.82	325.35	?	34.43	?	51.03	51.03	?	8.50	14.00	99999.00	75.82	3.53	99999.00	3.52	0.52	3.02	3.12	14.00	
85.39	89.88	118.80	54.76	?	?	118.30	328.56	328.56	57.26	3.23	2.32	?	?	3.26	3.34	3.34	2.42	66.92	?	349.24	150.44	?	42.02	?	63.52	61.72	?	8.50	18.00	99999.00	74.70	3.49	99999.00	3.79	0.79	2.98	3.08	14.50	
84.06	88.49	117.82	54.01	?	?	117.32	343.50	343.50	49.42	3.17	2.29	?	?	3.20	3.28	3.28	2.17	65.56	?	395.77	173.09	?	49.07	?	75.17	74.30	?	8.50	22.00	99999.00	73.60	3.47	99999.00	3.18	0.18	2.95	3.04	15.00	
