	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	7.6468964635E-02	8.6488949328E-01	9.1356076541E-01	?	?	6.7539166023E-01	3.9733796535E-01	3.9733796535E-01	7.5382792669E-01	2.9553622369E00	2.9560151995E00	?	?	2.9528647384E00	2.9526272917E00	2.9526272917E00	2.9543450294E00	6.2892101526E-01	?	3.2702405710E-01	3.0145191413E-01	?	2.7320546667E00	?	2.7070993237E00	2.7231542182E00	?	2.7882540383E00	2.6011218790E00	?	5.4758329568E-01	2.9134776617E00	?	2.9138696541E00	2.9063967880E00	2.9125244537E00	2.9015690217E00	2.7049355542E00	
Target (LIBOR)	7.6468964635E-02	0.0000000000E00	7.8370179852E-01	9.0372531218E-01	?	?	6.9491042390E-01	3.3846410166E-01	3.3846410166E-01	7.7406375011E-01	2.9566975165E00	2.9573183578E00	?	?	2.9543232342E00	2.9540973936E00	2.9540973936E00	2.9557308660E00	5.4130270460E-01	?	2.8167506368E-01	2.4731999602E-01	?	2.7435814737E00	?	2.7196777763E00	2.7350660370E00	?	2.7974120788E00	2.6180661740E00	?	6.1541294565E-01	2.9168463585E00	?	2.9172196347E00	2.9101108629E00	2.9159388323E00	2.9055131826E00	2.7176124335E00	
Caplet Vola Analytic Single-Curve	8.6488949328E-01	7.8370179852E-01	0.0000000000E00	9.9739712160E-01	?	?	8.1059942155E-01	6.3606152651E-01	6.3606152651E-01	8.8034476390E-01	3.5119251025E00	3.5124599417E00	?	?	3.5100115792E00	3.5098010860E00	3.5098010860E00	3.5112515079E00	7.6787068570E-01	?	7.5002662512E-01	8.1777067850E-01	?	3.3234691194E00	?	3.3022507005E00	3.3162062176E00	?	3.3739682093E00	3.2137183554E00	?	1.3684304133E00	3.4774512428E00	?	3.4777836214E00	3.4723636203E00	3.4766662115E00	3.4683391812E00	3.3006903026E00	
Caplet Vola Monte-Carlo Single-Curve	9.1356076541E-01	9.0372531218E-01	9.9739712160E-01	0.0000000000E00	?	?	1.1677932456E00	1.0306697417E00	1.0306697417E00	1.1023906682E00	4.5477446405E00	4.5486733856E00	?	?	4.5447064431E00	4.5443070514E00	4.5443070514E00	4.5469170574E00	1.1262624912E00	?	1.1116394176E00	1.1128284736E00	?	4.2238574719E00	?	4.1887697696E00	4.2123264287E00	?	4.3134697531E00	4.0478039141E00	?	1.5223099867E00	4.4880331298E00	?	4.4886242023E00	4.4808164509E00	4.4866837743E00	4.4738154824E00	4.1866642090E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	6.7539166023E-01	6.9491042390E-01	8.1059942155E-01	1.1677932456E00	?	?	0.0000000000E00	8.6266857264E-01	8.6266857264E-01	9.2868859200E-01	2.8059610776E00	2.8065697002E00	?	?	2.8036643142E00	2.8035959775E00	2.8035959775E00	2.8046176321E00	9.3552150805E-01	?	9.3141139218E-01	9.2566113324E-01	?	2.6239865828E00	?	2.6013783251E00	2.6139738208E00	?	2.6804934204E00	2.4799595984E00	?	7.7814413318E-01	2.7743380095E00	?	2.7747183910E00	2.7684442210E00	2.7733809607E00	2.7648923379E00	2.6098620580E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.9733796535E-01	3.3846410166E-01	6.3606152651E-01	1.0306697417E00	?	?	8.6266857264E-01	0.0000000000E00	0.0000000000E00	9.1975662700E-01	2.5034270924E00	2.5038502998E00	?	?	2.5016909075E00	2.5015509770E00	2.5015509770E00	2.5026266609E00	5.2047231292E-01	?	4.4114180163E-01	5.1151085479E-01	?	2.3571568428E00	?	2.3402171620E00	2.3509229002E00	?	2.3928235888E00	2.2659824736E00	?	6.2914778524E-01	2.4762108787E00	?	2.4764593020E00	2.4709491657E00	2.4755870501E00	2.4678232687E00	2.3385562447E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.9733796535E-01	3.3846410166E-01	6.3606152651E-01	1.0306697417E00	?	?	8.6266857264E-01	0.0000000000E00	0.0000000000E00	9.1975662700E-01	2.5034270924E00	2.5038502998E00	?	?	2.5016909075E00	2.5015509770E00	2.5015509770E00	2.5026266609E00	5.2047231292E-01	?	4.4114180163E-01	5.1151085479E-01	?	2.3571568428E00	?	2.3402171620E00	2.3509229002E00	?	2.3928235888E00	2.2659824736E00	?	6.2914778524E-01	2.4762108787E00	?	2.4764593020E00	2.4709491657E00	2.4755870501E00	2.4678232687E00	2.3385562447E00	
Caplet Vola Monte-Carlo Multi-Curve	7.5382792669E-01	7.7406375011E-01	8.8034476390E-01	1.1023906682E00	?	?	9.2868859200E-01	9.1975662700E-01	9.1975662700E-01	0.0000000000E00	3.6652832561E00	3.6661579487E00	?	?	3.6622429871E00	3.6620715194E00	3.6620715194E00	3.6637823055E00	9.4599087814E-01	?	9.5272153204E-01	8.7740233336E-01	?	3.3958950715E00	?	3.3640185839E00	3.3827572655E00	?	3.4797735439E00	3.2039880109E00	?	1.0740204186E00	3.6178497383E00	?	3.6184081604E00	3.6106988168E00	3.6165001272E00	3.6052905245E00	3.3737964206E00	
Caplet Value Analytic Single-Curve	2.9553622369E00	2.9566975165E00	3.5119251025E00	4.5477446405E00	?	?	2.8059610776E00	2.5034270924E00	2.5034270924E00	3.6652832561E00	0.0000000000E00	1.3878934848E-01	?	?	4.0420638146E-01	1.0650064934E-01	1.0650064934E-01	1.5941970851E-01	3.8320770533E00	?	2.9208305935E00	3.1995618371E00	?	4.1326263743E00	?	4.0762144355E00	3.9922454073E00	?	4.2047982677E00	4.6995623845E00	?	2.3371068525E00	1.3089311335E00	?	1.2889880869E00	1.2678109169E00	1.2161558736E00	1.2199658532E00	3.4264619058E00	
Caplet Value Monte-Carlo Single-Curve	2.9560151995E00	2.9573183578E00	3.5124599417E00	4.5486733856E00	?	?	2.8065697002E00	2.5038502998E00	2.5038502998E00	3.6661579487E00	1.3878934848E-01	0.0000000000E00	?	?	4.0966722568E-01	2.3657610798E-01	2.3657610798E-01	1.9841336727E-01	3.8328260690E00	?	2.9214099746E00	3.2002479349E00	?	4.1396948180E00	?	4.0825870747E00	3.9988535721E00	?	4.2129803109E00	4.7210027549E00	?	2.3377323965E00	1.2818353271E00	?	1.2776924788E00	1.2565602760E00	1.2238063032E00	1.2252267961E00	3.4303500486E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ho	2.9528647384E00	2.9543232342E00	3.5100115792E00	4.5447064431E00	?	?	2.8036643142E00	2.5016909075E00	2.5016909075E00	3.6622429871E00	4.0420638146E-01	4.0966722568E-01	?	?	0.0000000000E00	4.0127393416E-01	4.0127393416E-01	4.3308934089E-01	3.8294810646E00	?	2.9186037747E00	3.1970190646E00	?	4.1087546891E00	?	4.0545470508E00	3.9695709933E00	?	4.1687100331E00	4.6666003983E00	?	2.3344619314E00	1.4077167647E00	?	1.4577953670E00	1.4341876864E00	1.3878188327E00	1.3329195401E00	3.4058245161E00	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.9526272917E00	2.9540973936E00	3.5098010860E00	4.5443070514E00	?	?	2.8035959775E00	2.5015509770E00	2.5015509770E00	3.6620715194E00	1.0650064934E-01	2.3657610798E-01	?	?	4.0127393416E-01	0.0000000000E00	0.0000000000E00	2.6112163324E-01	3.8291763899E00	?	2.9183943131E00	3.1967597892E00	?	4.1044217826E00	?	4.0506294948E00	3.9655016583E00	?	4.1648196977E00	4.6666501079E00	?	2.3342648168E00	1.2714090661E00	?	1.2556113441E00	1.2353524290E00	1.1758968921E00	1.1751429080E00	3.4040738152E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	2.9526272917E00	2.9540973936E00	3.5098010860E00	4.5443070514E00	?	?	2.8035959775E00	2.5015509770E00	2.5015509770E00	3.6620715194E00	1.0650064934E-01	2.3657610798E-01	?	?	4.0127393416E-01	0.0000000000E00	0.0000000000E00	2.6112163324E-01	3.8291763899E00	?	2.9183943131E00	3.1967597892E00	?	4.1044217826E00	?	4.0506294948E00	3.9655016583E00	?	4.1648196977E00	4.6666501079E00	?	2.3342648168E00	1.2714090661E00	?	1.2556113441E00	1.2353524290E00	1.1758968921E00	1.1751429080E00	3.4040738152E00	
