Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032741901019497956	0.0	0.0	0.0	0.0	0.0	0.005370147336251648	0.0	0.0	0.0	0.0	0.0	0.0	0.015090039851870952	0.0	0.0	0.11456274372413164	0.0	0.0	0.0	0.0	0.0067592208792944765	0.0	0.007138203702166961	0.011409911264800272	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008569782580308393	0.0	0.0	0.0	0.0	0.0	0.037942778764835844	0.0	0.0	0.0	0.0	0.0	0.0	0.043375336600797246	0.0	0.0	1.2238686157791239	0.0	0.0	0.0036700099392659984	0.0	0.017381784553611574	0.0039406509248817775	0.017114933506263242	0.07630785433295321	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01373625860539201	0.0	0.0	0.0	0.0	0.0	0.07002723273097675	0.0	0.0	0.0	0.0	0.0	0.0	0.06951657787533877	0.0	0.0	4.2051227731958765	0.0	0.0	0.02303272875453638	0.0	0.027839352219015713	0.026611959854845383	0.02746000121392268	0.14091763959187487	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02076323636538224	0.0	0.0	0.0	0.0	0.0	0.20257847145963723	0.0	0.0	0.0	0.0	0.0	0.0	0.09434785411862744	0.0	0.0	5.319848021844632	0.0	0.0	0.8893347312214576	0.0	0.042221833412855986	8.274697360882508	0.03915502742639029	0.4084066212456654	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025466361766749813	0.0	0.0	0.0	0.0	0.0	0.22944787623689306	0.0	0.0	0.0	0.0	0.0	0.0	0.11719761844442854	0.0	0.0	5.34375661550935	0.0	0.0	9803.942955629245	0.0	0.051973505623954745	46302.61487587019	0.052276263501695265	0.4644608153689861	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029824566542079777	0.0	0.0	0.0	0.0	0.0	0.1183679234977727	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	8.685547472047263E10	0.0	0.06114851668703798	2.9970165487663654E11	0.06106749745149854	0.24100976187930803	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03499742463251404	0.0	0.0	0.0	0.0	0.0	0.04982691885145433	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	5.927151354265654E20	0.0	0.07216734920257543	1.0675485516021005E20	0.07103849384829874	0.10248241093982914	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04285316369901462	0.0	0.0	0.0	0.0	0.0	0.04144305012147689	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	2.3203472331222686E33	0.0	0.0888421383860187	1.6858670042137617E31	0.08596862384424209	0.08607829975052086	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04657008276209763	0.0	0.0	0.0	0.0	0.0	0.0443864309531482	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	1.0461714396826578E48	0.0	0.09732065974726346	1.2539540335037548E45	0.09291620741397706	0.09291693507034779	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05095674745161116	0.0	0.0	0.0	0.0	0.0	0.05246212384078422	0.0	0.0	0.0	0.0	0.0	0.0	0.06161161238458948	0.0	0.0	0.07826214537233138	0.0	0.0	8.607680781646956E65	0.0	0.1074080678569786	7.535799457358219E61	0.11063865782805223	0.11063864375955684	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05744499714696336	0.0	0.0	0.0	0.0	0.0	0.05740914086121496	0.0	0.0	0.0	0.0	0.0	0.0	0.13150267455047598	0.0	0.0	0.1395055121991717	0.0	0.0	4.308468978813527E85	0.0	0.12217783863215077	1.6716497743984706E81	0.12219577202699047	0.1221957715469449	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063197411049202	0.0	0.0	0.0	0.0	0.0	0.06099439082168271	0.0	0.0	0.0	0.0	0.0	0.0	0.17816997460322362	0.0	0.0	0.18174350436098355	0.0	0.0	2.1558135667763856E105	0.0	0.13577570242856046	8.364311509476878E100	0.13116320908062226	0.13116320907339243	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06696859237959986	0.0	0.0	0.0	0.0	0.0	0.06494455814099317	0.0	0.0	0.0	0.0	0.0	0.0	0.21451226841910187	0.0	0.0	0.21588781977631968	0.0	0.0	1.0783404515237837E125	0.0	0.1454472514632824	4.185469610539648E120	0.14116891744382695	0.14116891744381643	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06847687643747721	0.0	0.0	0.0	0.0	0.0	0.06873939655894899	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	5.393648013779021E144	0.0	0.15050953289803493	2.094225105525306E140	0.15112771018713156	0.15112771018713156	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07517669598115705	0.0	0.0	0.0	0.0	0.0	0.07324673607595211	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.16719920747362393	NaN	0.16297135711984442	0.16297135711984442	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07766553868828291	0.0	0.0	0.0	0.0	0.0	0.07526225029474229	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.17491047565218537	NaN	0.16958856736246236	0.16958856736246236	0.0	0.0	0.0	
