Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
59.45	62.57	59.60	?	178.85	145.28	74.51	184.01	184.01	?	0.31	?	1.21	1.00	0.53	1.24	1.24	?	3.72	?	9.90	?	?	0.06	?	0.20	?	?	1.00	2.00	100.05	99.95	?	100.05	0.18	?	0.17	0.48	0.50	
61.17	64.39	61.12	?	134.01	108.59	61.42	130.03	130.03	?	0.46	?	1.25	1.04	0.61	1.22	1.22	?	8.60	?	11.59	?	?	0.45	?	0.72	?	?	1.00	6.00	100.14	99.86	?	100.14	0.25	?	0.26	0.57	1.00	
62.28	65.56	62.16	?	113.18	92.13	56.93	106.34	106.34	?	0.59	?	1.31	1.09	0.70	1.24	1.24	?	11.27	?	13.57	?	?	1.06	?	1.48	?	?	1.00	10.00	100.29	99.74	?	100.29	0.36	?	0.37	0.73	1.50	
62.89	66.20	62.77	?	100.56	78.93	54.83	86.63	86.63	?	0.73	?	1.33	1.07	0.77	1.17	1.17	?	11.68	?	13.62	?	?	1.63	?	2.15	?	?	1.00	14.00	100.54	99.55	?	100.54	0.61	?	0.63	0.94	2.00	
63.07	66.39	62.99	?	92.06	72.07	53.96	76.47	76.47	?	0.85	?	1.39	1.12	0.86	1.18	1.18	?	10.54	?	12.24	?	?	1.96	?	2.54	?	?	1.00	18.00	101.00	99.24	?	100.99	0.79	?	0.82	1.13	2.50	
62.91	66.22	62.89	?	85.73	67.12	53.38	69.06	69.06	?	0.96	?	1.44	1.17	0.95	1.20	1.20	?	8.67	?	10.21	?	?	2.01	?	2.61	?	?	1.00	22.00	101.68	98.83	?	101.67	0.98	?	1.01	1.30	3.00	
62.47	65.75	62.51	?	80.94	63.68	52.83	63.89	63.89	?	1.07	?	1.51	1.23	1.04	1.23	1.23	?	7.23	?	8.64	?	?	2.00	?	2.60	?	?	1.00	26.00	102.73	98.33	?	102.73	1.15	?	1.21	1.50	3.50	
61.80	65.05	61.88	?	77.15	61.06	52.23	59.96	59.96	?	1.17	?	1.58	1.29	1.12	1.27	1.27	?	6.27	?	7.58	?	?	1.99	?	2.59	?	?	1.00	30.00	104.59	97.74	?	104.61	1.34	?	1.41	1.70	4.00	
60.94	64.15	61.06	?	74.04	58.97	51.56	56.83	56.83	?	1.26	?	1.64	1.36	1.20	1.31	1.31	?	5.59	?	6.81	?	?	1.98	?	2.59	?	?	1.00	34.00	110.80	97.05	?	111.57	1.51	?	1.60	1.88	4.50	
59.95	63.11	60.08	?	71.40	57.25	50.82	54.22	54.22	?	1.34	?	1.70	1.41	1.27	1.35	1.35	?	14.09	?	17.07	?	?	0.52	?	0.71	?	?	3.50	2.00	229.92	96.28	?	216.59	1.70	?	1.78	2.06	5.00	
58.86	61.96	58.97	?	69.07	55.79	50.02	51.94	51.94	?	1.41	?	1.75	1.46	1.33	1.38	1.38	?	15.95	?	18.35	?	?	1.87	?	2.38	?	?	3.50	6.00	11324.60	95.43	?	3343.79	1.87	?	1.96	2.22	5.50	
57.69	60.72	57.76	?	67.06	54.57	49.16	50.01	50.01	?	1.46	?	1.79	1.51	1.38	1.40	1.40	?	15.72	?	17.77	?	?	3.20	?	3.95	?	?	3.50	10.00	99999.00	94.51	?	99999.00	2.03	?	2.12	2.37	6.00	
56.46	59.43	56.49	?	65.41	53.55	48.25	48.45	48.45	?	1.51	?	1.84	1.56	1.42	1.43	1.43	?	14.11	?	15.89	?	?	4.09	?	4.99	?	?	3.50	14.00	99999.00	93.52	?	99999.00	2.18	?	2.26	2.50	6.50	
55.21	58.11	55.16	?	64.05	52.66	47.31	47.13	47.13	?	1.54	?	1.88	1.60	1.46	1.45	1.45	?	11.88	?	13.46	?	?	4.46	?	5.42	?	?	3.50	18.00	99999.00	92.47	?	99999.00	2.30	?	2.38	2.63	7.00	
53.94	56.78	53.82	?	62.82	51.85	46.36	45.89	45.89	?	1.56	?	1.91	1.63	1.48	1.47	1.47	?	9.85	?	11.25	?	?	4.50	?	5.47	?	?	3.50	22.00	99999.00	91.39	?	99999.00	2.42	?	2.49	2.74	7.50	
52.67	55.44	52.47	?	61.68	51.12	45.42	44.71	44.71	?	1.58	?	1.93	1.66	1.50	1.48	1.48	?	8.45	?	9.73	?	?	4.49	?	5.47	?	?	3.50	26.00	99999.00	90.27	?	99999.00	2.51	?	2.58	2.82	8.00	
51.41	54.11	51.13	?	60.65	50.46	44.48	43.61	43.61	?	1.58	?	1.94	1.68	1.51	1.48	1.48	?	7.47	?	8.65	?	?	4.48	?	5.47	?	?	3.50	30.00	99999.00	89.12	?	99999.00	2.59	?	2.65	2.89	8.50	
50.17	52.81	49.83	?	59.67	49.87	43.57	42.54	42.54	?	1.59	?	1.95	1.69	1.51	1.48	1.48	?	18.56	?	21.00	?	?	1.02	?	1.24	?	?	6.00	2.00	99999.00	87.95	?	99999.00	2.67	?	2.73	2.96	9.00	
48.96	51.54	48.57	?	58.72	49.35	42.69	41.50	41.50	?	1.59	?	1.95	1.70	1.51	1.47	1.47	?	18.02	?	20.10	?	?	3.02	?	3.62	?	?	6.00	6.00	99999.00	86.77	?	99999.00	2.77	?	2.81	3.02	9.50	
47.79	50.30	47.36	?	57.82	48.89	41.84	40.50	40.50	?	1.58	?	1.95	1.71	1.50	1.46	1.46	?	16.28	?	18.08	?	?	4.56	?	5.41	?	?	6.00	10.00	99999.00	85.57	?	99999.00	2.85	?	2.88	3.08	10.00	
46.65	49.10	46.22	?	57.01	48.49	41.04	39.58	39.58	?	1.58	?	1.95	1.72	1.50	1.45	1.45	?	13.99	?	15.59	?	?	5.47	?	6.44	?	?	6.00	14.00	99999.00	84.35	?	99999.00	2.92	?	2.95	3.13	10.50	
45.55	47.95	45.16	?	56.14	48.14	40.28	38.66	38.66	?	1.57	?	1.94	1.72	1.48	1.43	1.43	?	11.73	?	13.12	?	?	5.81	?	6.82	?	?	6.00	18.00	99999.00	83.12	?	99999.00	2.98	?	3.02	3.16	11.00	
44.50	46.84	44.17	?	54.99	47.88	39.57	37.65	37.65	?	1.56	?	1.90	1.71	1.46	1.40	1.40	?	9.89	?	11.14	?	?	5.85	?	6.88	?	?	6.00	22.00	99999.00	81.89	?	99999.00	3.05	?	3.09	3.18	11.50	
43.50	45.78	43.24	?	54.18	47.63	38.90	36.86	36.86	?	1.55	?	1.88	1.70	1.44	1.37	1.37	?	8.60	?	9.74	?	?	5.85	?	6.89	?	?	6.00	26.00	99999.00	80.64	?	99999.00	3.10	?	3.13	3.19	12.00	
42.54	44.78	42.37	?	54.13	47.33	38.25	36.39	36.39	?	1.52	?	1.89	1.70	1.43	1.37	1.37	?	18.63	?	20.76	?	?	1.25	?	1.48	?	?	8.50	2.00	99999.00	79.40	?	99999.00	3.08	?	3.12	3.21	12.50	
41.62	43.81	41.54	?	54.16	47.07	37.64	36.01	36.01	?	1.49	?	1.89	1.70	1.42	1.36	1.36	?	17.27	?	19.11	?	?	3.46	?	4.03	?	?	8.50	6.00	99999.00	78.18	?	99999.00	3.07	?	3.10	3.21	13.00	
40.76	42.90	40.77	?	53.89	46.87	37.06	35.52	35.52	?	1.46	?	1.87	1.69	1.39	1.34	1.34	?	15.23	?	16.86	?	?	5.03	?	5.80	?	?	8.50	10.00	99999.00	76.99	?	99999.00	3.06	?	3.06	3.17	13.50	
39.94	42.04	40.03	?	53.55	46.70	36.52	34.99	34.99	?	1.43	?	1.84	1.66	1.36	1.31	1.31	?	12.98	?	14.38	?	?	5.85	?	6.73	?	?	8.50	14.00	99999.00	75.82	?	99999.00	3.05	?	3.02	3.12	14.00	
39.16	41.22	39.34	?	53.40	46.55	36.00	34.60	34.60	?	1.40	?	1.82	1.65	1.34	1.29	1.29	?	10.93	?	12.16	?	?	6.15	?	7.07	?	?	8.50	18.00	99999.00	74.70	?	99999.00	3.02	?	2.98	3.08	14.50	
38.43	40.46	38.67	?	53.18	46.42	35.50	34.18	34.18	?	1.37	?	1.80	1.63	1.31	1.27	1.27	?	9.29	?	10.38	?	?	6.20	?	7.13	?	?	8.50	22.00	99999.00	73.60	?	99999.00	2.98	?	2.95	3.04	15.00	
37.74	39.73	38.05	?	52.65	46.32	35.02	33.57	33.57	?	1.35	?	1.76	1.61	1.28	1.24	1.24	?	17.75	?	19.67	?	?	1.33	?	1.51	?	?	11.00	2.00	99999.00	72.53	?	99999.00	2.96	?	2.92	2.98	15.50	
37.10	39.05	37.45	?	52.16	46.23	34.56	33.00	33.00	?	1.32	?	1.72	1.58	1.25	1.20	1.20	?	16.06	?	17.75	?	?	3.52	?	3.99	?	?	11.00	6.00	99999.00	71.49	?	99999.00	2.95	?	2.89	2.93	16.00	
36.49	38.41	36.87	?	52.04	46.15	34.13	32.65	32.65	?	1.30	?	1.71	1.57	1.23	1.18	1.18	?	13.92	?	15.37	?	?	4.92	?	5.57	?	?	11.00	10.00	99999.00	70.47	?	99999.00	2.92	?	2.86	2.90	16.50	
35.92	37.81	36.33	?	51.96	46.08	33.71	32.34	32.34	?	1.28	?	1.69	1.55	1.21	1.17	1.17	?	11.81	?	13.07	?	?	5.65	?	6.38	?	?	11.00	14.00	99999.00	69.48	?	99999.00	2.88	?	2.84	2.88	17.00	
35.39	37.25	35.81	?	51.73	46.03	33.31	31.95	31.95	?	1.25	?	1.67	1.54	1.19	1.15	1.15	?	15.99	?	17.74	?	?	1.23	?	1.39	?	?	13.50	2.00	99999.00	68.50	?	99999.00	2.85	?	2.81	2.84	17.50	
34.89	36.72	35.30	?	51.57	45.99	32.92	31.61	31.61	?	1.23	?	1.65	1.52	1.17	1.13	1.13	?	14.21	?	15.76	?	?	3.15	?	3.56	?	?	13.50	6.00	99999.00	67.56	?	99999.00	2.79	?	2.78	2.81	18.00	
