	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.1282051282E-02	3.6158288364E-01	3.5185172179E-01	?	?	5.4242264559E-01	9.2082498403E-01	9.2082498403E-01	4.7940332469E-01	1.9653343385E00	1.9661604264E00	?	?	1.9496078878E00	1.9452873216E00	1.9452873216E00	1.9659603442E00	1.6634198784E-01	?	1.0466877455E-01	8.5231053272E-01	?	1.6699096413E00	?	1.5154994600E00	1.7542975236E00	?	1.7647140665E00	1.5356494139E00	?	1.7799830984E-01	1.9121056137E00	?	1.9126875279E00	1.9113240959E00	1.9109221830E00	1.9042736827E00	1.6400674814E00	
Target (LIBOR)	5.1282051282E-02	0.0000000000E00	3.1174598636E-01	3.1954000325E-01	?	?	5.1432903589E-01	8.8163885178E-01	8.8163885178E-01	5.2744360395E-01	1.9670533451E00	1.9678388011E00	?	?	1.9520973194E00	1.9479873837E00	1.9479873837E00	1.9676485616E00	1.4615471939E-01	?	8.5346132271E-02	8.9382569865E-01	?	1.6851149026E00	?	1.5369199554E00	1.7658635486E00	?	1.7758190304E00	1.5562914894E00	?	2.2875832785E-01	1.9164084927E00	?	1.9169625239E00	1.9156644094E00	1.9152817424E00	1.9089510513E00	1.6565187314E00	
Caplet Vola Analytic Single-Curve	3.6158288364E-01	3.1174598636E-01	0.0000000000E00	3.2803513618E-01	?	?	3.8771381764E-01	6.4876230735E-01	6.4876230735E-01	8.0605500141E-01	1.9758856892E00	1.9764618294E00	?	?	1.9649036059E00	1.9618818215E00	1.9618818215E00	1.9763222923E00	2.7028230613E-01	?	2.8993946372E-01	1.1270589091E00	?	1.7650530294E00	?	1.6509156986E00	1.8262688812E00	?	1.8337693028E00	1.6659689285E00	?	5.3103666196E-01	1.9386076063E00	?	1.9390167964E00	1.9380580014E00	1.9377753291E00	1.9330967808E00	1.7432105426E00	
Caplet Vola Monte-Carlo Single-Curve	3.5185172179E-01	3.1954000325E-01	3.2803513618E-01	0.0000000000E00	?	?	4.8105875679E-01	9.0647623953E-01	9.0647623953E-01	7.8237190100E-01	1.9737752722E00	1.9747743734E00	?	?	1.9610294186E00	1.9571234009E00	1.9571234009E00	1.9744630738E00	3.3811159562E-01	?	3.3158879234E-01	1.0644189416E00	?	1.7422635817E00	?	1.6123522333E00	1.8020863667E00	?	1.8537344351E00	1.6154662313E00	?	5.0032980093E-01	1.9363970208E00	?	1.9366037804E00	1.9353089462E00	1.9346011672E00	1.9286975524E00	1.7608114602E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	5.4242264559E-01	5.1432903589E-01	3.8771381764E-01	4.8105875679E-01	?	?	0.0000000000E00	9.0801183534E-01	9.0801183534E-01	9.3537069525E-01	1.9738076682E00	1.9747667658E00	?	?	1.9604049234E00	1.9560583196E00	1.9560583196E00	1.9744791180E00	6.1131411237E-01	?	5.7189695220E-01	1.0816084187E00	?	1.7252756100E00	?	1.5843677061E00	1.7868752069E00	?	1.8764318711E00	1.5892083055E00	?	6.2298757076E-01	1.9377010487E00	?	1.9380261937E00	1.9366549001E00	1.9360505137E00	1.9297414480E00	1.7855657208E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.2082498403E-01	8.8163885178E-01	6.4876230735E-01	9.0647623953E-01	?	?	9.0801183534E-01	0.0000000000E00	0.0000000000E00	1.2606572984E00	1.9869212666E00	1.9872345909E00	?	?	1.9809408883E00	1.9792926955E00	1.9792926955E00	1.9871587098E00	8.4882287759E-01	?	8.6364162364E-01	1.4752819745E00	?	1.8694039957E00	?	1.8033121443E00	1.9041233776E00	?	1.9083431351E00	1.8121318900E00	?	1.0443578729E00	1.9665594905E00	?	1.9667839480E00	1.9662579763E00	1.9661028869E00	1.9635345072E00	1.8568940456E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.2082498403E-01	8.8163885178E-01	6.4876230735E-01	9.0647623953E-01	?	?	9.0801183534E-01	0.0000000000E00	0.0000000000E00	1.2606572984E00	1.9869212666E00	1.9872345909E00	?	?	1.9809408883E00	1.9792926955E00	1.9792926955E00	1.9871587098E00	8.4882287759E-01	?	8.6364162364E-01	1.4752819745E00	?	1.8694039957E00	?	1.8033121443E00	1.9041233776E00	?	1.9083431351E00	1.8121318900E00	?	1.0443578729E00	1.9665594905E00	?	1.9667839480E00	1.9662579763E00	1.9661028869E00	1.9635345072E00	1.8568940456E00	
Caplet Vola Monte-Carlo Multi-Curve	4.7940332469E-01	5.2744360395E-01	8.0605500141E-01	7.8237190100E-01	?	?	9.3537069525E-01	1.2606572984E00	1.2606572984E00	0.0000000000E00	1.9437832337E00	1.9451157795E00	?	?	1.9184808850E00	1.9115512885E00	1.9115512885E00	1.9447929992E00	5.8188977454E-01	?	5.4850065060E-01	4.7593832796E-01	?	1.4883934735E00	?	1.2660545168E00	1.6143091896E00	?	1.6300757536E00	1.2944967360E00	?	3.5622263604E-01	1.8586426891E00	?	1.8595658542E00	1.8574031300E00	1.8567657765E00	1.8462341271E00	1.4446245419E00	
Caplet Value Analytic Single-Curve	1.9653343385E00	1.9670533451E00	1.9758856892E00	1.9737752722E00	?	?	1.9738076682E00	1.9869212666E00	1.9869212666E00	1.9437832337E00	0.0000000000E00	4.2586824536E-02	?	?	3.9098081358E-01	4.5339847553E-01	4.5339847553E-01	5.4591714649E-02	1.9689259322E00	?	1.9677868456E00	1.9149415674E00	?	1.6456613417E00	?	1.7614043745E00	1.5286462594E00	?	1.5091412230E00	1.7503591040E00	?	1.9586311468E00	8.7954766562E-01	?	8.7406159262E-01	8.8683448405E-01	8.9054622968E-01	9.4864198785E-01	1.6750811109E00	
Caplet Value Monte-Carlo Single-Curve	1.9661604264E00	1.9678388011E00	1.9764618294E00	1.9747743734E00	?	?	1.9747667658E00	1.9872345909E00	1.9872345909E00	1.9451157795E00	4.2586824536E-02	0.0000000000E00	?	?	4.1479068667E-01	4.7641064827E-01	4.7641064827E-01	3.6552844381E-02	1.9696670866E00	?	1.9685549534E00	1.9169433698E00	?	1.6534395038E00	?	1.7668043535E00	1.5386680034E00	?	1.5195212069E00	1.7559928469E00	?	1.9596153460E00	8.9906442832E-01	?	8.9363719980E-01	9.0627253025E-01	9.0994393516E-01	9.6738680980E-01	1.6822697568E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
