	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.3195919791E-02	4.2316130142E-03	1.8347083088E-02	2.1469219282E00	2.1469219282E00	?	3.7578778993E-02	3.7052639972E-02	4.1606474276E-02	6.2917293484E-01	6.2918186550E-01	6.2850421768E-01	6.2850775977E-01	?	6.2850673932E-01	6.2850703515E-01	6.2854251595E-01	4.3737816167E-01	4.4198705271E-01	3.4783744676E-01	3.7663620618E-01	3.7250986748E-01	6.1079619090E-01	6.1090532284E-01	6.0679295556E-01	6.0694489771E-01	6.0623661370E-01	6.2072247604E-01	5.7953692220E-01	3.9491235841E131	4.0504585141E-01	6.2256172855E-01	2.1389479426E127	6.2258882888E-01	6.1948628310E-01	6.2256684554E-01	6.1943636360E-01	6.0887418362E-01	
Target (LIBOR)	3.3195919791E-02	0.0000000000E00	3.4304452065E-02	4.9901657941E-02	2.1292499959E00	2.1292499959E00	?	1.6233797052E-02	1.6881036739E-02	6.0069939809E-02	6.6236885463E-01	6.6237778529E-01	6.6170013747E-01	6.6170367956E-01	?	6.6170265911E-01	6.6170295495E-01	6.6173843574E-01	4.6945408738E-01	4.7406297842E-01	3.7991337247E-01	4.0871213189E-01	4.0458579319E-01	6.4371066549E-01	6.4399006664E-01	6.3957259285E-01	6.3972453500E-01	6.3901625099E-01	6.5391839583E-01	6.1109149705E-01	3.9491235841E131	3.7375877788E-01	6.5571614387E-01	2.1389479426E127	6.5573761463E-01	6.5268220289E-01	6.5569931990E-01	6.5262519848E-01	6.4197282486E-01	
Caplet Vola Analytic Single-Curve	4.2316130142E-03	3.4304452065E-02	0.0000000000E00	1.9620648118E-02	2.1434907466E00	2.1434907466E00	?	3.9707341158E-02	3.7661734992E-02	4.0059860453E-02	6.2838756673E-01	6.2839649738E-01	6.2771884956E-01	6.2772239165E-01	?	6.2772137120E-01	6.2772166704E-01	6.2775714784E-01	4.3856699787E-01	4.4317588891E-01	3.4902628296E-01	3.7782504238E-01	3.7369870369E-01	6.0958750675E-01	6.0969663870E-01	6.0558427141E-01	6.0573621356E-01	6.0502792955E-01	6.1993710792E-01	5.8081048723E-01	3.9491235841E131	4.0349923758E-01	6.2173485596E-01	2.1389479426E127	6.2175632672E-01	6.1870091499E-01	6.2171803199E-01	6.1864391058E-01	6.0766837279E-01	
Caplet Vola Monte-Carlo Single-Curve	1.8347083088E-02	4.9901657941E-02	1.9620648118E-02	0.0000000000E00	2.1536500272E00	2.1536500272E00	?	5.4868060065E-02	5.3429615509E-02	3.9425972714E-02	6.2702654061E-01	6.2702585087E-01	6.2642819436E-01	6.2642986472E-01	?	6.2642866621E-01	6.2642878795E-01	6.2645016825E-01	4.2327545990E-01	4.2788435094E-01	3.3373474499E-01	3.6253350441E-01	3.5840716571E-01	6.1196321865E-01	6.1207235060E-01	6.0795998331E-01	6.0811192546E-01	6.0740364145E-01	6.1809946867E-01	5.7663489853E-01	3.9491235841E131	4.0286534985E-01	6.2178701361E-01	2.1389479426E127	6.2181411393E-01	6.1869767904E-01	6.2179213060E-01	6.1866164866E-01	6.0898013639E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.1469219282E00	2.1292499959E00	2.1434907466E00	2.1536500272E00	0.0000000000E00	1.4296252866E-02	?	2.1303949808E00	2.1313973708E00	2.1645088027E00	2.4779630915E00	2.4780810667E00	2.4738253548E00	2.4738253548E00	?	2.4776956098E00	2.4777071856E00	2.4781005936E00	2.1485360129E00	2.1642203430E00	2.1425069524E00	2.1578151581E00	2.1685688662E00	2.4540782211E00	2.4552448391E00	2.4532965828E00	2.4544391375E00	2.4552555233E00	2.3226886421E00	2.4226886421E00	3.9491235841E131	1.8343169616E00	2.4559782508E00	2.1389479426E127	2.4558371653E00	2.4558371652E00	2.4556352613E00	2.4549786759E00	2.2876886421E00	
Caplet Vola Analytic Multi-Curve Ju	2.1469219282E00	2.1292499959E00	2.1434907466E00	2.1536500272E00	1.4296252866E-02	0.0000000000E00	?	2.1303949808E00	2.1313973708E00	2.1645088027E00	2.4779630915E00	2.4780810667E00	2.4738253548E00	2.4738253548E00	?	2.4776956098E00	2.4777071856E00	2.4781005936E00	2.1485360129E00	2.1642203430E00	2.1425069524E00	2.1578151581E00	2.1685688662E00	2.4540782211E00	2.4552448391E00	2.4532965828E00	2.4544391375E00	2.4552555233E00	2.3226886421E00	2.4226886421E00	3.9491235841E131	1.8343169616E00	2.4559782508E00	2.1389479426E127	2.4558371653E00	2.4558371652E00	2.4556352613E00	2.4549786759E00	2.2876886421E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.7578778993E-02	1.6233797052E-02	3.9707341158E-02	5.4868060065E-02	2.1303949808E00	2.1303949808E00	?	0.0000000000E00	2.1495565336E-03	6.6104475466E-02	6.5640343797E-01	6.5641236862E-01	6.5573472080E-01	6.5573826289E-01	?	6.5573724244E-01	6.5573753828E-01	6.5577301907E-01	4.7168974109E-01	4.7629863213E-01	3.8214902619E-01	4.1094778560E-01	4.0682144691E-01	6.4240269093E-01	6.4251182288E-01	6.3839945559E-01	6.3855139774E-01	6.3784311373E-01	6.4795297916E-01	6.1499133301E-01	3.9491235841E131	3.6799107779E-01	6.5066764479E-01	2.1389479426E127	6.5068162896E-01	6.4711994267E-01	6.5067459963E-01	6.4710552243E-01	6.3941960866E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.7052639972E-02	1.6881036739E-02	3.7661734992E-02	5.3429615509E-02	2.1313973708E00	2.1313973708E00	?	2.1495565336E-03	0.0000000000E00	6.3963430730E-02	6.5630722381E-01	6.5631615447E-01	6.5563850664E-01	6.5564204874E-01	?	6.5564102829E-01	6.5564132412E-01	6.5567680492E-01	4.7118086534E-01	4.7578975638E-01	3.8164015044E-01	4.1043890985E-01	4.0631257116E-01	6.4238254037E-01	6.4249167232E-01	6.3837930503E-01	6.3853124718E-01	6.3782296317E-01	6.4785676500E-01	6.1432130516E-01	3.9491235841E131	3.6799321144E-01	6.5064749423E-01	2.1389479426E127	6.5066147840E-01	6.4709979211E-01	6.5065444907E-01	6.4708537187E-01	6.3939945811E-01	
Caplet Vola Monte-Carlo Multi-Curve	4.1606474276E-02	6.0069939809E-02	4.0059860453E-02	3.9425972714E-02	2.1645088027E00	2.1645088027E00	?	6.6104475466E-02	6.3963430730E-02	0.0000000000E00	6.4915181611E-01	6.4914980411E-01	6.4857106675E-01	6.4857175862E-01	?	6.4857093301E-01	6.4857096609E-01	6.4857867737E-01	4.3834274563E-01	4.4295163668E-01	3.4880203073E-01	3.7760079015E-01	3.7347445145E-01	6.3768766812E-01	6.3779680006E-01	6.3440683045E-01	6.3440570745E-01	6.3439724801E-01	6.3970458585E-01	6.1606087124E-01	3.9491235841E131	4.1077957057E-01	6.4595262198E-01	2.1389479426E127	6.4596660614E-01	6.4240491985E-01	6.4595957682E-01	6.4239049961E-01	6.3470458585E-01	
Caplet Value Analytic Single-Curve	6.2917293484E-01	6.6236885463E-01	6.2838756673E-01	6.2702654061E-01	2.4779630915E00	2.4779630915E00	?	6.5640343797E-01	6.5630722381E-01	6.4915181611E-01	0.0000000000E00	1.7005301297E-04	5.7364705238E-03	5.7364685972E-03	?	1.0081874973E-03	9.8879173563E-04	6.9934918281E-04	6.2940326919E-01	6.2760044643E-01	6.5230687392E-01	6.4985763912E-01	6.6339086384E-01	6.0566293706E-02	5.6218490162E-02	7.4377869836E-02	5.3782345686E-02	5.5700058418E-02	1.5527444938E-01	3.3628051048E-01	3.9491235841E131	9.9935581935E-01	2.4486617621E-02	2.1389479426E127	2.4067726238E-02	2.4229674099E-02	2.4568573752E-02	2.5600088962E-02	1.9027444938E-01	
Caplet Value Monte-Carlo Single-Curve	6.2918186550E-01	6.6237778529E-01	6.2839649738E-01	6.2702585087E-01	2.4780810667E00	2.4780810667E00	?	6.5641236862E-01	6.5631615447E-01	6.4914980411E-01	1.7005301297E-04	0.0000000000E00	5.8228462771E-03	5.8228443505E-03	?	1.1172448900E-03	1.1037804125E-03	7.5412017248E-04	6.2940191188E-01	6.2759908912E-01	6.5242653023E-01	6.4985748778E-01	6.6338950653E-01	6.0690188619E-02	5.6342385075E-02	7.4451369884E-02	5.3919109261E-02	5.5823953331E-02	1.5539242454E-01	3.3636176656E-01	3.9491235841E131	9.9935566800E-01	2.4560117669E-02	2.1389479426E127	2.4141226286E-02	2.4303174147E-02	2.4650300664E-02	2.5686464715E-02	1.9039242454E-01	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	6.2850421768E-01	6.6170013747E-01	6.2771884956E-01	6.2642819436E-01	2.4738253548E00	2.4738253548E00	?	6.5573472080E-01	6.5563850664E-01	6.4857106675E-01	5.7364705238E-03	5.8228462771E-03	0.0000000000E00	1.2308553325E-04	?	5.3134040842E-03	5.3255864401E-03	6.0120209699E-03	6.2898975124E-01	6.2718692848E-01	6.5131800205E-01	6.4957492747E-01	6.6297734589E-01	5.5370461087E-02	5.1022657543E-02	6.8862738892E-02	4.8447675546E-02	5.0504225799E-02	1.5113671264E-01	3.3536135467E-01	3.9491235841E131	9.9907310769E-01	1.8971486677E-02	2.1389479426E127	1.8552595294E-02	1.8714543155E-02	1.9017943185E-02	1.9863618438E-02	1.8613671264E-01	
Caplet Value Analytic Multi-Curve Ju	6.2850775977E-01	6.6170367956E-01	6.2772239165E-01	6.2642986472E-01	2.4738253548E00	2.4738253548E00	?	6.5573826289E-01	6.5564204874E-01	6.4857175862E-01	5.7364685972E-03	5.8228443505E-03	1.2308553325E-04	0.0000000000E00	?	5.3133963972E-03	5.3255787531E-03	6.0120190433E-03	6.2898999105E-01	6.2718716829E-01	6.5136601202E-01	6.4957499387E-01	6.6297758571E-01	5.5370461087E-02	5.1022657543E-02	6.8862766090E-02	4.8447675550E-02	5.0504225799E-02	1.5113671264E-01	3.3539364376E-01	3.9491235841E131	9.9907317410E-01	1.8971513875E-02	2.1389479426E127	1.8552622492E-02	1.8714570353E-02	1.9017970383E-02	1.9863620365E-02	1.8613671264E-01	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	6.2850673932E-01	6.6170265911E-01	6.2772137120E-01	6.2642866621E-01	2.4776956098E00	2.4776956098E00	?	6.5573724244E-01	6.5564102829E-01	6.4857093301E-01	1.0081874973E-03	1.1172448900E-03	5.3134040842E-03	5.3133963972E-03	?	0.0000000000E00	2.4731388324E-05	7.6263393232E-04	6.2898953730E-01	6.2718671454E-01	6.5141436170E-01	6.4957477019E-01	6.6297713196E-01	6.0162354199E-02	5.5814550655E-02	7.4122170706E-02	5.3359300051E-02	5.5318906898E-02	1.5500696765E-01	3.3541774159E-01	3.9491235841E131	9.9907295042E-01	2.4230918491E-02	2.1389479426E127	2.3812027107E-02	2.3973974969E-02	2.4277374998E-02	2.5125171940E-02	1.9000696765E-01	
Caplet Value Analytic Multi-Curve Integrated-Expectation	6.2850703515E-01	6.6170295495E-01	6.2772166704E-01	6.2642878795E-01	2.4777071856E00	2.4777071856E00	?	6.5573753828E-01	6.5564132412E-01	6.4857096609E-01	9.8879173563E-04	1.1037804125E-03	5.3255864401E-03	5.3255787531E-03	?	2.4731388324E-05	0.0000000000E00	7.3883585456E-04	6.2898954541E-01	6.2718672265E-01	6.5141892589E-01	6.4957477161E-01	6.6297714006E-01	6.0177748735E-02	5.5829945191E-02	7.4130640507E-02	5.3375194762E-02	5.5327376699E-02	1.5501854342E-01	3.3542083563E-01	3.9491235841E131	9.9907295184E-01	2.4239388292E-02	2.1389479426E127	2.3820496909E-02	2.3982444770E-02	2.4285844800E-02	2.5142309921E-02	1.9001854342E-01	
Caplet Value Monte-Carlo Multi-Curve	6.2854251595E-01	6.6173843574E-01	6.2775714784E-01	6.2645016825E-01	2.4781005936E00	2.4781005936E00	?	6.5577301907E-01	6.5567680492E-01	6.4857867737E-01	6.9934918281E-04	7.5412017248E-04	6.0120209699E-03	6.0120190433E-03	?	7.6263393232E-04	7.3883585456E-04	0.0000000000E00	6.2899385764E-01	6.2719103488E-01	6.5167241006E-01	6.4957174176E-01	6.6298145230E-01	6.0814679931E-02	5.6466876387E-02	7.4588796998E-02	5.3986647289E-02	5.5948444643E-02	1.5541195143E-01	3.3562288350E-01	3.9491235841E131	9.9906992198E-01	2.4749901741E-02	2.1389479426E127	2.4284064117E-02	2.4440601261E-02	2.4841224639E-02	2.5875639408E-02	1.9041195143E-01	
