	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.1282051282E-02	4.4987766414E-03	1.7441404085E-02	8.6219426997E-01	8.6023646756E-01	?	4.7815369779E-02	4.6025216356E-02	4.3927533650E-02	1.9601945352E00	1.9608640748E00	1.9335382307E00	1.9337078593E00	?	1.9556348644E00	1.9557163259E00	1.9588750476E00	2.8602939212E-01	3.0518584759E-01	2.2091018558E-01	2.8854654846E-01	2.6610579890E-01	1.7300531437E00	1.7418146963E00	1.6740503510E00	1.7193462294E00	1.7155305547E00	1.5389752351E00	1.1403252068E00	2.0000000000E00	5.4211942888E-01	1.8198267883E00	2.0000000000E00	1.8206574068E00	1.8108546591E00	1.8187036297E00	1.8055144931E00	1.3164531562E00	
Target (LIBOR)	5.1282051282E-02	0.0000000000E00	5.0839016900E-02	6.8102271272E-02	8.2097272417E-01	8.1933223115E-01	?	1.1828156161E-02	1.1761239543E-02	7.7758780234E-02	1.9621659834E00	1.9628026741E00	1.9368088217E00	1.9369702366E00	?	1.9578297351E00	1.9579072093E00	1.9609112012E00	3.0438597112E-01	3.2848579477E-01	2.3049953927E-01	3.0583337665E-01	2.9082352070E-01	1.7426822099E00	1.7539298152E00	1.6890810344E00	1.7324402724E00	1.7287896387E00	1.5594878859E00	1.1744375056E00	2.0000000000E00	4.9427269596E-01	1.8284490879E00	2.0000000000E00	1.8292417336E00	1.8198860798E00	1.8273772497E00	1.8147885066E00	1.3450342513E00	
Caplet Vola Analytic Single-Curve	4.4987766414E-03	5.0839016900E-02	0.0000000000E00	1.8127627455E-02	8.6183330146E-01	8.5987512534E-01	?	4.7372297492E-02	4.5582125539E-02	4.4371028737E-02	1.9602120025E00	1.9608812512E00	1.9335671990E00	1.9337367549E00	?	1.9556543102E00	1.9557357364E00	1.9588930879E00	2.8500314471E-01	3.0477466800E-01	2.1959459919E-01	2.8752114889E-01	2.6598887539E-01	1.7301647196E00	1.7419217473E00	1.6741830525E00	1.7194618980E00	1.7156476756E00	1.5391560309E00	1.1406243744E00	2.0000000000E00	5.4170865333E-01	1.8199030500E00	2.0000000000E00	1.8207333335E00	1.8109345305E00	1.8187803443E00	1.8055965046E00	1.3167043676E00	
Caplet Vola Monte-Carlo Single-Curve	1.7441404085E-02	6.8102271272E-02	1.8127627455E-02	0.0000000000E00	8.7585095097E-01	8.7390740207E-01	?	6.4637280705E-02	6.2847960881E-02	3.6127479251E-02	1.9595255631E00	1.9602062419E00	1.9324289155E00	1.9326013269E00	?	1.9548901352E00	1.9549729486E00	1.9581841343E00	2.8239689705E-01	2.9915748268E-01	2.2025245271E-01	2.8433648973E-01	2.6032476338E-01	1.7257842225E00	1.7377186931E00	1.6689744008E00	1.7149209305E00	1.7110497650E00	1.5320636932E00	1.1289082808E00	2.0000000000E00	5.5768192144E-01	1.8169078557E00	2.0000000000E00	1.8177512888E00	1.8077976856E00	1.8157673788E00	1.8023756875E00	1.3068590146E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.6219426997E-01	8.2097272417E-01	8.6183330146E-01	8.7585095097E-01	0.0000000000E00	2.4034582166E-03	?	8.2289031084E-01	8.2437595678E-01	8.8307197623E-01	1.9840807238E00	1.9843500784E00	1.9733123558E00	1.9733811569E00	?	1.9822449217E00	1.9822777417E00	1.9835497362E00	1.0376545969E00	1.0642085061E00	9.6086827386E-01	1.0367772431E00	1.0401822701E00	1.8881401646E00	1.8932110784E00	1.8637357777E00	1.8835076395E00	1.8818529514E00	1.8030535397E00	1.6074223525E00	2.0000000000E00	6.0481919277E-01	1.9263779908E00	2.0000000000E00	1.9267268191E00	1.9226043107E00	1.9259061641E00	1.9203532475E00	1.6970836594E00	
Caplet Vola Analytic Multi-Curve Ju	8.6023646756E-01	8.1933223115E-01	8.5987512534E-01	8.7390740207E-01	2.4034582166E-03	0.0000000000E00	?	8.2098660855E-01	8.2246500474E-01	8.8114230347E-01	1.9840425693E00	1.9843125669E00	1.9732485654E00	1.9733175299E00	?	1.9822023868E00	1.9822352852E00	1.9835103143E00	1.0358970100E00	1.0624844484E00	9.5946855358E-01	1.0354800301E00	1.0384499703E00	1.8878785357E00	1.8929609834E00	1.8634190745E00	1.8832355010E00	1.8815770652E00	1.8026030053E00	1.6065705894E00	2.0000000000E00	6.0797989157E-01	1.9262040989E00	2.0000000000E00	1.9265537357E00	1.9224216817E00	1.9257311789E00	1.9201654148E00	1.6964100601E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.7815369779E-02	1.1828156161E-02	4.7372297492E-02	6.4637280705E-02	8.2289031084E-01	8.2098660855E-01	?	0.0000000000E00	1.7911388685E-03	7.3694347478E-02	1.9620357642E00	1.9626746257E00	1.9365927235E00	1.9367546816E00	?	1.9576847506E00	1.9577624883E00	1.9607767059E00	3.0564946332E-01	3.2941632148E-01	2.3038013255E-01	3.0511491132E-01	2.8793029485E-01	1.7418457794E00	1.7531275342E00	1.6880848900E00	1.7315729375E00	1.7279113324E00	1.5581262739E00	1.1721625153E00	2.0000000000E00	4.9752824625E-01	1.8278786277E00	2.0000000000E00	1.8286737912E00	1.8192884890E00	1.8268033866E00	1.8141748256E00	1.3431320946E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.6025216356E-02	1.1761239543E-02	4.5582125539E-02	6.2847960881E-02	8.2437595678E-01	8.2246500474E-01	?	1.7911388685E-03	0.0000000000E00	7.1906214980E-02	1.9619683512E00	1.9626083364E00	1.9364808556E00	1.9366430948E00	?	1.9576096941E00	1.9576875682E00	1.9607070793E00	3.0494148685E-01	3.2844404981E-01	2.2970865391E-01	3.0445742252E-01	2.8673665836E-01	1.7414128937E00	1.7527123161E00	1.6875693825E00	1.7311240635E00	1.7274567826E00	1.5574217562E00	1.1709859994E00	2.0000000000E00	4.9920816875E-01	1.8275833587E00	2.0000000000E00	1.8283798251E00	1.8189791807E00	1.8265063567E00	1.8138571913E00	1.3421481693E00	
Caplet Vola Monte-Carlo Multi-Curve	4.3927533650E-02	7.7758780234E-02	4.4371028737E-02	3.6127479251E-02	8.8307197623E-01	8.8114230347E-01	?	7.3694347478E-02	7.1906214980E-02	0.0000000000E00	1.9591798781E00	1.9598663116E00	1.9318557859E00	1.9320296344E00	?	1.9545053148E00	1.9545888265E00	1.9578271145E00	2.8616802878E-01	3.0019079606E-01	2.2493647361E-01	2.8309404692E-01	2.5711275090E-01	1.7235815612E00	1.7356050934E00	1.6663562740E00	1.7126377390E00	1.7087380003E00	1.5285018769E00	1.1230396632E00	2.0000000000E00	5.6559621911E-01	1.8154008868E00	2.0000000000E00	1.8162509277E00	1.8062195407E00	1.8142514798E00	1.8007553529E00	1.3019217911E00	
