	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	2.5535947931E-02	2.1832139301E-03	8.3916366840E-03	3.8248835993E-02	2.8655548398E-02	?	2.1196305124E-02	2.0985840726E-02	1.7176093925E-02	4.8030624640E-01	4.8038908550E-01	4.7968760137E-01	4.7972292810E-01	?	4.7996529864E-01	4.7996762105E-01	4.8006229055E-01	1.2468635249E-01	1.3091184841E-01	1.3679283685E-01	1.4764130324E-01	1.4164715482E-01	4.5006993764E-01	4.5170537132E-01	4.4769602571E-01	4.5053120290E-01	4.4957310134E-01	4.2197788248E-01	3.5236249786E-01	1.0126008458E130	3.6083495708E-01	4.6229794647E-01	5.4844826361E125	4.6240840148E-01	4.6066960132E-01	4.6214851330E-01	4.6038713514E-01	3.8518301068E-01	
Target (LIBOR)	2.5535947931E-02	0.0000000000E00	2.5320807293E-02	3.3635784406E-02	1.7784722825E-02	8.8562278845E-03	?	3.4565379114E-02	3.4748779962E-02	3.7736844510E-02	5.0584219433E-01	5.0592503343E-01	5.0522354930E-01	5.0525887603E-01	?	5.0550124657E-01	5.0550356898E-01	5.0559823848E-01	1.3657477151E-01	1.4510064047E-01	1.5129774655E-01	1.6298125235E-01	1.5789751890E-01	4.7560588557E-01	4.7724131925E-01	4.7323197365E-01	4.7606715083E-01	4.7510904927E-01	4.4751383041E-01	3.7789844579E-01	1.0126008458E130	3.3529900915E-01	4.8783389440E-01	5.4844826361E125	4.8794434941E-01	4.8620554925E-01	4.8768446123E-01	4.8592308307E-01	4.1071895861E-01	
Caplet Vola Analytic Single-Curve	2.1832139301E-03	2.5320807293E-02	0.0000000000E00	8.7237514510E-03	3.8033695356E-02	2.8440407760E-02	?	2.0986025183E-02	2.0775560785E-02	1.7294808126E-02	4.8052138703E-01	4.8060422614E-01	4.7990274201E-01	4.7993806873E-01	?	4.8018043928E-01	4.8018276168E-01	4.8027743118E-01	1.2426964709E-01	1.3076825443E-01	1.3647622453E-01	1.4732489295E-01	1.4112855060E-01	4.5028507828E-01	4.5192051195E-01	4.4791116635E-01	4.5074634354E-01	4.4978824198E-01	4.2219302311E-01	3.5257763850E-01	1.0126008458E130	3.6061981644E-01	4.6251308711E-01	5.4844826361E125	4.6262354212E-01	4.6088474196E-01	4.6236365394E-01	4.6060227578E-01	3.8539815132E-01	
Caplet Vola Monte-Carlo Single-Curve	8.3916366840E-03	3.3635784406E-02	8.7237514510E-03	0.0000000000E00	4.6348672469E-02	3.6755384873E-02	?	2.2292292553E-02	2.2080995539E-02	1.2252240730E-02	4.7220640992E-01	4.7228924902E-01	4.7158776489E-01	4.7162309162E-01	?	4.7186546216E-01	4.7186778457E-01	4.7196245407E-01	1.2195918556E-01	1.2711437094E-01	1.3258974989E-01	1.4309318556E-01	1.3688942531E-01	4.4197010117E-01	4.4360553484E-01	4.3959618924E-01	4.4243136643E-01	4.4147326486E-01	4.1387804600E-01	3.4426266138E-01	1.0126008458E130	3.6893479356E-01	4.5419811000E-01	5.4844826361E125	4.5430856501E-01	4.5256976485E-01	4.5404867682E-01	4.5228729866E-01	3.7708317420E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	3.8248835993E-02	1.7784722825E-02	3.8033695356E-02	4.6348672469E-02	0.0000000000E00	1.0221974738E-02	?	4.6493757832E-02	4.6677158680E-02	4.9149911751E-02	5.1855508239E-01	5.1863792149E-01	5.1793643736E-01	5.1797176409E-01	?	5.1821413463E-01	5.1821645704E-01	5.1831112654E-01	1.5027026197E-01	1.5852769170E-01	1.6382776566E-01	1.7578436313E-01	1.6968010190E-01	4.8831877364E-01	4.8995420731E-01	4.8594486171E-01	4.8878003890E-01	4.8782193733E-01	4.6022671847E-01	3.9061133385E-01	1.0126008458E130	3.2258612109E-01	5.0054678247E-01	5.4844826361E125	5.0065723748E-01	4.9891843731E-01	5.0039734929E-01	4.9863597113E-01	4.2343184667E-01	
Caplet Vola Analytic Multi-Curve Ju	2.8655548398E-02	8.8562278845E-03	2.8440407760E-02	3.6755384873E-02	1.0221974738E-02	0.0000000000E00	?	3.6900470236E-02	3.7083871084E-02	3.9556624156E-02	5.0896179480E-01	5.0904463390E-01	5.0834314977E-01	5.0837847649E-01	?	5.0862084704E-01	5.0862316944E-01	5.0871783894E-01	1.4168708852E-01	1.4966912157E-01	1.5537298410E-01	1.6707282667E-01	1.6139475333E-01	4.7872548604E-01	4.8036091972E-01	4.7635157411E-01	4.7918675130E-01	4.7822864974E-01	4.5063343087E-01	3.8101804626E-01	1.0126008458E130	3.3217940868E-01	4.9095349487E-01	5.4844826361E125	4.9106394988E-01	4.8932514972E-01	4.9080406170E-01	4.8904268354E-01	4.1383855908E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.1196305124E-02	3.4565379114E-02	2.0986025183E-02	2.2292292553E-02	4.6493757832E-02	3.6900470236E-02	?	0.0000000000E00	2.1467095522E-04	1.7816709466E-02	4.7206132456E-01	4.7214416366E-01	4.7144267953E-01	4.7147800626E-01	?	4.7172037680E-01	4.7172269921E-01	4.7181736871E-01	1.1395410495E-01	1.1968671375E-01	1.2301976885E-01	1.3407662889E-01	1.2805806062E-01	4.4182501580E-01	4.4346044948E-01	4.3945110388E-01	4.4228628107E-01	4.4132817950E-01	4.1373296064E-01	3.4411757602E-01	1.0126008458E130	3.6907987892E-01	4.5405302463E-01	5.4844826361E125	4.5416347965E-01	4.5242467948E-01	4.5390359146E-01	4.5214221330E-01	3.7693808884E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.0985840726E-02	3.4748779962E-02	2.0775560785E-02	2.2080995539E-02	4.6677158680E-02	3.7083871084E-02	?	2.1467095522E-04	0.0000000000E00	1.7610638059E-02	4.7187792371E-01	4.7196076281E-01	4.7125927868E-01	4.7129460541E-01	?	4.7153697595E-01	4.7153929836E-01	4.7163396786E-01	1.1388694181E-01	1.1961697743E-01	1.2295983708E-01	1.3401669712E-01	1.2798143621E-01	4.4164161496E-01	4.4327704863E-01	4.3926770303E-01	4.4210288022E-01	4.4114477865E-01	4.1354955979E-01	3.4393417517E-01	1.0126008458E130	3.6926327977E-01	4.5386962379E-01	5.4844826361E125	4.5398007880E-01	4.5224127863E-01	4.5372019061E-01	4.5195881245E-01	3.7675468799E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.7176093925E-02	3.7736844510E-02	1.7294808126E-02	1.2252240730E-02	4.9149911751E-02	3.9556624156E-02	?	1.7816709466E-02	1.7610638059E-02	0.0000000000E00	4.6940517064E-01	4.6948800974E-01	4.6878652561E-01	4.6882185234E-01	?	4.6906422288E-01	4.6906654529E-01	4.6916121479E-01	1.1713980457E-01	1.2252615568E-01	1.2673392488E-01	1.3779744741E-01	1.3137883306E-01	4.3916886188E-01	4.4080429556E-01	4.3679494996E-01	4.3963012715E-01	4.3867202558E-01	4.1107680672E-01	3.4146142210E-01	1.0126008458E130	3.7173603284E-01	4.5139687072E-01	5.4844826361E125	4.5150732573E-01	4.4976852556E-01	4.5124743754E-01	4.4948605938E-01	3.7428193492E-01	
