Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
59.45	62.57	59.60	59.66	67.35	64.87	29.85	64.10	64.10	64.12	0.01	0.01	0.05	0.04	0.02	0.04	0.04	0.04	62.57	62.73	65.33	63.70	66.77	0.08	0.08	0.17	0.16	0.17	1.00	2.00	100.05	99.95	0.17	100.05	0.17	0.48	0.17	0.48	0.50	
61.17	64.39	61.12	61.40	72.94	67.02	52.08	64.11	64.11	65.38	0.03	0.03	0.08	0.07	0.06	0.07	0.07	0.07	62.97	62.79	45.62	46.39	47.76	0.52	0.52	0.55	0.56	0.58	1.00	6.00	100.14	99.86	0.26	100.14	0.26	0.57	0.26	0.57	1.00	
62.28	65.56	62.16	62.40	77.34	68.80	56.88	62.65	62.65	65.30	0.06	0.06	0.13	0.12	0.10	0.11	0.11	0.11	57.02	56.49	46.50	46.92	46.21	1.20	1.19	1.25	1.26	1.24	1.00	10.00	100.27	99.74	0.38	100.27	0.37	0.73	0.37	0.73	1.50	
62.89	66.20	62.77	62.81	72.18	66.58	55.15	56.92	56.91	60.95	0.11	0.11	0.18	0.17	0.14	0.15	0.15	0.16	48.16	47.40	41.74	41.81	41.01	1.83	1.80	1.90	1.91	1.87	1.00	14.00	100.45	99.55	0.63	100.45	0.63	0.94	0.63	0.94	2.00	
63.07	66.39	62.99	62.60	70.98	66.29	65.11	51.96	51.96	58.59	0.15	0.15	0.24	0.22	0.22	0.18	0.18	0.20	38.58	37.78	35.09	34.90	34.31	2.19	2.14	2.31	2.30	2.26	1.00	18.00	100.77	99.24	0.82	100.77	0.82	1.12	0.82	1.13	2.50	
62.91	66.22	62.89	62.37	69.69	67.02	68.00	50.93	50.92	58.72	0.21	0.20	0.29	0.28	0.28	0.22	0.22	0.25	29.40	28.69	27.82	27.46	27.14	2.25	2.19	2.41	2.38	2.35	1.00	22.00	101.20	98.83	1.01	101.19	1.01	1.30	1.01	1.30	3.00	
62.47	65.75	62.51	61.78	69.22	68.03	51.32	55.99	56.00	58.50	0.26	0.26	0.35	0.35	0.27	0.29	0.29	0.31	23.32	22.73	22.71	22.31	22.14	2.23	2.17	2.42	2.38	2.36	1.00	26.00	101.73	98.33	1.21	101.73	1.20	1.48	1.21	1.50	3.50	
61.80	65.05	61.88	60.99	68.44	67.68	10.12	59.10	59.10	60.37	0.32	0.31	0.42	0.41	0.07	0.37	0.37	0.37	19.66	19.14	19.54	19.14	19.03	2.22	2.16	2.43	2.38	2.37	1.00	30.00	102.39	97.74	1.40	102.39	1.40	1.68	1.41	1.70	4.00	
60.94	64.15	61.06	59.53	66.39	66.19	34.20	56.82	56.83	58.63	0.37	0.36	0.47	0.47	0.26	0.41	0.41	0.42	17.21	16.75	17.33	16.95	16.87	2.22	2.16	2.43	2.38	2.37	1.00	34.00	103.20	97.05	1.59	103.21	1.58	1.87	1.60	1.88	4.50	
59.95	63.11	60.08	58.12	64.96	64.75	0.00	57.95	57.95	58.06	0.42	0.41	0.52	0.52	0.00	0.47	0.47	0.48	62.73	61.49	55.28	57.62	57.43	0.57	0.56	0.62	0.64	0.64	3.50	2.00	104.22	96.28	1.76	104.25	1.75	2.03	1.78	2.06	5.00	
