	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	6.6665034943E-02	8.7197509696E-03	7.9036231009E-01	2.4341196574E00	2.4419553487E00	?	1.0606749397E00	9.7340988607E-01	4.4784184483E-01	2.4585225194E00	2.5145818368E00	2.4019550957E00	2.4025395742E00	?	2.4172338090E00	2.4192835428E00	2.4735037734E00	1.2564275799E00	1.3163565836E00	9.2387011470E-01	3.3311070734E-01	5.6822955853E-01	2.0621254189E00	2.0891226263E00	1.5307486958E00	1.7508848993E00	1.8916093748E00	2.2638070812E00	1.8755133269E00	7.7999841139E01	6.0854199774E-01	2.4516665799E00	7.7999995694E01	2.4520651800E00	2.5168458673E00	2.4500015669E00	2.4292627806E00	2.0809701324E00	
Target (LIBOR)	6.6665034943E-02	0.0000000000E00	6.8876343399E-02	8.4758385366E-01	2.3809715206E00	2.3885290950E00	?	1.0113489703E00	9.2484509182E-01	4.8164238909E-01	2.4653608084E00	2.5187607793E00	2.4111553249E00	2.4117635784E00	?	2.4257700528E00	2.4277491444E00	2.4796623363E00	1.2983574371E00	1.3573971516E00	8.7808340937E-01	2.7326195805E-01	5.9708725753E-01	2.0788179071E00	2.1048428106E00	1.5608860027E00	1.7769876205E00	1.9140381728E00	2.2787626826E00	1.8991577803E00	7.7999841139E01	5.5096720760E-01	2.4587626195E00	7.7999995694E01	2.4591425584E00	2.5209391759E00	2.4569370466E00	2.4373748657E00	2.1023510595E00	
Caplet Vola Analytic Single-Curve	8.7197509696E-03	6.8876343399E-02	0.0000000000E00	7.8699187760E-01	2.4300371695E00	2.4378587857E00	?	1.0549582464E00	9.6758602244E-01	4.5281443977E-01	2.4543462042E00	2.5103264600E00	2.3976945154E00	2.3983297943E00	?	2.4129472481E00	2.4150139403E00	2.4692889027E00	1.2592773903E00	1.3192705952E00	9.1827430712E-01	3.3991082484E-01	5.7362878951E-01	2.0667843659E00	2.0938302425E00	1.5344146060E00	1.7550068754E00	1.8960064598E00	2.2600561501E00	1.8789807585E00	7.7999841139E01	6.0612040339E-01	2.4475382830E00	7.7999995694E01	2.4479364601E00	2.5125617748E00	2.4456259195E00	2.4251319224E00	2.0760857253E00	
Caplet Vola Monte-Carlo Single-Curve	7.9036231009E-01	8.4758385366E-01	7.8699187760E-01	0.0000000000E00	2.9069955024E00	2.9175399454E00	?	1.5242292724E00	1.4313947074E00	9.5887869058E-01	2.1543731114E00	2.2489688978E00	2.0667449547E00	2.0678232182E00	?	2.0886596617E00	2.0917000201E00	2.1747584684E00	7.0941213491E-01	7.7094594108E-01	1.3517776765E00	1.0331206087E00	1.0820667688E00	1.7148823357E00	1.7579534806E00	1.3977491799E00	1.2982277948E00	1.4666629062E00	1.9014143423E00	1.5081864080E00	7.7999841139E01	1.2363234379E00	2.1436252673E00	7.7999995694E01	2.1440051850E00	2.2421227266E00	2.1402495641E00	2.1089806458E00	1.6206765544E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.4341196574E00	2.3809715206E00	2.4300371695E00	2.9069955024E00	0.0000000000E00	1.8686164094E-02	?	1.4854912139E00	1.5694145102E00	2.7744063073E00	3.7610058657E00	3.7877744443E00	3.7123146623E00	3.7126270306E00	?	3.7226346825E00	3.7243373919E00	3.7829128191E00	2.9357256552E00	3.0011766221E00	1.5415639442E00	2.3352684994E00	2.7852338852E00	3.5181092971E00	3.5437823589E00	3.0089803087E00	3.2507564156E00	3.4409013862E00	3.4281139829E00	3.4015803753E00	7.7999841139E01	1.7411936036E00	3.7290287511E00	7.7999995694E01	3.7279867809E00	3.8161653142E00	3.7277810008E00	3.7219384900E00	3.2903582460E00	
Caplet Vola Analytic Multi-Curve Ju	2.4419553487E00	2.3885290950E00	2.4378587857E00	2.9175399454E00	1.8686164094E-02	0.0000000000E00	?	1.4896509068E00	1.5738651321E00	2.7838431085E00	3.7773545177E00	3.8043200756E00	3.7283245737E00	3.7286396422E00	?	3.7387287635E00	3.7404439515E00	3.7994040500E00	2.9465653472E00	3.0124059595E00	1.5458362689E00	2.3426684455E00	2.7947086685E00	3.5326823473E00	3.5585366504E00	3.0199891397E00	3.2634065630E00	3.4547378235E00	3.4425209447E00	3.4151898812E00	7.7999841139E01	1.7458640816E00	3.7451720268E00	7.7999995694E01	3.7441259226E00	3.8328753594E00	3.7439166257E00	3.7380276934E00	3.3038274606E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0606749397E00	1.0113489703E00	1.0549582464E00	1.5242292724E00	1.4854912139E00	1.4896509068E00	?	0.0000000000E00	9.0021006398E-02	1.4541926101E00	2.5329749585E00	2.5691950046E00	2.4655297921E00	2.4658880214E00	?	2.4780756502E00	2.4803401678E00	2.5649720465E00	1.5305072300E00	1.6041766628E00	1.8185244332E-01	9.4850448124E-01	1.4701679197E00	2.2443063003E00	2.2686714499E00	1.7719465601E00	1.9949192807E00	2.1569097444E00	2.0374303386E00	2.1276672380E00	7.7999841139E01	4.6288280818E-01	2.4862782981E00	7.7999995694E01	2.4844241566E00	2.6136318302E00	2.4844167048E00	2.4771203056E00	1.8678637915E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.7340988607E-01	9.2484509182E-01	9.6758602244E-01	1.4313947074E00	1.5694145102E00	1.5738651321E00	?	9.0021006398E-02	0.0000000000E00	1.3685546611E00	2.4423941677E00	2.4790928888E00	2.3738963802E00	2.3742531685E00	?	2.3864725551E00	2.3887635107E00	2.4750460924E00	1.4351754102E00	1.5087866431E00	2.2615296823E-01	8.6089938939E-01	1.3848865088E00	2.1582482852E00	2.1826413898E00	1.6895351614E00	1.9102768803E00	2.0663311252E00	1.9357964074E00	2.0430280075E00	7.7999841139E01	4.7060126712E-01	2.3947410144E00	7.7999995694E01	2.3928188099E00	2.5247082761E00	2.3928376841E00	2.3855031363E00	1.7654127696E00	
Caplet Vola Monte-Carlo Multi-Curve	4.4784184483E-01	4.8164238909E-01	4.5281443977E-01	9.5887869058E-01	2.7744063073E00	2.7838431085E00	?	1.4541926101E00	1.3685546611E00	0.0000000000E00	3.1564564028E00	3.2400074763E00	3.0671565115E00	3.0682328205E00	?	3.0914657078E00	3.0947596218E00	3.1807743105E00	1.4923910915E00	1.5694914228E00	1.2987670772E00	6.9844214214E-01	4.7433428374E-01	2.6069260174E00	2.6478747610E00	1.8438301651E00	2.1546556784E00	2.3596250253E00	2.8555863605E00	2.3144973070E00	7.7999841139E01	9.0750488153E-01	3.1366013792E00	7.7999995694E01	3.1369587202E00	3.2450146539E00	3.1336464072E00	3.1061838872E00	2.5632744350E00	
Caplet Value Analytic Single-Curve	2.4585225194E00	2.4653608084E00	2.4543462042E00	2.1543731114E00	3.7610058657E00	3.7773545177E00	?	2.5329749585E00	2.4423941677E00	3.1564564028E00	0.0000000000E00	5.5992843312E-01	7.2499774079E-01	7.2664738447E-01	?	5.7980653056E-01	5.6874226340E-01	5.4645514705E-01	2.6035692491E00	2.6255679421E00	2.2756051826E00	2.7290878734E00	3.3057505404E00	2.3863047901E00	2.2899287612E00	4.4442612398E00	3.3426445196E00	3.3290916515E00	3.5908763426E00	4.2905765918E00	7.7999841139E01	2.3033239363E00	5.7973710942E-01	7.7999995694E01	6.0762699627E-01	1.4894707162E00	5.7927266176E-01	6.0709141179E-01	3.0615019245E00	
Caplet Value Monte-Carlo Single-Curve	2.5145818368E00	2.5187607793E00	2.5103264600E00	2.2489688978E00	3.7877744443E00	3.8043200756E00	?	2.5691950046E00	2.4790928888E00	3.2400074763E00	5.5992843312E-01	0.0000000000E00	1.2001314297E00	1.2030763051E00	?	1.0083939651E00	9.9737374728E-01	7.2200169709E-01	2.7263282196E00	2.7254214519E00	2.3087075407E00	2.7928709619E00	3.3822886084E00	2.6860372152E00	2.6069508582E00	4.5964336236E00	3.5416855610E00	3.5988955523E00	4.0583602480E00	4.5902172445E00	7.7999841139E01	2.3267485950E00	1.0903369898E00	7.7999995694E01	1.0960130249E00	1.3863922414E00	1.0818695956E00	1.0921002371E00	3.3427401246E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.4019550957E00	2.4111553249E00	2.3976945154E00	2.0667449547E00	3.7123146623E00	3.7283245737E00	?	2.4655297921E00	2.3738963802E00	3.0671565115E00	7.2499774079E-01	1.2001314297E00	0.0000000000E00	1.9879799038E-02	?	2.9468453821E-01	3.2416268795E-01	1.1823223642E00	2.4758363203E00	2.5133409718E00	2.2133569831E00	2.6567946813E00	3.2165700345E00	1.8853937463E00	1.7646156846E00	4.1748477517E00	3.0693681607E00	3.0541131415E00	2.8886612758E00	3.9646915198E00	7.7999841139E01	2.2742118619E00	2.9125423533E-01	7.7999995694E01	3.2965331924E-01	1.8815303039E00	3.0562501374E-01	2.1419560140E-01	2.6050667156E00	
Caplet Value Analytic Multi-Curve Ju	2.4025395742E00	2.4117635784E00	2.3983297943E00	2.0678232182E00	3.7126270306E00	3.7286396422E00	?	2.4658880214E00	2.3742531685E00	3.0682328205E00	7.2664738447E-01	1.2030763051E00	1.9879799038E-02	0.0000000000E00	?	2.9489354862E-01	3.2443781444E-01	1.1855699510E00	2.4790190912E00	2.5144560740E00	2.2136699626E00	2.6588659698E00	3.2174789263E00	1.8873228931E00	1.7665446991E00	4.1764577136E00	3.0732359928E00	3.0591832107E00	2.8922696310E00	3.9701758449E00	7.7999841139E01	2.2745099575E00	2.8436341755E-01	7.7999995694E01	3.2297195846E-01	1.8875614234E00	3.0100996488E-01	2.1042265257E-01	2.6073842490E00	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.4172338090E00	2.4257700528E00	2.4129472481E00	2.0886596617E00	3.7226346825E00	3.7387287635E00	?	2.4780756502E00	2.3864725551E00	3.0914657078E00	5.7980653056E-01	1.0083939651E00	2.9468453821E-01	2.9489354862E-01	?	0.0000000000E00	3.2937862799E-02	1.0332142630E00	2.5095638001E00	2.5451548905E00	2.2245214449E00	2.6770969996E00	3.2420217890E00	2.0290731369E00	1.9033894868E00	4.2726224049E00	3.1496448395E00	3.1254046115E00	3.0159748026E00	4.0518603524E00	7.7999841139E01	2.2827713559E00	2.8896790381E-01	7.7999995694E01	2.9416858185E-01	1.8972055647E00	2.8780150113E-01	1.3335730328E-01	2.6872488558E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	2.4192835428E00	2.4277491444E00	2.4150139403E00	2.0917000201E00	3.7243373919E00	3.7404439515E00	?	2.4803401678E00	2.3887635107E00	3.0947596218E00	5.6874226340E-01	9.9737374728E-01	3.2416268795E-01	3.2443781444E-01	?	3.2937862799E-02	0.0000000000E00	1.0207421865E00	2.5141525696E00	2.5493808661E00	2.2265899689E00	2.6797359779E00	3.2453892130E00	2.0515176291E00	1.9264874282E00	4.2841346819E00	3.1610029272E00	3.1352950995E00	3.0387826990E00	4.0638078226E00	7.7999841139E01	2.2838913669E00	2.9145357335E-01	7.7999995694E01	2.9670307848E-01	1.9004088236E00	2.9026680717E-01	1.5318496324E-01	2.7021716039E00	
Caplet Value Monte-Carlo Multi-Curve	2.4735037734E00	2.4796623363E00	2.4692889027E00	2.1747584684E00	3.7829128191E00	3.7994040500E00	?	2.5649720465E00	2.4750460924E00	3.1807743105E00	5.4645514705E-01	7.2200169709E-01	1.1823223642E00	1.1855699510E00	?	1.0332142630E00	1.0207421865E00	0.0000000000E00	2.6333414901E00	2.6613470022E00	2.3054808672E00	2.7454435258E00	3.3331396104E00	2.6550587415E00	2.5758719032E00	4.5568533937E00	3.4323779040E00	3.4060331503E00	3.9642006822E00	4.3888718387E00	7.7999841139E01	2.3124137680E00	1.0890740849E00	7.7999995694E01	1.1201770976E00	1.0402083064E00	1.0940488065E00	1.0966683414E00	3.2959451474E00	
Swaption Vola Analytic Single-Curve	1.2564275799E00	1.2983574371E00	1.2592773903E00	7.0941213491E-01	2.9357256552E00	2.9465653472E00	?	1.5305072300E00	1.4351754102E00	1.4923910915E00	2.6035692491E00	2.7263282196E00	2.4758363203E00	2.4790190912E00	?	2.5095638001E00	2.5141525696E00	2.6333414901E00	0.0000000000E00	1.5493116889E-01	1.3710168505E00	1.4051051705E00	1.2264398942E00	2.0894025975E00	2.1442180158E00	1.9109532077E00	1.5661787568E00	1.7810942872E00	2.1468136316E00	1.8197127510E00	7.7999841139E01	1.5008101407E00	2.5643624768E00	7.7999995694E01	2.5645950233E00	2.7148127600E00	2.5563628766E00	2.5204098086E00	1.9237216224E00	
Swaption Vola Monte-Carlo Single-Curve	1.3163565836E00	1.3573971516E00	1.3192705952E00	7.7094594108E-01	3.0011766221E00	3.0124059595E00	?	1.6041766628E00	1.5087866431E00	1.5694914228E00	2.6255679421E00	2.7254214519E00	2.5133409718E00	2.5144560740E00	?	2.5451548905E00	2.5493808661E00	2.6613470022E00	1.5493116889E-01	0.0000000000E00	1.4293801412E00	1.4668593383E00	1.3018669611E00	2.0242990594E00	2.0812868858E00	2.0550097805E00	1.4888920469E00	1.7058510279E00	2.2031340781E00	1.7481541290E00	7.7999841139E01	1.5453953911E00	2.6080794281E00	7.7999995694E01	2.6088527359E00	2.7471775896E00	2.6063464839E00	2.5640435152E00	1.9599616937E00	
Swaption Vola Analytic Multi-Curve Drift-Freeze	9.2387011470E-01	8.7808340937E-01	9.1827430712E-01	1.3517776765E00	1.5415639442E00	1.5458362689E00	?	1.8185244332E-01	2.2615296823E-01	1.2987670772E00	2.2756051826E00	2.3087075407E00	2.2133569831E00	2.2136699626E00	?	2.2245214449E00	2.2265899689E00	2.3054808672E00	1.3710168505E00	1.4293801412E00	0.0000000000E00	8.4516393957E-01	1.3144193149E00	1.9920223316E00	2.0214441065E00	1.5389119656E00	1.7335523465E00	1.9393819394E00	1.9971612571E00	1.8884447536E00	7.7999841139E01	4.0451398630E-01	2.2319345139E00	7.7999995694E01	2.2301203657E00	2.3508566650E00	2.2301825221E00	2.2236410986E00	1.8334515543E00	
Swaption Vola Analytic Multi-Curve Integrated-Expectation	3.3311070734E-01	2.7326195805E-01	3.3991082484E-01	1.0331206087E00	2.3352684994E00	2.3426684455E00	?	9.4850448124E-01	8.6089938939E-01	6.9844214214E-01	2.7290878734E00	2.7928709619E00	2.6567946813E00	2.6588659698E00	?	2.6770969996E00	2.6797359779E00	2.7454435258E00	1.4051051705E00	1.4668593383E00	8.4516393957E-01	0.0000000000E00	6.0491815299E-01	2.3296445738E00	2.3632248241E00	1.7325779431E00	1.9725446327E00	2.1307308769E00	2.4581169979E00	2.1498904019E00	7.7999841139E01	6.9771343740E-01	2.7030413732E00	7.7999995694E01	2.7038160842E00	2.7866595342E00	2.6995448803E00	2.6809948296E00	2.2514472799E00	
Swaption Vola Monte-Carlo Multi-Curve	5.6822955853E-01	5.9708725753E-01	5.7362878951E-01	1.0820667688E00	2.7852338852E00	2.7947086685E00	?	1.4701679197E00	1.3848865088E00	4.7433428374E-01	3.3057505404E00	3.3822886084E00	3.2165700345E00	3.2174789263E00	?	3.2420217890E00	3.2453892130E00	3.3331396104E00	1.2264398942E00	1.3018669611E00	1.3144193149E00	6.0491815299E-01	0.0000000000E00	2.7431148903E00	2.7898405126E00	1.9036764555E00	2.2247236809E00	2.4363370853E00	2.9678167825E00	2.4052713363E00	7.7999841139E01	9.9453022013E-01	3.2895258056E00	7.7999995694E01	3.2903545447E00	3.3990788870E00	3.2880274190E00	3.2567317504E00	2.7237276579E00	
Swaption Value Analytic Single-Curve	2.0621254189E00	2.0788179071E00	2.0667843659E00	1.7148823357E00	3.5181092971E00	3.5326823473E00	?	2.2443063003E00	2.1582482852E00	2.6069260174E00	2.3863047901E00	2.6860372152E00	1.8853937463E00	1.8873228931E00	?	2.0290731369E00	2.0515176291E00	2.6550587415E00	2.0894025975E00	2.0242990594E00	1.9920223316E00	2.3296445738E00	2.7431148903E00	0.0000000000E00	1.8025939339E-01	2.9376754290E00	2.0315374309E00	1.7811890687E00	1.8593931253E00	2.5015488946E00	7.7999841139E01	2.1331496161E00	2.0510049318E00	7.7999995694E01	2.0398825376E00	3.0430088941E00	2.0414905127E00	1.9901081693E00	1.8134810846E00	
Swaption Value Monte-Carlo Single-Curve	2.0891226263E00	2.1048428106E00	2.0938302425E00	1.7579534806E00	3.5437823589E00	3.5585366504E00	?	2.2686714499E00	2.1826413898E00	2.6478747610E00	2.2899287612E00	2.6069508582E00	1.7646156846E00	1.7665446991E00	?	1.9033894868E00	1.9264874282E00	2.5758719032E00	2.1442180158E00	2.0812868858E00	2.0214441065E00	2.3632248241E00	2.7898405126E00	1.8025939339E-01	0.0000000000E00	3.0816924309E00	2.1220769764E00	1.8844981931E00	1.9850188020E00	2.6257658659E00	7.7999841139E01	2.1501314554E00	1.9358903752E00	7.7999995694E01	1.9239325213E00	2.9911808051E00	1.9259107358E00	1.8729251085E00	1.9110189972E00	
Swaption Value Analytic Multi-Curve Drift-Freeze	1.5307486958E00	1.5608860027E00	1.5344146060E00	1.3977491799E00	3.0089803087E00	3.0199891397E00	?	1.7719465601E00	1.6895351614E00	1.8438301651E00	4.4442612398E00	4.5964336236E00	4.1748477517E00	4.1764577136E00	?	4.2726224049E00	4.2841346819E00	4.5568533937E00	1.9109532077E00	2.0550097805E00	1.5389119656E00	1.7325779431E00	1.9036764555E00	2.9376754290E00	3.0816924309E00	0.0000000000E00	1.5653223817E00	2.4504855463E00	3.5889155290E00	1.9698482388E00	7.7999841139E01	1.7619991669E00	4.2817060716E00	7.7999995694E01	4.2857707322E00	4.7016901559E00	4.2800421388E00	4.2501177925E00	2.9371756509E00	
Swaption Value Analytic Multi-Curve Integrated-Expectation	1.7508848993E00	1.7769876205E00	1.7550068754E00	1.2982277948E00	3.2507564156E00	3.2634065630E00	?	1.9949192807E00	1.9102768803E00	2.1546556784E00	3.3426445196E00	3.5416855610E00	3.0693681607E00	3.0732359928E00	?	3.1496448395E00	3.1610029272E00	3.4323779040E00	1.5661787568E00	1.4888920469E00	1.7335523465E00	1.9725446327E00	2.2247236809E00	2.0315374309E00	2.1220769764E00	1.5653223817E00	0.0000000000E00	1.0286909160E00	2.7078550484E00	6.3578431902E-01	7.7999841139E01	1.9257583978E00	3.2107484385E00	7.7999995694E01	3.2122214476E00	3.5772819176E00	3.1998915335E00	3.1429115361E00	2.0879349562E00	
