	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.1282051282E-02	4.4987766414E-03	5.2876300902E-01	3.4515395537E-01	2.8905432425E-01	?	1.2937505645E-01	1.2133657727E-01	1.2831935213E-01	1.8618452299E00	1.9125019175E00	1.8149513855E00	1.8215259994E00	?	1.8436534950E00	1.8447711568E00	1.8468982157E00	6.2523633725E-01	7.0092536618E-01	3.2946407803E-01	3.3706049965E-01	3.2849065693E-01	1.4138192424E00	1.4570762532E00	1.1080681814E00	1.1874339630E00	1.1442870600E00	1.5389752351E00	1.1403252068E00	2.0000000000E00	5.4211942888E-01	1.8201084924E00	2.0000000000E00	1.8203439295E00	1.7986241038E00	1.8187036297E00	1.8055144931E00	1.3164531562E00	
Target (LIBOR)	5.1282051282E-02	0.0000000000E00	5.0839016900E-02	5.7613940383E-01	2.9785079030E-01	2.4146521668E-01	?	1.0891217656E-01	1.0133251110E-01	1.1671143519E-01	1.8685259213E00	1.9167858081E00	1.8237962379E00	1.8300705997E00	?	1.8511799767E00	1.8522459027E00	1.8542744193E00	6.7113864153E-01	7.4550811555E-01	3.4324454016E-01	3.6275424374E-01	3.4420205324E-01	1.4390178183E00	1.4806981744E00	1.1431111924E00	1.2201411800E00	1.1782832867E00	1.5594878859E00	1.1744375056E00	2.0000000000E00	4.9427269596E-01	1.8287179154E00	2.0000000000E00	1.8289425893E00	1.8082101254E00	1.8273772497E00	1.8147885066E00	1.3450342513E00	
Caplet Vola Analytic Single-Curve	4.4987766414E-03	5.0839016900E-02	0.0000000000E00	5.2917532096E-01	3.4485902098E-01	2.8875977108E-01	?	1.2912029123E-01	1.2108238408E-01	1.2734938757E-01	1.8619043496E00	1.9125398509E00	1.8150296110E00	1.8216015755E00	?	1.8437200843E00	1.8448372893E00	1.8469634780E00	6.2563630682E-01	7.0131420852E-01	3.2679282456E-01	3.3537912023E-01	3.2542486898E-01	1.4140409929E00	1.4572842412E00	1.1083753872E00	1.1877209771E00	1.1445852244E00	1.5391560309E00	1.1406243744E00	2.0000000000E00	5.4170865333E-01	1.8201846406E00	2.0000000000E00	1.8204199827E00	1.7987088671E00	1.8187803443E00	1.8055965046E00	1.3167043676E00	
Caplet Vola Monte-Carlo Single-Curve	5.2876300902E-01	5.7613940383E-01	5.2917532096E-01	0.0000000000E00	8.3562491356E-01	7.8623811309E-01	?	6.2974135106E-01	6.2223062451E-01	6.1516149069E-01	1.7682919830E00	1.8519363115E00	1.6921745334E00	1.7027714386E00	?	1.7386152671E00	1.7404330994E00	1.7438946392E00	2.3153473724E-01	2.4350173736E-01	4.1930833076E-01	3.5979265887E-01	3.9973778805E-01	1.0884879062E00	1.1497734065E00	6.9684840514E-01	7.8131172835E-01	7.2881041584E-01	1.2682159065E00	7.2127887477E-01	2.0000000000E00	9.9927147145E-01	1.7004846623E00	2.0000000000E00	1.7008644002E00	1.6659628847E00	1.6982193972E00	1.6770065191E00	9.5364650990E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	3.4515395537E-01	2.9785079030E-01	3.4485902098E-01	8.3562491356E-01	0.0000000000E00	5.9092794223E-02	?	2.3707202032E-01	2.4527736742E-01	2.5708826992E-01	1.9014920323E00	1.9378455447E00	1.8675941010E00	1.8723609431E00	?	1.8883699444E00	1.8891771619E00	1.8907130334E00	9.2056566496E-01	9.8627364784E-01	5.1159734990E-01	5.9606702449E-01	5.4509991548E-01	1.5676434030E00	1.6008761516E00	1.3262927714E00	1.3900512455E00	1.3554877403E00	1.6631965238E00	1.3523022960E00	2.0000000000E00	2.0682134882E-01	1.8713335924E00	2.0000000000E00	1.8715042425E00	1.8557359672E00	1.8703151915E00	1.8607438245E00	1.4920259849E00	
Caplet Vola Analytic Multi-Curve Ju	2.8905432425E-01	2.4146521668E-01	2.8875977108E-01	7.8623811309E-01	5.9092794223E-02	0.0000000000E00	?	1.7860475569E-01	1.8686167231E-01	2.0088872478E-01	1.8956501733E00	1.9341231709E00	1.8598142104E00	1.8648513546E00	?	1.8817734821E00	1.8826269600E00	1.8842509076E00	8.7335017049E-01	9.4089001292E-01	4.5890925306E-01	5.4352770206E-01	4.9172842553E-01	1.5443155789E00	1.5791298756E00	1.2925251810E00	1.3588633947E00	1.3228855838E00	1.6445105586E00	1.3195716810E00	2.0000000000E00	2.6510414045E-01	1.8637656866E00	2.0000000000E00	1.8639460213E00	1.8472868294E00	1.8626895099E00	1.8525767687E00	1.4652297798E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2937505645E-01	1.0891217656E-01	1.2912029123E-01	6.2974135106E-01	2.3707202032E-01	1.7860475569E-01	?	0.0000000000E00	8.4930168462E-03	1.0141685516E-01	1.8758205612E00	1.9214571853E00	1.8334658006E00	1.8394103036E00	?	1.8594020520E00	1.8604112218E00	1.8623316429E00	7.2293716161E-01	7.9571471044E-01	3.2618707602E-01	3.8410502830E-01	3.3997571235E-01	1.4668588476E00	1.5067673238E00	1.1821453256E00	1.2564963892E00	1.2161148008E00	1.5820766668E00	1.2124022018E00	2.0000000000E00	4.3851806351E-01	1.8381288238E00	2.0000000000E00	1.8383416744E00	1.8186944545E00	1.8368586809E00	1.8249297559E00	1.3766942128E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2133657727E-01	1.0133251110E-01	1.2108238408E-01	6.2223062451E-01	2.4527736742E-01	1.8686167231E-01	?	8.4930168462E-03	0.0000000000E00	1.0019363454E-01	1.8748147669E00	1.9208134740E00	1.8321318111E00	1.8381219207E00	?	1.8582681386E00	1.8592851506E00	1.8612205068E00	7.1568778571E-01	7.8869468213E-01	3.2340555887E-01	3.7835126406E-01	3.3548211890E-01	1.4629995954E00	1.5031555563E00	1.1767145377E00	1.2514431744E00	1.2108536410E00	1.5789501499E00	1.2071222675E00	2.0000000000E00	4.4643693650E-01	1.8368305968E00	2.0000000000E00	1.8370450820E00	1.8172477829E00	1.8355507036E00	1.8235305378E00	1.3723004568E00	
Caplet Vola Monte-Carlo Multi-Curve	1.2831935213E-01	1.1671143519E-01	1.2734938757E-01	6.1516149069E-01	2.5708826992E-01	2.0088872478E-01	?	1.0141685516E-01	1.0019363454E-01	0.0000000000E00	1.8738633113E00	1.9202044265E00	1.8308701085E00	1.8369033238E00	?	1.8571955570E00	1.8582199826E00	1.8601694581E00	7.0886206259E-01	7.8208295590E-01	3.4033854028E-01	3.9145941714E-01	3.4703173288E-01	1.4593549028E00	1.4997440366E00	1.1715916024E00	1.2466749712E00	1.2058900346E00	1.5759960735E00	1.2021410232E00	2.0000000000E00	4.5385814317E-01	1.8356026953E00	2.0000000000E00	1.8358187256E00	1.8158795864E00	1.8343135865E00	1.8222071871E00	1.3681524952E00	
