	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.4014319262E-02	4.9956901001E-01	4.6104500911E-01	?	?	4.3709717538E-01	3.3517150574E-01	3.3517150574E-01	3.0625609745E-01	1.0179466558E00	1.0181998799E00	?	?	1.0173972477E00	1.0173298782E00	1.0173298782E00	1.0180282842E00	2.2074168866E-01	?	1.7079600772E-01	1.3962988130E-01	?	9.4369673024E-01	?	9.3502885149E-01	9.4077264687E-01	?	9.7184601892E-01	9.0068232494E-01	?	1.8607613889E-01	1.0053237658E00	?	1.0054649431E00	1.0047994323E00	1.0049092521E00	1.0030092973E00	9.3936325566E-01	
Target (LIBOR)	5.4014319262E-02	0.0000000000E00	4.4936569014E-01	4.5259991725E-01	?	?	4.0077289783E-01	2.8374234732E-01	2.8374234732E-01	2.9331949303E-01	1.0719605023E00	1.0722136786E00	?	?	1.0714111243E00	1.0713437381E00	1.0713437381E00	1.0720421582E00	1.9835438643E-01	?	1.4414558938E-01	1.4208139879E-01	?	9.9757601929E-01	?	9.8888617016E-01	9.9465581251E-01	?	1.0257827207E00	9.5441921861E-01	?	2.3751777410E-01	1.0593338995E00	?	1.0594751057E00	1.0588101365E00	1.0589197598E00	1.0570201550E00	9.9322885462E-01	
Caplet Vola Analytic Single-Curve	4.9956901001E-01	4.4936569014E-01	0.0000000000E00	5.8451853679E-01	?	?	3.5924497688E-01	2.3760849460E-01	2.3760849460E-01	4.5878950097E-01	1.4966111036E00	1.4968760786E00	?	?	1.4960508849E00	1.4959957641E00	1.4959957641E00	1.4966642130E00	4.6293450778E-01	?	4.5537204207E-01	5.1920778548E-01	?	1.4239958122E00	?	1.4151881723E00	1.4208554898E00	?	1.4530369781E00	1.3769970697E00	?	6.7355302017E-01	1.4847779392E00	?	1.4849218573E00	1.4841460407E00	1.4843342708E00	1.4824061240E00	1.4220978589E00	
Caplet Vola Monte-Carlo Single-Curve	4.6104500911E-01	4.5259991725E-01	5.8451853679E-01	0.0000000000E00	?	?	5.1437911788E-01	5.4304001938E-01	5.4304001938E-01	4.9731495942E-01	1.2042618789E00	1.2045308305E00	?	?	1.2037175840E00	1.2036653676E00	1.2036653676E00	1.2043333074E00	5.1061484222E-01	?	5.1486921656E-01	5.1436287897E-01	?	1.1373768346E00	?	1.1291335738E00	1.1345107497E00	?	1.1713723547E00	1.0962158182E00	?	5.4341104094E-01	1.1937868220E00	?	1.1938724397E00	1.1931580041E00	1.1932955420E00	1.1914349550E00	1.1443491622E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	4.3709717538E-01	4.0077289783E-01	3.5924497688E-01	5.1437911788E-01	?	?	0.0000000000E00	3.2689672628E-01	3.2689672628E-01	4.9124924489E-01	1.3625244456E00	1.3628084697E00	?	?	1.3618562254E00	1.3618937636E00	1.3618937636E00	1.3626244326E00	4.9428113933E-01	?	4.6371307657E-01	5.0649265054E-01	?	1.2867318834E00	?	1.2773776622E00	1.2834460701E00	?	1.3254355958E00	1.2376864806E00	?	5.7204089912E-01	1.3510352348E00	?	1.3511885485E00	1.3504876314E00	1.3505483841E00	1.3486091712E00	1.2946933008E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.3517150574E-01	2.8374234732E-01	2.3760849460E-01	5.4304001938E-01	?	?	3.2689672628E-01	0.0000000000E00	0.0000000000E00	3.7740798754E-01	1.3428068450E00	1.3430610809E00	?	?	1.3422677259E00	1.3421923392E00	1.3421923392E00	1.3428942662E00	3.2534065429E-01	?	2.7708525920E-01	3.5835834201E-01	?	1.2653024982E00	?	1.2562609597E00	1.2623399872E00	?	1.2950974999E00	1.2198436568E00	?	4.9939122337E-01	1.3299771833E00	?	1.3301284425E00	1.3294779437E00	1.3295642018E00	1.3276799345E00	1.2614368537E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.3517150574E-01	2.8374234732E-01	2.3760849460E-01	5.4304001938E-01	?	?	3.2689672628E-01	0.0000000000E00	0.0000000000E00	3.7740798754E-01	1.3428068450E00	1.3430610809E00	?	?	1.3422677259E00	1.3421923392E00	1.3421923392E00	1.3428942662E00	3.2534065429E-01	?	2.7708525920E-01	3.5835834201E-01	?	1.2653024982E00	?	1.2562609597E00	1.2623399872E00	?	1.2950974999E00	1.2198436568E00	?	4.9939122337E-01	1.3299771833E00	?	1.3301284425E00	1.3294779437E00	1.3295642018E00	1.3276799345E00	1.2614368537E00	
Caplet Vola Monte-Carlo Multi-Curve	3.0625609745E-01	2.9331949303E-01	4.5878950097E-01	4.9731495942E-01	?	?	4.9124924489E-01	3.7740798754E-01	3.7740798754E-01	0.0000000000E00	1.1539974471E00	1.1542034008E00	?	?	1.1535034430E00	1.1534237470E00	1.1534237470E00	1.1539737074E00	3.1998744779E-01	?	3.0576874855E-01	3.1412169142E-01	?	1.0832185281E00	?	1.0753038917E00	1.0807296143E00	?	1.1079609366E00	1.0451543267E00	?	4.1496967453E-01	1.1418536027E00	?	1.1419845828E00	1.1411843632E00	1.1415331254E00	1.1397212507E00	1.0769750548E00	
