	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	4.2089106783E-01	4.3319326172E-01	4.5090645090E-01	4.5596020383E-01	4.9994869773E-01	5.0106440514E-01	5.0106440514E-01	4.9074754540E-01	1.9742967837E00	1.9746087657E00	1.9728625021E00	1.9728561596E00	1.9750900547E00	1.9737440734E00	1.9737440734E00	1.9737993583E00	7.4042532427E-01	7.6501879351E-01	8.0909350901E-01	8.3607278263E-01	8.2613255188E-01	1.8472762482E00	1.8526352892E00	1.8446696093E00	1.8541185402E00	1.8499102341E00	1.6786412714E00	1.3795891253E00	2.0000000000E00	1.5609632990E-01	1.8770472401E00	2.0000000000E00	1.8775897026E00	1.8683742833E00	1.8765821224E00	1.8674574455E00	1.5142792931E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	4.7517681529E-01	4.8732034898E-01	5.0479764356E-01	5.0978248205E-01	5.5314095346E-01	5.5423997764E-01	5.5423997764E-01	5.4407605982E-01	1.9757160711E00	1.9760109299E00	1.9743604771E00	1.9743544825E00	1.9764657984E00	1.9751936899E00	1.9751936899E00	1.9752459416E00	7.8922020108E-01	8.1327351461E-01	8.5633839703E-01	8.8267308347E-01	8.7297267836E-01	1.8554542960E00	1.8605367738E00	1.8529819035E00	1.8619433448E00	1.8579524449E00	1.6951338201E00	1.4089635427E00	2.0000000000E00	9.9907783915E-02	1.8836793108E00	2.0000000000E00	1.8841933869E00	1.8754591456E00	1.8832385259E00	1.8745900575E00	1.5381480678E00	
Caplet Vola Analytic Single-Curve	4.2089106783E-01	4.7517681529E-01	0.0000000000E00	1.4802925302E-02	3.1510414357E-02	3.6836453037E-02	8.3447466083E-02	8.4635613175E-02	8.4635613175E-02	7.3766939323E-02	1.9607295819E00	1.9612046331E00	1.9585461248E00	1.9585364713E00	1.9619375633E00	1.9598880730E00	1.9598880730E00	1.9599722396E00	3.9520156697E-01	4.1232976299E-01	4.4583990982E-01	4.7955898254E-01	4.5791676879E-01	1.7705335581E00	1.7784303958E00	1.7666965292E00	1.7806180016E00	1.7744134973E00	1.5275661706E00	1.1214996385E00	2.0000000000E00	5.6766358704E-01	1.8145431500E00	2.0000000000E00	1.8153482441E00	1.8016867427E00	1.8138529381E00	1.8003293698E00	1.3006255531E00	
Caplet Vola Monte-Carlo Single-Curve	4.3319326172E-01	4.8732034898E-01	1.4802925302E-02	0.0000000000E00	2.4763344154E-02	3.0961262279E-02	7.0582040544E-02	7.3523668369E-02	7.3523668369E-02	6.3580804963E-02	1.9602251793E00	1.9607062717E00	1.9580139744E00	1.9580041983E00	1.9614485254E00	1.9593729727E00	1.9593729727E00	1.9594582090E00	3.8903835189E-01	4.0570450652E-01	4.3625386061E-01	4.7011694440E-01	4.4834827074E-01	1.7677294756E00	1.7757170727E00	1.7638484948E00	1.7779298932E00	1.7716539564E00	1.5221692863E00	1.1126309080E00	2.0000000000E00	5.7949327543E-01	1.8122500862E00	2.0000000000E00	1.8130646469E00	1.7992430831E00	1.8115517618E00	1.7978698736E00	1.2931556682E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.5090645090E-01	5.0479764356E-01	3.1510414357E-02	2.4763344154E-02	0.0000000000E00	8.4597070940E-03	5.1971215839E-02	5.3160642390E-02	5.3160642390E-02	4.2621000146E-02	1.9594850809E00	1.9599750346E00	1.9572331760E00	1.9572232201E00	1.9607309644E00	1.9586171828E00	1.9586171828E00	1.9587039883E00	3.7611530788E-01	3.9182872371E-01	4.1905579773E-01	4.5308134978E-01	4.3114643317E-01	1.7636213612E00	1.7717416742E00	1.7596761167E00	1.7739913690E00	1.7676109721E00	1.5142779114E00	1.0997048189E00	2.0000000000E00	5.9650652638E-01	1.8088894567E00	2.0000000000E00	1.8097178700E00	1.7956621140E00	1.8081792616E00	1.7942657365E00	1.2822528611E00	
Caplet Vola Analytic Multi-Curve Ju	4.5596020383E-01	5.0978248205E-01	3.6836453037E-02	3.0961262279E-02	8.4597070940E-03	0.0000000000E00	4.6646860092E-02	4.7836444769E-02	4.7836444769E-02	3.7468528519E-02	1.9592708614E00	1.9597633794E00	1.9570071790E00	1.9569971710E00	1.9605232667E00	1.9583984226E00	1.9583984226E00	1.9584856821E00	3.7546513151E-01	3.9148690435E-01	4.1357415199E-01	4.4763821468E-01	4.2565860383E-01	1.7624336636E00	1.7705922906E00	1.7584698682E00	1.7728526315E00	1.7664420766E00	1.5119998202E00	1.0959825117E00	2.0000000000E00	6.0135634259E-01	1.8079176029E00	2.0000000000E00	1.8087500173E00	1.7946266220E00	1.8072039790E00	1.7932235538E00	1.2791097755E00	
Caplet Vola Analytic Multi-Curve Ho	4.9994869773E-01	5.5314095346E-01	8.3447466083E-02	7.0582040544E-02	5.1971215839E-02	4.6646860092E-02	0.0000000000E00	2.0843826787E-02	2.0843826787E-02	1.2784798875E-02	1.9573463480E00	1.9578618905E00	1.9549769196E00	1.9549664443E00	1.9586573134E00	1.9564331388E00	1.9564331388E00	1.9565244752E00	3.6092436289E-01	3.7355100768E-01	3.8196049677E-01	4.1745420607E-01	3.9729734667E-01	1.7517913700E00	1.7602921950E00	1.7476619169E00	1.7626476337E00	1.7559677018E00	1.4916545758E00	1.0629208814E00	2.0000000000E00	6.4349050270E-01	1.7992041186E00	2.0000000000E00	1.8000723115E00	1.7853442028E00	1.7984598359E00	1.7838813308E00	1.2511254708E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.0106440514E-01	5.5423997764E-01	8.4635613175E-02	7.3523668369E-02	5.3160642390E-02	4.7836444769E-02	2.0843826787E-02	0.0000000000E00	0.0000000000E00	2.4739887034E-02	1.9572960917E00	1.9578122351E00	1.9549239032E00	1.9549134158E00	1.9586085856E00	1.9563818183E00	1.9563818183E00	1.9564732612E00	3.5487482764E-01	3.6830147470E-01	3.7659641650E-01	4.1285025011E-01	3.9203990449E-01	1.7515141276E00	1.7600238404E00	1.7473803725E00	1.7623817494E00	1.7556948204E00	1.4911261784E00	1.0620665485E00	2.0000000000E00	6.4455733253E-01	1.7989769974E00	2.0000000000E00	1.7998461206E00	1.7851022913E00	1.7982319175E00	1.7836378649E00	1.2504007308E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.0106440514E-01	5.5423997764E-01	8.4635613175E-02	7.3523668369E-02	5.3160642390E-02	4.7836444769E-02	2.0843826787E-02	0.0000000000E00	0.0000000000E00	2.4739887034E-02	1.9572960917E00	1.9578122351E00	1.9549239032E00	1.9549134158E00	1.9586085856E00	1.9563818183E00	1.9563818183E00	1.9564732612E00	3.5487482764E-01	3.6830147470E-01	3.7659641650E-01	4.1285025011E-01	3.9203990449E-01	1.7515141276E00	1.7600238404E00	1.7473803725E00	1.7623817494E00	1.7556948204E00	1.4911261784E00	1.0620665485E00	2.0000000000E00	6.4455733253E-01	1.7989769974E00	2.0000000000E00	1.7998461206E00	1.7851022913E00	1.7982319175E00	1.7836378649E00	1.2504007308E00	
Caplet Vola Monte-Carlo Multi-Curve	4.9074754540E-01	5.4407605982E-01	7.3766939323E-02	6.3580804963E-02	4.2621000146E-02	3.7468528519E-02	1.2784798875E-02	2.4739887034E-02	2.4739887034E-02	0.0000000000E00	1.9577580232E00	1.9582686424E00	1.9554112058E00	1.9554008305E00	1.9590564667E00	1.9568535318E00	1.9568535318E00	1.9569439965E00	3.6501231310E-01	3.7790052476E-01	3.8946812184E-01	4.2462227089E-01	4.0356810482E-01	1.7540636809E00	1.7624916088E00	1.7499695128E00	1.7648267871E00	1.7582042431E00	1.4959884684E00	1.0699363205E00	2.0000000000E00	6.3468896429E-01	1.8010653886E00	2.0000000000E00	1.8019259534E00	1.7873267550E00	1.8003276423E00	1.7858766298E00	1.2570736751E00	
