	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.0361682326E00	1.2299621730E00	1.0163260103E00	1.0535694580E00	?	1.1212114740E00	1.1212114740E00	1.0752110530E00	1.4914914909E00	1.4976123887E00	1.4903257533E00	1.4915174984E00	?	1.4938964972E00	1.4938964972E00	1.4922957526E00	1.2837987338E00	1.3024830259E00	1.2090152164E00	1.2193028550E00	1.2026115592E00	1.4387126277E00	1.4445676917E00	1.4152269784E00	1.4219650057E00	1.4145856532E00	1.4449027881E00	1.3752874035E00	1.2868750281E75	6.6208994855E-01	1.4852469508E00	5.2459015789E73	1.4854728403E00	1.4835075330E00	1.4850734189E00	1.4833120408E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.1248804629E00	1.3186744034E00	1.1050382406E00	1.1422816883E00	?	1.2099237044E00	1.2099237044E00	1.1639232834E00	1.5802037213E00	1.5863246190E00	1.5790379836E00	1.5802297288E00	?	1.5826087276E00	1.5826087276E00	1.5810079829E00	1.3725109642E00	1.3911952562E00	1.2977274468E00	1.3080150854E00	1.2913237895E00	1.5274248580E00	1.5332799220E00	1.5039392088E00	1.5106772361E00	1.5032978835E00	1.5336150185E00	1.4639996339E00	1.2868750281E75	7.5080217892E-01	1.5739591812E00	5.2459015789E73	1.5741850706E00	1.5722197634E00	1.5737856493E00	1.5720242711E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.0361682326E00	1.1248804629E00	0.0000000000E00	1.9379394047E-01	2.9200662291E-02	1.7574101494E-02	?	8.5043241486E-02	8.5043241486E-02	3.9042820445E-02	4.5532325835E-01	4.6144415610E-01	4.5415752070E-01	4.5534926583E-01	?	4.5772826463E-01	4.5772826463E-01	4.5612751999E-01	2.4763050126E-01	2.6631479330E-01	1.7284698386E-01	1.9304788991E-01	1.7005771983E-01	4.0254439510E-01	4.0839945911E-01	3.7905874588E-01	3.8579677314E-01	3.7841742061E-01	4.0873455555E-01	3.3911917093E-01	1.2868750281E75	3.7407828401E-01	4.4907871825E-01	5.2459015789E73	4.4930460771E-01	4.4733930047E-01	4.4890518637E-01	4.4714380821E-01	3.7193968375E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2299621730E00	1.3186744034E00	1.9379394047E-01	0.0000000000E00	2.1363616276E-01	1.7639271507E-01	?	1.0875069899E-01	1.0875069899E-01	1.5475112003E-01	2.6152931788E-01	2.6765021563E-01	2.6036358023E-01	2.6155532535E-01	?	2.6393432416E-01	2.6393432416E-01	2.6233357952E-01	7.9471894977E-02	8.2518912355E-02	8.7652951181E-02	1.0372683869E-01	9.5515599941E-02	2.0875045463E-01	2.1460551863E-01	1.8526480541E-01	1.9200283266E-01	1.8462348013E-01	2.1494061507E-01	1.4557231333E-01	1.2868750281E75	5.6787222448E-01	2.5528477777E-01	5.2459015789E73	2.5551066723E-01	2.5354535999E-01	2.5511124589E-01	2.5334986773E-01	1.7814574328E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0163260103E00	1.1050382406E00	2.9200662291E-02	2.1363616276E-01	0.0000000000E00	3.7243447697E-02	?	1.0488546378E-01	1.0488546378E-01	5.8885042734E-02	4.7516548064E-01	4.8128637839E-01	4.7399974299E-01	4.7519148811E-01	?	4.7757048692E-01	4.7757048692E-01	4.7596974228E-01	2.6747272355E-01	2.8615701558E-01	1.9424153608E-01	2.1280375480E-01	1.8792877373E-01	4.2238661739E-01	4.2824168140E-01	3.9890096817E-01	4.0563899543E-01	3.9825964290E-01	4.2857677784E-01	3.5896139322E-01	1.2868750281E75	3.5423606172E-01	4.6892094054E-01	5.2459015789E73	4.6914683000E-01	4.6718152276E-01	4.6874740866E-01	4.6698603050E-01	3.9178190604E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0535694580E00	1.1422816883E00	1.7574101494E-02	1.7639271507E-01	3.7243447697E-02	0.0000000000E00	?	6.7642016078E-02	6.7642016078E-02	2.1687998651E-02	4.3792203295E-01	4.4404293069E-01	4.3675629530E-01	4.3794804042E-01	?	4.4032703923E-01	4.4032703923E-01	4.3872629459E-01	2.3022927585E-01	2.4891356789E-01	1.5751114463E-01	1.7772041936E-01	1.5578492447E-01	3.8514316969E-01	3.9099823370E-01	3.6165752047E-01	3.6839554773E-01	3.6101619520E-01	3.9133333014E-01	3.2171794552E-01	1.2868750281E75	3.9147950942E-01	4.3167749284E-01	5.2459015789E73	4.3190338230E-01	4.2993807506E-01	4.3150396096E-01	4.2974258280E-01	3.5453845834E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1212114740E00	1.2099237044E00	8.5043241486E-02	1.0875069899E-01	1.0488546378E-01	6.7642016078E-02	?	0.0000000000E00	0.0000000000E00	4.6000421041E-02	3.7028001687E-01	3.7640091462E-01	3.6911427922E-01	3.7030602434E-01	?	3.7268502315E-01	3.7268502315E-01	3.7108427851E-01	1.6258725977E-01	1.8127155181E-01	1.0976847011E-01	1.3110357970E-01	1.1533962689E-01	3.1750115361E-01	3.2335621762E-01	2.9401550439E-01	3.0075353165E-01	2.9337417912E-01	3.2369131406E-01	2.5407592944E-01	1.2868750281E75	4.5912152550E-01	3.6403547676E-01	5.2459015789E73	3.6426136622E-01	3.6229605898E-01	3.6386194488E-01	3.6210056672E-01	2.8689644226E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1212114740E00	1.2099237044E00	8.5043241486E-02	1.0875069899E-01	1.0488546378E-01	6.7642016078E-02	?	0.0000000000E00	0.0000000000E00	4.6000421041E-02	3.7028001687E-01	3.7640091462E-01	3.6911427922E-01	3.7030602434E-01	?	3.7268502315E-01	3.7268502315E-01	3.7108427851E-01	1.6258725977E-01	1.8127155181E-01	1.0976847011E-01	1.3110357970E-01	1.1533962689E-01	3.1750115361E-01	3.2335621762E-01	2.9401550439E-01	3.0075353165E-01	2.9337417912E-01	3.2369131406E-01	2.5407592944E-01	1.2868750281E75	4.5912152550E-01	3.6403547676E-01	5.2459015789E73	3.6426136622E-01	3.6229605898E-01	3.6386194488E-01	3.6210056672E-01	2.8689644226E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0752110530E00	1.1639232834E00	3.9042820445E-02	1.5475112003E-01	5.8885042734E-02	2.1687998651E-02	?	4.6000421041E-02	4.6000421041E-02	0.0000000000E00	4.1628043791E-01	4.2240133566E-01	4.1511470026E-01	4.1630644538E-01	?	4.1868544419E-01	4.1868544419E-01	4.1708469955E-01	2.0858768082E-01	2.2727197285E-01	1.3996857016E-01	1.6179836622E-01	1.4121261550E-01	3.6350157466E-01	3.6935663866E-01	3.4001592544E-01	3.4675395269E-01	3.3937460016E-01	3.6969173510E-01	3.0007635049E-01	1.2868750281E75	4.1312110445E-01	4.1003589780E-01	5.2459015789E73	4.1026178726E-01	4.0829648002E-01	4.0986236592E-01	4.0810098776E-01	3.3289686331E-01	
