	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.8407657944E-02	4.2695008816E-01	4.3965635952E-01	3.6710951379E-01	3.7266546345E-01	5.7381510578E-01	3.7790130190E-01	3.7790130190E-01	4.0404349560E-01	2.0191993286E00	2.0195047892E00	2.0162281318E00	2.0163458238E00	2.0218907174E00	2.0164688116E00	2.0164688116E00	2.0171481670E00	8.1690951566E-01	8.3919597762E-01	7.8277853179E-01	8.1927600385E-01	7.9637769302E-01	1.8958925772E00	1.9010212929E00	1.8789832745E00	1.8902237675E00	1.8838943697E00	1.7510952667E00	1.4229113979E00	1.1667589706E01	1.6443417310E-01	1.9255559546E00	1.1047352968E01	1.9261237226E00	1.9165808930E00	1.9251146099E00	1.9153901825E00	1.5968631358E00	
Target (LIBOR)	5.8407657944E-02	0.0000000000E00	4.8233713666E-01	4.9483346544E-01	4.2191092288E-01	4.2747995687E-01	6.2477250466E-01	4.3266534847E-01	4.3266534847E-01	4.5830016606E-01	2.0205829579E00	2.0208716639E00	2.0177748209E00	2.0178860627E00	2.0231264670E00	2.0180023115E00	2.0180023115E00	2.0186444469E00	8.6054132914E-01	8.8256036017E-01	8.2652980102E-01	8.6229572551E-01	8.4020360737E-01	1.9038025594E00	1.9086700623E00	1.8877587280E00	1.8984329495E00	1.8924245270E00	1.7658104227E00	1.4514419312E00	1.1667589706E01	1.1635767882E-01	1.9319426143E00	1.1047352968E01	1.9324807282E00	1.9234391131E00	1.9315242335E00	1.9223102318E00	1.6182248660E00	
Caplet Vola Analytic Single-Curve	4.2695008816E-01	4.8233713666E-01	0.0000000000E00	1.8894987329E-02	9.6482683689E-02	9.1137912713E-02	2.5553241243E-01	8.7841875856E-02	8.7841875856E-02	8.3407129380E-02	2.0203758042E00	2.0208380887E00	2.0158353803E00	2.0160137402E00	2.0244830516E00	2.0161994717E00	2.0161994717E00	2.0172221694E00	5.2198209779E-01	5.4069678782E-01	4.9584830592E-01	5.3093166840E-01	5.0093887000E-01	1.8376903874E00	1.8450972392E00	1.8129403796E00	1.8290574764E00	1.8198734506E00	1.6366195098E00	1.1927428177E00	1.1667589706E01	5.6914965476E-01	1.8810587925E00	1.1047352968E01	1.8818826612E00	1.8675785204E00	1.8804078560E00	1.8658415094E00	1.4305378473E00	
Caplet Vola Monte-Carlo Single-Curve	4.3965635952E-01	4.9483346544E-01	1.8894987329E-02	0.0000000000E00	1.0403657583E-01	9.8237123290E-02	2.5663729976E-01	9.4266835422E-02	9.4266835422E-02	8.5013160049E-02	2.0211443893E00	2.0216097186E00	2.0165475645E00	2.0167279907E00	2.0253002389E00	2.0169158430E00	2.0169158430E00	2.0179500710E00	5.1403952608E-01	5.3234169405E-01	4.8839521446E-01	5.2311547371E-01	4.9268762807E-01	1.8363407074E00	1.8438300992E00	1.8113098249E00	1.8276064090E00	1.8183169971E00	1.6337455339E00	1.1862075123E00	1.1667589706E01	5.8099660684E-01	1.8802294752E00	1.1047352968E01	1.8810682594E00	1.8665840061E00	1.8795776691E00	1.8648291722E00	1.4261710400E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	3.6710951379E-01	4.2191092288E-01	9.6482683689E-02	1.0403657583E-01	0.0000000000E00	6.9041767332E-03	3.4272563044E-01	1.2847420572E-02	1.2847420572E-02	4.2765730496E-02	2.0475946957E00	2.0480255440E00	2.0432988252E00	2.0434661656E00	2.0514661910E00	2.0436399706E00	2.0436399706E00	2.0445941932E00	5.7212339029E-01	5.9083900009E-01	5.3948834213E-01	5.7373581746E-01	5.4275132067E-01	1.8766513713E00	1.8835768284E00	1.8532331045E00	1.8682986583E00	1.8596509063E00	1.6885236636E00	1.2580557745E00	1.1667589706E01	5.1566243430E-01	1.9175358886E00	1.1047352968E01	1.9183067937E00	1.9046322513E00	1.9169276721E00	1.9030068386E00	1.4937158878E00	
Caplet Vola Analytic Multi-Curve Ju	3.7266546345E-01	4.2747995687E-01	9.1137912713E-02	9.8237123290E-02	6.9041767332E-03	0.0000000000E00	3.3854316272E-01	6.1235981154E-03	6.1235981154E-03	3.6935157694E-02	2.0462727838E00	2.0467060152E00	2.0419561700E00	2.0421243431E00	2.0501627664E00	2.0422990275E00	2.0422990275E00	2.0432583018E00	5.6679521330E-01	5.8543174389E-01	5.3433872863E-01	5.6858937769E-01	5.3750069388E-01	1.8744087013E00	1.8813703366E00	1.8508831375E00	1.8660276833E00	1.8573383017E00	1.6852159694E00	1.2539219488E00	1.1667589706E01	5.2063668142E-01	1.9154903121E00	1.1047352968E01	1.9162648859E00	1.9025280160E00	1.9148788495E00	1.9008946151E00	1.4896181258E00	
Caplet Vola Analytic Multi-Curve Ho	5.7381510578E-01	6.2477250466E-01	2.5553241243E-01	2.5663729976E-01	3.4272563044E-01	3.3854316272E-01	0.0000000000E00	3.3646315859E-01	3.3646315859E-01	3.3362044067E-01	1.9997387215E00	2.0002781035E00	1.9946986123E00	1.9949029613E00	2.0043548311E00	1.9951178461E00	1.9951178461E00	1.9963098069E00	5.2507381546E-01	5.4372800149E-01	5.1477070086E-01	5.4997410813E-01	5.3155793852E-01	1.7897212824E00	1.7983087721E00	1.7621355588E00	1.7808419682E00	1.7704470416E00	1.5575177062E00	1.0902051544E00	1.1667589706E01	6.9180039532E-01	1.8383817018E00	1.1047352968E01	1.8393402435E00	1.8239865878E00	1.8376259504E00	1.8219694939E00	1.3232913167E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.7790130190E-01	4.3266534847E-01	8.7841875856E-02	9.4266835422E-02	1.2847420572E-02	6.1235981154E-03	3.3646315859E-01	0.0000000000E00	0.0000000000E00	3.1280660906E-02	2.0457841627E00	2.0462194041E00	2.0414486818E00	2.0416175600E00	2.0496905484E00	2.0417929651E00	2.0417929651E00	2.0427563414E00	5.6252584095E-01	5.8104487851E-01	5.3020029118E-01	5.6438140247E-01	5.3314409010E-01	1.8731250831E00	1.8801165576E00	1.8495054332E00	1.8647147660E00	1.8559892519E00	1.6830058604E00	1.2509572825E00	1.1667589706E01	5.2534287836E-01	1.9143819039E00	1.1047352968E01	1.9151591771E00	1.9013628086E00	1.9137676601E00	1.8997231273E00	1.4867705550E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.7790130190E-01	4.3266534847E-01	8.7841875856E-02	9.4266835422E-02	1.2847420572E-02	6.1235981154E-03	3.3646315859E-01	0.0000000000E00	0.0000000000E00	3.1280660906E-02	2.0457841627E00	2.0462194041E00	2.0414486818E00	2.0416175600E00	2.0496905484E00	2.0417929651E00	2.0417929651E00	2.0427563414E00	5.6252584095E-01	5.8104487851E-01	5.3020029118E-01	5.6438140247E-01	5.3314409010E-01	1.8731250831E00	1.8801165576E00	1.8495054332E00	1.8647147660E00	1.8559892519E00	1.6830058604E00	1.2509572825E00	1.1667589706E01	5.2534287836E-01	1.9143819039E00	1.1047352968E01	1.9151591771E00	1.9013628086E00	1.9137676601E00	1.8997231273E00	1.4867705550E00	
Caplet Vola Monte-Carlo Multi-Curve	4.0404349560E-01	4.5830016606E-01	8.3407129380E-02	8.5013160049E-02	4.2765730496E-02	3.6935157694E-02	3.3362044067E-01	3.1280660906E-02	3.1280660906E-02	0.0000000000E00	2.0472939986E00	2.0477383355E00	2.0428617163E00	2.0430339902E00	2.0512834890E00	2.0432127559E00	2.0432127559E00	2.0441927064E00	5.4818631776E-01	5.6587607188E-01	5.1651803268E-01	5.4979902679E-01	5.1782252352E-01	1.8709625391E00	1.8780850228E00	1.8468955212E00	1.8623787879E00	1.8534827515E00	1.6764306080E00	1.2394905360E00	1.1667589706E01	5.4923741742E-01	1.9130388009E00	1.1047352968E01	1.9138221447E00	1.8997124692E00	1.9124116958E00	1.8980508096E00	1.4774690098E00	
