	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.0361682326E00	1.0422124539E00	1.0060757999E00	1.0088707059E00	?	1.0113875917E00	1.0113875917E00	1.0234617539E00	1.5034286600E00	1.5034858190E00	1.5029129078E00	1.5029338510E00	?	1.5029559113E00	1.5029559113E00	1.5030792856E00	1.1755589492E00	1.1849521451E00	1.1614225994E00	1.1759503966E00	1.1691060598E00	1.4793866973E00	1.4804330678E00	1.4761436654E00	1.4784742323E00	1.4772141419E00	1.4449027881E00	1.3752874035E00	1.5670850919E36	6.6208994855E-01	1.4851629807E00	3.8329777159E33	1.4852674085E00	1.4835410307E00	1.4850734189E00	1.4833120408E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.1248804629E00	1.1309246843E00	1.0947880303E00	1.0975829362E00	?	1.1000998220E00	1.1000998220E00	1.1121739843E00	1.5921408904E00	1.5921980494E00	1.5916251382E00	1.5916460814E00	?	1.5916681417E00	1.5916681417E00	1.5917915160E00	1.2642711795E00	1.2736643755E00	1.2501348297E00	1.2646626270E00	1.2578182902E00	1.5680989277E00	1.5691452981E00	1.5648558958E00	1.5671864627E00	1.5659263722E00	1.5336150185E00	1.4639996339E00	1.5670850919E36	7.5080217892E-01	1.5738752110E00	3.8329777159E33	1.5739796389E00	1.5722532611E00	1.5737856493E00	1.5720242711E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.0361682326E00	1.1248804629E00	0.0000000000E00	6.9413518071E-03	3.0092432652E-02	2.7297526705E-02	?	2.4780640891E-02	2.4780640891E-02	1.9574478199E-02	4.6726042749E-01	4.6731758646E-01	4.6674467524E-01	4.6676561847E-01	?	4.6678767878E-01	4.6678767878E-01	4.6691105303E-01	1.5896758772E-01	1.6392076024E-01	1.5600700336E-01	1.6759881275E-01	1.5773350109E-01	4.4321846477E-01	4.4426483521E-01	4.3997543284E-01	4.4230599973E-01	4.4104590931E-01	4.0873455555E-01	3.3911917093E-01	1.5670850919E36	3.7407828401E-01	4.4899474810E-01	3.8329777159E33	4.4909917596E-01	4.4737279818E-01	4.4890518637E-01	4.4714380821E-01	3.7193968375E-01	
Caplet Vola Monte-Carlo Single-Curve	1.0422124539E00	1.1309246843E00	6.9413518071E-03	0.0000000000E00	3.6136654005E-02	3.3341748058E-02	?	3.0824862244E-02	3.0824862244E-02	2.1982492413E-02	4.6121620613E-01	4.6127336511E-01	4.6070045389E-01	4.6072139712E-01	?	4.6074345743E-01	4.6074345743E-01	4.6086683168E-01	1.5531275247E-01	1.6006082067E-01	1.5306241624E-01	1.6382711637E-01	1.5354568817E-01	4.3717424341E-01	4.3822061386E-01	4.3393121149E-01	4.3626177838E-01	4.3500168795E-01	4.0269033419E-01	3.3307494958E-01	1.5670850919E36	3.8012250536E-01	4.4295052674E-01	3.8329777159E33	4.4305495461E-01	4.4132857683E-01	4.4286096502E-01	4.4109958686E-01	3.6589546240E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0060757999E00	1.0947880303E00	3.0092432652E-02	3.6136654005E-02	0.0000000000E00	2.7949059465E-03	?	5.3117917610E-03	5.3117917610E-03	1.7862031448E-02	4.9735286014E-01	4.9741001911E-01	4.9683710789E-01	4.9685805113E-01	?	4.9688011143E-01	4.9688011143E-01	4.9700348568E-01	1.8189729036E-01	1.8774554332E-01	1.7311988930E-01	1.8583268574E-01	1.7438976082E-01	4.7331089742E-01	4.7435726786E-01	4.7006786550E-01	4.7239843238E-01	4.7113834196E-01	4.3882698820E-01	3.6921160358E-01	1.5670850919E36	3.4398585136E-01	4.7908718075E-01	3.8329777159E33	4.7919160862E-01	4.7746523083E-01	4.7899761902E-01	4.7723624086E-01	4.0203211640E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0088707059E00	1.0975829362E00	2.7297526705E-02	3.3341748058E-02	2.7949059465E-03	0.0000000000E00	?	2.5168858145E-03	2.5168858145E-03	1.5240826394E-02	4.9455795419E-01	4.9461511316E-01	4.9404220195E-01	4.9406314518E-01	?	4.9408520549E-01	4.9408520549E-01	4.9420857974E-01	1.7968166550E-01	1.8526840170E-01	1.7122527554E-01	1.8371509393E-01	1.7227216901E-01	4.7051599147E-01	4.7156236191E-01	4.6727295955E-01	4.6960352643E-01	4.6834343601E-01	4.3603208225E-01	3.6641669764E-01	1.5670850919E36	3.4678075730E-01	4.7629227480E-01	3.8329777159E33	4.7639670267E-01	4.7467032488E-01	4.7620271307E-01	4.7444133491E-01	3.9923721046E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0113875917E00	1.1000998220E00	2.4780640891E-02	3.0824862244E-02	5.3117917610E-03	2.5168858145E-03	?	0.0000000000E00	0.0000000000E00	1.2817941634E-02	4.9204106838E-01	4.9209822735E-01	4.9152531613E-01	4.9154625936E-01	?	4.9156831967E-01	4.9156831967E-01	4.9169169392E-01	1.7779308819E-01	1.8311316843E-01	1.6961092036E-01	1.8183981133E-01	1.7039688641E-01	4.6799910566E-01	4.6904547610E-01	4.6475607373E-01	4.6708664062E-01	4.6582655020E-01	4.3351519644E-01	3.6389981182E-01	1.5670850919E36	3.4929764312E-01	4.7377538899E-01	3.8329777159E33	4.7387981686E-01	4.7215343907E-01	4.7368582726E-01	4.7192444910E-01	3.9672032464E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0113875917E00	1.1000998220E00	2.4780640891E-02	3.0824862244E-02	5.3117917610E-03	2.5168858145E-03	?	0.0000000000E00	0.0000000000E00	1.2817941634E-02	4.9204106838E-01	4.9209822735E-01	4.9152531613E-01	4.9154625936E-01	?	4.9156831967E-01	4.9156831967E-01	4.9169169392E-01	1.7779308819E-01	1.8311316843E-01	1.6961092036E-01	1.8183981133E-01	1.7039688641E-01	4.6799910566E-01	4.6904547610E-01	4.6475607373E-01	4.6708664062E-01	4.6582655020E-01	4.3351519644E-01	3.6389981182E-01	1.5670850919E36	3.4929764312E-01	4.7377538899E-01	3.8329777159E33	4.7387981686E-01	4.7215343907E-01	4.7368582726E-01	4.7192444910E-01	3.9672032464E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0234617539E00	1.1121739843E00	1.9574478199E-02	2.1982492413E-02	1.7862031448E-02	1.5240826394E-02	?	1.2817941634E-02	1.2817941634E-02	0.0000000000E00	4.7996690612E-01	4.8002406510E-01	4.7945115388E-01	4.7947209711E-01	?	4.7949415742E-01	4.7949415742E-01	4.7961753167E-01	1.7063593992E-01	1.7502175527E-01	1.6285039461E-01	1.7418682539E-01	1.6210138967E-01	4.5592494340E-01	4.5697131385E-01	4.5268191148E-01	4.5501247837E-01	4.5375238794E-01	4.2144103418E-01	3.5182564957E-01	1.5670850919E36	3.6137180537E-01	4.6170122673E-01	3.8329777159E33	4.6180565460E-01	4.6007927682E-01	4.6161166501E-01	4.5985028685E-01	3.8464616239E-01	
