Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	61.40	31.08	72.97	72.77	?	73.36	73.34	72.60	0.53	0.27	0.66	0.66	?	0.67	0.67	0.66	34.94	33.99	79.56	81.18	76.11	0.88	0.86	2.07	2.11	1.98	1.00	2.00	100.05	99.95	0.17	100.05	0.18	0.49	0.17	0.48	0.50	
204.12	216.13	64.28	32.91	76.25	75.86	?	76.42	76.37	74.60	0.79	0.41	0.98	0.98	?	0.98	0.98	0.96	34.86	33.63	74.17	72.82	71.26	2.78	2.68	6.08	5.98	5.86	1.00	6.00	100.14	99.86	0.26	100.14	0.25	0.56	0.26	0.57	1.00	
190.21	201.39	65.75	33.82	77.99	77.44	?	77.94	77.85	75.90	1.00	0.52	1.24	1.23	?	1.24	1.24	1.21	30.42	29.23	62.39	60.50	60.21	4.23	4.06	8.92	8.66	8.62	1.00	10.00	100.30	99.74	0.38	100.30	0.37	0.72	0.37	0.73	1.50	
180.88	191.52	66.17	34.48	78.18	77.52	?	77.92	77.79	75.45	1.19	0.64	1.46	1.45	?	1.45	1.45	1.41	25.32	24.24	51.17	49.06	49.52	5.08	4.86	10.56	10.14	10.23	1.00	14.00	100.55	99.55	0.62	100.55	0.62	0.92	0.63	0.94	2.00	
174.62	184.90	65.81	34.72	77.71	76.97	?	77.24	77.07	73.58	1.35	0.74	1.64	1.62	?	1.63	1.63	1.56	20.92	19.98	42.23	40.16	40.93	5.47	5.23	11.38	10.83	11.04	1.00	18.00	101.03	99.24	0.80	101.03	0.79	1.07	0.82	1.13	2.50	
170.43	180.46	64.92	34.74	76.60	75.82	?	75.96	75.76	72.97	1.48	0.82	1.79	1.77	?	1.77	1.77	1.71	17.54	16.73	35.63	33.72	34.59	5.64	5.38	11.78	11.15	11.43	1.00	22.00	101.74	98.83	0.98	101.75	0.98	1.28	1.01	1.30	3.00	
167.62	177.48	63.66	34.40	75.09	74.29	?	74.31	74.07	70.11	1.59	0.90	1.91	1.90	?	1.90	1.89	1.81	15.06	14.35	30.84	29.11	29.96	5.70	5.43	11.97	11.31	11.63	1.00	26.00	102.80	98.33	1.17	102.83	1.16	1.42	1.21	1.50	3.50	
165.74	175.49	62.16	34.14	73.32	72.50	?	72.42	72.15	67.87	1.69	0.97	2.02	2.00	?	2.00	2.00	1.90	13.25	12.62	27.35	25.79	26.57	5.71	5.44	12.08	11.39	11.74	1.00	30.00	104.41	97.74	1.37	104.57	1.34	1.59	1.41	1.70	4.00	
164.48	174.15	60.53	33.37	71.40	70.58	?	70.40	70.11	65.66	1.77	1.02	2.11	2.09	?	2.09	2.08	1.97	11.89	11.32	24.74	23.32	24.04	5.71	5.44	12.15	11.46	11.81	1.00	34.00	107.29	97.05	1.53	107.88	1.52	1.76	1.60	1.88	4.50	
193.94	205.35	58.84	32.89	69.40	68.58	?	68.33	68.02	63.27	1.83	1.08	2.18	2.16	?	2.15	2.15	2.02	37.47	34.26	74.67	73.44	68.78	1.97	1.81	3.85	3.79	3.59	3.50	2.00	114.04	96.28	1.71	116.96	1.69	1.91	1.78	2.06	5.00	
177.77	188.23	57.15	32.58	67.38	66.56	?	66.26	65.93	61.49	1.89	1.13	2.24	2.21	?	2.21	2.20	2.07	33.86	31.13	65.15	59.72	60.50	5.53	5.10	10.55	9.76	9.88	3.50	6.00	153.55	95.43	1.90	177.98	1.86	2.09	1.96	2.22	5.50	
166.93	176.75	55.48	32.01	65.39	64.59	?	64.24	63.90	60.14	1.93	1.17	2.28	2.26	?	2.25	2.24	2.13	28.02	25.85	53.20	46.81	49.82	7.79	7.20	14.85	13.19	13.98	3.50	10.00	968.94	94.51	2.06	1740.31	2.02	2.27	2.12	2.37	6.00	
159.67	169.06	53.86	31.47	63.49	62.70	?	62.32	61.97	59.41	1.96	1.20	2.31	2.29	?	2.27	2.26	2.19	22.86	21.10	43.41	36.95	40.66	8.97	8.29	17.21	14.76	16.18	3.50	14.00	44049.19	93.52	2.22	90144.14	2.18	2.48	2.26	2.50	6.50	
