Time	F	S	L	N	E(L/N)
0.0	0.001000003000036405	0.002535956492391625	0.00353595949242803	1.0005000015000183	0.00353595949242803
0.5	0.0017351809970034924	0.0031214531687188962	0.004856634165722388	1.0013671752236226	0.004856180327017641
1.0	0.0025600148841676603	0.003162930454813734	0.005722945338981394	1.0026502070628185	0.00572013205555246
1.5	0.0037560584614751815	0.00357548755104058	0.0073315460125157605	1.0045343064887506	0.007319795292980158
2.0	0.006354681633150386	0.0031705967537632414	0.009525278386913628	1.007733307850116	0.00947623459161032
2.5	0.008315156176121373	0.0031091217548906004	0.011424277931011974	1.0119654333046628	0.011294523813837469
3.0	0.0104195560517925	0.002963527884891563	0.013383083936684066	1.017315748878213	0.013085973246446779
3.5	0.012620784904876286	0.0029407411075272048	0.01556152601240349	1.0239585784391805	0.01498836212226871
4.0	0.014963163942914137	0.0029160143514666225	0.01787917829438076	1.0320659963702097	0.01689073978328014
4.5	0.017372556032155463	0.0028910017865880493	0.020263557818743512	1.0418825643446683	0.018685352219426528
5.0	0.019846843858698192	0.002794474483279507	0.0226413183419777	1.0538748408591425	0.020295184276093274
5.5	0.02251135453766627	0.0026971110344839308	0.0252084655721502	1.0693610272235299	0.021870877050304036
6.0	0.0251907564626608	0.0025683196795210353	0.02775907614218184	1.0932347342160944	0.023294218368085304
6.5	0.027753937174603664	0.002555991442067067	0.030309928616670735	1.1454563514282265	0.024697650106138943
7.0	0.03050198908835081	0.0025708354792831722	0.03307282456763398	1.3482146398664223	0.02592218548791711
7.5	0.033715426681860956	0.0025616904842756996	0.03627711716613666	2.053378971569693	0.027059369864700637
8.0	0.03762771918774078	0.0025419889963818627	0.04016970818412264	6.291831207716302	0.0279593230999136
8.5	0.041861868137477116	0.0024810195231603966	0.04434288766063751	31.88559174242497	0.028631195521671503
9.0	0.0464679123916236	0.002449145752525423	0.04891705814414903	484.25594537897064	0.029320246113415757
9.5	0.051591184991177166	0.0023438644174214973	0.05393504940859867	11858.201176598965	0.02999235048838488
10.0	0.056252778004735826	0.002230361069625003	0.05848313907436083	192468.4716286201	0.030563535871851656
10.5	0.060903112497749434	0.0019904952872913722	0.0628936077850408	2037730.9815203524	0.030993678964031705
11.0	0.06636643324386038	0.001631465061226416	0.0679978983050868	5.297379124484251E7	0.031305071832033834
11.5	0.07586165710149581	0.0010176111686871396	0.07687926827018295	3.5302095092336793E9	0.0314298216578469
12.0	0.09049729926391675	6.843951488965079E-4	0.09118169441281326	2.3252728610691364E11	0.03145834959927783
12.5	0.10098306665323377	9.352410004299233E-4	0.10191830765366369	1.6115224195316143E13	0.031577894933582
13.0	0.10463057819020186	0.0012583833943710383	0.10588896158457288	3.498556015099191E15	0.03159512224469205
13.5	0.10034706513675824	0.0012373017826907385	0.10158436691944898	1.10587348834031654E18	0.031282575490288164
14.0	0.09468977771674626	0.0010748378549625646	0.09576461557170883	2.6572887539239433E20	0.03089077037623036
14.5	0.09990045150515989	0.0010981199679012759	0.10099857147306117	4.537746244835763E22	0.03060561529005963
15.0	0.09390309586033123	0.0010356283657742646	0.0949387242261055	3.415228435836145E24	0.030247399410375138
15.5	0.09405803330385828	6.753532646310291E-4	0.0947333865684893	9.378267947199516E25	0.029636773820964028
16.0	0.08292419222906952	3.6698627895488266E-4	0.08329117850802441	1.2913930873298148E27	0.029141208359812782
16.5	0.07328558170807446	3.8664003224399637E-4	0.07367222174031846	1.3243692213637054E28	0.028978780137453863
17.0	0.07808417458604412	4.233263242738099E-4	0.07850750091031793	2.0813160082048152E29	0.028722698847197588
17.5	0.07224353409532455	3.1790807192411157E-4	0.07256144216724866	7.829023623596501E30	0.028389442362583495
18.0	0.05685646903673502	2.6256731518445477E-4	0.05711903635191948	5.7542922741299195E32	0.028256303281555675
18.5	0.04553647565159244	4.0592894012506575E-4	0.04594240459171751	1.790147152426676E34	0.028187019357046
19.0	0.043067650407784305	5.661831688119245E-4	0.043633833576596226	1.3100117838266036E35	0.027995231881809864
19.5	0.03396104147980297	6.706168836027925E-4	0.034631658363405766	1.3868415933447457E35	0.027515097285177453
