	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.6347592281E00	1.9356483582E00	1.6272172361E00	1.6315048788E00	?	1.6359213836E00	1.6359213836E00	1.6309774668E00	2.2435095377E00	2.2460897991E00	2.2431753412E00	2.2432135746E00	?	2.2432529703E00	2.2432529703E00	2.2432088709E00	1.8914266772E00	1.9062236849E00	1.5751568820E00	1.5821267996E00	1.5961753222E00	2.2398831565E00	2.2402489745E00	2.2313255892E00	2.2314998281E00	2.2318516366E00	2.2388072929E00	2.2288072929E00	4.3881228954E76	1.2493070445E00	2.2470840542E00	2.0326170451E75	2.2470523984E00	2.2438400365E00	2.2470741270E00	2.2439636101E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.7670420100E00	2.0679311401E00	1.7595000181E00	1.7637876608E00	?	1.7682041655E00	1.7682041655E00	1.7632602487E00	2.3757923196E00	2.3783725810E00	2.3754581231E00	2.3754963565E00	?	2.3755357522E00	2.3755357522E00	2.3754916528E00	2.0237094591E00	2.0385064669E00	1.7074396639E00	1.7144095815E00	1.7284581042E00	2.3721659385E00	2.3725317564E00	2.3636083711E00	2.3637826101E00	2.3641344186E00	2.3710900748E00	2.3610900748E00	4.3881228954E76	1.3815898265E00	2.3793668361E00	2.0326170451E75	2.3793351803E00	2.3761228184E00	2.3793569090E00	2.3762463921E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.6347592281E00	1.7670420100E00	0.0000000000E00	3.1655323745E-01	4.5439951601E-02	2.5911616327E-02	?	2.2434792246E-02	2.2434792246E-02	2.4239166884E-02	6.4982887496E-01	6.5528729033E-01	6.4879941710E-01	6.4909907297E-01	?	6.4951153869E-01	6.4951153869E-01	6.4922961460E-01	4.8591928972E-01	4.9422863566E-01	3.9516676497E-01	4.0593359723E-01	4.0095192654E-01	6.1464342398E-01	6.1690596118E-01	5.9656636110E-01	5.9674060004E-01	5.9709240853E-01	6.5167724602E-01	5.9404806481E-01	4.3881228954E76	4.1092739018E-01	6.5550333219E-01	2.0326170451E75	6.5550543932E-01	6.5210520782E-01	6.5536990795E-01	6.5223942601E-01	6.4252058171E-01	
Caplet Vola Monte-Carlo Single-Curve	1.9356483582E00	2.0679311401E00	3.1655323745E-01	0.0000000000E00	3.4106123621E-01	3.2566019723E-01	?	3.0869448903E-01	3.0869448903E-01	3.1624818754E-01	3.3685397242E-01	3.4288858379E-01	3.3561758520E-01	3.3600071675E-01	?	3.3657752975E-01	3.3657752975E-01	3.3636535573E-01	2.1507850066E-01	2.2258122695E-01	3.6049147618E-01	3.5352155862E-01	3.3947303593E-01	3.1212849773E-01	3.1402718600E-01	2.9926429521E-01	3.0033679917E-01	2.9994360233E-01	3.4048303220E-01	3.1208874411E-01	4.3881228954E76	6.8634131365E-01	3.4225771296E-01	2.0326170451E75	3.4234693989E-01	3.3912422857E-01	3.4202299366E-01	3.3894887224E-01	3.2771875590E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.6272172361E00	1.7595000181E00	4.5439951601E-02	3.4106123621E-01	0.0000000000E00	2.2614589928E-02	?	6.7874743846E-02	6.7874743846E-02	6.9664869892E-02	6.7759308883E-01	6.8362770020E-01	6.7635670161E-01	6.7673983315E-01	?	6.7731664615E-01	6.7731664615E-01	6.7710447214E-01	5.2908469566E-01	5.3739404160E-01	4.3986182343E-01	4.5062865569E-01	4.4564698500E-01	6.3795874244E-01	6.4022127963E-01	6.0586652058E-01	6.0715402136E-01	6.0751769312E-01	6.8098118600E-01	6.1387233165E-01	4.3881228954E76	3.7791019161E-01	6.8299682937E-01	2.0326170451E75	6.8308605629E-01	6.7986334498E-01	6.8276211007E-01	6.7968798865E-01	6.6877999211E-01	
Caplet Vola Analytic Multi-Curve Ju	1.6315048788E00	1.7637876608E00	2.5911616327E-02	3.2566019723E-01	2.2614589928E-02	0.0000000000E00	?	4.7068766948E-02	4.7068766948E-02	4.7726519045E-02	6.5962606016E-01	6.6508447553E-01	6.5859660230E-01	6.5889625817E-01	?	6.5930872389E-01	6.5930872389E-01	6.5902679980E-01	5.0647010574E-01	5.1477945167E-01	4.1743233076E-01	4.2819916302E-01	4.2321749233E-01	6.2375038376E-01	6.2601292096E-01	5.9982071035E-01	5.9999494929E-01	6.0034675778E-01	6.6147443122E-01	5.9730241406E-01	4.3881228954E76	3.8545436017E-01	6.6530051739E-01	2.0326170451E75	6.6530262452E-01	6.6190239302E-01	6.6516709315E-01	6.6203661121E-01	6.5162754149E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.6359213836E00	1.7682041655E00	2.2434792246E-02	3.0869448903E-01	6.7874743846E-02	4.7068766948E-02	?	0.0000000000E00	0.0000000000E00	3.4622643182E-02	6.3973727541E-01	6.4441403751E-01	6.3883065111E-01	6.3904427550E-01	?	6.3930035152E-01	6.3930035152E-01	6.3920428660E-01	4.6438261582E-01	4.7269196175E-01	3.7309423298E-01	3.8386106524E-01	3.7887939455E-01	6.0951796247E-01	6.1089498950E-01	5.9540420561E-01	5.9557844455E-01	5.9593025304E-01	6.3966183329E-01	5.9288590932E-01	4.3881228954E76	4.3006912353E-01	6.4587556608E-01	2.0326170451E75	6.4598665312E-01	6.4243010482E-01	6.4591682426E-01	6.4234774705E-01	6.3466183329E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.6359213836E00	1.7682041655E00	2.2434792246E-02	3.0869448903E-01	6.7874743846E-02	4.7068766948E-02	?	0.0000000000E00	0.0000000000E00	3.4622643182E-02	6.3973727541E-01	6.4441403751E-01	6.3883065111E-01	6.3904427550E-01	?	6.3930035152E-01	6.3930035152E-01	6.3920428660E-01	4.6438261582E-01	4.7269196175E-01	3.7309423298E-01	3.8386106524E-01	3.7887939455E-01	6.0951796247E-01	6.1089498950E-01	5.9540420561E-01	5.9557844455E-01	5.9593025304E-01	6.3966183329E-01	5.9288590932E-01	4.3881228954E76	4.3006912353E-01	6.4587556608E-01	2.0326170451E75	6.4598665312E-01	6.4243010482E-01	6.4591682426E-01	6.4234774705E-01	6.3466183329E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.6309774668E00	1.7632602487E00	2.4239166884E-02	3.1624818754E-01	6.9664869892E-02	4.7726519045E-02	?	3.4622643182E-02	3.4622643182E-02	0.0000000000E00	6.5211857237E-01	6.5757698774E-01	6.5108911451E-01	6.5138877039E-01	?	6.5180123611E-01	6.5180123611E-01	6.5151931201E-01	4.7254043719E-01	4.8191073810E-01	3.7757450346E-01	3.8834133573E-01	3.8335966504E-01	6.1314091399E-01	6.1540345119E-01	6.0034812239E-01	6.0052236133E-01	6.0087416982E-01	6.5396694343E-01	5.9782982610E-01	4.3881228954E76	4.1797320531E-01	6.5779302960E-01	2.0326170451E75	6.5779513673E-01	6.5439490523E-01	6.5765960536E-01	6.5452912342E-01	6.4396694343E-01	
