	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	1.6512322512E00	1.6561395115E00	1.5999487599E00	1.6080437957E00	?	1.6167356351E00	1.6166845172E00	1.6151816256E00	2.9728683566E00	2.9729806411E00	2.9718521301E00	2.9718658058E00	?	2.9719632369E00	2.9719616262E00	2.9720617623E00	1.7219200019E00	1.7251031310E00	1.7397414442E00	1.7548960603E00	1.7390809393E00	2.9254915144E00	2.9274767474E00	2.9212077664E00	2.9250911282E00	2.9229901735E00	2.8496005945E00	2.7165198108E00	7.2687152243E01	1.0613765840E00	2.9353320003E00	6.8354782152E01	2.9355298864E00	2.9280379036E00	2.9351601875E00	2.9277292183E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	1.7083104419E00	1.7131739052E00	1.6593054349E00	1.6670907602E00	?	1.6756082697E00	1.6755572918E00	1.6742016349E00	2.9733902309E00	2.9734963140E00	2.9724301831E00	2.9724431029E00	?	2.9725351552E00	2.9725336334E00	2.9726282422E00	1.7798716915E00	1.7831912645E00	1.7971334063E00	1.8119396330E00	1.7966941991E00	2.9285912120E00	2.9304700298E00	2.9245378221E00	2.9282133789E00	2.9262249415E00	2.8566915344E00	2.7301509847E00	7.2687152243E01	1.1311349846E00	2.9379038024E00	6.8354782152E01	2.9380910157E00	2.9310061117E00	2.9377412568E00	2.9307140032E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	1.6512322512E00	1.7083104419E00	0.0000000000E00	4.3354232478E-02	1.1259933184E-01	9.7994546396E-02	?	9.2420149303E-02	9.2395892164E-02	1.0085560759E-01	2.7718168147E00	2.7721661884E00	2.7677651036E00	2.7678459382E00	?	2.7683276470E00	2.7683231474E00	2.7684112351E00	1.1582663262E00	1.1787751937E00	1.1617773291E00	1.1873062900E00	1.1658084143E00	2.5855614455E00	2.5916821558E00	2.5688762290E00	2.5799057345E00	2.5723139860E00	2.4355173832E00	1.9645739524E00	7.2687152243E01	6.2358208507E-01	2.6485795308E00	6.8354782152E01	2.6491252060E00	2.6268799716E00	2.6480973470E00	2.6261032205E00	2.2468123824E00	
Caplet Vola Monte-Carlo Single-Curve	1.6561395115E00	1.7131739052E00	4.3354232478E-02	0.0000000000E00	1.1301332300E-01	9.8314586954E-02	?	9.2706245944E-02	9.2681808350E-02	1.0119775385E-01	2.8148344011E00	2.8151572368E00	2.8104613104E00	2.8105776771E00	?	2.8109805320E00	2.8109759160E00	2.8112184603E00	1.1401335847E00	1.1613308062E00	1.1464475902E00	1.1724984452E00	1.1495888169E00	2.6379306350E00	2.6437409702E00	2.6212962726E00	2.6322872405E00	2.6248458855E00	2.4678786263E00	1.9848970858E00	7.2687152243E01	6.3432737317E-01	2.6966657742E00	6.8354782152E01	2.6972918767E00	2.6729209212E00	2.6962267177E00	2.6720012457E00	2.2897445285E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.5999487599E00	1.6593054349E00	1.1259933184E-01	1.1301332300E-01	0.0000000000E00	2.8677421411E-02	?	6.4244195332E-02	6.4331834239E-02	5.5457655400E-02	2.8555292256E00	2.8558547369E00	2.8511594275E00	2.8512753213E00	?	2.8516795356E00	2.8516748808E00	2.8519202701E00	1.1315430152E00	1.1518066623E00	1.1347720523E00	1.1599821562E00	1.1385989596E00	2.6837307737E00	2.6893352450E00	2.6682977199E00	2.6792557410E00	2.6722532968E00	2.5062363834E00	2.1496291945E00	7.2687152243E01	6.3409617858E-01	2.7366373937E00	6.8354782152E01	2.7372678080E00	2.7129140783E00	2.7361939885E00	2.7119867883E00	2.3306466203E00	
Caplet Vola Analytic Multi-Curve Ju	1.6080437957E00	1.6670907602E00	9.7994546396E-02	9.8314586954E-02	2.8677421411E-02	0.0000000000E00	?	4.5619617621E-02	4.5629452094E-02	5.4893848714E-02	2.8066722011E00	2.8069927150E00	2.8023225919E00	2.8024384114E00	?	2.8028387709E00	2.8028341882E00	2.8030748232E00	1.1320706429E00	1.1523745125E00	1.1353109053E00	1.1605720403E00	1.1391486363E00	2.6553299144E00	2.6609122908E00	2.6430083138E00	2.6538910337E00	2.6479886467E00	2.4618919016E00	2.1312742255E00	7.2687152243E01	6.3483398221E-01	2.6892775616E00	6.8354782152E01	2.6898995998E00	2.6656520979E00	2.6888415999E00	2.6647385683E00	2.3072886467E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.6167356351E00	1.6756082697E00	9.2420149303E-02	9.2706245944E-02	6.4244195332E-02	4.5619617621E-02	?	0.0000000000E00	3.3376954513E-04	4.7233496738E-02	2.8225219451E00	2.8228683833E00	2.8193225739E00	2.8193657276E00	?	2.8196663972E00	2.8196614346E00	2.8199695005E00	1.1005578297E00	1.1206650039E00	1.1034763148E00	1.1284780977E00	1.1070883338E00	2.6811872833E00	2.6869048403E00	2.6686025730E00	2.6797471919E00	2.6737033516E00	2.4697196903E00	2.1464331788E00	7.2687152243E01	6.4956133243E-01	2.7094114583E00	6.8354782152E01	2.7099890020E00	2.6871658964E00	2.7089096267E00	2.6862756225E00	2.3255262860E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.6166845172E00	1.6755572918E00	9.2395892164E-02	9.2681808350E-02	6.4331834239E-02	4.5629452094E-02	?	3.3376954513E-04	0.0000000000E00	4.7290686792E-02	2.8220504135E00	2.8223967402E00	2.8188518553E00	2.8188949984E00	?	2.8191955727E00	2.8191906118E00	2.8194985767E00	1.1007236521E00	1.1208309630E00	1.1036437137E00	1.1286457271E00	1.1072567658E00	2.6807597234E00	2.6864755207E00	2.6681783147E00	2.6793195248E00	2.6732775225E00	2.4693493615E00	2.1461455428E00	7.2687152243E01	6.4929551464E-01	2.7089745872E00	6.8354782152E01	2.7095519505E00	2.6867338428E00	2.7084729112E00	2.6858438518E00	2.3251987908E00	
Caplet Vola Monte-Carlo Multi-Curve	1.6151816256E00	1.6742016349E00	1.0085560759E-01	1.0119775385E-01	5.5457655400E-02	5.4893848714E-02	?	4.7233496738E-02	4.7290686792E-02	0.0000000000E00	2.8560082792E00	2.8563609525E00	2.8527668431E00	2.8528105370E00	?	2.8531165146E00	2.8531114625E00	2.8534251992E00	1.0986796393E00	1.1188363564E00	1.1015876125E00	1.1266513453E00	1.1051971934E00	2.7122061203E00	2.7180234831E00	2.6994430992E00	2.7107810535E00	2.7046331998E00	2.4975496786E00	2.1694511538E00	7.2687152243E01	6.5899833580E-01	2.7409672222E00	6.8354782152E01	2.7415549836E00	2.7184825841E00	2.7404565930E00	2.7175761540E00	2.3507972918E00	
