	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	7.4283896080E-02	5.1232805075E-01	5.4805008830E-01	5.1064744285E-01	5.1135491868E-01	9.4000314285E-01	5.2365059134E-01	5.2365059134E-01	5.5859287634E-01	2.5787995492E00	2.5790291929E00	2.5757913416E00	2.5758273078E00	2.5822474792E00	2.5760031561E00	2.5760031561E00	2.5762549558E00	1.4570864935E00	1.4753475551E00	1.4439895311E00	1.4679508097E00	1.4464768407E00	2.4567581320E00	2.4608845832E00	2.4425914401E00	2.4501907689E00	2.4443759082E00	2.3656364146E00	2.0413556995E00	7.2687152243E01	2.0764886184E-01	2.4980297663E00	6.8354782152E01	2.4984157649E00	2.4843178666E00	2.4976979726E00	2.4836027828E00	2.2289597810E00	
Target (LIBOR)	7.4283896080E-02	0.0000000000E00	5.7865165408E-01	6.1449382705E-01	5.7620580205E-01	5.7693848539E-01	9.9675012763E-01	5.9054889118E-01	5.9054889118E-01	6.2307637089E-01	2.5799666876E00	2.5801837365E00	2.5771239694E00	2.5771579541E00	2.5832249561E00	2.5773241363E00	2.5773241363E00	2.5775621670E00	1.4979613865E00	1.5158614208E00	1.4854119521E00	1.5089183501E00	1.4880629426E00	2.4644250365E00	2.4683403403E00	2.4509937834E00	2.4582086868E00	2.4526931551E00	2.3776609932E00	2.0617161580E00	7.2687152243E01	1.6050135300E-01	2.5035266071E00	6.8354782152E01	2.5038925098E00	2.4905412452E00	2.5032120844E00	2.4898631290E00	2.2468155185E00	
Caplet Vola Analytic Single-Curve	5.1232805075E-01	5.7865165408E-01	0.0000000000E00	4.3354232478E-02	1.7742876373E-01	1.6779340455E-01	6.0117479185E-01	1.6485921897E-01	1.6485921897E-01	1.7119670969E-01	2.7718168147E00	2.7721661884E00	2.7672154683E00	2.7672766938E00	2.7767896957E00	2.7675148624E00	2.7675148624E00	2.7678603224E00	1.1582663262E00	1.1787751937E00	1.1406720777E00	1.1673830400E00	1.1413306773E00	2.5855614455E00	2.5916821558E00	2.5641169951E00	2.5756287092E00	2.5670472280E00	2.4355173832E00	1.9645739524E00	7.2687152243E01	6.2358208507E-01	2.6485795308E00	6.8354782152E01	2.6491252060E00	2.6270448122E00	2.6480973470E00	2.6261032205E00	2.2468123824E00	
Caplet Vola Monte-Carlo Single-Curve	5.4805008830E-01	6.1449382705E-01	4.3354232478E-02	0.0000000000E00	1.7825446488E-01	1.6855813204E-01	6.1885393945E-01	1.6560791311E-01	1.6560791311E-01	1.7199168086E-01	2.8148344011E00	2.8151572368E00	2.8099781959E00	2.8100568845E00	2.8193548581E00	2.8102566495E00	2.8102566495E00	2.8107034577E00	1.1401335847E00	1.1613308062E00	1.1240149902E00	1.1512649795E00	1.1232852332E00	2.6379306350E00	2.6437409702E00	2.6166987652E00	2.6281608861E00	2.6199384392E00	2.4678786263E00	1.9848970858E00	7.2687152243E01	6.3432737317E-01	2.6966657742E00	6.8354782152E01	2.6972918767E00	2.6730659955E00	2.6962267177E00	2.6720012457E00	2.2897445285E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	5.1064744285E-01	5.7620580205E-01	1.7742876373E-01	1.7825446488E-01	0.0000000000E00	2.0155391203E-02	7.3920614864E-01	3.9253103106E-02	3.9253103106E-02	5.5024407321E-02	2.9389754862E00	2.9393052765E00	2.9341438871E00	2.9342212244E00	2.9435349289E00	2.9344221135E00	2.9344221135E00	2.9348777668E00	1.1524950749E00	1.1727940774E00	1.1350139258E00	1.1614484376E00	1.1356195387E00	2.7705613651E00	2.7762534390E00	2.7510418781E00	2.7626353905E00	2.7550597048E00	2.5860220445E00	2.2227269602E00	7.2687152243E01	6.2208782718E-01	2.8190134378E00	6.8354782152E01	2.8196505681E00	2.7955544480E00	2.8185626589E00	2.7944673662E00	2.4118439419E00	
Caplet Vola Analytic Multi-Curve Ju	5.1135491868E-01	5.7693848539E-01	1.6779340455E-01	1.6855813204E-01	2.0155391203E-02	0.0000000000E00	7.2220578186E-01	2.3580622848E-02	2.3580622848E-02	5.4318839151E-02	2.9047403793E00	2.9050667450E00	2.8999248205E00	2.9000021594E00	2.9092678690E00	2.9002018036E00	2.9002018036E00	2.9006529360E00	1.1523858968E00	1.1727074029E00	1.1348843307E00	1.1613479181E00	1.1354895414E00	2.7441644451E00	2.7498123187E00	2.7267163640E00	2.7382132291E00	2.7319500300E00	2.5548862787E00	2.2108747033E00	7.2687152243E01	6.2250557098E-01	2.7862899329E00	6.8354782152E01	2.7869138784E00	2.7645042140E00	2.7858235898E00	2.7634102164E00	2.3887632503E00	
Caplet Vola Analytic Multi-Curve Ho	9.4000314285E-01	9.9675012763E-01	6.0117479185E-01	6.1885393945E-01	7.3920614864E-01	7.2220578186E-01	0.0000000000E00	7.1370471483E-01	7.1370471483E-01	7.0972991793E-01	2.5067119848E00	2.5072224628E00	2.5015625711E00	2.5016039449E00	2.5135434221E00	2.5019569566E00	2.5019569566E00	2.5024673871E00	1.0329777801E00	1.0533372376E00	1.0139891453E00	1.0404003084E00	1.0135256280E00	2.3047399947E00	2.3115799699E00	2.2817513480E00	2.2943631178E00	2.2845629082E00	2.1726911586E00	1.8114369659E00	7.2687152243E01	9.8568305316E-01	2.3608204647E00	6.8354782152E01	2.3614092068E00	2.3391489376E00	2.3600894721E00	2.3377624965E00	1.9227848758E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.2365059134E-01	5.9054889118E-01	1.6485921897E-01	1.6560791311E-01	3.9253103106E-02	2.3580622848E-02	7.1370471483E-01	0.0000000000E00	0.0000000000E00	4.0655387357E-02	2.9014801845E00	2.9018152102E00	2.8973573657E00	2.8974057583E00	2.9054451820E00	2.8975679852E00	2.8975679852E00	2.8980475081E00	1.1362781746E00	1.1564991117E00	1.1186790318E00	1.1449997281E00	1.1191474229E00	2.7547611972E00	2.7604933993E00	2.7390122239E00	2.7506414734E00	2.7443062449E00	2.5487207366E00	2.2181180567E00	7.2687152243E01	6.2930911091E-01	2.7855707587E00	6.8354782152E01	2.7861989631E00	2.7636339919E00	2.7851012504E00	2.7625326281E00	2.3975095418E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.2365059134E-01	5.9054889118E-01	1.6485921897E-01	1.6560791311E-01	3.9253103106E-02	2.3580622848E-02	7.1370471483E-01	0.0000000000E00	0.0000000000E00	4.0655387357E-02	2.9014801845E00	2.9018152102E00	2.8973573657E00	2.8974057583E00	2.9054451820E00	2.8975679852E00	2.8975679852E00	2.8980475081E00	1.1362781746E00	1.1564991117E00	1.1186790318E00	1.1449997281E00	1.1191474229E00	2.7547611972E00	2.7604933993E00	2.7390122239E00	2.7506414734E00	2.7443062449E00	2.5487207366E00	2.2181180567E00	7.2687152243E01	6.2930911091E-01	2.7855707587E00	6.8354782152E01	2.7861989631E00	2.7636339919E00	2.7851012504E00	2.7625326281E00	2.3975095418E00	
Caplet Vola Monte-Carlo Multi-Curve	5.5859287634E-01	6.2307637089E-01	1.7119670969E-01	1.7199168086E-01	5.5024407321E-02	5.4318839151E-02	7.0972991793E-01	4.0655387357E-02	4.0655387357E-02	0.0000000000E00	2.9463357296E00	2.9466929899E00	2.9427306042E00	2.9427567444E00	2.9494811449E00	2.9429051187E00	2.9429051187E00	2.9433731571E00	1.1186133186E00	1.1387899007E00	1.1016291146E00	1.1284934020E00	1.1011653346E00	2.8006200537E00	2.8065244221E00	2.7844642091E00	2.7964404750E00	2.7899166898E00	2.5836571282E00	2.2502165916E00	7.2687152243E01	6.4364391782E-01	2.8299243820E00	6.8354782152E01	2.8305209033E00	2.8076606809E00	2.8294063567E00	2.8066033752E00	2.4335171689E00	
