	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.6347592281E00	1.6346124957E00	1.5505312198E00	1.5551838830E00	?	1.5568643357E00	1.5568643357E00	1.5544240376E00	2.2486585578E00	2.2486585228E00	2.2483356852E00	2.2483387648E00	?	2.2483398774E00	2.2483398774E00	2.2483382618E00	1.5847319521E00	1.5795593605E00	1.5527033334E00	1.5555179038E00	1.5500062086E00	2.2479902972E00	2.2479841666E00	2.2470392441E00	2.2470461105E00	2.2470326673E00	2.2388072929E00	2.2288072929E00	5.6953476326E37	1.2493070445E00	2.2470742152E00	1.3100117838E35	2.2470724267E00	2.2439533358E00	2.2470741270E00	2.2439636101E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.7670420100E00	1.7668952776E00	1.6828140018E00	1.6874666649E00	?	1.6891471177E00	1.6891471177E00	1.6867068195E00	2.3809413397E00	2.3809413048E00	2.3806184671E00	2.3806215468E00	?	2.3806226594E00	2.3806226594E00	2.3806210437E00	1.7170147341E00	1.7118421424E00	1.6849861153E00	1.6878006858E00	1.6822889906E00	2.3802730791E00	2.3802669485E00	2.3793220260E00	2.3793288925E00	2.3793154493E00	2.3710900748E00	2.3610900748E00	5.6953476326E37	1.3815898265E00	2.3793569972E00	1.3100117838E35	2.3793552087E00	2.3762361177E00	2.3793569090E00	2.3762463921E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.6347592281E00	1.7670420100E00	0.0000000000E00	2.0329561476E-02	8.4228008256E-02	7.9575345138E-02	?	7.7894892387E-02	7.7894892387E-02	8.0335190545E-02	6.6055019607E-01	6.6055422805E-01	6.5994883401E-01	6.5996053518E-01	?	6.5998547954E-01	6.5998547954E-01	6.5996256477E-01	4.6590605706E-01	4.6861939947E-01	4.5822134244E-01	4.6153511080E-01	4.5456800309E-01	6.4724476370E-01	6.4742103407E-01	6.4468511213E-01	6.4484199678E-01	6.4416787572E-01	6.5167724602E-01	5.9404806481E-01	5.6953476326E37	4.1092739018E-01	6.5537063654E-01	1.3100117838E35	6.5536733842E-01	6.5222062031E-01	6.5536990795E-01	6.5223942601E-01	6.4252058171E-01	
Caplet Vola Monte-Carlo Single-Curve	1.6346124957E00	1.7668952776E00	2.0329561476E-02	0.0000000000E00	8.4081275849E-02	7.9428612732E-02	?	7.7748159981E-02	7.7748159981E-02	8.0188458138E-02	6.6229495318E-01	6.6229045660E-01	6.6165518408E-01	6.6167076734E-01	?	6.6168545725E-01	6.6168545725E-01	6.6168373137E-01	4.5516665481E-01	4.5817475260E-01	4.4813309744E-01	4.5168344421E-01	4.4398618993E-01	6.5238224820E-01	6.5243602636E-01	6.4999757135E-01	6.5005151438E-01	6.4952250901E-01	6.5287801936E-01	5.9419479721E-01	5.6953476326E37	4.1609129999E-01	6.5911958524E-01	1.3100117838E35	6.5913178113E-01	6.5556807185E-01	6.5913301033E-01	6.5556393312E-01	6.4787801936E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.5505312198E00	1.6828140018E00	8.4228008256E-02	8.4081275849E-02	0.0000000000E00	9.6145406258E-03	?	1.8655752484E-02	1.8655752484E-02	2.5973250835E-02	7.0854083052E-01	7.0853633394E-01	7.0790106142E-01	7.0791664467E-01	?	7.0793133458E-01	7.0793133458E-01	7.0792960871E-01	4.6678257513E-01	4.6949591754E-01	4.5909786051E-01	4.6241162887E-01	4.5544452116E-01	7.0124369755E-01	7.0123189672E-01	6.9931650373E-01	6.9932736811E-01	6.9899202330E-01	6.9912389670E-01	6.7827607306E-01	5.6953476326E37	4.1166889018E-01	7.0536546258E-01	1.3100117838E35	7.0537765846E-01	7.0181394919E-01	7.0537888766E-01	7.0180981046E-01	6.9640707342E-01	
Caplet Vola Analytic Multi-Curve Ju	1.5551838830E00	1.6874666649E00	7.9575345138E-02	7.9428612732E-02	9.6145406258E-03	0.0000000000E00	?	1.1196072150E-02	1.1196072150E-02	2.5614749788E-02	6.9892628989E-01	6.9892179332E-01	6.9828652079E-01	6.9830210405E-01	?	6.9831679396E-01	6.9831679396E-01	6.9831506808E-01	4.6619841422E-01	4.6891175663E-01	4.5851369960E-01	4.6182746796E-01	4.5486036025E-01	6.9327674043E-01	6.9326493960E-01	6.9185536114E-01	6.9186222757E-01	6.9184878438E-01	6.8950935607E-01	6.7362340995E-01	5.6953476326E37	4.1165366340E-01	6.9587198599E-01	1.3100117838E35	6.9588229976E-01	6.9272361150E-01	6.9588026904E-01	6.9271526214E-01	6.8862340995E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.5568643357E00	1.6891471177E00	7.7894892387E-02	7.7748159981E-02	1.8655752484E-02	1.1196072150E-02	?	0.0000000000E00	0.0000000000E00	1.9100321365E-02	6.9305679281E-01	6.9305388573E-01	6.9259047395E-01	6.9259900501E-01	?	6.9260443108E-01	6.9260443108E-01	6.9260879984E-01	4.5769062007E-01	4.6040396248E-01	4.5000590545E-01	4.5331967381E-01	4.4635256610E-01	6.9112596149E-01	6.9111983086E-01	6.9017490839E-01	6.9018177482E-01	6.9016833163E-01	6.8337859993E-01	6.7194295720E-01	5.6953476326E37	4.1504983569E-01	6.9081046962E-01	1.3100117838E35	6.9082078339E-01	6.8766209513E-01	6.9081875267E-01	6.8765374577E-01	6.8694295720E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.5568643357E00	1.6891471177E00	7.7894892387E-02	7.7748159981E-02	1.8655752484E-02	1.1196072150E-02	?	0.0000000000E00	0.0000000000E00	1.9100321365E-02	6.9305679281E-01	6.9305388573E-01	6.9259047395E-01	6.9259900501E-01	?	6.9260443108E-01	6.9260443108E-01	6.9260879984E-01	4.5769062007E-01	4.6040396248E-01	4.5000590545E-01	4.5331967381E-01	4.4635256610E-01	6.9112596149E-01	6.9111983086E-01	6.9017490839E-01	6.9018177482E-01	6.9016833163E-01	6.8337859993E-01	6.7194295720E-01	5.6953476326E37	4.1504983569E-01	6.9081046962E-01	1.3100117838E35	6.9082078339E-01	6.8766209513E-01	6.9081875267E-01	6.8765374577E-01	6.8694295720E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.5544240376E00	1.6867068195E00	8.0335190545E-02	8.0188458138E-02	2.5973250835E-02	2.5614749788E-02	?	1.9100321365E-02	1.9100321365E-02	0.0000000000E00	6.9423452025E-01	6.9423448527E-01	6.9391164762E-01	6.9391472727E-01	?	6.9391583989E-01	6.9391583989E-01	6.9391422424E-01	4.4695455678E-01	4.4966789919E-01	4.3958159316E-01	4.4313193993E-01	4.3561650281E-01	6.9356625965E-01	6.9356012902E-01	6.9261520654E-01	6.9262207298E-01	6.9260862979E-01	6.8438325535E-01	6.7438325535E-01	5.6953476326E37	4.2242078002E-01	6.9265017769E-01	1.3100117838E35	6.9264838917E-01	6.8952929822E-01	6.9265008946E-01	6.8953957257E-01	6.8938325535E-01	
