	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.6347592281E00	1.9380542165E00	1.5903524095E00	1.5934862079E00	?	1.5901575370E00	1.5903179814E00	1.5973237497E00	2.2434686890E00	2.2460897991E00	2.2427991112E00	2.2428271969E00	?	2.2427973650E00	2.2427988027E00	2.2428615994E00	1.8994535817E00	1.9089262418E00	1.5348913189E00	1.5364122004E00	1.5640079445E00	2.2400128330E00	2.2402489745E00	2.2301708665E00	2.2302089157E00	2.2309010741E00	2.2388072929E00	2.2288072929E00	4.3881228954E76	1.2493070445E00	2.2470840542E00	2.0326170451E75	2.2470523984E00	2.2438501503E00	2.2470741270E00	2.2439636101E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.7670420100E00	2.0703369984E00	1.7226351914E00	1.7257689898E00	?	1.7224403189E00	1.7226007633E00	1.7296065316E00	2.3757514709E00	2.3783725810E00	2.3750818932E00	2.3751099788E00	?	2.3750801469E00	2.3750815846E00	2.3751443813E00	2.0317363636E00	2.0412090238E00	1.6671741009E00	1.6686949823E00	1.6962907264E00	2.3722956149E00	2.3725317564E00	2.3624536484E00	2.3624916977E00	2.3631838560E00	2.3710900748E00	2.3610900748E00	4.3881228954E76	1.3815898265E00	2.3793668361E00	2.0326170451E75	2.3793351803E00	2.3761329323E00	2.3793569090E00	2.3762463921E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.6347592281E00	1.7670420100E00	0.0000000000E00	3.1927830625E-01	5.8942138250E-02	4.4891932560E-02	?	4.4601691114E-02	4.4441246718E-02	4.8458690797E-02	6.4973155930E-01	6.5528729033E-01	6.4821758038E-01	6.4841654968E-01	?	6.4853130114E-01	6.4854539542E-01	6.4868989503E-01	4.8915972806E-01	4.9542720389E-01	3.8265846969E-01	4.3910822740E-01	3.8862863085E-01	6.1526622109E-01	6.1690596118E-01	5.9541163840E-01	5.9544968764E-01	5.9614184599E-01	6.5167724602E-01	5.9404806481E-01	4.3881228954E76	4.1092739018E-01	6.5550333219E-01	2.0326170451E75	6.5550543932E-01	6.5223437713E-01	6.5536990795E-01	6.5223942601E-01	6.4252058171E-01	
Caplet Vola Monte-Carlo Single-Curve	1.9380542165E00	2.0703369984E00	3.1927830625E-01	0.0000000000E00	3.7329231958E-01	3.6361148311E-01	?	3.6072091068E-01	3.6013197427E-01	3.4599960709E-01	3.3374792582E-01	3.3989504547E-01	3.3204160171E-01	3.3228930054E-01	?	3.3248874328E-01	3.3250834272E-01	3.3283890928E-01	2.1483017260E-01	2.2049981156E-01	4.0316289754E-01	5.8742039698E-01	3.7404627198E-01	3.0922833918E-01	3.1085287234E-01	2.9394899102E-01	2.9519009413E-01	2.9565213115E-01	3.3740818482E-01	3.0891443045E-01	4.3881228954E76	6.8874717194E-01	3.3926417463E-01	2.0326170451E75	3.3935340156E-01	3.3632320922E-01	3.3902945534E-01	3.3595533392E-01	3.2482900666E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.5903524095E00	1.7226351914E00	5.8942138250E-02	3.7329231958E-01	0.0000000000E00	1.4050205690E-02	?	3.5466265392E-02	3.7082118249E-02	6.5366634572E-02	7.0408069730E-01	7.0963642833E-01	7.0256671838E-01	7.0276568767E-01	?	7.0288043914E-01	7.0289453342E-01	7.0303903303E-01	5.4810186631E-01	5.5436934214E-01	4.4134469270E-01	4.5341773469E-01	4.4731485386E-01	6.6928023442E-01	6.7091997451E-01	6.3981845699E-01	6.3985650623E-01	6.4054866458E-01	7.0602638402E-01	6.3845488340E-01	4.3881228954E76	3.6266715513E-01	7.0985247018E-01	2.0326170451E75	7.0985457732E-01	7.0658351513E-01	7.0971904594E-01	7.0658856400E-01	6.9653459505E-01	
Caplet Vola Analytic Multi-Curve Ju	1.5934862079E00	1.7257689898E00	4.4891932560E-02	3.6361148311E-01	1.4050205690E-02	0.0000000000E00	?	2.3209299552E-02	2.4853738826E-02	5.1856483328E-02	6.9256700225E-01	6.9812273328E-01	6.9105302333E-01	6.9125199262E-01	?	6.9136674409E-01	6.9138083837E-01	6.9152533798E-01	5.3405166062E-01	5.4031913645E-01	4.2749164244E-01	4.3956468443E-01	4.3346180360E-01	6.5959939795E-01	6.6123913805E-01	6.3668465864E-01	6.3672270788E-01	6.3741486623E-01	6.9451268897E-01	6.3532108505E-01	4.3881228954E76	3.7258403833E-01	6.9833877513E-01	2.0326170451E75	6.9834088227E-01	6.9506982008E-01	6.9820535089E-01	6.9507486895E-01	6.8685375858E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.5901575370E00	1.7224403189E00	4.4601691114E-02	3.6072091068E-01	3.5466265392E-02	2.3209299552E-02	?	0.0000000000E00	1.6444392745E-03	3.5956609148E-02	6.8895982109E-01	6.9371539037E-01	6.8757924469E-01	6.8772476068E-01	?	6.8776828204E-01	6.8777715329E-01	6.8799043996E-01	5.1528010522E-01	5.2154758105E-01	4.0703244102E-01	4.2598416691E-01	4.1300260218E-01	6.5793243024E-01	6.5890043667E-01	6.4001332951E-01	6.4005137875E-01	6.4074353710E-01	6.8896318615E-01	6.3864975592E-01	4.3881228954E76	3.9486726328E-01	6.9517691894E-01	2.0326170451E75	6.9528800598E-01	6.9179765665E-01	6.9521817712E-01	6.9164909991E-01	6.8396318615E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.5903179814E00	1.7226007633E00	4.4441246718E-02	3.6013197427E-01	3.7082118249E-02	2.4853738826E-02	?	1.6444392745E-03	0.0000000000E00	3.7126282087E-02	6.8837088468E-01	6.9312645396E-01	6.8699030828E-01	6.8713582427E-01	?	6.8717934562E-01	6.8718821688E-01	6.8740150355E-01	5.1383725590E-01	5.2010473173E-01	4.0550640516E-01	4.2733147895E-01	4.1147656632E-01	6.5756906703E-01	6.5853707346E-01	6.3985288512E-01	6.3989093436E-01	6.4058309271E-01	6.8837424974E-01	6.3848931153E-01	4.3881228954E76	3.9642514835E-01	6.9458798252E-01	2.0326170451E75	6.9469906957E-01	6.9120872024E-01	6.9462924071E-01	6.9106016350E-01	6.8337424974E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.5973237497E00	1.7296065316E00	4.8458690797E-02	3.4599960709E-01	6.5366634572E-02	5.1856483328E-02	?	3.5956609148E-02	3.7126282087E-02	0.0000000000E00	6.7682501858E-01	6.8238074961E-01	6.7531103966E-01	6.7551000895E-01	?	6.7562476042E-01	6.7563885470E-01	6.7578335431E-01	4.9260256298E-01	5.0064430154E-01	3.8301841470E-01	4.1315703081E-01	3.8898857586E-01	6.4268908333E-01	6.4362726202E-01	6.3284711684E-01	6.3288516608E-01	6.3357732443E-01	6.7877070530E-01	6.3148354325E-01	4.3881228954E76	3.8689825317E-01	6.8259679146E-01	2.0326170451E75	6.8259889860E-01	6.7932783641E-01	6.8246336722E-01	6.7933288528E-01	6.6924188255E-01	
