	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.0466094174E00	1.0559378623E00	1.0304540551E00	1.0319736428E00	?	1.0355874339E00	1.0355874339E00	1.0479084724E00	1.9876274565E00	1.9877781303E00	1.9866069518E00	1.9866150211E00	?	1.9866557712E00	1.9866557712E00	1.9868837726E00	1.2773254589E00	1.2941360146E00	1.2723125874E00	1.2958647592E00	1.2848264113E00	1.9252455115E00	1.9279198877E00	1.9189764452E00	1.9245238201E00	1.9214892752E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.6249324051E-01	1.9400544909E00	2.0000000000E00	1.9403232469E00	1.9358089884E00	1.9398240237E00	1.9352969817E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.0874925609E00	1.0965396095E00	1.0718189103E00	1.0732934915E00	?	1.0767999975E00	1.0767999975E00	1.0887525718E00	1.9883128117E00	1.9884551633E00	1.9873486567E00	1.9873562805E00	?	1.9873947811E00	1.9873947811E00	1.9876101948E00	1.3105539738E00	1.3267503656E00	1.3057227658E00	1.3284155184E00	1.3177818271E00	1.9293251600E00	1.9318561187E00	1.9233915442E00	1.9286421382E00	1.9257700398E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	6.1469663052E-01	1.9433376212E00	2.0000000000E00	1.9435918685E00	1.9393210579E00	1.9431195942E00	1.9388366291E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.0466094174E00	1.0874925609E00	0.0000000000E00	1.4802925302E-02	2.2119141251E-02	2.0049509820E-02	?	1.5148073506E-02	1.5148073506E-02	3.1394898017E-02	1.9607295819E00	1.9612046331E00	1.9575141404E00	1.9575395513E00	?	1.9576678809E00	1.9576678809E00	1.9583860034E00	3.9520156697E-01	4.1232976299E-01	3.9356560365E-01	4.2954476252E-01	4.0113221910E-01	1.7705335581E00	1.7784303958E00	1.7521094019E00	1.7684063784E00	1.7594797598E00	1.5275661706E00	1.1214996385E00	2.0000000000E00	5.6766358704E-01	1.8145431500E00	2.0000000000E00	1.8153482441E00	1.8018556244E00	1.8138529381E00	1.8003293698E00	1.3006255531E00	
Caplet Vola Monte-Carlo Single-Curve	1.0559378623E00	1.0965396095E00	1.4802925302E-02	0.0000000000E00	3.5259147351E-02	3.3198804696E-02	?	2.8526461640E-02	2.8526461640E-02	2.5101614058E-02	1.9602251793E00	1.9607062717E00	1.9569688863E00	1.9569946197E00	?	1.9571245785E00	1.9571245785E00	1.9578518194E00	3.8903835189E-01	4.0570450652E-01	3.8737941338E-01	4.2264845429E-01	3.9407309443E-01	1.7677294756E00	1.7757170727E00	1.7490951578E00	1.7655779179E00	1.7565493213E00	1.5221692863E00	1.1126309080E00	2.0000000000E00	5.7949327543E-01	1.8122500862E00	2.0000000000E00	1.8130646469E00	1.7994139359E00	1.8115517618E00	1.7978698736E00	1.2931556682E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0304540551E00	1.0718189103E00	2.2119141251E-02	3.5259147351E-02	0.0000000000E00	2.0698609159E-03	?	7.0011564540E-03	7.0011564540E-03	2.5165768234E-02	1.9615804564E00	1.9620453133E00	1.9584339529E00	1.9584588195E00	?	1.9585843998E00	1.9585843998E00	1.9592871344E00	4.0785067867E-01	4.2464519852E-01	3.9997132390E-01	4.3600861187E-01	4.0789410690E-01	1.7752716001E00	1.7830147667E00	1.7572033707E00	1.7731857005E00	1.7644317820E00	1.5367045945E00	1.1365701669E00	2.0000000000E00	5.4726233386E-01	1.8184162408E00	2.0000000000E00	1.8192053181E00	1.8059802050E00	1.8177397546E00	1.8044840872E00	1.3132992099E00	
Caplet Vola Analytic Multi-Curve Ju	1.0319736428E00	1.0732934915E00	2.0049509820E-02	3.3198804696E-02	2.0698609159E-03	0.0000000000E00	?	4.9313134035E-03	4.9313134035E-03	2.3209199026E-02	1.9615016171E00	1.9619674187E00	1.9583487247E00	1.9583736417E00	?	1.9584994768E00	1.9584994768E00	1.9592036375E00	4.0605552907E-01	4.2282782650E-01	3.9864662177E-01	4.3466180343E-01	4.0654572932E-01	1.7748321734E00	1.7825896088E00	1.7567308905E00	1.7727424406E00	1.7639724846E00	1.5358560328E00	1.1351679386E00	2.0000000000E00	5.4917667386E-01	1.8180571119E00	2.0000000000E00	1.8188476759E00	1.8055977329E00	1.8173793518E00	1.8040988175E00	1.3121210490E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0355874339E00	1.0767999975E00	1.5148073506E-02	2.8526461640E-02	7.0011564540E-03	4.9313134035E-03	?	0.0000000000E00	0.0000000000E00	1.9269064494E-02	1.9613131409E00	1.9617812010E00	1.9581449760E00	1.9581700136E00	?	1.9582964578E00	1.9582964578E00	1.9590040276E00	4.0276096813E-01	4.1922284995E-01	3.9548109032E-01	4.3122894202E-01	4.0305654291E-01	1.7737820075E00	1.7815735295E00	1.7556017675E00	1.7716831179E00	1.7628748516E00	1.5338289430E00	1.1318205710E00	2.0000000000E00	5.5373308750E-01	1.8171987813E00	2.0000000000E00	1.8179928970E00	1.8046836309E00	1.8165179774E00	1.8031780321E00	1.3093076979E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0355874339E00	1.0767999975E00	1.5148073506E-02	2.8526461640E-02	7.0011564540E-03	4.9313134035E-03	?	0.0000000000E00	0.0000000000E00	1.9269064494E-02	1.9613131409E00	1.9617812010E00	1.9581449760E00	1.9581700136E00	?	1.9582964578E00	1.9582964578E00	1.9590040276E00	4.0276096813E-01	4.1922284995E-01	3.9548109032E-01	4.3122894202E-01	4.0305654291E-01	1.7737820075E00	1.7815735295E00	1.7556017675E00	1.7716831179E00	1.7628748516E00	1.5338289430E00	1.1318205710E00	2.0000000000E00	5.5373308750E-01	1.8171987813E00	2.0000000000E00	1.8179928970E00	1.8046836309E00	1.8165179774E00	1.8031780321E00	1.3093076979E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0479084724E00	1.0887525718E00	3.1394898017E-02	2.5101614058E-02	2.5165768234E-02	2.3209199026E-02	?	1.9269064494E-02	1.9269064494E-02	0.0000000000E00	1.9606599248E00	1.9611358104E00	1.9574388411E00	1.9574642966E00	?	1.9575928512E00	1.9575928512E00	1.9583122331E00	3.9635783899E-01	4.1131961384E-01	3.8872352792E-01	4.2283692279E-01	3.9401290036E-01	1.7701461137E00	1.7780555000E00	1.7516928976E00	1.7680155633E00	1.7590748441E00	1.5268199687E00	1.1202720115E00	2.0000000000E00	5.6930877718E-01	1.8142263528E00	2.0000000000E00	1.8150327554E00	1.8015182820E00	1.8135350195E00	1.7999895657E00	1.2995920731E00	
