	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.0493322122E00	1.2491343538E00	9.8183648210E-01	9.9002793189E-01	?	1.0047264851E00	1.0047264851E00	1.0198944143E00	1.5142803507E00	1.5202918912E00	1.5119420977E00	1.5121865462E00	?	1.5126585560E00	1.5126585560E00	1.5131112261E00	1.3036327346E00	1.3218894864E00	1.1273346790E00	1.1540748303E00	1.1541175993E00	1.4649403135E00	1.4703560530E00	1.4154747554E00	1.4266329900E00	1.4233895392E00	1.4754760927E00	1.4030554619E00	7.0848864750E75	6.8185141614E-01	1.5091841867E00	3.2548606990E74	1.5094305235E00	1.5077472659E00	1.5090179348E00	1.5071202849E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.1392404220E00	1.3391388544E00	1.0717007881E00	1.0798978376E00	?	1.0945898485E00	1.0945898485E00	1.1097816188E00	1.6043037239E00	1.6103155017E00	1.6019653504E00	1.6022098195E00	?	1.6026818805E00	1.6026818805E00	1.6031345751E00	1.3935592207E00	1.4118363331E00	1.2169769089E00	1.2435932017E00	1.2438208425E00	1.5549363453E00	1.5603573056E00	1.5054131014E00	1.5165937144E00	1.5133441129E00	1.5654441479E00	1.4928898567E00	7.0848864750E75	7.7152346945E-01	1.5992052507E00	3.2548606990E74	1.5994516095E00	1.5977685702E00	1.5990389988E00	1.5971416093E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.0493322122E00	1.1392404220E00	0.0000000000E00	2.0476836175E-01	6.8212115318E-02	5.9915268241E-02	?	4.6010821724E-02	4.6010821724E-02	3.2797543528E-02	4.6985362206E-01	4.7581151908E-01	4.6753850987E-01	4.6777716210E-01	?	4.6822865764E-01	4.6822865764E-01	4.6868588574E-01	2.7578664006E-01	2.9079832490E-01	1.6329999663E-01	1.8887572817E-01	1.7104061469E-01	4.2210634024E-01	4.2717232028E-01	3.7516818319E-01	3.8520707308E-01	3.8207245874E-01	4.3791421990E-01	3.6066169045E-01	7.0848864750E75	3.7505757117E-01	4.6554708614E-01	3.2548606990E74	4.6579329454E-01	4.6406227092E-01	4.6537666936E-01	4.6341491286E-01	4.0909068198E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2491343538E00	1.3391388544E00	2.0476836175E-01	0.0000000000E00	2.7242352910E-01	2.6431114316E-01	?	2.5071196301E-01	2.5071196301E-01	2.3522955862E-01	2.6659920593E-01	2.7265577701E-01	2.6424306679E-01	2.6448856882E-01	?	2.6495905258E-01	2.6495905258E-01	2.6542262033E-01	9.8813624863E-02	1.0590698705E-01	1.8098082965E-01	1.7916596229E-01	1.5780234802E-01	2.1823548712E-01	2.2328910765E-01	1.7356917691E-01	1.8279566722E-01	1.7971445125E-01	2.3503402173E-01	1.6859717632E-01	7.0848864750E75	5.7167050137E-01	2.6183427947E-01	3.2548606990E74	2.6209465729E-01	2.6037946268E-01	2.6166805623E-01	2.5972613103E-01	2.0776354756E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	9.8183648210E-01	1.0717007881E00	6.8212115318E-02	2.7242352910E-01	0.0000000000E00	8.4963588242E-03	?	2.4264291124E-02	2.4264291124E-02	4.1307062742E-02	5.3795298196E-01	5.4392229689E-01	5.3563307879E-01	5.3587255308E-01	?	5.3632626910E-01	5.3632626910E-01	5.3678376553E-01	3.4116422106E-01	3.5689487191E-01	2.0722949238E-01	2.3540477119E-01	2.2178611697E-01	4.8983515863E-01	4.9496907201E-01	4.4218758897E-01	4.5251349454E-01	4.4930679369E-01	5.0517069091E-01	4.2707571078E-01	7.0848864750E75	3.0865605089E-01	5.3357693675E-01	3.2548606990E74	5.3382287367E-01	5.3209521837E-01	5.3340606496E-01	5.3144882425E-01	4.7561489211E-01	
Caplet Vola Analytic Multi-Curve Ju	9.9002793189E-01	1.0798978376E00	5.9915268241E-02	2.6431114316E-01	8.4963588242E-03	0.0000000000E00	?	1.5945662490E-02	1.5945662490E-02	3.3109052622E-02	5.2971312309E-01	5.3567618290E-01	5.2739574354E-01	5.2763481652E-01	?	5.2808754231E-01	5.2808754231E-01	5.2854447114E-01	3.3316032980E-01	3.4880384651E-01	2.0089026970E-01	2.2885408286E-01	2.1481419436E-01	4.8170073058E-01	4.8681849861E-01	4.3419272050E-01	4.4446414192E-01	4.4127378104E-01	4.9710176044E-01	4.1913366629E-01	7.0848864750E75	3.1695237190E-01	5.2536079036E-01	3.2548606990E74	5.2560644784E-01	5.2387736501E-01	5.2519019944E-01	5.2323158772E-01	4.6769187579E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0047264851E00	1.0945898485E00	4.6010821724E-02	2.5071196301E-01	2.4264291124E-02	1.5945662490E-02	?	0.0000000000E00	0.0000000000E00	1.9166733240E-02	5.1554172894E-01	5.2148078266E-01	5.1323412360E-01	5.1347162361E-01	?	5.1392023672E-01	5.1392023672E-01	5.1437538716E-01	3.1979871883E-01	3.3518668762E-01	1.9102647162E-01	2.1826328838E-01	2.0350857751E-01	4.6791812436E-01	4.7297838654E-01	4.2084003159E-01	4.3093437374E-01	4.2779946934E-01	4.8357091800E-01	4.0560213838E-01	7.0848864750E75	3.3248394681E-01	5.1129338645E-01	3.2548606990E74	5.1153765066E-01	5.0980377649E-01	5.1112334003E-01	5.0915947082E-01	4.5464336433E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0047264851E00	1.0945898485E00	4.6010821724E-02	2.5071196301E-01	2.4264291124E-02	1.5945662490E-02	?	0.0000000000E00	0.0000000000E00	1.9166733240E-02	5.1554172894E-01	5.2148078266E-01	5.1323412360E-01	5.1347162361E-01	?	5.1392023672E-01	5.1392023672E-01	5.1437538716E-01	3.1979871883E-01	3.3518668762E-01	1.9102647162E-01	2.1826328838E-01	2.0350857751E-01	4.6791812436E-01	4.7297838654E-01	4.2084003159E-01	4.3093437374E-01	4.2779946934E-01	4.8357091800E-01	4.0560213838E-01	7.0848864750E75	3.3248394681E-01	5.1129338645E-01	3.2548606990E74	5.1153765066E-01	5.0980377649E-01	5.1112334003E-01	5.0915947082E-01	4.5464336433E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0198944143E00	1.1097816188E00	3.2797543528E-02	2.3522955862E-01	4.1307062742E-02	3.3109052622E-02	?	1.9166733240E-02	1.9166733240E-02	0.0000000000E00	4.9976828813E-01	5.0569743644E-01	4.9746432731E-01	4.9770144725E-01	?	4.9814973760E-01	4.9814973760E-01	4.9859812582E-01	3.0406503681E-01	3.1932588696E-01	1.7881509585E-01	2.0567201740E-01	1.8991370387E-01	4.5218950433E-01	4.5723830605E-01	4.0530741997E-01	4.1533982058E-01	4.1222473651E-01	4.6751051362E-01	3.9071482960E-01	7.0848864750E75	3.4740971957E-01	4.9549149642E-01	3.2548606990E74	4.9573202323E-01	4.9399116061E-01	4.9532381537E-01	4.9336250308E-01	4.3866162785E-01	
