	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	1.0599060469E00	1.0690676816E00	1.0325321385E00	1.0345845612E00	?	1.0364787556E00	1.0366467917E00	1.0495742647E00	2.0174775760E00	2.0176246493E00	2.0163266663E00	2.0163429647E00	?	2.0163636122E00	2.0163662301E00	2.0165887542E00	1.2976840096E00	1.3139290976E00	1.2843469781E00	1.3082322960E00	1.2942712940E00	1.9570542817E00	1.9596185155E00	1.9499915592E00	1.9554134532E00	1.9521663608E00	1.8780167299E00	1.7100751465E00	1.1667589706E01	5.7928203479E-01	1.9713206745E00	1.1047352968E01	1.9715996743E00	1.9668073644E00	1.9711006910E00	1.9663599149E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	1.1013752348E00	1.1102685622E00	1.0747987900E00	1.0767963864E00	?	1.0786397681E00	1.0788030084E00	1.0913451582E00	2.0181473120E00	2.0182862645E00	2.0170599691E00	2.0170753675E00	?	2.0170948750E00	2.0170973484E00	2.0173075916E00	1.3309408750E00	1.3466099253E00	1.3180837578E00	1.3410839537E00	1.3276799720E00	1.9610037595E00	1.9634312620E00	1.9543183223E00	1.9594523688E00	1.9563779701E00	1.8860485700E00	1.7262427875E00	1.1667589706E01	6.3166156193E-01	1.9745075019E00	1.1047352968E01	1.9747714540E00	1.9702381597E00	1.9742993665E00	1.9698147865E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	1.0599060469E00	1.1013752348E00	0.0000000000E00	1.8894987329E-02	6.4676956273E-02	6.0766308908E-02	?	5.8647644241E-02	5.8555640562E-02	5.8317876294E-02	2.0203758042E00	2.0208380887E00	2.0166522728E00	2.0167055193E00	?	2.0167729139E00	2.0167812086E00	2.0174792249E00	5.2198209779E-01	5.4069678782E-01	5.0664960065E-01	5.4106411371E-01	5.1143796333E-01	1.8376903874E00	1.8450972392E00	1.8166544962E00	1.8321421650E00	1.8226272274E00	1.6366195098E00	1.1927428177E00	1.1667589706E01	5.6914965476E-01	1.8810587925E00	1.1047352968E01	1.8818826612E00	1.8671667196E00	1.8804078560E00	1.8658415094E00	1.4305378473E00	
Caplet Vola Monte-Carlo Single-Curve	1.0690676816E00	1.1102685622E00	1.8894987329E-02	0.0000000000E00	7.0215333945E-02	6.6261684690E-02	?	6.3680353509E-02	6.3536054749E-02	5.7874755204E-02	2.0211443893E00	2.0216097186E00	2.0173740550E00	2.0174279642E00	?	2.0174960852E00	2.0175044764E00	2.0182099977E00	5.1403952608E-01	5.3234169405E-01	4.9890009354E-01	5.3301584990E-01	5.0302555046E-01	1.8363407074E00	1.8438300992E00	1.8150651805E00	1.8307258579E00	1.8211014808E00	1.6337455339E00	1.1862075123E00	1.1667589706E01	5.8099660684E-01	1.8802294752E00	1.1047352968E01	1.8810682594E00	1.8661671540E00	1.8795776691E00	1.8648291722E00	1.4261710400E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0325321385E00	1.0747987900E00	6.4676956273E-02	7.0215333945E-02	0.0000000000E00	4.4434619256E-03	?	7.8519442093E-03	8.0541141191E-03	2.8307550909E-02	2.0385740952E00	2.0390178568E00	2.0349580859E00	2.0350098029E00	?	2.0350749176E00	2.0350828932E00	2.0357530924E00	5.4566361989E-01	5.6410746369E-01	5.2804868650E-01	5.6170739474E-01	5.3128374003E-01	1.8626962327E00	1.8698184960E00	1.8423028569E00	1.8571922142E00	1.8480099929E00	1.6689671758E00	1.2336553283E00	1.1667589706E01	5.4058654886E-01	1.9046330294E00	1.1047352968E01	1.9054245736E00	1.8910444499E00	1.9040072733E00	1.8897702427E00	1.4697574132E00	
Caplet Vola Analytic Multi-Curve Ju	1.0345845612E00	1.0767963864E00	6.0766308908E-02	6.6261684690E-02	4.4434619256E-03	0.0000000000E00	?	3.7096652975E-03	3.9437413437E-03	2.5921770703E-02	2.0371453336E00	2.0375904389E00	2.0335215972E00	2.0335734166E00	?	2.0336386830E00	2.0336466814E00	2.0343189055E00	5.4288748193E-01	5.6133787777E-01	5.2532137376E-01	5.5905713163E-01	5.2865064839E-01	1.8607711548E00	1.8679143774E00	1.8403316994E00	1.8552655480E00	1.8460594305E00	1.6664645861E00	1.2307573377E00	1.1667589706E01	5.4275688920E-01	1.9028076825E00	1.1047352968E01	1.9036016125E00	1.8891949470E00	1.9021801073E00	1.8879170568E00	1.4667728363E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0364787556E00	1.0786397681E00	5.8647644241E-02	6.3680353509E-02	7.8519442093E-03	3.7096652975E-03	?	0.0000000000E00	2.7123741404E-04	2.3419738819E-02	2.0361523783E00	2.0365985847E00	2.0325217396E00	2.0325736476E00	?	2.0326390244E00	2.0326470409E00	2.0333209161E00	5.3998552658E-01	5.5841189122E-01	5.2244000993E-01	5.5622886554E-01	5.2577287539E-01	1.8593338212E00	1.8664952639E00	1.8388539426E00	1.8538270663E00	1.8445997610E00	1.6644659144E00	1.2286473799E00	1.1667589706E01	5.4494822434E-01	1.9014634612E00	1.1047352968E01	1.9022593363E00	1.8878263371E00	1.9008344049E00	1.8865455408E00	1.4643774818E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0366467917E00	1.0788030084E00	5.8555640562E-02	6.3536054749E-02	8.0541141191E-03	3.9437413437E-03	?	2.7123741404E-04	0.0000000000E00	2.3187520781E-02	2.0361331656E00	2.0365794642E00	2.0325018206E00	2.0325537385E00	?	2.0326191263E00	2.0326271442E00	2.0333011463E00	5.3980393984E-01	5.5822427877E-01	5.2226067435E-01	5.5604643231E-01	5.2558504910E-01	1.8592787869E00	1.8664415594E00	1.8387953224E00	1.8537712271E00	1.8445422321E00	1.6643684897E00	1.2285177235E00	1.1667589706E01	5.4515885979E-01	1.9014162252E00	1.1047352968E01	1.9022122129E00	1.8877764603E00	1.9007870389E00	1.8864954527E00	1.4642518083E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0495742647E00	1.0913451582E00	5.8317876294E-02	5.7874755204E-02	2.8307550909E-02	2.5921770703E-02	?	2.3419738819E-02	2.3187520781E-02	0.0000000000E00	2.0364391059E00	2.0368916497E00	2.0327503748E00	2.0328031210E00	?	2.0328694248E00	2.0328775516E00	2.0335585774E00	5.3023938337E-01	5.4807078288E-01	5.1285273947E-01	5.4609091493E-01	5.1530852638E-01	1.8569380135E00	1.8641963037E00	1.8361826677E00	1.8513493366E00	1.8419961789E00	1.6587808041E00	1.2194891260E00	1.1667589706E01	5.6173810317E-01	1.8996663992E00	1.1047352968E01	1.9004660846E00	1.8858046044E00	1.8990286152E00	1.8845143210E00	1.4566934937E00	
Caplet Value Analytic Single-Curve	2.0174775760E00	2.0181473120E00	2.0203758042E00	2.0211443893E00	2.0385740952E00	2.0371453336E00	?	2.0361523783E00	2.0361331656E00	2.0364391059E00	0.0000000000E00	1.6738853349E-02	1.0133731222E-01	9.9878906081E-02	?	9.7922597307E-02	9.7717611264E-02	8.3408317102E-02	2.1110057436E00	2.1184861796E00	2.1141120997E00	2.1388116152E00	2.1220913140E00	1.6707818485E00	1.6447474012E00	1.6976921447E00	1.6334699788E00	1.6708825980E00	2.1536080377E00	2.2817099163E00	1.1667589706E01	1.9971419059E00	1.4201779639E00	1.1047352968E01	1.4171343225E00	1.4267397002E00	1.4221622287E00	1.4307641725E00	2.1039588524E00	
Caplet Value Monte-Carlo Single-Curve	2.0176246493E00	2.0182862645E00	2.0208380887E00	2.0216097186E00	2.0390178568E00	2.0375904389E00	?	2.0365985847E00	2.0365794642E00	2.0368916497E00	1.6738853349E-02	0.0000000000E00	1.1205530437E-01	1.1061532297E-01	?	1.0866482460E-01	1.0845672382E-01	9.3155970791E-02	2.1116608913E00	2.1191588830E00	2.1147528498E00	2.1394773718E00	2.1227415988E00	1.6768263391E00	1.6509598392E00	1.7033252579E00	1.6394262899E00	1.6766376408E00	2.1570484609E00	2.2833071204E00	1.1667589706E01	1.9974047496E00	1.4273319809E00	1.1047352968E01	1.4243347351E00	1.4335386574E00	1.4293219322E00	1.4375339738E00	2.1062023377E00	
