Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.37705502589504725
1	2	0.4109833638569307
1	3	0.4168805607860968
1	4	0.39951921504678883
1	5	0.36307478513698077
1	6	0.31389245498271207
1	7	0.26062982475986096
1	8	0.2112227465105389
1	9	0.17010871372753492
1	10	0.13811075438703932
1	11	0.1138846457470169
1	12	0.09533571469912137
1	13	0.08055803817171826
1	14	0.06831271753599441
1	15	0.05799500464557932
1	16	0.04926667015944567
1	17	0.041765531950706335
1	18	0.03507056603913274
1	19	0.0288497229598402
1	20	0.023057582895738157
1	21	0.01795905064076428
1	22	0.013862745449928106
1	23	0.010849602958429232
1	24	0.008754863204338518
1	25	0.007293423476464923
1	26	0.006187306764604801
1	27	0.00526766166932594
1	28	0.00448686808625542
1	29	0.00382747706472838
1	30	0.0032314573076599727
1	31	0.0026202018729741482
1	32	0.0020004480114357947
1	33	0.0014927857005061025
1	34	0.0011745006297927602
1	35	9.994194903110878E-4
1	36	8.500113913928832E-4
1	37	7.113808296994554E-4
1	38	6.152777728014159E-4
1	39	3.2151582322814817E-4
1	40	0.0
1	41	0.4624837537994149
1	42	0.49904239489241636
1	43	0.5049226309764339
1	44	0.4848295341388805
1	45	0.44287766118957206
1	46	0.38590103570816303
1	47	0.3237564530096466
1	48	0.26578351827189567
1	49	0.2173969735096903
1	50	0.1797748580989464
1	51	0.1514578610597196
1	52	0.12998577640798392
1	53	0.11303337696684007
1	54	0.09905375141056999
1	55	0.08730224563963276
1	56	0.07738072524015388
1	57	0.06881877282493859
1	58	0.06097958568577145
1	59	0.053265417172771994
1	60	0.04550239376937639
1	61	0.038141181241411005
1	62	0.031908754970592035
1	63	0.027260431879510452
1	64	0.02418488879838907
1	65	0.022309430938782862
1	66	0.02110269518506291
1	67	0.020167208158505954
1	68	0.019406228939089186
1	69	0.018814869952998945
1	70	0.018156181774363903
1	71	0.016914566681489527
1	72	0.014908292538036974
1	73	0.01289913002294797
1	74	0.011813682775187581
1	75	0.011743123287690867
1	76	0.01170409932318431
1	77	0.011511134014714423
1	78	0.011729509674270876
1	79	0.00723721697793878
2	0	0.0
2	1	0.4109833638569307
2	2	0.44932896411722134
2	3	0.45802840294671815
2	4	0.44195241715455125
2	5	0.4051086996776305
2	6	0.3538060366152881
2	7	0.29706471410077984
2	8	0.24345541108720034
2	9	0.19798208399867107
2	10	0.16177941699882054
2	11	0.133598006035745
2	12	0.11135814918731744
2	13	0.09321360542665484
2	14	0.0780582931965512
2	15	0.06540942272028324
2	16	0.054950051590917454
2	17	0.04623573344791522
2	18	0.03871187060698569
2	19	0.03190922782048846
2	20	0.02567235545528366
2	21	0.020200691879813628
2	22	0.01577682587239461
2	23	0.012471751650715332
2	24	0.01010933473097615
2	25	0.00839149805765063
2	26	0.007038434496305421
2	27	0.0058993680632674385
2	28	0.004949604272429151
2	29	0.0041781982412150845
2	30	0.0035162088063367546
2	31	0.0028658565431816745
2	32	0.0022162856048851117
2	33	0.0016812798394798714
2	34	0.0013373590884789316
2	35	0.0011321417419395683
2	36	9.422551228612651E-4
2	37	7.703554276958939E-4
2	38	6.635988303617718E-4
2	39	3.6127691593254156E-4
2	40	0.0
2	41	0.5040991786662211
2	42	0.5456040853898065
2	43	0.5547605909992436
2	44	0.5363236020963331
2	45	0.4941505188058946
2	46	0.4349710029734855
2	47	0.3690161639797305
2	48	0.3063421755945129
2	49	0.2530188191264039
2	50	0.21058368599442365
2	51	0.17767512120085296
2	52	0.15183161449150973
2	53	0.13079077941508696
2	54	0.11318488048364558
2	55	0.09846347154156178
2	56	0.08630733171792881
2	57	0.07618450640834426
2	58	0.06731097034764476
2	59	0.05891419941485477
2	60	0.050662449407462846
2	61	0.04290194763641928
2	62	0.03631451452342345
2	63	0.03133620074348964
2	64	0.027926551287882018
2	65	0.025668267720116888
2	66	0.024005588118767233
2	67	0.022585691945318242
2	68	0.021407617033113304
2	69	0.020538922955476827
2	70	0.019756079120444577
2	71	0.01850037666914826
2	72	0.016516817211236965
2	73	0.014527903936284588
2	74	0.013451790171106053
2	75	0.013302602344286051
2	76	0.012974235001340258
2	77	0.012465425264434666
2	78	0.012650690866213794
2	79	0.008132226288187997
3	0	0.0
3	1	0.4168805607860968
3	2	0.4580284029467182
3	3	0.47061595611281554
3	4	0.45903847616848453
3	5	0.42646333098244704
3	6	0.3782838102413982
3	7	0.32295715060460106
3	8	0.26904149165052776
3	9	0.22188543643745096
3	10	0.18302955728563702
3	11	0.1515588091388697
3	12	0.1256937263005399
3	13	0.10393768689465391
3	14	0.08557071652511626
3	15	0.07039867172185812
3	16	0.05819247260442128
3	17	0.048424837462007785
3	18	0.04037781657561659
3	19	0.03339907832088212
3	20	0.027157366275032634
3	21	0.021710570663238806
3	22	0.017259731068534522
3	23	0.01384966103035067
3	24	0.01130622294198646
3	25	0.009345299630366928
3	26	0.007718514162107197
3	27	0.006326540930090425
3	28	0.005189783602706082
3	29	0.004311230182371351
3	30	0.0036112290416407526
3	31	0.002969452469545274
3	32	0.0023446345533941915
3	33	0.00182474561585844
3	34	0.0014759796605484134
3	35	0.001241006240774254
3	36	0.001000349572327168
3	37	7.883624661413176E-4
3	38	6.749993307647763E-4
3	39	3.923135623659264E-4
3	40	0.0
3	41	0.5113324936610841
3	42	0.5561675027187948
3	43	0.5700065416624185
3	44	0.5570580892499098
3	45	0.5201988415068903
3	46	0.46506410665979775
3	47	0.4011799557099303
3	48	0.33853737532206685
3	49	0.2835670277575594
3	50	0.23824439186486845
3	51	0.20156161444206577
3	52	0.1713775016461787
3	53	0.14583805676575382
3	54	0.12407792850924289
3	55	0.10597399153470023
3	56	0.09140004224102347
3	57	0.07979158250194705
3	58	0.0702076642541143
3	59	0.06166491936246051
3	60	0.05359300580522352
3	61	0.0461086071354723
3	62	0.03972781088085542
3	63	0.03479830022525035
3	64	0.031232897442216256
3	65	0.02858579614616824
3	66	0.026325097145065045
3	67	0.024221120464778804
3	68	0.022446420710910117
3	69	0.021192872967487612
3	70	0.02028995733704139
3	71	0.019169134379186378
3	72	0.017473334781493353
3	73	0.015767588710008586
3	74	0.014846101440937249
3	75	0.01458175413576299
3	76	0.013774157465391517
3	77	0.012756804261590041
3	78	0.012868027304615792
3	79	0.008830851140460307
4	0	0.0
4	1	0.39951921504678883
4	2	0.4419524171545513
4	3	0.4590384761684846
