Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	36.84	18.89	31.95	31.95	?	31.91	31.91	32.09	0.32	0.16	0.29	0.29	?	0.29	0.29	0.29	21.44	20.83	35.39	35.28	34.21	0.54	0.52	0.93	0.93	0.90	1.00	2.00	100.05	99.95	0.17	100.05	0.17	0.49	0.17	0.48	0.50	
204.12	216.13	38.57	20.12	33.50	33.50	?	33.40	33.40	33.34	0.48	0.25	0.44	0.44	?	0.43	0.43	0.43	21.40	20.71	33.35	33.14	32.43	1.70	1.64	2.76	2.74	2.69	1.00	6.00	100.14	99.86	0.26	100.14	0.25	0.57	0.26	0.57	1.00	
190.21	201.39	39.45	20.82	34.33	34.33	?	34.17	34.17	34.27	0.61	0.32	0.56	0.56	?	0.56	0.56	0.56	18.68	18.03	28.08	27.82	27.39	2.58	2.49	4.03	4.00	3.93	1.00	10.00	100.27	99.74	0.38	100.27	0.37	0.73	0.37	0.73	1.50	
180.88	191.52	39.70	21.44	34.62	34.61	?	34.39	34.39	34.71	0.73	0.40	0.67	0.67	?	0.66	0.66	0.67	15.56	14.96	22.94	22.65	22.42	3.10	2.98	4.73	4.68	4.63	1.00	14.00	100.48	99.55	0.63	100.48	0.63	0.95	0.63	0.94	2.00	
174.62	184.90	39.49	21.78	34.50	34.48	?	34.23	34.23	34.32	0.83	0.46	0.76	0.76	?	0.75	0.75	0.75	12.85	12.34	18.80	18.52	18.40	3.34	3.20	5.05	4.98	4.94	1.00	18.00	100.84	99.24	0.82	100.84	0.82	1.13	0.82	1.13	2.50	
170.43	180.46	38.95	21.93	34.10	34.08	?	33.79	33.79	34.05	0.91	0.52	0.83	0.83	?	0.83	0.83	0.83	10.78	10.35	15.75	15.49	15.44	3.44	3.30	5.18	5.09	5.08	1.00	22.00	101.33	98.83	1.01	101.33	1.01	1.31	1.01	1.30	3.00	
167.62	177.48	38.19	21.85	33.51	33.47	?	33.16	33.16	33.19	0.98	0.57	0.90	0.90	?	0.89	0.89	0.89	9.25	8.88	13.54	13.31	13.29	3.47	3.33	5.22	5.13	5.13	1.00	26.00	101.97	98.33	1.21	101.97	1.20	1.49	1.21	1.50	3.50	
165.74	175.49	37.30	21.74	32.78	32.74	?	32.41	32.41	32.33	1.05	0.62	0.96	0.96	?	0.95	0.95	0.95	8.14	7.81	11.93	11.73	11.72	3.48	3.34	5.23	5.14	5.14	1.00	30.00	102.76	97.74	1.41	102.76	1.40	1.68	1.41	1.70	4.00	
164.48	174.15	36.32	21.35	31.98	31.93	2.75	31.60	31.60	31.53	1.10	0.66	1.01	1.01	0.09	1.00	1.00	0.99	7.31	7.01	10.74	10.55	10.56	3.48	3.34	5.24	5.15	5.15	1.00	34.00	103.73	97.05	1.59	103.73	1.58	1.87	1.60	1.88	4.50	
193.94	205.35	35.31	21.03	31.14	31.09	4.29	30.75	30.75	30.60	1.14	0.69	1.05	1.05	0.15	1.03	1.03	1.03	23.02	21.76	33.89	33.42	32.69	1.21	1.15	1.84	1.82	1.78	3.50	2.00	104.88	96.28	1.77	104.89	1.76	2.03	1.78	2.06	5.00	
