	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.8303784540E00	2.0360670724E00	1.8859459618E00	1.8859547268E00	?	1.8834986512E00	1.8835004919E00	1.8867652611E00	2.2451541559E00	2.2469449210E00	2.2454755126E00	2.2454755926E00	?	2.2454531657E00	2.2454531825E00	2.2454829943E00	2.0127664538E00	2.0165184904E00	1.8528300253E00	1.8547901524E00	1.8662205460E00	2.2428489192E00	2.2429432032E00	2.2383190989E00	2.2383703466E00	2.2386693910E00	2.2388072929E00	2.2288072929E00	3.9396232460E10	1.2493070445E00	2.2470764796E00	1.4963271534E06	2.2470583752E00	2.2438916273E00	2.2470741270E00	2.2439636101E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.9626612360E00	2.1683498543E00	2.0182287437E00	2.0182375087E00	?	2.0157814331E00	2.0157832738E00	2.0190480431E00	2.3774369379E00	2.3792277029E00	2.3777582945E00	2.3777583745E00	?	2.3777359476E00	2.3777359644E00	2.3777657762E00	2.1450492357E00	2.1488012724E00	1.9851128072E00	1.9870729343E00	1.9985033279E00	2.3751317011E00	2.3752259851E00	2.3706018808E00	2.3706531285E00	2.3709521730E00	2.3710900748E00	2.3610900748E00	3.9396232460E10	1.3815898265E00	2.3793592616E00	1.4963270877E06	2.3793411571E00	2.3761744093E00	2.3793569090E00	2.3762463921E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.8303784540E00	1.9626612360E00	0.0000000000E00	2.1237176088E-01	5.7258392016E-02	5.7360089578E-02	?	5.6426362514E-02	5.6421972959E-02	6.1647394957E-02	4.3873959208E-01	4.4252465356E-01	4.3941054501E-01	4.3941423463E-01	?	4.3940723092E-01	4.3940714809E-01	4.3944561785E-01	3.2078118056E-01	3.2389359629E-01	2.7617442658E-01	2.7887469216E-01	2.7860257748E-01	4.1674103169E-01	4.1712151484E-01	4.0794064483E-01	4.0799189256E-01	4.0829093701E-01	4.3696720414E-01	3.9842883889E-01	3.9396232461E10	5.8107140949E-01	4.4065814813E-01	1.4963280401E06	4.4072745878E-01	4.3744597306E-01	4.4071831528E-01	4.3752938412E-01	4.2946332431E-01	
Caplet Vola Monte-Carlo Single-Curve	2.0360670724E00	2.1683498543E00	2.1237176088E-01	0.0000000000E00	1.5511336886E-01	1.5501167130E-01	?	1.5603685135E-01	1.5603338789E-01	1.5158376552E-01	2.3355196618E-01	2.3804597220E-01	2.3438265463E-01	2.3439296002E-01	?	2.3440924485E-01	2.3440865815E-01	2.3446463602E-01	1.4558578353E-01	1.4845674377E-01	1.8323704711E-01	1.8127692001E-01	1.6984652641E-01	2.2200677624E-01	2.2263368286E-01	2.1469629686E-01	2.1509975445E-01	2.1540372042E-01	2.3386286375E-01	2.1552460032E-01	3.9396232461E10	7.8676002786E-01	2.3390234545E-01	1.4963281255E06	2.3397044159E-01	2.3084464918E-01	2.3388254394E-01	2.3081484373E-01	2.1851015375E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8859459618E00	2.0182287437E00	5.7258392016E-02	1.5511336886E-01	0.0000000000E00	1.1510906227E-03	?	2.7977875264E-03	2.6748458277E-03	9.2803970224E-03	3.8213761091E-01	3.8592267240E-01	3.8280856384E-01	3.8281225346E-01	?	3.8280524975E-01	3.8280516692E-01	3.8284363668E-01	2.7196358232E-01	2.7483454257E-01	2.2814143314E-01	2.3084169873E-01	2.3056958404E-01	3.5976353585E-01	3.6014401900E-01	3.5237313708E-01	3.5242438482E-01	3.5272342927E-01	3.8036522297E-01	3.4286133114E-01	3.9396232461E10	6.3663891724E-01	3.8405616697E-01	1.4963280637E06	3.8407905567E-01	3.8084399189E-01	3.8405788490E-01	3.8092740296E-01	3.7220493229E-01	
Caplet Vola Analytic Multi-Curve Ju	1.8859547268E00	2.0182375087E00	5.7360089578E-02	1.5501167130E-01	1.1510906227E-03	0.0000000000E00	?	2.4560756373E-03	2.4542349474E-03	8.4081098109E-03	3.8194209930E-01	3.8572716079E-01	3.8261305224E-01	3.8261674186E-01	?	3.8260973815E-01	3.8260965531E-01	3.8264812507E-01	2.7118177315E-01	2.7405273340E-01	2.2735962396E-01	2.3005988955E-01	2.2978777487E-01	3.5972193198E-01	3.6010241513E-01	3.5236437205E-01	3.5241561978E-01	3.5271466423E-01	3.8016971137E-01	3.4285256610E-01	3.9396232461E10	6.3664768227E-01	3.8386065536E-01	1.4963280646E06	3.8388354407E-01	3.8064848028E-01	3.8386237329E-01	3.8073189135E-01	3.7210323473E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8834986512E00	2.0157814331E00	5.6426362514E-02	1.5603685135E-01	2.7977875264E-03	2.4560756373E-03	?	0.0000000000E00	1.5434612509E-04	8.1983529789E-03	3.8231322956E-01	3.8609829105E-01	3.8298418249E-01	3.8298787211E-01	?	3.8298086841E-01	3.8298078557E-01	3.8301925533E-01	2.6969475187E-01	2.7256571211E-01	2.2587260268E-01	2.2857286827E-01	2.2830075359E-01	3.6145561568E-01	3.6183609883E-01	3.5482044768E-01	3.5487169541E-01	3.5517073986E-01	3.8054084163E-01	3.4530864174E-01	3.9396232461E10	6.3419160664E-01	3.8431888503E-01	1.4963280659E06	3.8439254925E-01	3.8101961054E-01	3.8438340574E-01	3.8110302161E-01	3.7312841477E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8835004919E00	2.0157832738E00	5.6421972959E-02	1.5603338789E-01	2.6748458277E-03	2.4542349474E-03	?	1.5434612509E-04	0.0000000000E00	8.0837827040E-03	3.8231761912E-01	3.8610268060E-01	3.8298857205E-01	3.8299226167E-01	?	3.8298525796E-01	3.8298517513E-01	3.8302364489E-01	2.6976091052E-01	2.7263187077E-01	2.2593876134E-01	2.2863902692E-01	2.2836691224E-01	3.6145245573E-01	3.6183293888E-01	3.5481860699E-01	3.5486985472E-01	3.5516889917E-01	3.8054523118E-01	3.4530680105E-01	3.9396232461E10	6.3419344733E-01	3.8431542158E-01	1.4963280658E06	3.8438908579E-01	3.8102400010E-01	3.8437994228E-01	3.8110741117E-01	3.7312495131E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8867652611E00	2.0190480431E00	6.1647394957E-02	1.5158376552E-01	9.2803970224E-03	8.4081098109E-03	?	8.1983529789E-03	8.0837827040E-03	0.0000000000E00	3.8027941504E-01	3.8406447653E-01	3.8095036798E-01	3.8095405760E-01	?	3.8094705389E-01	3.8094697106E-01	3.8098544081E-01	2.6389094976E-01	2.6676191001E-01	2.2006880057E-01	2.2276906616E-01	2.2249695148E-01	3.5608365804E-01	3.5617794208E-01	3.5155383773E-01	3.5160508546E-01	3.5190412991E-01	3.7850702711E-01	3.4204203179E-01	3.9396232461E10	6.3745821659E-01	3.8219797110E-01	1.4963280617E06	3.8222085981E-01	3.7898579602E-01	3.8219968903E-01	3.7906920709E-01	3.6867532895E-01	
