Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.21942557709923538
1	2	0.23488382292602575
1	3	0.23716878144613254
1	4	0.22808406679260634
1	5	0.20920608157376755
1	6	0.18342317998778107
1	7	0.15512744239585424
1	8	0.1286029238666212
1	9	0.1064081471620452
1	10	0.08916492642831222
1	11	0.07625159463941002
1	12	0.06654160123046501
1	13	0.05893641252991271
1	14	0.05269190199133407
1	15	0.0474536900807789
1	16	0.043039123710846804
1	17	0.03921524512836312
1	18	0.03563499848446069
1	19	0.03194370771688489
1	20	0.028014784191386866
1	21	0.0241089689102655
1	22	0.02070119846957647
1	23	0.01814036119507654
1	24	0.016492272043734334
1	25	0.015571524234223815
1	26	0.015054959775198823
1	27	0.01468295952893937
1	28	0.014395320722625648
1	29	0.01419588717224443
1	30	0.013910378571099972
1	31	0.013137745799133939
1	32	0.011720866208990169
1	33	0.010250232718530905
1	34	0.009475874073614615
1	35	0.009496203555001484
1	36	0.00953151216134645
1	37	0.009431404730536342
1	38	0.009660490807587527
1	39	0.00598721356435042
1	40	0.0
1	41	0.10971278854961769
1	42	0.11744191146301287
1	43	0.11858439072306627
1	44	0.11404203339630317
1	45	0.10460304078688377
1	46	0.09171158999389054
1	47	0.07756372119792712
1	48	0.0643014619333106
1	49	0.0532040735810226
1	50	0.04458246321415611
1	51	0.03812579731970501
1	52	0.03327080061523251
1	53	0.029468206264956356
1	54	0.026345950995667035
1	55	0.02372684504038945
1	56	0.021519561855423402
1	57	0.01960762256418156
1	58	0.017817499242230344
1	59	0.015971853858442447
1	60	0.014007392095693433
1	61	0.01205448445513275
1	62	0.010350599234788234
1	63	0.00907018059753827
1	64	0.008246136021867167
1	65	0.007785762117111908
1	66	0.007527479887599412
1	67	0.007341479764469685
1	68	0.007197660361312824
1	69	0.007097943586122215
1	70	0.006955189285549986
1	71	0.006568872899566969
1	72	0.005860433104495084
1	73	0.005125116359265452
1	74	0.004737937036807307
1	75	0.004748101777500742
1	76	0.004765756080673225
1	77	0.004715702365268171
1	78	0.0048302454037937636
1	79	0.00299360678217521
2	0	0.0
2	1	0.23488382292602575
2	2	0.25219683260647635
2	3	0.2559084562400887
2	4	0.247787354415783
2	5	0.2292430273273526
2	6	0.20304155433983337
2	7	0.17364486218969824
2	8	0.14557135953412023
2	9	0.12162435801552073
2	10	0.10257373582875566
2	11	0.08784763632609739
2	12	0.07633188265033901
2	13	0.06697311068313734
2	14	0.059129977404566963
2	15	0.05256129627440688
2	16	0.0471438084870365
2	17	0.04263448460199691
2	18	0.03862997933197974
2	19	0.034698150004571694
2	20	0.030632720547190097
2	21	0.026632249779859854
2	22	0.023137275708888103
2	23	0.020478865228766057
2	24	0.018702516700756122
2	25	0.017594848950671267
2	26	0.01681900783975805
2	27	0.01614907197739407
2	28	0.015595340837687452
2	29	0.015218972524688568
2	30	0.014864884299479764
2	31	0.0141119457374816
2	32	0.012752769618272299
2	33	0.011337638716587044
2	34	0.0105964503903436
2	35	0.010564509861726272
2	36	0.010376524523059998
2	37	0.010030249137815452
2	38	0.010232456952905008
2	39	0.006607070795451117
2	40	0.0
2	41	0.11744191146301287
2	42	0.12609841630323818
2	43	0.12795422812004434
2	44	0.1238936772078915
2	45	0.1146215136636763
2	46	0.10152077716991668
2	47	0.08682243109484912
2	48	0.07278567976706012
2	49	0.06081217900776036
2	50	0.05128686791437783
2	51	0.043923818163048696
2	52	0.038165941325169504
2	53	0.03348655534156867
2	54	0.029564988702283482
2	55	0.02628064813720344
2	56	0.02357190424351825
2	57	0.021317242300998455
2	58	0.01931498966598987
2	59	0.017349075002285847
2	60	0.015316360273595049
2	61	0.013316124889929927
2	62	0.011568637854444052
2	63	0.010239432614383029
2	64	0.009351258350378061
2	65	0.008797424475335634
2	66	0.008409503919879026
2	67	0.008074535988697035
2	68	0.007797670418843726
2	69	0.007609486262344284
2	70	0.007432442149739882
2	71	0.0070559728687408
2	72	0.006376384809136149
2	73	0.005668819358293522
2	74	0.0052982251951718
2	75	0.005282254930863136
2	76	0.005188262261529999
2	77	0.005015124568907726
2	78	0.005116228476452504
2	79	0.0033035353977255585
3	0	0.0
3	1	0.23716878144613254
3	2	0.25590845624008873
3	3	0.26174348961471744
3	4	0.25619445635182797
3	5	0.2402278052641142
3	6	0.21609984690127845
3	7	0.1879199064677915
3	8	0.16013740333586063
3	9	0.13568770003684769
3	10	0.11551839599211691
3	11	0.09920379861749225
3	12	0.08576588725152008
3	13	0.074338060413403
3	14	0.06452542062377058
3	15	0.05631281395559051
3	16	0.04969816844105008
3	17	0.0444496607991711
3	18	0.04010884562177023
3	19	0.036152765254286234
3	20	0.03225704016325888
3	21	0.028492454507203044
3	22	0.025196697815964376
3	23	0.02263781943089805
3	24	0.02082150093994201
3	25	0.01950546411141169
3	26	0.018360099003379638
3	27	0.0172395296651099
3	28	0.016277610639339364
3	29	0.015631998894144062
3	30	0.01519703710527051
3	31	0.01455545689680798
3	32	0.013429843846484114
3	33	0.01224903712250428
3	34	0.011641521971028078
3	35	0.011527616734494704
3	36	0.010966100301145119
3	37	0.010217944196765834
3	38	0.010360832917906458
3	39	0.007141987455718224
3	40	0.0
3	41	0.11858439072306627
3	42	0.12795422812004437
3	43	0.13087174480735872
3	44	0.12809722817591399
3	45	0.1201139026320571
3	46	0.10804992345063923
3	47	0.09395995323389575
3	48	0.08006870166793031
3	49	0.06784385001842384
3	50	0.057759197996058456
3	51	0.049601899308746124
3	52	0.04288294362576004
3	53	0.0371690302067015
3	54	0.03226271031188529
3	55	0.028156406977795256
3	56	0.02484908422052504
3	57	0.02222483039958555
3	58	0.020054422810885115
3	59	0.018076382627143117
3	60	0.01612852008162944
3	61	0.014246227253601522
3	62	0.012598348907982188
3	63	0.011318909715449025
3	64	0.010410750469971005
3	65	0.009752732055705845
3	66	0.009180049501689819
3	67	0.00861976483255495
3	68	0.008138805319669682
3	69	0.007815999447072031
3	70	0.007598518552635255
3	71	0.00727772844840399
3	72	0.006714921923242057
3	73	0.00612451856125214
3	74	0.005820760985514039
3	75	0.005763808367247352
3	76	0.005483050150572559
3	77	0.005108972098382917
3	78	0.005180416458953229
3	79	0.003570993727859112
4	0	0.0
4	1	0.22808406679260634
4	2	0.247787354415783
4	3	0.25619445635182797
4	4	0.25441539311677075
4	5	0.2427712346130072
4	6	0.22271531832080113
