	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.5326532986E-02	3.4989136764E-01	3.6174434907E-01	4.0833662755E-01	4.0876877343E-01	6.1756982058E-01	4.1397094548E-01	4.1397094548E-01	4.0876631346E-01	9.3908162465E-01	9.3908828925E-01	9.3870315445E-01	9.3871197091E-01	9.3951961149E-01	9.3873014968E-01	9.3873014968E-01	9.3872707358E-01	6.8209305923E-01	6.8586304458E-01	6.9015167348E-01	6.9163716978E-01	6.8973802260E-01	9.2221025112E-01	9.2237414220E-01	9.2071494960E-01	9.2077735613E-01	9.2046117813E-01	9.3055106076E-01	8.7404628749E-01	1.3947775316E54	1.6295623314E-01	9.3233764379E-01	4.5370107028E59	9.3235195078E-01	9.2927294169E-01	9.3233198483E-01	9.2925786341E-01	9.1779483522E-01	
Target (LIBOR)	5.5326532986E-02	0.0000000000E00	4.0468648587E-01	4.1520422525E-01	4.6296935638E-01	4.6340150226E-01	6.7220254941E-01	4.6860367431E-01	4.6860367431E-01	4.6339904229E-01	9.9440815764E-01	9.9441482223E-01	9.9402968743E-01	9.9403850389E-01	9.9484614447E-01	9.9405668267E-01	9.9405668267E-01	9.9405360656E-01	7.3555293541E-01	7.3932292076E-01	7.4361154966E-01	7.4509704596E-01	7.4319789879E-01	9.7737465319E-01	9.7753854427E-01	9.7587935167E-01	9.7594175821E-01	9.7562558020E-01	9.8587759374E-01	9.2663724558E-01	1.3947775316E54	1.2937182714E-01	9.8766417678E-01	4.5370107028E59	9.8767848376E-01	9.8459947467E-01	9.8765851781E-01	9.8458439640E-01	9.7295923729E-01	
Caplet Vola Analytic Single-Curve	3.4989136764E-01	4.0468648587E-01	0.0000000000E00	1.6068669859E-02	7.3945954877E-02	7.4378100761E-02	2.8317914791E-01	7.9580272812E-02	7.9580272812E-02	7.6850512793E-02	5.9586566261E-01	5.9586893966E-01	5.9551147154E-01	5.9551590383E-01	5.9617998948E-01	5.9552932558E-01	5.9552932558E-01	5.9551129406E-01	3.3544928547E-01	3.3921927081E-01	3.4350789971E-01	3.4499339601E-01	3.4309424884E-01	5.8403950453E-01	5.8407843086E-01	5.8266196222E-01	5.8268712081E-01	5.8240485654E-01	5.8688910710E-01	5.4842883889E-01	1.3947775316E54	4.3107140949E-01	5.9060875823E-01	4.5370107028E59	5.9061960175E-01	5.8743479721E-01	5.9062070836E-01	5.8745128708E-01	5.7936571739E-01	
Caplet Vola Monte-Carlo Single-Curve	3.6174434907E-01	4.1520422525E-01	1.6068669859E-02	0.0000000000E00	7.9369298161E-02	7.9637998297E-02	2.8759519217E-01	8.3996317069E-02	8.3996317069E-02	8.2309721556E-02	5.9825213914E-01	5.9824837670E-01	5.9787147853E-01	5.9787220919E-01	5.9845748334E-01	5.9788100977E-01	5.9788100977E-01	5.9787220503E-01	3.2241454859E-01	3.2624386109E-01	3.3267231999E-01	3.3420173247E-01	3.3209385412E-01	5.8845554879E-01	5.8849447512E-01	5.8707800648E-01	5.8710316507E-01	5.8682090079E-01	5.8878176165E-01	5.4858471651E-01	1.3947775316E54	4.3143785267E-01	5.9502480249E-01	4.5370107028E59	5.9503564601E-01	5.9146474600E-01	5.9503675262E-01	5.9146767541E-01	5.8378176165E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.0833662755E-01	4.6296935638E-01	7.3945954877E-02	7.9369298161E-02	0.0000000000E00	3.4787911978E-03	2.0923319303E-01	9.1360341762E-03	9.1360341762E-03	2.5387195914E-02	5.4275656356E-01	5.4276708947E-01	5.4237254067E-01	5.4238564297E-01	5.4331547436E-01	5.4240798137E-01	5.4240798137E-01	5.4239152492E-01	3.0718414488E-01	3.1095413023E-01	3.1524275913E-01	3.1672825543E-01	3.1482910825E-01	5.2170984009E-01	5.2202201256E-01	5.2101583137E-01	5.2104144696E-01	5.2109691010E-01	5.3470046627E-01	5.0697436539E-01	1.3947775316E54	4.9901857292E-01	5.3458067870E-01	4.5370107028E59	5.3455952687E-01	5.3163498835E-01	5.3456851689E-01	5.3165244625E-01	5.1600738184E-01	
Caplet Vola Analytic Multi-Curve Ju	4.0876877343E-01	4.6340150226E-01	7.4378100761E-02	7.9637998297E-02	3.4787911978E-03	0.0000000000E00	2.0880104715E-01	5.6579750480E-03	5.6579750480E-03	2.2809050838E-02	5.3945518747E-01	5.3946571338E-01	5.3907116457E-01	5.3908426688E-01	5.4001409826E-01	5.3910660528E-01	5.3910660528E-01	5.3909014883E-01	3.0386656343E-01	3.0763654878E-01	3.1192517768E-01	3.1341067398E-01	3.1151152680E-01	5.1859933213E-01	5.1880691360E-01	5.1790532342E-01	5.1793093901E-01	5.1798640214E-01	5.3139909018E-01	5.0386385743E-01	1.3947775316E54	4.9933762018E-01	5.3127930261E-01	4.5370107028E59	5.3125815078E-01	5.2833361226E-01	5.3126714080E-01	5.2835107016E-01	5.1326417324E-01	
Caplet Vola Analytic Multi-Curve Ho	6.1756982058E-01	6.7220254941E-01	2.8317914791E-01	2.8759519217E-01	2.0923319303E-01	2.0880104715E-01	0.0000000000E00	2.0359887510E-01	2.0359887510E-01	2.0880350712E-01	4.4996337345E-01	4.5004618184E-01	4.4953368611E-01	4.4955539757E-01	4.5092424383E-01	4.4959204765E-01	4.4959204765E-01	4.4965553598E-01	2.4104167787E-01	2.4270949094E-01	2.3475629248E-01	2.3624178878E-01	2.3434264161E-01	4.4720987122E-01	4.4730254120E-01	4.4651586250E-01	4.4654147809E-01	4.4659694123E-01	4.4342251409E-01	4.3247439652E-01	1.3947775316E54	6.8617173650E-01	4.3879746515E-01	4.5370107028E59	4.3885163497E-01	4.3599030055E-01	4.3876923008E-01	4.3589676036E-01	4.1434688939E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.1397094548E-01	4.6860367431E-01	7.9580272812E-02	8.3996317069E-02	9.1360341762E-03	5.6579750480E-03	2.0359887510E-01	0.0000000000E00	0.0000000000E00	1.7997496067E-02	5.3383677208E-01	5.3384729800E-01	5.3345274919E-01	5.3346585150E-01	5.3439568288E-01	5.3348818990E-01	5.3348818990E-01	5.3347173345E-01	2.9828115505E-01	3.0205114040E-01	3.0633976930E-01	3.0782526560E-01	3.0592611842E-01	5.1318075235E-01	5.1327342232E-01	5.1248674363E-01	5.1251235922E-01	5.1256782235E-01	5.2578067480E-01	4.9844527765E-01	1.3947775316E54	5.0063627225E-01	5.2566088723E-01	4.5370107028E59	5.2563973540E-01	5.2271519688E-01	5.2564872542E-01	5.2273265478E-01	5.0761588035E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.1397094548E-01	4.6860367431E-01	7.9580272812E-02	8.3996317069E-02	9.1360341762E-03	5.6579750480E-03	2.0359887510E-01	0.0000000000E00	0.0000000000E00	1.7997496067E-02	5.3383677208E-01	5.3384729800E-01	5.3345274919E-01	5.3346585150E-01	5.3439568288E-01	5.3348818990E-01	5.3348818990E-01	5.3347173345E-01	2.9828115505E-01	3.0205114040E-01	3.0633976930E-01	3.0782526560E-01	3.0592611842E-01	5.1318075235E-01	5.1327342232E-01	5.1248674363E-01	5.1251235922E-01	5.1256782235E-01	5.2578067480E-01	4.9844527765E-01	1.3947775316E54	5.0063627225E-01	5.2566088723E-01	4.5370107028E59	5.2563973540E-01	5.2271519688E-01	5.2564872542E-01	5.2273265478E-01	5.0761588035E-01	
Caplet Vola Monte-Carlo Multi-Curve	4.0876631346E-01	4.6339904229E-01	7.6850512793E-02	8.2309721556E-02	2.5387195914E-02	2.2809050838E-02	2.0880350712E-01	1.7997496067E-02	1.7997496067E-02	0.0000000000E00	5.3797455741E-01	5.3798508332E-01	5.3759053452E-01	5.3760363682E-01	5.3853346821E-01	5.3762597522E-01	5.3762597522E-01	5.3760951878E-01	2.8864892340E-01	2.9241890875E-01	2.9670753765E-01	2.9819303395E-01	2.9629388678E-01	5.1832963499E-01	5.1849352607E-01	5.1683433347E-01	5.1689674000E-01	5.1658056200E-01	5.2991846012E-01	4.8388978879E-01	1.3947775316E54	4.9706132685E-01	5.2979867255E-01	4.5370107028E59	5.2977752072E-01	5.2685298220E-01	5.2978651074E-01	5.2687044011E-01	5.1391421909E-01	
