	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.0509033684E00	1.3748821622E00	1.1224707344E00	1.1267244950E00	?	1.1441187301E00	1.1441187301E00	1.1362074249E00	1.9559394365E00	1.9717600223E00	1.9586050815E00	1.9588536674E00	?	1.9598392844E00	1.9598392844E00	1.9593632780E00	1.4384967209E00	1.4756846119E00	1.2626635185E00	1.2926084170E00	1.2867292659E00	1.7933399721E00	1.8080625984E00	1.7214756346E00	1.7356526853E00	1.7325240968E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.6249324051E-01	1.9397527662E00	2.0000000000E00	1.9403499941E00	1.9353188459E00	1.9398240237E00	1.9352969817E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.0916572782E00	1.4044401660E00	1.1609966661E00	1.1651136087E00	?	1.1819432528E00	1.1819432528E00	1.1742897572E00	1.9583617650E00	1.9733184448E00	1.9608823093E00	1.9611173542E00	?	1.9620492669E00	1.9620492669E00	1.9615992003E00	1.4655231461E00	1.5011807640E00	1.2964214602E00	1.3252788934E00	1.3196151595E00	1.8042592543E00	1.8182412554E00	1.7359276747E00	1.7494186402E00	1.7464419154E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	6.1469663052E-01	1.9430521827E00	2.0000000000E00	1.9436171717E00	1.9388573159E00	1.9431195942E00	1.9388366291E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.0509033684E00	1.0916572782E00	0.0000000000E00	5.0718136096E-01	1.0149989505E-01	1.0770346894E-01	?	1.3327705164E-01	1.3327705164E-01	1.2160427735E-01	1.8617384906E00	1.9106190670E00	1.8699158464E00	1.8706796322E00	?	1.8737099876E00	1.8737099876E00	1.8722460653E00	6.2307058055E-01	6.9374747371E-01	3.1939873845E-01	3.6599885982E-01	3.5626316496E-01	1.4038878434E00	1.4422761016E00	1.2242889346E00	1.2587322440E00	1.2510908053E00	1.5250930719E00	1.1174326879E00	2.0000000000E00	5.7310435499E-01	1.8125844447E00	2.0000000000E00	1.8143828934E00	1.7992683630E00	1.8127989640E00	1.7992028559E00	1.2972011485E00	
Caplet Vola Monte-Carlo Single-Curve	1.3748821622E00	1.4044401660E00	5.0718136096E-01	0.0000000000E00	4.1097053910E-01	4.0500881306E-01	?	3.8033149672E-01	3.8033149672E-01	3.9161534410E-01	1.7731192417E00	1.8521303495E00	1.7862477922E00	1.7874758547E00	?	1.7923513233E00	1.7923513233E00	1.7899954393E00	2.1136975697E-01	2.3378705726E-01	2.6971524433E-01	2.5242289532E-01	2.5455372764E-01	1.0908923410E00	1.1443701628E00	8.4888322414E-01	8.9427905759E-01	8.8416706192E-01	1.2619387274E00	7.1706979034E-01	2.0000000000E00	1.0071026279E00	1.6949484424E00	2.0000000000E00	1.6977862516E00	1.6739888936E00	1.6952868485E00	1.6738860119E00	9.4554157845E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.1224707344E00	1.1609966661E00	1.0149989505E-01	4.1097053910E-01	0.0000000000E00	6.2205745534E-03	?	3.1884988488E-02	3.1884988488E-02	2.2364975718E-02	1.8475182496E00	1.9012977141E00	1.8565053976E00	1.8573450200E00	?	1.8606765973E00	1.8606765973E00	1.8590670918E00	5.2994939726E-01	6.0286022390E-01	2.4853944487E-01	2.8812518736E-01	2.7409051819E-01	1.3504975564E00	1.3917096025E00	1.1587883042E00	1.1954142355E00	1.1872828626E00	1.4809029306E00	1.0455800319E00	2.0000000000E00	6.6493443571E-01	1.7935789258E00	2.0000000000E00	1.7955499724E00	1.7789907594E00	1.7938140227E00	1.7789190200E00	1.2363991171E00	
Caplet Vola Analytic Multi-Curve Ju	1.1267244950E00	1.1651136087E00	1.0770346894E-01	4.0500881306E-01	6.2205745534E-03	0.0000000000E00	?	2.5665686587E-02	2.5665686587E-02	1.7295763422E-02	1.8466032548E00	1.9006971037E00	1.8556423084E00	1.8564867930E00	?	1.8598376851E00	1.8598376851E00	1.8582188441E00	5.2416080849E-01	5.9719954437E-01	2.4583299800E-01	2.8456287415E-01	2.7049451958E-01	1.3471061981E00	1.3884941574E00	1.1546485012E00	1.1914085381E00	1.1832470299E00	1.4780864139E00	1.0410522365E00	2.0000000000E00	6.7046170689E-01	1.7923577260E00	2.0000000000E00	1.7943398013E00	1.7776883128E00	1.7925941377E00	1.7776161754E00	1.2325484599E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1441187301E00	1.1819432528E00	1.3327705164E-01	3.8033149672E-01	3.1884988488E-02	2.5665686587E-02	?	0.0000000000E00	0.0000000000E00	1.4022773272E-02	1.8427718067E00	1.8981810141E00	1.8520279471E00	1.8528927689E00	?	1.8563244515E00	1.8563244515E00	1.8546665614E00	5.0017733671E-01	5.7373233358E-01	2.3532258928E-01	2.6951150496E-01	2.5597127709E-01	1.3329621046E00	1.3750792776E00	1.1374095540E00	1.1747231158E00	1.1664371815E00	1.4663274141E00	1.0222147709E00	2.0000000000E00	6.9314550577E-01	1.7872463066E00	2.0000000000E00	1.7892744624E00	1.7722374717E00	1.7874882117E00	1.7721636723E00	1.2165035532E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1441187301E00	1.1819432528E00	1.3327705164E-01	3.8033149672E-01	3.1884988488E-02	2.5665686587E-02	?	0.0000000000E00	0.0000000000E00	1.4022773272E-02	1.8427718067E00	1.8981810141E00	1.8520279471E00	1.8528927689E00	?	1.8563244515E00	1.8563244515E00	1.8546665614E00	5.0017733671E-01	5.7373233358E-01	2.3532258928E-01	2.6951150496E-01	2.5597127709E-01	1.3329621046E00	1.3750792776E00	1.1374095540E00	1.1747231158E00	1.1664371815E00	1.4663274141E00	1.0222147709E00	2.0000000000E00	6.9314550577E-01	1.7872463066E00	2.0000000000E00	1.7892744624E00	1.7722374717E00	1.7874882117E00	1.7721636723E00	1.2165035532E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1362074249E00	1.1742897572E00	1.2160427735E-01	3.9161534410E-01	2.2364975718E-02	1.7295763422E-02	?	1.4022773272E-02	1.4022773272E-02	0.0000000000E00	1.8445326217E00	1.8993375505E00	1.8536890484E00	1.8545445284E00	?	1.8579390999E00	1.8579390999E00	1.8562991471E00	5.1114848388E-01	5.8447005859E-01	2.3932825213E-01	2.7545333990E-01	2.6170691138E-01	1.3394509183E00	1.3812344461E00	1.1453128497E00	1.1823736292E00	1.1741445259E00	1.4717245069E00	1.0308474837E00	2.0000000000E00	6.8281200879E-01	1.7895949097E00	2.0000000000E00	1.7916019085E00	1.7747419039E00	1.7898342926E00	1.7746688675E00	1.2238614406E00	
Caplet Value Analytic Single-Curve	1.9559394365E00	1.9583617650E00	1.8617384906E00	1.7731192417E00	1.8475182496E00	1.8466032548E00	?	1.8427718067E00	1.8427718067E00	1.8445326217E00	0.0000000000E00	4.4143240590E-01	6.3059695699E-02	6.9139168520E-02	?	9.3592762931E-02	9.3592762931E-02	8.1712597079E-02	1.7445993005E00	1.7249753781E00	1.8121228905E00	1.8028530112E00	1.8047307458E00	1.3210456934E00	1.2764592566E00	1.4818427777E00	1.4560358912E00	1.4619322800E00	1.1896431446E00	1.5509339034E00	2.0000000000E00	1.9221291112E00	3.9298209884E-01	2.0000000000E00	3.8572617796E-01	3.9936105766E-01	3.8827386825E-01	3.9907223017E-01	1.4247442396E00	
Caplet Value Monte-Carlo Single-Curve	1.9717600223E00	1.9733184448E00	1.9106190670E00	1.8521303495E00	1.9012977141E00	1.9006971037E00	?	1.8981810141E00	1.8981810141E00	1.8993375505E00	4.4143240590E-01	0.0000000000E00	3.8102431492E-01	3.7515570066E-01	?	3.5146987679E-01	3.5146987679E-01	3.6299315297E-01	1.8331031374E00	1.8199525102E00	1.8779902254E00	1.8718610076E00	1.8731034050E00	1.5382234355E00	1.5054905269E00	1.6529609351E00	1.6347826620E00	1.6389439143E00	1.4198177760E00	1.7011932662E00	2.0000000000E00	1.9499361484E00	7.3923551388E-01	2.0000000000E00	7.3110696453E-01	7.9213202797E-01	7.3857220910E-01	7.9242164978E-01	1.6126209210E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.9586050815E00	1.9608823093E00	1.8699158464E00	1.7862477922E00	1.8565053976E00	1.8556423084E00	?	1.8520279471E00	1.8520279471E00	1.8536890484E00	6.3059695699E-02	3.8102431492E-01	0.0000000000E00	6.0861065173E-03	?	3.0578184817E-02	3.0578184817E-02	2.0768683663E-02	1.7592728782E00	1.7406983393E00	1.8231002944E00	1.8143456637E00	1.8161192289E00	1.3558678350E00	1.3127195471E00	1.5096356653E00	1.4850082689E00	1.4906368928E00	1.2239552143E00	1.5754727315E00	2.0000000000E00	1.9268024177E00	4.3741341867E-01	2.0000000000E00	4.2975492180E-01	4.5161464880E-01	4.3403514119E-01	4.5135748434E-01	1.4551204963E00	
