	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	9.9061547992E-01	1.2033816504E00	1.0376788743E00	1.0410553150E00	?	1.0552407650E00	1.0552407650E00	1.0483632184E00	1.4898359450E00	1.4964509283E00	1.4908097420E00	1.4909256388E00	?	1.4914077083E00	1.4914077083E00	1.4911583521E00	1.2330339586E00	1.2561425561E00	1.1279238359E00	?	1.1429227429E00	1.4157668301E00	1.4232728927E00	1.3817449401E00	?	1.3871043393E00	1.4449027881E00	1.3752874035E00	3.3031734909E147	6.6208994855E-01	1.4850475301E00	3.7336496208E140	1.4852976265E00	1.4832743331E00	1.4850734189E00	1.4833120408E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.0793277103E00	1.2920938808E00	1.1263911046E00	1.1297675454E00	?	1.1439529953E00	1.1439529953E00	1.1370754488E00	1.5785481754E00	1.5851631587E00	1.5795219724E00	1.5796378692E00	?	1.5801199387E00	1.5801199387E00	1.5798705825E00	1.3217461890E00	1.3448547865E00	1.2166360663E00	?	1.2316349733E00	1.5044790605E00	1.5119851231E00	1.4704571705E00	?	1.4758165696E00	1.5336150185E00	1.4639996339E00	3.3031734909E147	7.5080217892E-01	1.5737597605E00	3.7336496208E140	1.5740098569E00	1.5719865634E00	1.5737856493E00	1.5720242711E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	9.9061547992E-01	1.0793277103E00	0.0000000000E00	2.1276617047E-01	4.7063394355E-02	5.0439835089E-02	?	6.4625285035E-02	6.4625285035E-02	5.7747738477E-02	4.9922046506E-01	5.0583544841E-01	5.0019426208E-01	5.0031015887E-01	?	5.0079222839E-01	5.0079222839E-01	5.0054287223E-01	2.4241847869E-01	2.6552707619E-01	1.3790300899E-01	?	1.5230726296E-01	4.2515135022E-01	4.3265741278E-01	3.9112946023E-01	?	3.9648885934E-01	4.5428730819E-01	3.8467192357E-01	3.3031734909E147	3.2852553137E-01	4.9443205023E-01	3.7336496208E140	4.9468214661E-01	4.9265885315E-01	4.9445793901E-01	4.9269656085E-01	4.1749243639E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2033816504E00	1.2920938808E00	2.1276617047E-01	0.0000000000E00	1.6570277612E-01	1.6232633538E-01	?	1.4814088544E-01	1.4814088544E-01	1.5501843200E-01	2.8645429459E-01	2.9306927794E-01	2.8742809161E-01	2.8754398840E-01	?	2.8802605792E-01	2.8802605792E-01	2.8777670176E-01	5.5948352945E-02	6.0112930502E-02	9.2789078275E-02	?	8.4949070550E-02	2.1238517975E-01	2.1989124231E-01	1.7836328976E-01	?	1.8372268886E-01	2.4152113772E-01	1.7190864505E-01	3.3031734909E147	5.4129170184E-01	2.8166587975E-01	3.7336496208E140	2.8191597614E-01	2.7989268268E-01	2.8169176854E-01	2.7993039038E-01	2.0472626592E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0376788743E00	1.1263911046E00	4.7063394355E-02	1.6570277612E-01	0.0000000000E00	3.3764407336E-03	?	1.7561890680E-02	1.7561890680E-02	1.1656267878E-02	4.5215707071E-01	4.5877205405E-01	4.5313086773E-01	4.5324676452E-01	?	4.5372883404E-01	4.5372883404E-01	4.5347947787E-01	1.9535508434E-01	2.1846368184E-01	1.0128365587E-01	?	1.1089062028E-01	3.7808795586E-01	3.8559401843E-01	3.4406606587E-01	?	3.4942546498E-01	4.0722391383E-01	3.3760852922E-01	3.3031734909E147	3.7558892572E-01	4.4736865587E-01	3.7336496208E140	4.4761875225E-01	4.4559545880E-01	4.4739454466E-01	4.4563316649E-01	3.7042904204E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0410553150E00	1.1297675454E00	5.0439835089E-02	1.6232633538E-01	3.3764407336E-03	0.0000000000E00	?	1.4185449947E-02	1.4185449947E-02	8.8571807750E-03	4.4878062998E-01	4.5539561332E-01	4.4975442699E-01	4.4987032378E-01	?	4.5035239330E-01	4.5035239330E-01	4.5010303714E-01	1.9197864360E-01	2.1508724110E-01	9.9271405199E-02	?	1.0849632148E-01	3.7471151513E-01	3.8221757770E-01	3.4068962514E-01	?	3.4604902425E-01	4.0384747310E-01	3.3423208848E-01	3.3031734909E147	3.7896536646E-01	4.4399221514E-01	3.7336496208E140	4.4424231152E-01	4.4221901806E-01	4.4401810392E-01	4.4225672576E-01	3.6705260130E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0552407650E00	1.1439529953E00	6.4625285035E-02	1.4814088544E-01	1.7561890680E-02	1.4185449947E-02	?	0.0000000000E00	0.0000000000E00	8.2473639226E-03	4.3459518003E-01	4.4121016337E-01	4.3556897704E-01	4.3568487384E-01	?	4.3616694336E-01	4.3616694336E-01	4.3591758719E-01	1.7779319366E-01	2.0090179116E-01	9.2255652075E-02	?	9.9506460312E-02	3.6052606518E-01	3.6803212775E-01	3.2650417519E-01	?	3.3186357430E-01	3.8966202315E-01	3.2004663854E-01	3.3031734909E147	3.9315081640E-01	4.2980676519E-01	3.7336496208E140	4.3005686157E-01	4.2803356812E-01	4.2983265397E-01	4.2807127581E-01	3.5286715136E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0552407650E00	1.1439529953E00	6.4625285035E-02	1.4814088544E-01	1.7561890680E-02	1.4185449947E-02	?	0.0000000000E00	0.0000000000E00	8.2473639226E-03	4.3459518003E-01	4.4121016337E-01	4.3556897704E-01	4.3568487384E-01	?	4.3616694336E-01	4.3616694336E-01	4.3591758719E-01	1.7779319366E-01	2.0090179116E-01	9.2255652075E-02	?	9.9506460312E-02	3.6052606518E-01	3.6803212775E-01	3.2650417519E-01	?	3.3186357430E-01	3.8966202315E-01	3.2004663854E-01	3.3031734909E147	3.9315081640E-01	4.2980676519E-01	3.7336496208E140	4.3005686157E-01	4.2803356812E-01	4.2983265397E-01	4.2807127581E-01	3.5286715136E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0483632184E00	1.1370754488E00	5.7747738477E-02	1.5501843200E-01	1.1656267878E-02	8.8571807750E-03	?	8.2473639226E-03	8.2473639226E-03	0.0000000000E00	4.4147272659E-01	4.4808770993E-01	4.4244652360E-01	4.4256242040E-01	?	4.4304448991E-01	4.4304448991E-01	4.4279513375E-01	1.8467074022E-01	2.0777933772E-01	9.5166042003E-02	?	1.0348459025E-01	3.6740361174E-01	3.7490967431E-01	3.3338172175E-01	?	3.3874112086E-01	3.9653956971E-01	3.2692418510E-01	3.3031734909E147	3.8627326984E-01	4.3668431175E-01	3.7336496208E140	4.3693440813E-01	4.3491111468E-01	4.3671020053E-01	4.3494882237E-01	3.5974469792E-01	
