	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	9.9602980901E-01	1.0032765014E00	1.0271602721E00	1.0293777767E00	?	1.0355877818E00	1.0353829698E00	1.0481789021E00	2.0161390955E00	2.0162402132E00	2.0153665055E00	2.0153964997E00	?	2.0154849082E00	2.0154812544E00	2.0157382380E00	1.1599860695E00	1.1741169161E00	1.1949432650E00	1.2122907736E00	1.2089132228E00	1.9311278459E00	1.9333551327E00	1.9271761767E00	1.9310951546E00	1.9297373923E00	1.8780167299E00	1.7100751465E00	1.2489639836E01	5.7928203479E-01	1.9711822654E00	1.2489954678E01	1.9716220466E00	1.9668254129E00	1.9711006910E00	1.9663599149E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	1.0393360196E00	1.0463839335E00	1.0695133221E00	1.0716672949E00	?	1.0776973747E00	1.0774983280E00	1.0899277195E00	2.0168826764E00	2.0169782128E00	2.0161527324E00	2.0161810717E00	?	2.0162646031E00	2.0162611507E00	2.0165039603E00	1.1981043741E00	1.2117888049E00	1.2318963014E00	1.2486812124E00	1.2454466516E00	1.9364476597E00	1.9385580497E00	1.9327041824E00	1.9364186099E00	1.9351315473E00	1.8860485700E00	1.7262427875E00	1.2489639836E01	6.3166156193E-01	1.9743765240E00	1.2489954678E01	1.9747926120E00	1.9702552390E00	1.9742993665E00	1.9698147865E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	9.9602980901E-01	1.0393360196E00	0.0000000000E00	1.7851977557E-02	5.8378769305E-02	6.1002894942E-02	?	6.8414356654E-02	6.8244890765E-02	7.9838954800E-02	1.9856743067E00	1.9859686516E00	1.9834434441E00	1.9835303236E00	?	1.9837854233E00	1.9837749175E00	1.9845103147E00	3.3152810160E-01	3.4608987153E-01	3.6463521866E-01	3.8596794985E-01	3.7568168275E-01	1.7498836189E00	1.7557634293E00	1.7393971580E00	1.7496208973E00	1.7460554682E00	1.6221288776E00	1.2233319298E00	1.2489639836E01	4.8540603986E-01	1.8593091291E00	1.2489954678E01	1.8605007083E00	1.8472564425E00	1.8590753229E00	1.8459893564E00	1.4233521396E00	
Caplet Vola Monte-Carlo Single-Curve	1.0032765014E00	1.0463839335E00	1.7851977557E-02	0.0000000000E00	5.6027024360E-02	5.7931554739E-02	?	6.4055198969E-02	6.3931937966E-02	7.2823582173E-02	1.9848432703E00	1.9851369712E00	1.9825946259E00	1.9826820476E00	?	1.9829391043E00	1.9829285090E00	1.9836704238E00	3.2368165399E-01	3.3788711710E-01	3.5641811970E-01	3.7764357788E-01	3.6703877765E-01	1.7469535728E00	1.7528855857E00	1.7363863558E00	1.7467073115E00	1.7431058764E00	1.6181777369E00	1.2178341319E00	1.2489639836E01	4.9464675154E-01	1.8573270137E00	1.2489954678E01	1.8585369978E00	1.8451851084E00	1.8570989725E00	1.8439072857E00	1.4180662691E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0271602721E00	1.0695133221E00	5.8378769305E-02	5.6027024360E-02	0.0000000000E00	3.8003275792E-03	?	1.2951412264E-02	1.2667254355E-02	3.6122944332E-02	1.9751191316E00	1.9754253496E00	1.9728172593E00	1.9729074397E00	?	1.9731728289E00	1.9731618593E00	1.9739308429E00	3.0566831274E-01	3.1989977916E-01	3.3018039932E-01	3.5239389095E-01	3.4224374228E-01	1.7296049964E00	1.7357257060E00	1.7187823256E00	1.7294561348E00	1.7257493968E00	1.5955383370E00	1.1924388657E00	1.2489639836E01	5.2284774950E-01	1.8432397997E00	1.2489954678E01	1.8444845373E00	1.8309115194E00	1.8429986973E00	1.8295910921E00	1.3892585236E00	
Caplet Vola Analytic Multi-Curve Ju	1.0293777767E00	1.0716672949E00	6.1002894942E-02	5.7931554739E-02	3.8003275792E-03	0.0000000000E00	?	9.2831812172E-03	8.9949763562E-03	3.3210627496E-02	1.9745579175E00	1.9748647956E00	1.9722507226E00	1.9723410957E00	?	1.9726071346E00	1.9725961357E00	1.9733671989E00	3.0298064812E-01	3.1711077206E-01	3.2718076215E-01	3.4941357704E-01	3.3917812000E-01	1.7283783683E00	1.7345142424E00	1.7175321280E00	1.7282361417E00	1.7245189822E00	1.5938081679E00	1.1906478056E00	1.2489639836E01	5.2567726313E-01	1.8422968155E00	1.2489954678E01	1.8435449049E00	1.8299422714E00	1.8420555023E00	1.8286187788E00	1.3870688913E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0355877818E00	1.0776973747E00	6.8414356654E-02	6.4055198969E-02	1.2951412264E-02	9.2831812172E-03	?	0.0000000000E00	3.2545158049E-04	2.6315491857E-02	1.9734678218E00	1.9737768391E00	1.9711445314E00	1.9712355174E00	?	1.9715034679E00	1.9714923868E00	1.9722692717E00	2.9712132444E-01	3.1091588480E-01	3.2028878027E-01	3.4243947681E-01	3.3203481809E-01	1.7254375910E00	1.7316150692E00	1.7145233338E00	1.7253059179E00	1.7215616699E00	1.5896297510E00	1.1855504720E00	1.2489639836E01	5.3357287634E-01	1.8401490066E00	1.2489954678E01	1.8414058137E00	1.8277144009E00	1.8399064523E00	1.8263822381E00	1.3816442771E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0353829698E00	1.0774983280E00	6.8244890765E-02	6.3931937966E-02	1.2667254355E-02	8.9949763562E-03	?	3.2545158049E-04	0.0000000000E00	2.6593884719E-02	1.9734812581E00	1.9737902035E00	1.9711585512E00	1.9712495168E00	?	1.9715174067E00	1.9715063280E00	1.9722830469E00	2.9729710732E-01	3.1110750862E-01	3.2048800420E-01	3.4264910168E-01	3.3225241219E-01	1.7255085519E00	1.7316848489E00	1.7145965571E00	1.7253769844E00	1.7216335483E00	1.5897368767E00	1.1857081532E00	1.2489639836E01	5.3331071674E-01	1.8401952949E00	1.2489954678E01	1.8414518853E00	1.8277638937E00	1.8399527949E00	1.8264319659E00	1.3817862720E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0481789021E00	1.0899277195E00	7.9838954800E-02	7.2823582173E-02	3.6122944332E-02	3.3210627496E-02	?	2.6315491857E-02	2.6593884719E-02	0.0000000000E00	1.9731490258E00	1.9734623770E00	1.9707897726E00	1.9708819099E00	?	1.9711532718E00	1.9711420619E00	1.9719242132E00	2.8854967426E-01	3.0117158378E-01	3.1029660347E-01	3.3144493827E-01	3.2047279231E-01	1.7218511137E00	1.7280884442E00	1.7108119637E00	1.7216991972E00	1.7179114744E00	1.5832597516E00	1.1763742948E00	1.2489639836E01	5.4993168219E-01	1.8379329312E00	1.2489954678E01	1.8391895756E00	1.8252784218E00	1.8376860094E00	1.8239443655E00	1.3734110622E00	
