	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	8.4124437828E-01	8.5573582019E-01	8.6840069112E-01	8.7032421144E-01	?	8.7997814649E-01	8.7997814649E-01	9.0036313968E-01	1.9841597481E00	1.9843673507E00	1.9832586011E00	1.9832816435E00	?	1.9834206762E00	1.9834206762E00	1.9838097294E00	9.9955839946E-01	1.0206489226E00	1.0356335435E00	1.0578854452E00	1.0581409480E00	1.8773197396E00	1.8806256465E00	1.8726988315E00	1.8778334602E00	1.8765789778E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.6249324051E-01	1.9401237326E00	2.0000000000E00	1.9406054821E00	1.9360385971E00	1.9398240237E00	1.9352969817E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	8.8771882865E-01	9.0185369855E-01	9.1420220785E-01	9.1607729361E-01	?	9.2548660383E-01	9.2548660383E-01	9.4534663589E-01	1.9850364700E00	1.9852326249E00	1.9841850015E00	1.9842067739E00	?	1.9843381434E00	1.9843381434E00	1.9847057497E00	1.0418246202E00	1.0623026644E00	1.0768447359E00	1.0984281431E00	1.0986758916E00	1.8839375516E00	1.8870703202E00	1.8795581688E00	1.8844243864E00	1.8832355459E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	6.1469663052E-01	1.9434031251E00	2.0000000000E00	1.9438588654E00	1.9395382971E00	1.9431195942E00	1.9388366291E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	8.4124437828E-01	8.8771882865E-01	0.0000000000E00	2.1337006498E-02	3.3224189415E-02	3.5595123126E-02	?	4.7530129746E-02	4.7530129746E-02	7.5727451042E-02	1.9613820861E00	1.9618853573E00	1.9591983955E00	1.9592542149E00	?	1.9595910369E00	1.9595910369E00	1.9605337399E00	2.2789598538E-01	2.4386308417E-01	2.6266204471E-01	2.8989819492E-01	2.8014728414E-01	1.7120152072E00	1.7194533217E00	1.7016470047E00	1.7131699296E00	1.7103508761E00	1.6272527478E00	1.2896139789E00	2.0000000000E00	3.1615139547E-01	1.8563077710E00	2.0000000000E00	1.8574394833E00	1.8467266350E00	1.8556038989E00	1.8449902532E00	1.4406043889E00	
Caplet Vola Monte-Carlo Single-Curve	8.5573582019E-01	9.0185369855E-01	2.1337006498E-02	0.0000000000E00	3.2826289164E-02	3.3277702063E-02	?	3.7377000708E-02	3.7377000708E-02	6.1935808747E-02	1.9607003168E00	1.9612123858E00	1.9584784788E00	1.9585352728E00	?	1.9588779761E00	1.9588779761E00	1.9598371455E00	2.1804223956E-01	2.3212534210E-01	2.4832144337E-01	2.7526402619E-01	2.6460269516E-01	1.7072563915E00	1.7148079742E00	1.6967308568E00	1.7084286963E00	1.7055667396E00	1.6212361912E00	1.2792304958E00	2.0000000000E00	3.3335763909E-01	1.8538394388E00	2.0000000000E00	1.8549898606E00	1.8441003726E00	1.8531239362E00	1.8423354582E00	1.4320468483E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.6840069112E-01	9.1420220785E-01	3.3224189415E-02	3.2826289164E-02	0.0000000000E00	2.3716348961E-03	?	1.4311590367E-02	1.4311590367E-02	4.3035218050E-02	1.9600903808E00	1.9606103182E00	1.9578344268E00	1.9578920924E00	?	1.9582400555E00	1.9582400555E00	1.9592139510E00	2.1581638629E-01	2.3025775325E-01	2.3280207966E-01	2.6006273642E-01	2.4972913422E-01	1.7030079257E00	1.7106605479E00	1.6923423149E00	1.7041958862E00	1.7012957283E00	1.6158687018E00	1.2699934446E00	2.0000000000E00	3.4846053850E-01	1.8516331356E00	2.0000000000E00	1.8528002598E00	1.8417530942E00	1.8509072504E00	1.8399627130E00	1.4244244757E00	
Caplet Vola Analytic Multi-Curve Ju	8.7032421144E-01	9.1607729361E-01	3.5595123126E-02	3.3277702063E-02	2.3716348961E-03	0.0000000000E00	?	1.1940056788E-02	1.1940056788E-02	4.0889642803E-02	1.9599965651E00	1.9605177125E00	1.9577353646E00	1.9577931642E00	?	1.9581419362E00	1.9581419362E00	1.9591180963E00	2.1457599374E-01	2.2858683814E-01	2.3082879051E-01	2.5797875219E-01	2.4750163833E-01	1.7023552069E00	1.7100233308E00	1.6916681075E00	1.7035455693E00	1.7006395507E00	1.6150443806E00	1.2685770358E00	2.0000000000E00	3.5075970459E-01	1.8512939428E00	2.0000000000E00	1.8524636330E00	1.8413922440E00	1.8505664624E00	1.8395979506E00	1.4232548560E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	8.7997814649E-01	9.2548660383E-01	4.7530129746E-02	3.7377000708E-02	1.4311590367E-02	1.1940056788E-02	?	0.0000000000E00	0.0000000000E00	3.2433114231E-02	1.9595209158E00	1.9600481973E00	1.9572331196E00	1.9572915986E00	?	1.9576444708E00	1.9576444708E00	1.9586321110E00	2.0964269373E-01	2.2152019688E-01	2.2261190800E-01	2.4957121983E-01	2.3768268283E-01	1.6990489600E00	1.7067955160E00	1.6882531438E00	1.7002514744E00	1.6973158042E00	1.6108702170E00	1.2614135997E00	2.0000000000E00	3.6232040369E-01	1.8495748934E00	2.0000000000E00	1.8507575813E00	1.8395634988E00	1.8488393333E00	1.8377493911E00	1.4173362615E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.7997814649E-01	9.2548660383E-01	4.7530129746E-02	3.7377000708E-02	1.4311590367E-02	1.1940056788E-02	?	0.0000000000E00	0.0000000000E00	3.2433114231E-02	1.9595209158E00	1.9600481973E00	1.9572331196E00	1.9572915986E00	?	1.9576444708E00	1.9576444708E00	1.9586321110E00	2.0964269373E-01	2.2152019688E-01	2.2261190800E-01	2.4957121983E-01	2.3768268283E-01	1.6990489600E00	1.7067955160E00	1.6882531438E00	1.7002514744E00	1.6973158042E00	1.6108702170E00	1.2614135997E00	2.0000000000E00	3.6232040369E-01	1.8495748934E00	2.0000000000E00	1.8507575813E00	1.8395634988E00	1.8488393333E00	1.8377493911E00	1.4173362615E00	
Caplet Vola Monte-Carlo Multi-Curve	9.0036313968E-01	9.4534663589E-01	7.5727451042E-02	6.1935808747E-02	4.3035218050E-02	4.0889642803E-02	?	3.2433114231E-02	3.2433114231E-02	0.0000000000E00	1.9584895036E00	1.9590300812E00	1.9561440597E00	1.9562040114E00	?	1.9565657710E00	1.9565657710E00	1.9575782946E00	2.0212773447E-01	2.1194852466E-01	2.1168579258E-01	2.3393987443E-01	2.2172266435E-01	1.6918971243E00	1.6998128310E00	1.6808668890E00	1.6931258446E00	1.6901262319E00	1.6018484419E00	1.2459816975E00	2.0000000000E00	3.8684973527E-01	1.8458511059E00	2.0000000000E00	1.8470619082E00	1.8356024622E00	1.8450980697E00	1.8337455051E00	1.4045674047E00	
