	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.2559913218E-02	7.6084965804E-02	8.5007158533E-02	9.5660489533E-02	9.7000106359E-02	1.7825390522E-01	1.0402616202E-01	1.0402616202E-01	1.2229382466E-01	7.1717347297E-01	7.1727486782E-01	7.1680175243E-01	7.1680870020E-01	7.1963759172E-01	7.1687021780E-01	7.1687021780E-01	7.1704109628E-01	1.9093302431E-01	2.0301967958E-01	2.1345661575E-01	2.2695339250E-01	2.2439995104E-01	6.7178533706E-01	6.7335608104E-01	6.6976294142E-01	6.7199617152E-01	6.7157067749E-01	6.6031339649E-01	5.9069801188E-01	2.6933902614E122	1.2249944306E-01	7.0064685232E-01	1.2857882487E123	7.0084163400E-01	6.9906077245E-01	7.0048402732E-01	6.9872264916E-01	6.2351852470E-01	
Target (LIBOR)	4.2559913218E-02	0.0000000000E00	1.0496015278E-01	1.1799277767E-01	1.2519673017E-01	1.2652687034E-01	2.1991518165E-01	1.3453939553E-01	1.3453939553E-01	1.5515115993E-01	7.5973338619E-01	7.5983478104E-01	7.5936166565E-01	7.5936861342E-01	7.6219750494E-01	7.5943013102E-01	7.5943013102E-01	7.5960100950E-01	2.2473066371E-01	2.3911415629E-01	2.4923277605E-01	2.6428309290E-01	2.6272905224E-01	7.1434525028E-01	7.1591599425E-01	7.1232285463E-01	7.1455608474E-01	7.1413059071E-01	7.0287330971E-01	6.3325792510E-01	2.6933902614E122	8.0530489674E-02	7.4320676554E-01	1.2857882487E123	7.4340154721E-01	7.4162068567E-01	7.4304394053E-01	7.4128256237E-01	6.6607843792E-01	
Caplet Vola Analytic Single-Curve	7.6084965804E-02	1.0496015278E-01	0.0000000000E00	1.6491515980E-02	2.0584472150E-02	2.1893806602E-02	1.1797645034E-01	3.0625136794E-02	3.0625136794E-02	5.1949430644E-02	6.5779465488E-01	6.5789604973E-01	6.5742293434E-01	6.5742988211E-01	6.6025877363E-01	6.5749139971E-01	6.5749139971E-01	6.5766227819E-01	1.3217689317E-01	1.4126973987E-01	1.5028255285E-01	1.6462446304E-01	1.6053590845E-01	6.1240651897E-01	6.1397726295E-01	6.1038412332E-01	6.1261735343E-01	6.1219185940E-01	6.0093457840E-01	5.3131919379E-01	2.6933902614E122	1.8187826115E-01	6.4126803423E-01	1.2857882487E123	6.4146281590E-01	6.3968195436E-01	6.4110520922E-01	6.3934383106E-01	5.6413970661E-01	
Caplet Vola Monte-Carlo Single-Curve	8.5007158533E-02	1.1799277767E-01	1.6491515980E-02	0.0000000000E00	2.2481533985E-02	2.2769135434E-02	1.0328732024E-01	2.3784672130E-02	2.3784672130E-02	4.0175186146E-02	6.4310552478E-01	6.4320691963E-01	6.4273380425E-01	6.4274075201E-01	6.4556964354E-01	6.4280226961E-01	6.4280226961E-01	6.4297314810E-01	1.2290286498E-01	1.3040091598E-01	1.3785628629E-01	1.5198032526E-01	1.4735903483E-01	5.9771738887E-01	5.9928813285E-01	5.9569499323E-01	5.9792822334E-01	5.9750272930E-01	5.8624544831E-01	5.1663006369E-01	2.6933902614E122	1.9656739125E-01	6.2657890413E-01	1.2857882487E123	6.2677368581E-01	6.2499282427E-01	6.2641607913E-01	6.2465470097E-01	5.4945057651E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	9.5660489533E-02	1.2519673017E-01	2.0584472150E-02	2.2481533985E-02	0.0000000000E00	1.3396168251E-03	9.7391978187E-02	1.0040664644E-02	1.0040664644E-02	3.1692335596E-02	6.3721018273E-01	6.3731157758E-01	6.3683846219E-01	6.3684540996E-01	6.3967430148E-01	6.3690692756E-01	6.3690692756E-01	6.3707780604E-01	1.2312327906E-01	1.3130646680E-01	1.3100716017E-01	1.4529305107E-01	1.4090213779E-01	5.9182204682E-01	5.9339279080E-01	5.8979965117E-01	5.9203288128E-01	5.9160738725E-01	5.8035010625E-01	5.1073472164E-01	2.6933902614E122	2.0246273330E-01	6.2068356208E-01	1.2857882487E123	6.2087834376E-01	6.1909748221E-01	6.2052073708E-01	6.1875935892E-01	5.4355523446E-01	
Caplet Vola Analytic Multi-Curve Ju	9.7000106359E-02	1.2652687034E-01	2.1893806602E-02	2.2769135434E-02	1.3396168251E-03	0.0000000000E00	9.6082643735E-02	8.7313301915E-03	8.7313301915E-03	3.0487625393E-02	6.3590084827E-01	6.3600224313E-01	6.3552912774E-01	6.3553607550E-01	6.3836496703E-01	6.3559759311E-01	6.3559759311E-01	6.3576847159E-01	1.2230884497E-01	1.3030347517E-01	1.2978026822E-01	1.4406615912E-01	1.3963622097E-01	5.9051271237E-01	5.9208345634E-01	5.8849031672E-01	5.9072354683E-01	5.9029805280E-01	5.7904077180E-01	5.0942538719E-01	2.6933902614E122	2.0377206776E-01	6.1937422763E-01	1.2857882487E123	6.1956900930E-01	6.1778814776E-01	6.1921140262E-01	6.1745002446E-01	5.4224590001E-01	
Caplet Vola Analytic Multi-Curve Ho	1.7825390522E-01	2.1991518165E-01	1.1797645034E-01	1.0328732024E-01	9.7391978187E-02	9.6082643735E-02	0.0000000000E00	8.7351313543E-02	8.7351313543E-02	6.9052009193E-02	5.3981820454E-01	5.3991959939E-01	5.3944648401E-01	5.3945343177E-01	5.4228232330E-01	5.3951494937E-01	5.3951494937E-01	5.3968582786E-01	1.0625597453E-01	1.0564919503E-01	9.7017292265E-02	1.0637779406E-01	9.9404128533E-02	4.9443006863E-01	4.9600081261E-01	4.9240767299E-01	4.9464090309E-01	4.9421540906E-01	4.8295812807E-01	4.1334274345E-01	2.6933902614E122	2.9985471149E-01	5.2329158389E-01	1.2857882487E123	5.2348636557E-01	5.2170550403E-01	5.2312875889E-01	5.2136738073E-01	4.4616325627E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0402616202E-01	1.3453939553E-01	3.0625136794E-02	2.3784672130E-02	1.0040664644E-02	8.7313301915E-03	8.7351313543E-02	0.0000000000E00	0.0000000000E00	2.4124992355E-02	6.2716951808E-01	6.2727091293E-01	6.2679779755E-01	6.2680474531E-01	6.2963363684E-01	6.2686626292E-01	6.2686626292E-01	6.2703714140E-01	1.1804376408E-01	1.2438484911E-01	1.2322781797E-01	1.3729583765E-01	1.3151721302E-01	5.8178138218E-01	5.8335212615E-01	5.7975898653E-01	5.8199221664E-01	5.8156672261E-01	5.7030944161E-01	5.0069405699E-01	2.6933902614E122	2.1250339795E-01	6.1064289744E-01	1.2857882487E123	6.1083767911E-01	6.0905681757E-01	6.1048007243E-01	6.0871869427E-01	5.3351456981E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0402616202E-01	1.3453939553E-01	3.0625136794E-02	2.3784672130E-02	1.0040664644E-02	8.7313301915E-03	8.7351313543E-02	0.0000000000E00	0.0000000000E00	2.4124992355E-02	6.2716951808E-01	6.2727091293E-01	6.2679779755E-01	6.2680474531E-01	6.2963363684E-01	6.2686626292E-01	6.2686626292E-01	6.2703714140E-01	1.1804376408E-01	1.2438484911E-01	1.2322781797E-01	1.3729583765E-01	1.3151721302E-01	5.8178138218E-01	5.8335212615E-01	5.7975898653E-01	5.8199221664E-01	5.8156672261E-01	5.7030944161E-01	5.0069405699E-01	2.6933902614E122	2.1250339795E-01	6.1064289744E-01	1.2857882487E123	6.1083767911E-01	6.0905681757E-01	6.1048007243E-01	6.0871869427E-01	5.3351456981E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2229382466E-01	1.5515115993E-01	5.1949430644E-02	4.0175186146E-02	3.1692335596E-02	3.0487625393E-02	6.9052009193E-02	2.4124992355E-02	2.4124992355E-02	0.0000000000E00	6.0887021373E-01	6.0897160858E-01	6.0849849320E-01	6.0850544096E-01	6.1133433249E-01	6.0856695857E-01	6.0856695857E-01	6.0873783705E-01	1.1154202012E-01	1.1646599467E-01	1.1469730362E-01	1.2531928824E-01	1.1911693994E-01	5.6348207783E-01	5.6505282180E-01	5.6145968218E-01	5.6369291229E-01	5.6326741826E-01	5.5201013726E-01	4.8239475264E-01	2.6933902614E122	2.3080270230E-01	5.9234359309E-01	1.2857882487E123	5.9253837476E-01	5.9075751322E-01	5.9218076808E-01	5.9041938992E-01	5.1521526546E-01	
