	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.3501934934E-02	9.1929830550E-02	1.0734346145E-01	1.2130470900E-01	1.2321207088E-01	2.3082547974E-01	1.3198922723E-01	1.3198922723E-01	1.4755560153E-01	7.3371680950E-01	7.3381938984E-01	7.3331672569E-01	7.3332489716E-01	7.3602190538E-01	7.3338786733E-01	7.3338786733E-01	7.3355746476E-01	2.4622430522E-01	2.5776530270E-01	2.6847093532E-01	2.7857517814E-01	2.7684748233E-01	6.9214212254E-01	6.9357895659E-01	6.9012181274E-01	6.9195704849E-01	6.9167510861E-01	6.8881403242E-01	6.0924728847E-01	1.6819880387E123	1.2904271764E-01	7.1876641643E-01	8.0295844590E123	7.1896256166E-01	7.1700155526E-01	7.1860006492E-01	7.1665702781E-01	6.5752318686E-01	
Target (LIBOR)	4.3501934934E-02	0.0000000000E00	1.2904053715E-01	1.4513642888E-01	1.5826156199E-01	1.6015804759E-01	2.6988643644E-01	1.6943368888E-01	1.6943368888E-01	1.8618380791E-01	7.7721824786E-01	7.7732083380E-01	7.7681817383E-01	7.7682634450E-01	7.7952363169E-01	7.7688931911E-01	7.7688931911E-01	7.7705894037E-01	2.8259602569E-01	2.9521328275E-01	3.0631226261E-01	3.1717416727E-01	3.1585570025E-01	7.3558679465E-01	7.3702748062E-01	7.3356391803E-01	7.3540732046E-01	7.3512253373E-01	7.3217878221E-01	6.5234981453E-01	1.6819880387E123	9.3789897896E-02	7.6226174665E-01	8.0295844590E123	7.6245801084E-01	7.6049754204E-01	7.6209537875E-01	7.6015289240E-01	7.0075483205E-01	
Caplet Vola Analytic Single-Curve	9.1929830550E-02	1.2904053715E-01	0.0000000000E00	2.2117967891E-02	3.4233471895E-02	3.5825973010E-02	1.4603887744E-01	4.3383981542E-02	4.3383981542E-02	5.8315410224E-02	6.6338751784E-01	6.6348945003E-01	6.6299786112E-01	6.6300554804E-01	6.6575533853E-01	6.6306779163E-01	6.6306779163E-01	6.6323685390E-01	1.7191574701E-01	1.8233192437E-01	1.8906996436E-01	2.0070920157E-01	1.9768840567E-01	6.2059055842E-01	6.2205169979E-01	6.1858393404E-01	6.2052340323E-01	6.2020038654E-01	6.1416700493E-01	5.4112990411E-01	1.6819880387E123	1.8572691621E-01	6.4779562376E-01	8.0295844590E123	6.4798828196E-01	6.4608456887E-01	6.4763075022E-01	6.4574548798E-01	5.8118076632E-01	
Caplet Vola Monte-Carlo Single-Curve	1.0734346145E-01	1.4513642888E-01	2.2117967891E-02	0.0000000000E00	3.4182451987E-02	3.4896063531E-02	1.3585223072E-01	3.8438111406E-02	3.8438111406E-02	4.6655084279E-02	6.4848563181E-01	6.4858489509E-01	6.4809790356E-01	6.4810546846E-01	6.5084871322E-01	6.4816726049E-01	6.4816726049E-01	6.4833523402E-01	1.5937276961E-01	1.6883948614E-01	1.7582495974E-01	1.8709389337E-01	1.8356551522E-01	6.0577395352E-01	6.0723173568E-01	6.0377455664E-01	6.0571390859E-01	6.0538798739E-01	5.9914664945E-01	5.2698510472E-01	1.6819880387E123	2.0155631515E-01	6.3289392563E-01	8.0295844590E123	6.3309070064E-01	6.3119029812E-01	6.3273515717E-01	6.3085347641E-01	5.6621779108E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2130470900E-01	1.5826156199E-01	3.4233471895E-02	3.4182451987E-02	0.0000000000E00	2.1615442498E-03	1.1419170410E-01	1.1853267016E-02	1.1853267016E-02	3.6353149689E-02	6.4049785806E-01	6.4060112383E-01	6.4010975649E-01	6.4011738987E-01	6.4290846992E-01	6.4018024883E-01	6.4018024883E-01	6.4035248842E-01	1.5633638955E-01	1.6635911851E-01	1.6836533950E-01	1.8064955580E-01	1.7775078283E-01	5.9698575840E-01	5.9847558813E-01	5.9496853932E-01	5.9696068086E-01	5.9662905402E-01	5.9000455080E-01	5.1818882466E-01	1.6819880387E123	2.1017286554E-01	6.2461041277E-01	8.0295844590E123	6.2480717948E-01	6.2292705580E-01	6.2444351944E-01	6.2258224559E-01	5.5622294268E-01	
Caplet Vola Analytic Multi-Curve Ju	1.2321207088E-01	1.6015804759E-01	3.5825973010E-02	3.4896063531E-02	2.1615442498E-03	0.0000000000E00	1.1251586941E-01	9.9736786155E-03	9.9736786155E-03	3.5104523826E-02	6.3904406374E-01	6.3914730269E-01	6.3865623461E-01	6.3866385130E-01	6.4145642718E-01	6.3872670004E-01	6.3872670004E-01	6.3889902828E-01	1.5483507459E-01	1.6481742111E-01	1.6668893429E-01	1.7903757866E-01	1.7609612020E-01	5.9550175989E-01	5.9699268538E-01	5.9348460771E-01	5.9548001927E-01	5.9514745006E-01	5.8846129647E-01	5.1684664745E-01	1.6819880387E123	2.1172872908E-01	6.2314176951E-01	8.0295844590E123	6.2333876257E-01	6.2146011832E-01	6.2297496836E-01	6.2111520544E-01	5.5464189275E-01	
Caplet Vola Analytic Multi-Curve Ho	2.3082547974E-01	2.6988643644E-01	1.4603887744E-01	1.3585223072E-01	1.1419170410E-01	1.1251586941E-01	0.0000000000E00	1.0366130146E-01	1.0366130146E-01	9.3657536400E-02	5.4122141449E-01	5.4132625644E-01	5.4084309793E-01	5.4085046580E-01	5.4370736897E-01	5.4091365528E-01	5.4091365528E-01	5.4108989378E-01	1.3173372686E-01	1.3252859582E-01	1.1693555435E-01	1.2532191582E-01	1.2144481997E-01	4.9643455557E-01	4.9796828424E-01	4.9442493341E-01	4.9651630457E-01	4.9616610554E-01	4.8765837572E-01	4.2141097083E-01	1.6819880387E123	3.2039399605E-01	5.2471828457E-01	8.0295844590E123	5.2491838151E-01	5.2311782225E-01	5.2454916071E-01	5.2276803345E-01	4.5224894327E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.3198922723E-01	1.6943368888E-01	4.3383981542E-02	3.8438111406E-02	1.1853267016E-02	9.9736786155E-03	1.0366130146E-01	0.0000000000E00	0.0000000000E00	2.7104742989E-02	6.2994132948E-01	6.3004434158E-01	6.2955457844E-01	6.2956215093E-01	6.3235456486E-01	6.2962484737E-01	6.2962484737E-01	6.2979687677E-01	1.4783138899E-01	1.5720730015E-01	1.5857421252E-01	1.7082564049E-01	1.6759990511E-01	5.8636872590E-01	5.8785908092E-01	5.8435470785E-01	5.8635414158E-01	5.8601926956E-01	5.7913223767E-01	5.0811896058E-01	1.6819880387E123	2.2109779422E-01	6.1401228508E-01	8.0295844590E123	6.1420876634E-01	6.1233453002E-01	6.1384593037E-01	6.1199057054E-01	5.4525248837E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.3198922723E-01	1.6943368888E-01	4.3383981542E-02	3.8438111406E-02	1.1853267016E-02	9.9736786155E-03	1.0366130146E-01	0.0000000000E00	0.0000000000E00	2.7104742989E-02	6.2994132948E-01	6.3004434158E-01	6.2955457844E-01	6.2956215093E-01	6.3235456486E-01	6.2962484737E-01	6.2962484737E-01	6.2979687677E-01	1.4783138899E-01	1.5720730015E-01	1.5857421252E-01	1.7082564049E-01	1.6759990511E-01	5.8636872590E-01	5.8785908092E-01	5.8435470785E-01	5.8635414158E-01	5.8601926956E-01	5.7913223767E-01	5.0811896058E-01	1.6819880387E123	2.2109779422E-01	6.1401228508E-01	8.0295844590E123	6.1420876634E-01	6.1233453002E-01	6.1384593037E-01	6.1199057054E-01	5.4525248837E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.4755560153E-01	1.8618380791E-01	5.8315410224E-02	4.6655084279E-02	3.6353149689E-02	3.5104523826E-02	9.3657536400E-02	2.7104742989E-02	2.7104742989E-02	0.0000000000E00	6.1169581851E-01	6.1179735787E-01	6.1131171015E-01	6.1131920328E-01	6.1408386462E-01	6.1138098478E-01	6.1138098478E-01	6.1154781256E-01	1.3669181260E-01	1.4403629482E-01	1.4563489916E-01	1.5670496860E-01	1.5248249328E-01	5.6847579796E-01	5.6994328668E-01	5.6648297791E-01	5.6845337403E-01	5.6811803527E-01	5.6071282171E-01	4.9077296645E-01	1.6819880387E123	2.4031179117E-01	5.9585402607E-01	8.0295844590E123	5.9603953465E-01	5.9416746699E-01	5.9568980827E-01	5.9383646284E-01	5.2706967583E-01	
