	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	7.9619777869E-01	1.2355153055E00	8.6263756111E-01	8.6912038176E-01	?	9.0009462684E-01	8.9874369716E-01	8.7461842640E-01	1.9716970433E00	1.9930337293E00	1.9734575026E00	1.9738084603E00	?	1.9755483371E00	1.9754687910E00	1.9739517629E00	1.2679113348E00	1.3286950438E00	1.0321107906E00	1.0197903626E00	1.0505153466E00	1.7421102186E00	1.7665000881E00	1.6443873490E00	1.6427249329E00	1.6537171627E00	1.8780167299E00	1.7100751465E00	?	5.7928203479E-01	1.9712234380E00	?	1.9718458389E00	1.9621323299E00	1.9711006910E00	1.9663599149E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	8.4445334942E-01	1.2712532239E00	9.0926927718E-01	9.1560603055E-01	?	9.4588218036E-01	9.4456196304E-01	9.2083647199E-01	1.9748663251E00	1.9950450147E00	1.9765316521E00	1.9768636553E00	?	1.9785095635E00	1.9784343133E00	1.9769990363E00	1.3024166645E00	1.3610734860E00	1.0741217368E00	1.0610236195E00	1.0919036965E00	1.7568122537E00	1.7800589968E00	1.6634989079E00	1.6618746132E00	1.6724248178E00	1.8860485700E00	1.7262427875E00	?	6.3166156193E-01	1.9744152045E00	?	1.9750039703E00	1.9658131854E00	1.9742993665E00	1.9698147865E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	7.9619777869E-01	8.4445334942E-01	0.0000000000E00	5.7627981559E-01	8.2988057003E-02	9.0087863189E-02	?	1.2570240144E-01	1.2408836718E-01	1.1067460353E-01	1.8864079693E00	1.9335550995E00	1.8902657614E00	1.8910380119E00	?	1.8948752479E00	1.8946996914E00	1.8913310570E00	6.4177397820E-01	7.2761161143E-01	3.4556678773E-01	4.1943964926E-01	3.7116996606E-01	1.4178134179E00	1.4636914688E00	1.2412341049E00	1.2411007214E00	1.2573060282E00	1.6887918234E00	1.3579847298E00	?	2.4597023127E-01	1.8851890056E00	?	1.8865248178E00	1.8653176473E00	1.8849099587E00	1.8746179025E00	1.5211374603E00	
Caplet Vola Monte-Carlo Single-Curve	1.2355153055E00	1.2712532239E00	5.7627981559E-01	0.0000000000E00	5.0081558440E-01	4.9341749995E-01	?	4.5882459735E-01	4.6025668285E-01	4.8915867224E-01	1.7806994150E00	1.8617931603E00	1.7872525655E00	1.7885773777E00	?	1.7951869983E00	1.7948829529E00	1.7890063757E00	1.9289202568E-01	2.2822397215E-01	3.6482997519E-01	5.3285981746E-01	3.5504290784E-01	1.0619432497E00	1.1248095144E00	8.3718647532E-01	8.4572435464E-01	8.5553428179E-01	1.4612987728E00	1.0013049041E00	?	7.9272552735E-01	1.7774868548E00	?	1.7798410318E00	1.7438783763E00	1.7771271669E00	1.7598301410E00	1.2096957908E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.6263756111E-01	9.0926927718E-01	8.2988057003E-02	5.0081558440E-01	0.0000000000E00	8.5008145084E-03	?	5.0848721448E-02	4.8860984156E-02	4.7489672794E-02	1.8709694896E00	1.9216707182E00	1.8751057099E00	1.8759372774E00	?	1.8800781431E00	1.8798882782E00	1.8762255234E00	5.6968008655E-01	6.5733309026E-01	2.8350063103E-01	3.8442598113E-01	3.0784463874E-01	1.3718645978E00	1.4202985197E00	1.1871778704E00	1.1875462981E00	1.2037781818E00	1.6578256478E00	1.3127373228E00	?	3.2369893932E-01	1.8692728138E00	?	1.8707044190E00	1.8479317993E00	1.8689989852E00	1.8580279658E00	1.4791597606E00	
Caplet Vola Analytic Multi-Curve Ju	8.6912038176E-01	9.1560603055E-01	9.0087863189E-02	4.9341749995E-01	8.5008145084E-03	0.0000000000E00	?	4.2613976565E-02	4.0604838542E-02	4.6067979587E-02	1.8701100577E00	1.9211894217E00	1.8742777787E00	1.8751152211E00	?	1.8792854817E00	1.8790942757E00	1.8754057709E00	5.6271670878E-01	6.5033500984E-01	2.7750626315E-01	3.8195913124E-01	3.0181997354E-01	1.3681109862E00	1.4167529217E00	1.1827156200E00	1.1831646919E00	1.1993582603E00	1.6556039522E00	1.3086298529E00	?	3.3143807328E-01	1.8684249632E00	?	1.8698659395E00	1.8469247630E00	1.8681487283E00	1.8570910954E00	1.4759741942E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.0009462684E-01	9.4588218036E-01	1.2570240144E-01	4.5882459735E-01	5.0848721448E-02	4.2613976565E-02	?	0.0000000000E00	2.0678667035E-03	6.6781554481E-02	1.8683413753E00	1.9213465414E00	1.8726705646E00	1.8735379973E00	?	1.8778508464E00	1.8776534014E00	1.8738612938E00	5.3196022496E-01	6.1877635108E-01	2.5411384369E-01	3.7386522511E-01	2.7884734713E-01	1.3521615780E00	1.4017639268E00	1.1632443777E00	1.1639064349E00	1.1801884610E00	1.6485027589E00	1.2891931953E00	?	3.6825149667E-01	1.8668970328E00	?	1.8683976176E00	1.8446141468E00	1.8665894646E00	1.8550569050E00	1.4644916837E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.9874369716E-01	9.4456196304E-01	1.2408836718E-01	4.6025668285E-01	4.8860984156E-02	4.0604838542E-02	?	2.0678667035E-03	0.0000000000E00	6.5103277462E-02	1.8683031346E00	1.9212202917E00	1.8726248538E00	1.8734909317E00	?	1.8777976161E00	1.8776004279E00	1.8738119437E00	5.3315544402E-01	6.2003927525E-01	2.5485453108E-01	3.7401038784E-01	2.7955781377E-01	1.3527339984E00	1.4022988089E00	1.1639676967E00	1.1646259272E00	1.1808964605E00	1.6486516800E00	1.2900097567E00	?	3.6663826798E-01	1.8668390203E00	?	1.8683368034E00	1.8445912380E00	1.8665338203E00	1.8550244507E00	1.4648163009E00	
Caplet Vola Monte-Carlo Multi-Curve	8.7461842640E-01	9.2083647199E-01	1.1067460353E-01	4.8915867224E-01	4.7489672794E-02	4.6067979587E-02	?	6.6781554481E-02	6.5103277462E-02	0.0000000000E00	1.8646779017E00	1.9158308857E00	1.8688446057E00	1.8696833195E00	?	1.8738814047E00	1.8736881654E00	1.8698695695E00	5.5317896365E-01	6.4198211821E-01	2.6757816587E-01	3.7616759422E-01	2.8879752969E-01	1.3615364376E00	1.4103879156E00	1.1764232009E00	1.1769431742E00	1.1926762359E00	1.6447247148E00	1.3078782502E00	?	3.4183698347E-01	1.8624410809E00	?	1.8638286587E00	1.8406986419E00	1.8622221799E00	1.8512424697E00	1.4638256328E00	
