	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	7.9474625586E-01	1.1165096061E00	8.4283026266E-01	8.4812396988E-01	?	8.7789239585E-01	8.7654463710E-01	8.4646057293E-01	1.4845432156E00	1.4932818456E00	1.4851111028E00	1.4852458534E00	?	1.4860377576E00	1.4859999765E00	1.4852136316E00	1.1261332356E00	?	9.7171518120E-01	9.1404219674E-01	?	1.3776781392E00	?	1.3292311890E00	1.3056339043E00	?	1.4449027881E00	1.3752874035E00	?	6.6208994855E-01	1.4851613980E00	?	1.4853130800E00	1.4811804912E00	1.4850734189E00	1.4833120408E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	8.8345848623E-01	1.2052218365E00	9.3154249304E-01	9.3683620026E-01	?	9.6660462623E-01	9.6525686747E-01	9.3517280330E-01	1.5732554460E00	1.5819940760E00	1.5738233332E00	1.5739580838E00	?	1.5747499880E00	1.5747122069E00	1.5739258620E00	1.2148454659E00	?	1.0604274116E00	9.9505050423E-01	?	1.4663903696E00	?	1.4179434194E00	1.3943461347E00	?	1.5336150185E00	1.4639996339E00	?	7.5080217892E-01	1.5738736283E00	?	1.5740253104E00	1.5698927216E00	1.5737856493E00	1.5720242711E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	7.9474625586E-01	8.8345848623E-01	0.0000000000E00	3.2176335028E-01	4.8084006801E-02	5.3377714020E-02	?	8.3146139991E-02	8.1798381234E-02	6.3598348244E-02	6.8979695973E-01	6.9853558975E-01	6.9036484698E-01	6.9049959754E-01	?	6.9129150178E-01	6.9125372066E-01	6.9046737573E-01	3.3138697969E-01	?	1.7696892534E-01	2.4586358592E-01	?	5.8293188333E-01	?	5.3448493313E-01	5.2109146470E-01	?	6.5015653224E-01	5.8054114763E-01	?	1.3265630731E-01	6.9041514211E-01	?	6.9056682416E-01	6.8643423537E-01	6.9032716306E-01	6.8856578490E-01	6.1336166045E-01	
Caplet Vola Monte-Carlo Single-Curve	1.1165096061E00	1.2052218365E00	3.2176335028E-01	0.0000000000E00	2.7367934348E-01	2.6838563626E-01	?	2.3861721029E-01	2.3996496904E-01	2.7004903321E-01	3.6803360945E-01	3.7677223947E-01	3.6860149671E-01	3.6873624726E-01	?	3.6952815151E-01	3.6949037039E-01	3.6870402546E-01	6.0421161772E-02	?	1.4714906213E-01	2.2445767255E-01	?	2.6116853305E-01	?	2.1272158286E-01	2.2905322970E-01	?	3.2839318197E-01	2.5877779735E-01	?	4.5441965759E-01	3.6865179184E-01	?	3.6880347389E-01	3.6467088510E-01	3.6856381279E-01	3.6680243463E-01	2.9159831017E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.4283026266E-01	9.3154249304E-01	4.8084006801E-02	2.7367934348E-01	0.0000000000E00	5.2937072196E-03	?	3.5108434562E-02	3.3759976928E-02	2.8819684929E-02	6.4171295293E-01	6.5045158295E-01	6.4228084018E-01	6.4241559074E-01	?	6.4320749498E-01	6.4316971386E-01	6.4238336893E-01	2.8330297289E-01	?	1.3382298072E-01	2.1187497645E-01	?	5.3484787652E-01	?	4.8640092633E-01	4.7469858231E-01	?	6.0207252544E-01	5.3245714083E-01	?	1.8074031411E-01	6.4233113531E-01	?	6.4248281736E-01	6.3835022857E-01	6.4224315626E-01	6.4048177810E-01	5.6527765365E-01	
Caplet Vola Analytic Multi-Curve Ju	8.4812396988E-01	9.3683620026E-01	5.3377714020E-02	2.6838563626E-01	5.2937072196E-03	0.0000000000E00	?	2.9827118389E-02	2.8478660755E-02	2.8077331362E-02	6.3641924571E-01	6.4515787573E-01	6.3698713296E-01	6.3712188352E-01	?	6.3791378776E-01	6.3787600664E-01	6.3708966171E-01	2.7800926567E-01	?	1.2999154715E-01	2.0924238406E-01	?	5.2955416931E-01	?	4.8110721911E-01	4.6966777360E-01	?	5.9677881822E-01	5.2716343361E-01	?	1.8603402133E-01	6.3703742809E-01	?	6.3718911014E-01	6.3305652135E-01	6.3694944904E-01	6.3518807088E-01	5.5998394643E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	8.7789239585E-01	9.6660462623E-01	8.3146139991E-02	2.3861721029E-01	3.5108434562E-02	2.9827118389E-02	?	0.0000000000E00	1.3506941663E-03	4.1192647030E-02	6.0665081974E-01	6.1538944976E-01	6.0721870699E-01	6.0735345755E-01	?	6.0814536179E-01	6.0810758067E-01	6.0732123574E-01	2.4824083970E-01	?	1.1178385639E-01	2.0012873849E-01	?	4.9978574333E-01	?	4.5133879314E-01	4.4170682978E-01	?	5.6701039225E-01	4.9739500764E-01	?	2.1580244730E-01	6.0726900212E-01	?	6.0742068417E-01	6.0328809538E-01	6.0718102307E-01	6.0541964491E-01	5.3021552046E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.7654463710E-01	9.6525686747E-01	8.1798381234E-02	2.3996496904E-01	3.3759976928E-02	2.8478660755E-02	?	1.3506941663E-03	0.0000000000E00	4.0041528756E-02	6.0799857850E-01	6.1673720851E-01	6.0856646575E-01	6.0870121630E-01	?	6.0949312055E-01	6.0945533943E-01	6.0866899450E-01	2.4958859846E-01	?	1.1231843261E-01	2.0033489043E-01	?	5.0113350209E-01	?	4.5268655190E-01	4.4295188209E-01	?	5.6835815101E-01	4.9874276639E-01	?	2.1445468855E-01	6.0861676088E-01	?	6.0876844293E-01	6.0463585414E-01	6.0852878183E-01	6.0676740367E-01	5.3156327921E-01	
Caplet Vola Monte-Carlo Multi-Curve	8.4646057293E-01	9.3517280330E-01	6.3598348244E-02	2.7004903321E-01	2.8819684929E-02	2.8077331362E-02	?	4.1192647030E-02	4.0041528756E-02	0.0000000000E00	6.3808264267E-01	6.4682127268E-01	6.3865052992E-01	6.3878528048E-01	?	6.3957718472E-01	6.3953940360E-01	6.3875305867E-01	2.7967266263E-01	?	1.3511713946E-01	2.1213401119E-01	?	5.3121756626E-01	?	4.8277061607E-01	4.7071066496E-01	?	5.9844221518E-01	5.2882683056E-01	?	1.8580363322E-01	6.3870082505E-01	?	6.3885250710E-01	6.3471991831E-01	6.3861284600E-01	6.3685146784E-01	5.6164734339E-01	
