	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	4.4987767355E-03	4.9390848651E-02	2.2711610575E-02	2.2134180714E-02	?	1.8539280453E-02	1.8539280453E-02	6.6222532931E-02	1.9893603512E00	1.9898073772E00	1.9866196388E00	1.9866243194E00	?	1.9866542733E00	1.9866542733E00	1.9874368578E00	2.1189998555E-01	?	2.0190032796E-01	?	?	1.9156505525E00	?	1.8940434249E00	?	?	1.6786412714E00	1.3795891253E00	?	3.4083508704E-01	1.9992225204E00	?	1.9995603549E00	1.9919839417E00	1.9984078633E00	1.9905126597E00	1.5142792931E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	5.6699892940E-02	1.0585124702E-01	3.4453007080E-02	3.5019749764E-02	?	3.8658861191E-02	3.8658861191E-02	1.2047724104E-01	1.9899499577E00	1.9903722710E00	1.9873606433E00	1.9873650655E00	?	1.9873933659E00	1.9873933659E00	1.9881327394E00	2.3552090441E-01	?	2.2355345419E-01	?	?	1.9202431963E00	?	1.8997824192E00	?	?	1.6951338201E00	1.4089635427E00	?	2.8508030663E-01	1.9992657058E00	?	1.9995847771E00	1.9924284353E00	1.9984962821E00	1.9910385533E00	1.5381480678E00	
Caplet Vola Analytic Single-Curve	4.4987767355E-03	5.6699892940E-02	0.0000000000E00	5.0122973349E-02	2.2268343333E-02	2.1690910631E-02	?	1.8050923444E-02	1.8050923444E-02	6.6677061730E-02	1.9893650544E00	1.9898118833E00	1.9866255495E00	1.9866302280E00	?	1.9866601688E00	1.9866601688E00	1.9874424086E00	2.1099286254E-01	?	2.0095437299E-01	?	?	1.9156871503E00	?	1.8940891441E00	?	?	1.6787722672E00	1.3798214725E00	?	3.4040462254E-01	1.9992228650E00	?	1.9995605498E00	1.9919874875E00	1.9984085687E00	1.9905168547E00	1.5144684449E00	
Caplet Vola Monte-Carlo Single-Curve	4.9390848651E-02	1.0585124702E-01	5.0122973349E-02	0.0000000000E00	7.1473970026E-02	7.0897199183E-02	?	6.7261195523E-02	6.7261195523E-02	2.6183502175E-02	1.9888298357E00	1.9892990916E00	1.9859529468E00	1.9859578598E00	?	1.9859893010E00	1.9859893010E00	1.9868107499E00	2.0047881555E-01	?	1.9295285028E-01	?	?	1.9115262195E00	?	1.8888925726E00	?	?	1.6639228356E00	1.3535807390E00	?	3.8800443789E-01	1.9991836530E00	?	1.9995383744E00	1.9915839681E00	1.9983282870E00	1.9900394573E00	1.4930703420E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.2711610575E-02	3.4453007080E-02	2.2268343333E-02	7.1473970026E-02	0.0000000000E00	5.7750243869E-04	?	4.2178437447E-03	4.2178437447E-03	8.6580338965E-02	1.9895986602E00	1.9900356986E00	1.9869191336E00	1.9869237097E00	?	1.9869529954E00	1.9869529954E00	1.9877181169E00	2.1808094653E-01	?	2.0760002827E-01	?	?	1.9175056889E00	?	1.8963611990E00	?	?	1.6852901095E00	1.3914016465E00	?	3.1874031178E-01	1.9992399766E00	?	1.9995702268E00	1.9921636025E00	1.9984436034E00	1.9907252191E00	1.5238886154E00	
Caplet Vola Analytic Multi-Curve Ju	2.2134180714E-02	3.5019749764E-02	2.1690910631E-02	7.0897199183E-02	5.7750243869E-04	0.0000000000E00	?	3.6403435228E-03	3.6403435228E-03	8.6010232366E-02	1.9895926673E00	1.9900299569E00	1.9869116019E00	1.9869161807E00	?	1.9869454832E00	1.9869454832E00	1.9877110439E00	2.1789418146E-01	?	2.0741165675E-01	?	?	1.9174590179E00	?	1.8963028821E00	?	?	1.6851226223E00	1.3911035951E00	?	3.1930312043E-01	1.9992395377E00	?	1.9995699785E00	1.9921590845E00	1.9984427046E00	1.9907198737E00	1.5236463339E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8539280453E-02	3.8658861191E-02	1.8050923444E-02	6.7261195523E-02	4.2178437447E-03	3.6403435228E-03	?	0.0000000000E00	0.0000000000E00	8.2378140363E-02	1.9895548111E00	1.9899936873E00	1.9868640255E00	1.9868686209E00	?	1.9868980295E00	1.9868980295E00	1.9876663645E00	2.1687828912E-01	?	2.0648678286E-01	?	?	1.9171642263E00	?	1.8959345395E00	?	?	1.6840649714E00	1.3892220397E00	?	3.2284964602E-01	1.9992367648E00	?	1.9995684104E00	1.9921305451E00	1.9984370274E00	1.9906861081E00	1.5221166319E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8539280453E-02	3.8658861191E-02	1.8050923444E-02	6.7261195523E-02	4.2178437447E-03	3.6403435228E-03	?	0.0000000000E00	0.0000000000E00	8.2378140363E-02	1.9895548111E00	1.9899936873E00	1.9868640255E00	1.9868686209E00	?	1.9868980295E00	1.9868980295E00	1.9876663645E00	2.1687828912E-01	?	2.0648678286E-01	?	?	1.9171642263E00	?	1.8959345395E00	?	?	1.6840649714E00	1.3892220397E00	?	3.2284964602E-01	1.9992367648E00	?	1.9995684104E00	1.9921305451E00	1.9984370274E00	1.9906861081E00	1.5221166319E00	
Caplet Vola Monte-Carlo Multi-Curve	6.6222532931E-02	1.2047724104E-01	6.6677061730E-02	2.6183502175E-02	8.6580338965E-02	8.6010232366E-02	?	8.2378140363E-02	8.2378140363E-02	0.0000000000E00	1.9886651950E00	1.9891413485E00	1.9857460542E00	1.9857510393E00	?	1.9857829419E00	1.9857829419E00	1.9866164491E00	2.0127679044E-01	?	1.9405311215E-01	?	?	1.9102478130E00	?	1.8872965433E00	?	?	1.6593782278E00	1.3455890790E00	?	4.0210490519E-01	1.9991715889E00	?	1.9995315518E00	1.9914598345E00	1.9983035875E00	1.9898926004E00	1.4865391514E00	
