	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.5326532986E-02	6.3103003870E-03	1.0330279638E-01	7.9895199392E-03	7.9313107785E-03	?	7.5579997659E-03	7.5579997659E-03	1.1438014232E-01	9.3361338913E-01	9.3395496044E-01	9.3295850321E-01	9.3295949023E-01	?	9.3296074598E-01	9.3296074598E-01	9.3342376997E-01	5.8124282684E-01	?	5.6774936797E-01	?	?	8.8414556570E-01	?	8.8150171322E-01	?	?	9.3055106076E-01	8.7404628749E-01	?	4.9918957106E-01	9.4599936874E-01	?	9.4613345481E-01	9.4396592358E-01	9.4534449656E-01	9.4309305294E-01	9.1779483522E-01	
Target (LIBOR)	5.5326532986E-02	0.0000000000E00	5.6962541564E-02	1.5589375447E-01	5.1278428840E-02	5.1434600192E-02	?	5.1577055338E-02	5.1577055338E-02	1.6784001850E-01	9.8893992212E-01	9.8928149343E-01	9.8828503620E-01	9.8828602322E-01	?	9.8828727897E-01	9.8828727897E-01	9.8875030296E-01	6.3470270303E-01	?	6.2120924415E-01	?	?	9.3817185077E-01	?	9.3515728958E-01	?	?	9.8587759374E-01	9.2663724558E-01	?	4.6973635054E-01	1.0013259017E00	?	1.0014599878E00	9.9929245657E-01	1.0006710295E00	9.9841958593E-01	9.7295923729E-01	
Caplet Vola Analytic Single-Curve	6.3103003870E-03	5.6962541564E-02	0.0000000000E00	1.0520197284E-01	5.8288364998E-03	5.6888117646E-03	?	5.6042741717E-03	5.6042741717E-03	1.1615296858E-01	9.3244222566E-01	9.3278379697E-01	9.3178733974E-01	9.3178832676E-01	?	9.3178958251E-01	9.3178958251E-01	9.3225260650E-01	5.8301565311E-01	?	5.6952219424E-01	?	?	8.8347352989E-01	?	8.8082967741E-01	?	?	9.2937989729E-01	8.7594546395E-01	?	4.9407289695E-01	9.4482820527E-01	?	9.4496229134E-01	9.4279476011E-01	9.4417333309E-01	9.4192188947E-01	9.1599669573E-01	
Caplet Vola Monte-Carlo Single-Curve	1.0330279638E-01	1.5589375447E-01	1.0520197284E-01	0.0000000000E00	1.0860211527E-01	1.0853377601E-01	?	1.0829419218E-01	1.0829419218E-01	3.7611340187E-02	9.0478282895E-01	9.0487097922E-01	9.0420575422E-01	9.0420656107E-01	?	9.0420704822E-01	9.0420704822E-01	9.0438326871E-01	4.8013730719E-01	?	4.6664384832E-01	?	?	8.7748256864E-01	?	8.7483871616E-01	?	?	9.0020508772E-01	8.6446343492E-01	?	5.2605736008E-01	9.1536107567E-01	?	9.1552473108E-01	9.1305599207E-01	9.1522177420E-01	9.1271778304E-01	8.9548180102E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	7.9895199392E-03	5.1278428840E-02	5.8288364998E-03	1.0860211527E-01	0.0000000000E00	1.5617135140E-04	?	4.9610001958E-04	4.9610001958E-04	1.1973485494E-01	9.3772858299E-01	9.3807015430E-01	9.3707369707E-01	9.3707468409E-01	?	9.3707593984E-01	9.3707593984E-01	9.3753896383E-01	5.8659753947E-01	?	5.7310408060E-01	?	?	8.8898702220E-01	?	8.8634316972E-01	?	?	9.3466625461E-01	8.7934560638E-01	?	4.9235932107E-01	9.5011456259E-01	?	9.5024864867E-01	9.4808111744E-01	9.4945969041E-01	9.4720824680E-01	9.2168080845E-01	
Caplet Vola Analytic Multi-Curve Ju	7.9313107785E-03	5.1434600192E-02	5.6888117646E-03	1.0853377601E-01	1.5617135140E-04	0.0000000000E00	?	4.2026466992E-04	4.2026466992E-04	1.1965856322E-01	9.3758018982E-01	9.3792176113E-01	9.3692530390E-01	9.3692629092E-01	?	9.3692754667E-01	9.3692754667E-01	9.3739057066E-01	5.8652124775E-01	?	5.7302778888E-01	?	?	8.8889298402E-01	?	8.8624913155E-01	?	?	9.3451786145E-01	8.7927726712E-01	?	4.9241830350E-01	9.4996616943E-01	?	9.5010025550E-01	9.4793272427E-01	9.4931129725E-01	9.4705985363E-01	9.2152463710E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	7.5579997659E-03	5.1577055338E-02	5.6042741717E-03	1.0829419218E-01	4.9610001958E-04	4.2026466992E-04	?	0.0000000000E00	0.0000000000E00	1.1942592382E-01	9.3739141329E-01	9.3773298460E-01	9.3673652737E-01	9.3673751439E-01	?	9.3673877014E-01	9.3673877014E-01	9.3720179413E-01	5.8628860835E-01	?	5.7279514948E-01	?	?	8.8886017544E-01	?	8.8621632296E-01	?	?	9.3432908491E-01	8.7903768328E-01	?	4.9282072993E-01	9.4977739289E-01	?	9.4991147897E-01	9.4774394774E-01	9.4912252071E-01	9.4687107710E-01	9.2138218195E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	7.5579997659E-03	5.1577055338E-02	5.6042741717E-03	1.0829419218E-01	4.9610001958E-04	4.2026466992E-04	?	0.0000000000E00	0.0000000000E00	1.1942592382E-01	9.3739141329E-01	9.3773298460E-01	9.3673652737E-01	9.3673751439E-01	?	9.3673877014E-01	9.3673877014E-01	9.3720179413E-01	5.8628860835E-01	?	5.7279514948E-01	?	?	8.8886017544E-01	?	8.8621632296E-01	?	?	9.3432908491E-01	8.7903768328E-01	?	4.9282072993E-01	9.4977739289E-01	?	9.4991147897E-01	9.4774394774E-01	9.4912252071E-01	9.4687107710E-01	9.2138218195E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.1438014232E-01	1.6784001850E-01	1.1615296858E-01	3.7611340187E-02	1.1973485494E-01	1.1965856322E-01	?	1.1942592382E-01	1.1942592382E-01	0.0000000000E00	8.9671625425E-01	8.9680440452E-01	8.9613917952E-01	8.9613998637E-01	?	8.9614047352E-01	8.9614047352E-01	8.9631669400E-01	4.6686268453E-01	?	4.5336922566E-01	?	?	8.8642810739E-01	?	8.8542900071E-01	?	?	8.9213851302E-01	8.7553755115E-01	?	5.0160387012E-01	9.0729450097E-01	?	9.0745815637E-01	9.0498941737E-01	9.0715519950E-01	9.0465120833E-01	8.9053755115E-01	
