Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
88.65	93.86	88.88	39.65	71.34	70.33	45.24	67.67	67.67	70.08	0.68	0.31	0.58	0.57	0.37	0.55	0.55	0.57	43.33	40.54	70.34	69.79	72.91	0.95	0.89	1.60	1.58	1.65	1.00	2.00	99.75	100.25	-0.51	99.75	-0.50	-0.23	-0.50	-0.22	0.50	
91.21	96.58	91.15	40.01	75.26	73.00	62.35	68.17	68.17	72.76	0.97	0.44	0.85	0.83	0.71	0.77	0.77	0.82	44.02	40.46	53.72	63.36	56.12	2.93	2.69	3.71	4.35	3.87	1.00	6.00	99.51	100.50	-0.51	99.51	-0.52	-0.23	-0.51	-0.24	1.00	
92.88	98.34	92.70	39.70	78.45	74.81	67.25	68.39	68.39	74.52	1.19	0.53	1.07	1.03	0.93	0.94	0.94	1.02	41.84	38.15	48.46	66.49	48.68	4.71	4.30	5.65	7.69	5.68	1.00	10.00	99.29	100.76	-0.52	99.29	-0.53	-0.26	-0.50	-0.25	1.50	
93.78	99.30	93.60	38.97	80.87	75.87	69.58	68.37	68.37	74.12	1.37	0.61	1.26	1.19	1.10	1.08	1.08	1.16	37.70	34.26	50.69	75.17	48.52	6.03	5.49	8.37	12.25	8.01	1.00	14.00	99.14	101.01	-0.53	99.14	-0.55	-0.31	-0.49	-0.26	2.00	
94.06	99.59	93.94	37.88	82.57	76.35	70.77	68.13	68.13	74.42	1.52	0.66	1.42	1.32	1.24	1.20	1.20	1.29	32.41	29.36	48.99	88.26	45.96	6.77	6.14	10.50	18.51	9.86	1.00	18.00	99.15	101.26	-0.54	99.15	-0.56	-0.33	-0.48	-0.25	2.50	
93.81	99.33	93.79	36.99	83.64	76.48	71.22	67.77	67.77	73.90	1.64	0.71	1.56	1.44	1.35	1.30	1.30	1.40	26.70	24.14	43.61	?	40.70	6.91	6.25	11.56	?	10.80	1.00	22.00	99.90	101.51	-0.55	99.98	-0.55	-0.36	-0.46	-0.24	3.00	
93.15	98.63	93.21	36.09	84.16	75.99	71.79	66.83	66.83	73.20	1.75	0.75	1.67	1.54	1.47	1.38	1.38	1.49	22.25	20.11	40.92	?	37.99	6.90	6.24	12.97	?	12.05	1.00	26.00	144.05	101.74	-0.54	129.96	-0.56	-0.37	-0.43	-0.23	3.50	
92.15	97.57	92.28	35.28	84.53	78.76	64.65	70.30	70.30	74.95	1.84	0.79	1.78	1.69	1.43	1.53	1.53	1.62	19.01	?	38.59	?	35.75	6.89	?	14.26	?	13.22	1.00	30.00	34022.29	101.96	-0.52	8217.07	-0.54	-0.35	-0.40	-0.20	4.00	
90.88	96.23	91.06	34.48	84.05	74.51	71.80	64.72	64.72	72.62	1.93	0.83	1.88	1.71	1.66	1.52	1.52	1.67	16.57	?	36.64	?	?	6.87	?	15.49	?	?	1.00	34.00	99999.00	102.16	-0.49	99999.00	-0.52	-0.31	-0.35	-0.15	4.50	
89.40	94.66	89.59	33.89	83.76	78.23	61.40	69.46	69.46	72.96	2.00	0.86	1.97	1.87	1.53	1.70	1.70	1.77	44.22	36.03	64.97	70.72	68.42	1.83	1.50	2.70	2.90	2.82	3.50	2.00	99999.00	102.34	-0.45	99999.00	-0.46	-0.28	-0.30	-0.10	5.00	
87.77	92.93	87.94	33.54	82.91	72.70	70.86	62.38	62.38	74.71	2.05	0.90	2.03	1.84	1.81	1.63	1.63	1.88	42.63	35.08	55.74	62.10	59.56	5.40	4.48	7.17	7.91	7.62	3.50	6.00	99999.00	102.50	-0.41	99999.00	-0.41	-0.10	-0.27	-0.07	5.50	
86.02	91.08	86.14	33.38	82.39	79.07	48.26	71.26	71.26	74.25	2.10	0.94	2.10	2.04	1.36	1.89	1.89	1.95	38.69	32.30	60.44	69.10	58.06	8.32	6.99	13.00	14.63	12.53	3.50	10.00	99999.00	102.63	-0.35	99999.00	-0.38	-0.18	-0.24	-0.05	6.00	
