	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.5081079163E00	1.5081079163E00	?	?	?	7.8625187470E-01	7.8625187470E-01	1.3480355899E00	1.5081079163E00	1.5081079163E00	?	?	?	1.5062335825E00	1.5062335825E00	1.5076942032E00	1.5081079163E00	1.5081079163E00	8.7682306131E-01	1.1903387756E00	1.3399659870E00	1.5081079163E00	1.5081079163E00	1.4888834122E00	1.4973080822E00	1.5030357842E00	1.4449027881E00	1.3752874035E00	5.2837009992E-01	4.8733081603E-01	1.5078198165E00	5.2837009992E-01	1.5078198165E00	1.5069391304E00	1.5078198165E00	1.5063877698E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.5968201467E00	1.5968201467E00	?	?	?	8.6461922173E-01	8.6461922173E-01	1.4367478203E00	1.5968201467E00	1.5968201467E00	?	?	?	1.5949458129E00	1.5949458129E00	1.5964064336E00	1.5968201467E00	1.5968201467E00	9.6433996135E-01	1.2790510060E00	1.4286782174E00	1.5968201467E00	1.5968201467E00	1.5775956426E00	1.5860203126E00	1.5917480146E00	1.5336150185E00	1.4639996339E00	6.1708233029E-01	5.7604304640E-01	1.5965320469E00	6.1708233029E-01	1.5965320469E00	1.5956513608E00	1.5965320469E00	1.5951000002E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.5081079163E00	1.5968201467E00	0.0000000000E00	1.7230986930E-16	?	?	?	7.5260105662E-01	7.5260105662E-01	1.6007232640E-01	0.0000000000E00	4.7126247338E-19	?	?	?	1.8743338152E-03	1.8743338152E-03	4.1371311106E-04	0.0000000000E00	1.0500681748E-16	6.3248018533E-01	3.1776914070E-01	1.6814192932E-01	0.0000000000E00	3.0752135630E-18	1.9224504068E-02	1.0799834121E-02	5.0721320839E-03	6.3205128205E-02	1.3282051282E-01	9.7973781639E-01	1.0207771003E00	3.2535668970E-03	9.7973781639E-01	3.2535668970E-03	2.3747804220E-03	3.2535668970E-03	2.9150549451E-03	1.0000000000E-01	
Caplet Vola Monte-Carlo Single-Curve	1.5081079163E00	1.5968201467E00	1.7230986930E-16	0.0000000000E00	?	?	?	7.5260105662E-01	7.5260105662E-01	1.6007232640E-01	1.7230986930E-16	1.7183860683E-16	?	?	?	1.8743338152E-03	1.8743338152E-03	4.1371311106E-04	1.7230986930E-16	1.6115541857E-16	6.3248018533E-01	3.1776914070E-01	1.6814192932E-01	1.7230986930E-16	1.7115485707E-16	1.9224504068E-02	1.0799834121E-02	5.0721320839E-03	6.3205128205E-02	1.3282051282E-01	9.7973781639E-01	1.0207771003E00	3.2535668970E-03	9.7973781639E-01	3.2535668970E-03	2.3747804220E-03	3.2535668970E-03	2.9150549451E-03	1.0000000000E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	7.8625187470E-01	8.6461922173E-01	7.5260105662E-01	7.5260105662E-01	?	?	?	0.0000000000E00	0.0000000000E00	5.9912357598E-01	7.5260105662E-01	7.5260105662E-01	?	?	?	7.5072672280E-01	7.5072672280E-01	7.5218734351E-01	7.5260105662E-01	7.5260105662E-01	2.5051989028E-01	4.5281175804E-01	5.9481400232E-01	7.5260105662E-01	7.5260105662E-01	7.3337655255E-01	7.4180122250E-01	7.4752892454E-01	6.8939592842E-01	6.2492461960E-01	3.3292717191E-01	3.5830312196E-01	7.5231295685E-01	3.3292717191E-01	7.5231295685E-01	7.5143227073E-01	7.5231295685E-01	7.5088091010E-01	6.5260105662E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	7.8625187470E-01	8.6461922173E-01	7.5260105662E-01	7.5260105662E-01	?	?	?	0.0000000000E00	0.0000000000E00	5.9912357598E-01	7.5260105662E-01	7.5260105662E-01	?	?	?	7.5072672280E-01	7.5072672280E-01	7.5218734351E-01	7.5260105662E-01	7.5260105662E-01	2.5051989028E-01	4.5281175804E-01	5.9481400232E-01	7.5260105662E-01	7.5260105662E-01	7.3337655255E-01	7.4180122250E-01	7.4752892454E-01	6.8939592842E-01	6.2492461960E-01	3.3292717191E-01	3.5830312196E-01	7.5231295685E-01	3.3292717191E-01	7.5231295685E-01	7.5143227073E-01	7.5231295685E-01	7.5088091010E-01	6.5260105662E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.3480355899E00	1.4367478203E00	1.6007232640E-01	1.6007232640E-01	?	?	?	5.9912357598E-01	5.9912357598E-01	0.0000000000E00	1.6007232640E-01	1.6007232640E-01	?	?	?	1.6039926056E-01	1.6039926056E-01	1.5965861329E-01	1.6007232640E-01	1.6007232640E-01	5.0835236574E-01	2.5234805948E-01	9.8037065656E-02	1.6007232640E-01	1.6007232640E-01	1.6464348127E-01	1.6102276910E-01	1.5603656406E-01	2.0402065567E-01	1.8024984067E-01	8.1966548999E-01	8.6070477388E-01	1.6330455342E-01	8.1966548999E-01	1.6330455342E-01	1.6242387845E-01	1.6330455342E-01	1.6283278552E-01	2.2622544197E-01	
Caplet Value Analytic Single-Curve	1.5081079163E00	1.5968201467E00	0.0000000000E00	1.7230986930E-16	?	?	?	7.5260105662E-01	7.5260105662E-01	1.6007232640E-01	0.0000000000E00	4.7126247338E-19	?	?	?	1.8743338152E-03	1.8743338152E-03	4.1371311106E-04	0.0000000000E00	1.0500681748E-16	6.3248018533E-01	3.1776914070E-01	1.6814192932E-01	0.0000000000E00	3.0752135630E-18	1.9224504068E-02	1.0799834121E-02	5.0721320839E-03	6.3205128205E-02	1.3282051282E-01	9.7973781639E-01	1.0207771003E00	3.2535668970E-03	9.7973781639E-01	3.2535668970E-03	2.3747804220E-03	3.2535668970E-03	2.9150549451E-03	1.0000000000E-01	
Caplet Value Monte-Carlo Single-Curve	1.5081079163E00	1.5968201467E00	4.7126247338E-19	1.7183860683E-16	?	?	?	7.5260105662E-01	7.5260105662E-01	1.6007232640E-01	4.7126247338E-19	0.0000000000E00	?	?	?	1.8743338152E-03	1.8743338152E-03	4.1371311106E-04	4.7126247338E-19	1.0506633445E-16	6.3248018533E-01	3.1776914070E-01	1.6814192932E-01	4.7126247338E-19	2.9344473135E-18	1.9224504068E-02	1.0799834121E-02	5.0721320839E-03	6.3205128205E-02	1.3282051282E-01	9.7973781639E-01	1.0207771003E00	3.2535668970E-03	9.7973781639E-01	3.2535668970E-03	2.3747804220E-03	3.2535668970E-03	2.9150549451E-03	1.0000000000E-01	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.5062335825E00	1.5949458129E00	1.8743338152E-03	1.8743338152E-03	?	?	?	7.5072672280E-01	7.5072672280E-01	1.6039926056E-01	1.8743338152E-03	1.8743338152E-03	?	?	?	0.0000000000E00	0.0000000000E00	1.4769137829E-03	1.8743338152E-03	1.8743338152E-03	6.3060585151E-01	3.1589480689E-01	1.6766844045E-01	1.8743338152E-03	1.8743338152E-03	1.7381413680E-02	9.1057261489E-03	5.1008357604E-03	6.1330794390E-02	1.3094617901E-01	9.7786348258E-01	1.0189027665E00	2.9606043730E-03	9.7786348258E-01	2.9606043730E-03	2.0799195695E-03	2.9606043730E-03	2.4344489233E-03	9.8125666185E-02	
Caplet Value Analytic Multi-Curve Integrated-Expectation	1.5062335825E00	1.5949458129E00	1.8743338152E-03	1.8743338152E-03	?	?	?	7.5072672280E-01	7.5072672280E-01	1.6039926056E-01	1.8743338152E-03	1.8743338152E-03	?	?	?	0.0000000000E00	0.0000000000E00	1.4769137829E-03	1.8743338152E-03	1.8743338152E-03	6.3060585151E-01	3.1589480689E-01	1.6766844045E-01	1.8743338152E-03	1.8743338152E-03	1.7381413680E-02	9.1057261489E-03	5.1008357604E-03	6.1330794390E-02	1.3094617901E-01	9.7786348258E-01	1.0189027665E00	2.9606043730E-03	9.7786348258E-01	2.9606043730E-03	2.0799195695E-03	2.9606043730E-03	2.4344489233E-03	9.8125666185E-02	
