Time	F	S	L	N	E(L/N)
0.0	-0.0049999999999999975	0.03300751879699247	-0.002000000000000006	0.9975	-0.002000000000000006
0.5	-0.004871209723526638	0.032897379574906016	-0.0017682269261903505	0.9950587536390141	-0.002131681396059213
1.0	-0.004635180796471739	0.03276871389954222	-0.0012867529189643841	0.9929001750477384	-0.0026471051026204125
1.5	-0.003936288678020612	0.03304591886500517	5.027401848945073E-4	0.9914323492191854	-0.0031213500845137508
2.0	-0.0026571150092918935	0.03368150962670276	0.00393917375078914	0.9914695545046632	-0.0038115668351259664
2.5	3.794840428250015E-4	0.03564819351942865	0.018793465783696523	0.9997865880798676	-0.004296532441296029
3.0	0.00838178881942669	0.04053664238461452	0.10403878572126553	1.2995961467115564	-0.004340565409429985
3.5	0.036573258490394625	0.05214421590985318	1.4427877791918506	82.1706951369075	-0.0050270870054750436
4.0	0.2446959363785067	0.10475092028060588	125.91437276314372	212386.82342204446	-0.005142593871587341
4.5	1.6983539963529615	0.34540445424969557	5799.834734279547	5.841182518820863E9	-0.005219153379958152
5.0	11.091260099350773	1.5248026456026322	134903.34666236112	9.611625702687085E14	-0.004422831992135651
5.5	127.98675383929381	14.120473168752389	1.4671905159415713E7	1.835493693063826E21	-0.003439721270339771
6.0	1734.3039354339141	176.74239300178715	2.4039785912011414E9	4.581336918675864E28	-0.0030402591280801494
6.5	33221.03858037565	3637.8127826412124	9.8013580658994E11	2.166473267945029E37	-0.002407438278021319
7.0	789553.8278535039	110723.22317209003	1.3428827221834398E15	3.81857452063515E47	-0.0015582205586437508
7.5	1.8453023877761006E7	4288642.53539482	2.4322055742471542E18	2.5733408219424164E59	-0.0011699186178306883
8.0	4.423452923602589E8	2.0265550589653257E8	3.217951194689421E21	4.548775727225877E72	-7.890280595744774E-4
8.5	3.4789459881446543E9	3.1153636040484E9	2.914065216728753E23	5.075392986169123E86	1.2856770024522924E-4
9.0	2.526009162330387E10	4.695925085835793E10	1.983607537796654E25	2.810104055627853E101	6.227779560787696E-4
9.5	1.8939766779851807E11	7.136448548149725E11	9.908099281496907E26	5.63862828274729E116	0.0015098555322896909
10.0	1.0629038661250812E12	1.1595788955746164E13	6.110088264262114E28	4.055745534545985E132	0.0021137744547671433
10.5	5.221527714954693E12	1.4643319214696447E14	1.6352338508234132E30	3.947683126085601E148	0.0031072781448941377
11.0	2.349836467810739E13	1.821415927781591E15	1.0827306941100557E32	2.9316867553076695E164	0.004152898333923092
11.5	9.624335094305228E13	1.7112796755448378E16	2.42464872769778E33	2.351891003897472E180	0.005016867914315323
12.0	2.6181399685512328E14	6.7396429547615856E16	9.124295990495907E33	1.437083720129722E196	0.004927490605392715
12.5	6.482919271417205E14	1.89762451060203488E17	2.5584322579084944E34	1.0422782569510802E212	0.0050917153057575175
13.0	1.7308165507878812E15	4.5226442868834253E17	7.86140031007763E34	2.136689740007604E227	0.0058090464375224506
13.5	4.739167518153196E15	8.5295180526410086E17	2.284501604911973E35	2.568814078936305E242	0.006647417725793471
14.0	7.404219218561685E15	1.3895387720535616E18	3.609601236164884E35	2.446963443170809E257	0.008191246453237681
14.5	1.1565853275548814E16	2.0602241501326464E18	5.678861764671723E35	1.0142019240079175E272	0.00883831650054163
15.0	1.6188304165795748E16	2.825641837300885E18	7.983926808436133E35	5.678586644906001E286	0.008461321781630213
15.5	1.8811236368922456E16	3.6631642682049469E18	9.291956971666354E35	Infinity	0.009562921196517313
16.0	2.353946362191948E16	4.5949665269192187E18	1.1655505244011658E36	Infinity	0.011045851858782135
16.5	2.7660724069193892E16	5.5292663190930637E18	1.3715053966567347E36	Infinity	0.011321165360756386
17.0	3.4386660471969728E16	6.4934122509250714E18	1.708946730426073E36	Infinity	0.011933640887351507
17.5	3.8870791529892256E16	7.4262044840847749E18	1.9333736990366762E36	Infinity	0.012317011096315066
18.0	4.4227104458758112E16	8.3863212559201679E18	2.2004968451940833E36	Infinity	0.011452988556927349
18.5	5.1617148636805976E16	9.359995503216286E18	2.5700982209655826E36	Infinity	0.011657427505437381
19.0	5.7167111806565632E16	1.0315651001000364E19	2.84729483895949E36	Infinity	0.01191922256152707
19.5	6.2136793067924632E16	1.1290523313092964E19	3.095719092117166E36	Infinity	0.012880395204271549
