	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.8407657944E-02	5.3765200876E-03	6.7033343277E-02	2.8237674190E-02	3.0938645218E-02	?	5.2879493743E-02	5.2814009511E-02	1.1606341428E-01	1.9875766547E00	1.9896047835E00	1.9852841271E00	1.9852475301E00	?	1.9858065998E00	1.9858079599E00	1.9881118451E00	3.5906246399E-01	?	3.6927923508E-01	?	?	1.6726115428E00	?	1.6608074015E00	?	?	1.7510952667E00	1.4229113979E00	?	3.8323862546E-01	2.0480203165E00	?	2.0488199870E00	2.0402804352E00	2.0447972165E00	2.0366046493E00	1.5968631358E00	
Target (LIBOR)	5.8407657944E-02	0.0000000000E00	5.8655552795E-02	1.2019254871E-01	7.7531370716E-02	7.7979198057E-02	?	1.0125378023E-01	1.0121306068E-01	1.6834942464E-01	1.9906809373E00	1.9925994577E00	1.9885121773E00	1.9884775561E00	?	1.9890063306E00	1.9890076187E00	1.9911869668E00	3.9064481149E-01	?	4.0420746074E-01	?	?	1.6911961541E00	?	1.6799067264E00	?	?	1.7658104227E00	1.4514419312E00	?	3.3774396419E-01	2.0478105028E00	?	2.0485655365E00	2.0405002647E00	2.0447665053E00	2.0370282458E00	1.6182248660E00	
Caplet Vola Analytic Single-Curve	5.3765200876E-03	5.8655552795E-02	0.0000000000E00	6.7949502033E-02	2.7536312624E-02	3.0218735593E-02	?	5.2511032204E-02	5.2453792904E-02	1.1545743916E-01	1.9866583195E00	1.9886874559E00	1.9843667395E00	1.9843301394E00	?	1.9848888993E00	1.9848902712E00	1.9871918253E00	3.5814684650E-01	?	3.6834546872E-01	?	?	1.6719047770E00	?	1.6601108829E00	?	?	1.7499281682E00	1.4225616221E00	?	3.8210511563E-01	2.0470625608E00	?	2.0478549283E00	2.0393193851E00	2.0438367657E00	2.0356484633E00	1.5957232478E00	
Caplet Vola Monte-Carlo Single-Curve	6.7033343277E-02	1.2019254871E-01	6.7949502033E-02	0.0000000000E00	6.2933028868E-02	6.7481808302E-02	?	5.4731270904E-02	5.4727269394E-02	6.4663910807E-02	1.9801268016E00	1.9822397535E00	1.9777231570E00	1.9776871067E00	?	1.9782653978E00	1.9782668772E00	1.9806735035E00	3.2403188107E-01	?	3.3025360047E-01	?	?	1.6500746684E00	?	1.6377629777E00	?	?	1.7313569758E00	1.3940853896E00	?	4.2391337117E-01	2.0436699227E00	?	2.0445214651E00	2.0355266466E00	2.0403161672E00	2.0316925381E00	1.5705769664E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.8237674190E-02	7.7531370716E-02	2.7536312624E-02	6.2933028868E-02	0.0000000000E00	6.7057589918E-03	?	2.8964759911E-02	2.8904015910E-02	9.9052030350E-02	1.9802736941E00	1.9823314549E00	1.9779505564E00	1.9779129126E00	?	1.9784754508E00	1.9784768661E00	1.9808109295E00	3.5387357547E-01	?	3.6100480904E-01	?	?	1.6610507300E00	?	1.6490812805E00	?	?	1.7395300322E00	1.4099312262E00	?	3.8720201954E-01	2.0414252015E00	?	2.0422283128E00	2.0336151024E00	2.0381552611E00	2.0298950145E00	1.5829458464E00	
Caplet Vola Analytic Multi-Curve Ju	3.0938645218E-02	7.7979198057E-02	3.0218735593E-02	6.7481808302E-02	6.7057589918E-03	0.0000000000E00	?	3.1710572358E-02	3.1653790856E-02	1.0164691444E-01	1.9805761331E00	1.9826352796E00	1.9782531186E00	1.9782148760E00	?	1.9787787399E00	1.9787801534E00	1.9811149528E00	3.5592370801E-01	?	3.6289065038E-01	?	?	1.6615045638E00	?	1.6495372771E00	?	?	1.7399698543E00	1.4101780079E00	?	3.8686924878E-01	2.0417070064E00	?	2.0425100290E00	2.0339030529E00	2.0384342745E00	2.0301810871E00	1.5833931882E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.2879493743E-02	1.0125378023E-01	5.2511032204E-02	5.4731270904E-02	2.8964759911E-02	3.1710572358E-02	?	0.0000000000E00	2.6244463905E-04	7.7219330041E-02	1.9736339639E00	1.9757200775E00	1.9712748198E00	1.9712374469E00	?	1.9718005964E00	1.9718020694E00	1.9741704598E00	3.4309776098E-01	?	3.4757920267E-01	?	?	1.6490366685E00	?	1.6368652576E00	?	?	1.7279621871E00	1.3968592757E00	?	3.9610856171E-01	2.0357146957E00	?	2.0365314520E00	2.0278026504E00	2.0324033112E00	2.0240332017E00	1.5687283778E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.2814009511E-02	1.0121306068E-01	5.2453792904E-02	5.4727269394E-02	2.8904015910E-02	3.1653790856E-02	?	2.6244463905E-04	0.0000000000E00	7.7276800982E-02	1.9736797825E00	1.9757659342E00	1.9713206025E00	1.9712832282E00	?	1.9718464160E00	1.9718478875E00	1.9742163651E00	3.4310330212E-01	?	3.4759306407E-01	?	?	1.6490835310E00	?	1.6369122306E00	?	?	1.7280186670E00	1.3968982395E00	?	3.9615504875E-01	2.0357618473E00	?	2.0365787287E00	2.0278497298E00	2.0324503947E00	2.0240800789E00	1.5687881513E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1606341428E-01	1.6834942464E-01	1.1545743916E-01	6.4663910807E-02	9.9052030350E-02	1.0164691444E-01	?	7.7219330041E-02	7.7276800982E-02	0.0000000000E00	1.9632296682E00	1.9654259310E00	1.9607403634E00	1.9607024820E00	?	1.9612917342E00	1.9612933779E00	1.9637669047E00	3.0493649110E-01	?	3.0351722386E-01	?	?	1.6218459765E00	?	1.6091263826E00	?	?	1.7017610761E00	1.3638102690E00	?	4.4423702489E-01	2.0289019437E00	?	2.0297451540E00	2.0204656417E00	2.0254148664E00	2.0165438682E00	1.5349560099E00	
