	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.2559913218E-02	3.2556699638E-03	4.2303605501E-01	6.1594920484E-02	7.9633453557E-02	?	9.8461285298E-02	9.7148677112E-02	1.8959823058E-01	7.0231329688E-01	7.1325176939E-01	7.0137197726E-01	7.0173331335E-01	?	7.0244465056E-01	7.0248460012E-01	7.0162102574E-01	4.3406257658E-01	?	2.2813382644E-01	?	?	6.4347412067E-01	?	5.6946999786E-01	?	?	6.6031339649E-01	5.9069801188E-01	?	2.9725857558E-01	7.2380478283E-01	?	7.2392588190E-01	7.2012452343E-01	7.2323042493E-01	7.2179837818E-01	6.2351852470E-01	
Target (LIBOR)	4.2559913218E-02	0.0000000000E00	4.2239089487E-02	4.6559596822E-01	6.9215037168E-02	8.7713162690E-02	?	1.0660285114E-01	1.0587067844E-01	2.0706678629E-01	7.4487321010E-01	7.5581168261E-01	7.4393189047E-01	7.4429322657E-01	?	7.4500456377E-01	7.4504451334E-01	7.4418093896E-01	4.7662248979E-01	?	2.5728918970E-01	?	?	6.8603403389E-01	?	6.1202991107E-01	?	?	7.0287330971E-01	6.3325792510E-01	?	2.5469866236E-01	7.6636469604E-01	?	7.6648579511E-01	7.6268443665E-01	7.6579033815E-01	7.6435829140E-01	6.6607843792E-01	
Caplet Vola Analytic Single-Curve	3.2556699638E-03	4.2239089487E-02	0.0000000000E00	4.2335687874E-01	6.1077502214E-02	7.8870327805E-02	?	9.7192505569E-02	9.5798110765E-02	1.8911884586E-01	7.0263412061E-01	7.1357259312E-01	7.0169280099E-01	7.0205413708E-01	?	7.0276547429E-01	7.0280542385E-01	7.0194184947E-01	4.3438340031E-01	?	2.2685062215E-01	?	?	6.4379494440E-01	?	5.6979082159E-01	?	?	6.6063422022E-01	5.9101883561E-01	?	2.9693775185E-01	7.2412560656E-01	?	7.2424670563E-01	7.2044534716E-01	7.2355124866E-01	7.2211920191E-01	6.2383934843E-01	
Caplet Vola Monte-Carlo Single-Curve	4.2303605501E-01	4.6559596822E-01	4.2335687874E-01	0.0000000000E00	4.2780316931E-01	4.0701657987E-01	?	3.7123769874E-01	3.6961108475E-01	3.7081630949E-01	2.7927724188E-01	2.9021571439E-01	2.7833592225E-01	2.7869725834E-01	?	2.7940859555E-01	2.7944854511E-01	2.7858497074E-01	6.9168346085E-02	?	2.3005572908E-01	?	?	2.2043806567E-01	?	1.5660605589E-01	?	?	2.3727734149E-01	1.6766195687E-01	?	7.2029463059E-01	3.0076872782E-01	?	3.0088982689E-01	2.9708846843E-01	3.0019436992E-01	2.9876232317E-01	2.0048246969E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.1594920484E-02	6.9215037168E-02	6.1077502214E-02	4.2780316931E-01	0.0000000000E00	2.0786589437E-02	?	5.7428828564E-02	5.8844863517E-02	1.5894355431E-01	7.0708041118E-01	7.1801888369E-01	7.0613909156E-01	7.0650042765E-01	?	7.0721176486E-01	7.0725171442E-01	7.0638814004E-01	4.3882969088E-01	?	2.0824832522E-01	?	?	6.4824123497E-01	?	5.7423711216E-01	?	?	6.6508051079E-01	5.9546512618E-01	?	2.9249146128E-01	7.2857189713E-01	?	7.2869299620E-01	7.2489163773E-01	7.2799753923E-01	7.2656549248E-01	6.2828563900E-01	
Caplet Vola Analytic Multi-Curve Ju	7.9633453557E-02	8.7713162690E-02	7.8870327805E-02	4.0701657987E-01	2.0786589437E-02	0.0000000000E00	?	3.6706507663E-02	3.8122542616E-02	1.4181333314E-01	6.8629382175E-01	6.9723229426E-01	6.8535250212E-01	6.8571383821E-01	?	6.8642517542E-01	6.8646512498E-01	6.8560155061E-01	4.1804310144E-01	?	1.9194697283E-01	?	?	6.2745464554E-01	?	5.5345052272E-01	?	?	6.4429392136E-01	5.7467853674E-01	?	3.1327805072E-01	7.0778530769E-01	?	7.0790640676E-01	7.0410504830E-01	7.0721094979E-01	7.0577890304E-01	6.0749904956E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.8461285298E-02	1.0660285114E-01	9.7192505569E-02	3.7123769874E-01	5.7428828564E-02	3.6706507663E-02	?	0.0000000000E00	1.6398900079E-03	1.4001808189E-01	6.5051494062E-01	6.6145341313E-01	6.4957362099E-01	6.4993495708E-01	?	6.5064629429E-01	6.5068624386E-01	6.4982266948E-01	3.8226422031E-01	?	1.6952193938E-01	?	?	5.9167576441E-01	?	5.1767164159E-01	?	?	6.0851504023E-01	5.3889965561E-01	?	3.4905693185E-01	6.7200642656E-01	?	6.7212752563E-01	6.6832616717E-01	6.7143206867E-01	6.7000002192E-01	5.7172016844E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.7148677112E-02	1.0587067844E-01	9.5798110765E-02	3.6961108475E-01	5.8844863517E-02	3.8122542616E-02	?	1.6398900079E-03	0.0000000000E00	1.3997417965E-01	6.4888832663E-01	6.5982679914E-01	6.4794700700E-01	6.4830834309E-01	?	6.4901968030E-01	6.4905962986E-01	6.4819605548E-01	3.8063760632E-01	?	1.6894628401E-01	?	?	5.9004915042E-01	?	5.1604502760E-01	?	?	6.0688842624E-01	5.3727304162E-01	?	3.5068354584E-01	6.7037981257E-01	?	6.7050091164E-01	6.6669955318E-01	6.6980545467E-01	6.6837340792E-01	5.7009355444E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8959823058E-01	2.0706678629E-01	1.8911884586E-01	3.7081630949E-01	1.5894355431E-01	1.4181333314E-01	?	1.4001808189E-01	1.3997417965E-01	0.0000000000E00	6.1385415151E-01	6.2298020844E-01	6.1317703332E-01	6.1345145678E-01	?	6.1394501775E-01	6.1397605849E-01	6.1520160592E-01	3.8954184751E-01	?	2.1889259051E-01	?	?	5.6433475762E-01	?	5.0177712116E-01	?	?	5.8382227008E-01	5.0984791111E-01	?	3.9478108729E-01	6.3213243724E-01	?	6.3230415719E-01	6.3279700471E-01	6.3162806775E-01	6.3033086789E-01	5.5395047521E-01	
