	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	2.9822896208E00	2.9822896208E00	2.1600833503E00	2.2330604268E00	?	2.3149435847E00	2.3149435847E00	2.3489454391E00	2.9822896208E00	2.9822896208E00	2.9514121405E00	2.9553006910E00	?	2.9605348910E00	2.9605348910E00	2.9625826491E00	2.9822896208E00	2.9822896208E00	2.2943851568E00	2.3659542625E00	2.3237416394E00	2.9822896208E00	2.9822896208E00	2.8160339407E00	2.8481767502E00	2.8242054525E00	2.8496005945E00	2.7165198108E00	1.0059364023E00	9.8565258528E-01	2.9884096390E00	1.0059364023E00	2.9884096390E00	2.9813670740E00	2.9884096390E00	2.9818400310E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	2.9822896208E00	2.9822896208E00	2.1967991137E00	2.2675654363E00	?	2.3467680606E00	2.3467680606E00	2.3795482477E00	2.9822896208E00	2.9822896208E00	2.9531119439E00	2.9567882699E00	?	2.9617359820E00	2.9617359820E00	2.9636713873E00	2.9822896208E00	2.9822896208E00	2.3272757583E00	2.3962703815E00	2.3555045023E00	2.9822896208E00	2.9822896208E00	2.8248016474E00	2.8553256590E00	2.8325645464E00	2.8566915344E00	2.7301509847E00	1.0739832712E00	1.0533200329E00	2.9880696993E00	1.0739832712E00	2.9880696993E00	2.9814182649E00	2.9880696993E00	2.9818649813E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	2.9822896208E00	2.9822896208E00	?	?	2.4649768356E00	2.5170870978E00	?	2.1304077999E00	2.1304077999E00	2.2315343322E00	?	2.4894095793E01	3.2604292670E00	3.3958394829E00	?	2.9265622025E00	2.9265622025E00	2.7109597301E00	?	?	2.2093681512E00	2.5235368393E00	2.1695008213E00	?	?	4.4241496328E00	4.3427439966E00	4.4751753003E00	5.0628803245E00	5.1196911197E00	2.0415782153E00	2.0218798582E00	4.0909439158E01	2.0415782153E00	4.0909439158E01	6.4929620596E00	4.0909439158E01	8.0109454855E00	3.9000000000E00	
Caplet Vola Monte-Carlo Single-Curve	2.9822896208E00	2.9822896208E00	?	?	2.4649768356E00	2.5170870978E00	?	2.1304077999E00	2.1304077999E00	2.2315343322E00	?	2.4894095793E01	3.2604292670E00	3.3958394829E00	?	2.9265622025E00	2.9265622025E00	2.7109597301E00	?	?	2.2093681512E00	2.5235368393E00	2.1695008213E00	?	?	4.4241496328E00	4.3427439966E00	4.4751753003E00	5.0628803245E00	5.1196911197E00	2.0415782153E00	2.0218798582E00	4.0909439158E01	2.0415782153E00	4.0909439158E01	6.4929620596E00	4.0909439158E01	8.0109454855E00	3.9000000000E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.1600833503E00	2.1967991137E00	2.4649768356E00	2.4649768356E00	0.0000000000E00	2.2628528537E-01	?	6.7439017747E-01	6.7439017747E-01	9.0355995094E-01	2.4649768356E00	2.4649768356E00	2.2573622556E00	2.2804252845E00	?	2.3304077265E00	2.3304077265E00	2.3531914720E00	2.4649768356E00	2.4649768356E00	7.4214274612E-01	1.1675115518E00	8.7995422473E-01	2.4649768356E00	2.4649768356E00	1.9040259556E00	2.0312963016E00	1.9463944686E00	1.7120932105E00	1.7607520601E00	1.1660945164E00	1.1392661105E00	2.4329414676E00	1.1660945164E00	2.4329414676E00	2.4261343326E00	2.4329414676E00	2.4189491216E00	1.3384681078E00	
Caplet Vola Analytic Multi-Curve Ju	2.2330604268E00	2.2675654363E00	2.5170870978E00	2.5170870978E00	2.2628528537E-01	0.0000000000E00	?	5.2110859156E-01	5.2110859156E-01	7.6804717957E-01	2.5170870978E00	2.5170870978E00	2.2708457332E00	2.2980550467E00	?	2.3570631084E00	2.3570631084E00	2.3839916585E00	2.5170870978E00	2.5170870978E00	5.8007682387E-01	1.0535127104E00	7.4274222689E-01	2.5170870978E00	2.5170870978E00	1.8576793096E00	2.0022040903E00	1.9057710756E00	1.5664211686E00	1.7004612574E00	1.2227108158E00	1.1929626369E00	2.4791437525E00	1.2227108158E00	2.4791437525E00	2.4708690722E00	2.4791437525E00	2.4624020999E00	1.1486349753E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.3149435847E00	2.3467680606E00	2.1304077999E00	2.1304077999E00	6.7439017747E-01	5.2110859156E-01	?	0.0000000000E00	0.0000000000E00	2.5417063671E-01	2.1304077999E00	2.1304077999E00	1.9105712064E00	1.9424227181E00	?	1.9742651601E00	1.9742651601E00	1.9874221796E00	2.1304077999E00	2.1304077999E00	1.9636968025E-01	5.4428961915E-01	2.2895640253E-01	2.1304077999E00	2.1304077999E00	1.5114448325E00	1.6091893981E00	1.5371739956E00	1.5303621704E00	1.3124797230E00	1.2857511583E00	1.2524594146E00	2.1293999295E00	1.2857511583E00	2.1293999295E00	2.1062962705E00	2.1293999295E00	2.1100007863E00	1.1867289772E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.3149435847E00	2.3467680606E00	2.1304077999E00	2.1304077999E00	6.7439017747E-01	5.2110859156E-01	?	0.0000000000E00	0.0000000000E00	2.5417063671E-01	2.1304077999E00	2.1304077999E00	1.9105712064E00	1.9424227181E00	?	1.9742651601E00	1.9742651601E00	1.9874221796E00	2.1304077999E00	2.1304077999E00	1.9636968025E-01	5.4428961915E-01	2.2895640253E-01	2.1304077999E00	2.1304077999E00	1.5114448325E00	1.6091893981E00	1.5371739956E00	1.5303621704E00	1.3124797230E00	1.2857511583E00	1.2524594146E00	2.1293999295E00	1.2857511583E00	2.1293999295E00	2.1062962705E00	2.1293999295E00	2.1100007863E00	1.1867289772E00	
Caplet Vola Monte-Carlo Multi-Curve	2.3489454391E00	2.3795482477E00	2.2315343322E00	2.2315343322E00	9.0355995094E-01	7.6804717957E-01	?	2.5417063671E-01	2.5417063671E-01	0.0000000000E00	2.2315343322E00	2.2315343322E00	1.9734927416E00	2.0107687310E00	?	2.0524145873E00	2.0524145873E00	2.0651486896E00	2.2315343322E00	2.2315343322E00	2.6815647557E-01	3.7509495574E-01	1.6196613882E-01	2.2315343322E00	2.2315343322E00	1.4930525866E00	1.5857990711E00	1.5169350330E00	1.5958839350E00	1.2759403448E00	1.3189778655E00	1.2793877801E00	2.2257959293E00	1.3189778655E00	2.2257959293E00	2.1920923692E00	2.2257959293E00	2.2044351647E00	1.2294737471E00	
