	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.5081079163E00	1.5081079163E00	1.2679205679E00	1.3020409832E00	?	1.3927162409E00	1.3927162409E00	1.4023372804E00	1.5081079163E00	1.5081079163E00	1.5072263776E00	1.5073380825E00	?	1.5077141115E00	1.5077141115E00	1.5077548366E00	1.5081079163E00	1.5081079163E00	1.4047117685E00	1.4303553185E00	1.4094702164E00	1.5081079163E00	1.5081079163E00	1.5047588620E00	1.5055712702E00	1.5048789737E00	1.4449027881E00	1.3752874035E00	5.2837009992E-01	4.8733081603E-01	1.5078198165E00	5.2837009992E-01	1.5078198165E00	1.5063798480E00	1.5078198165E00	1.5063877698E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.5968201467E00	1.5968201467E00	1.3566327982E00	1.3907532135E00	?	1.4814284713E00	1.4814284713E00	1.4910495108E00	1.5968201467E00	1.5968201467E00	1.5959386079E00	1.5960503129E00	?	1.5964263419E00	1.5964263419E00	1.5964670670E00	1.5968201467E00	1.5968201467E00	1.4934239989E00	1.5190675488E00	1.4981824468E00	1.5968201467E00	1.5968201467E00	1.5934710923E00	1.5942835006E00	1.5935912041E00	1.5336150185E00	1.4639996339E00	6.1708233029E-01	5.7604304640E-01	1.5965320469E00	6.1708233029E-01	1.5965320469E00	1.5950920784E00	1.5965320469E00	1.5951000002E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.5081079163E00	1.5968201467E00	0.0000000000E00	1.7230986930E-16	2.4018734844E-01	2.0606693314E-01	?	1.1539167537E-01	1.1539167537E-01	1.0577063587E-01	0.0000000000E00	4.7126247338E-19	8.8153874854E-04	7.6983382446E-04	?	3.9380479609E-04	3.9380479609E-04	3.5307972177E-04	0.0000000000E00	1.0500681748E-16	1.0339614777E-01	7.7752597842E-02	9.8637699898E-02	0.0000000000E00	3.0752135630E-18	3.3490543490E-03	2.5366460695E-03	3.2289425656E-03	6.3205128205E-02	1.3282051282E-01	9.7973781639E-01	1.0207771003E00	3.2535668970E-03	9.7973781639E-01	3.2535668970E-03	2.9182204079E-03	3.2535668970E-03	2.9150549451E-03	1.0000000000E-01	
Caplet Vola Monte-Carlo Single-Curve	1.5081079163E00	1.5968201467E00	1.7230986930E-16	0.0000000000E00	2.4018734844E-01	2.0606693314E-01	?	1.1539167537E-01	1.1539167537E-01	1.0577063587E-01	1.7230986930E-16	1.7183860683E-16	8.8153874854E-04	7.6983382446E-04	?	3.9380479609E-04	3.9380479609E-04	3.5307972177E-04	1.7230986930E-16	1.6115541857E-16	1.0339614777E-01	7.7752597842E-02	9.8637699898E-02	1.7230986930E-16	1.7115485707E-16	3.3490543490E-03	2.5366460695E-03	3.2289425656E-03	6.3205128205E-02	1.3282051282E-01	9.7973781639E-01	1.0207771003E00	3.2535668970E-03	9.7973781639E-01	3.2535668970E-03	2.9182204079E-03	3.2535668970E-03	2.9150549451E-03	1.0000000000E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2679205679E00	1.3566327982E00	2.4018734844E-01	2.4018734844E-01	0.0000000000E00	3.4120415290E-02	?	1.2479567307E-01	1.2479567307E-01	1.3441671257E-01	2.4018734844E-01	2.4018734844E-01	2.3930580969E-01	2.3941751461E-01	?	2.3979354364E-01	2.3979354364E-01	2.3983426871E-01	2.4018734844E-01	2.4018734844E-01	1.3706268909E-01	1.6255207534E-01	1.4169601173E-01	2.4018734844E-01	2.4018734844E-01	2.3683829409E-01	2.3765070237E-01	2.3695840587E-01	1.7698222023E-01	1.5959677021E-01	7.3955046796E-01	7.8058975185E-01	2.3989924867E-01	7.3955046796E-01	2.3989924867E-01	2.3845928013E-01	2.3989924867E-01	2.3846720191E-01	1.4018734844E-01	
Caplet Vola Analytic Multi-Curve Ju	1.3020409832E00	1.3907532135E00	2.0606693314E-01	2.0606693314E-01	3.4120415290E-02	0.0000000000E00	?	9.2195259820E-02	9.2195259820E-02	1.0110899972E-01	2.0606693314E-01	2.0606693314E-01	2.0518539440E-01	2.0529709932E-01	?	2.0567312835E-01	2.0567312835E-01	2.0571385342E-01	2.0606693314E-01	2.0606693314E-01	1.0398581147E-01	1.2881028686E-01	1.0831076051E-01	2.0606693314E-01	2.0606693314E-01	2.0271787880E-01	2.0353028708E-01	2.0283799058E-01	1.4286180494E-01	1.4005375188E-01	7.7367088325E-01	8.1471016714E-01	2.0577883338E-01	7.7367088325E-01	2.0577883338E-01	2.0433886484E-01	2.0577883338E-01	2.0434678662E-01	1.0606693314E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.3927162409E00	1.4814284713E00	1.1539167537E-01	1.1539167537E-01	1.2479567307E-01	9.2195259820E-02	?	0.0000000000E00	0.0000000000E00	9.6306643386E-03	1.1539167537E-01	1.1539167537E-01	1.1451013662E-01	1.1462184154E-01	?	1.1499787057E-01	1.1499787057E-01	1.1503859565E-01	1.1539167537E-01	1.1539167537E-01	4.4320590487E-02	4.4860088564E-02	4.3047601660E-02	1.1539167537E-01	1.1539167537E-01	1.1204262102E-01	1.1285502930E-01	1.1216273280E-01	7.2042045464E-02	7.6424413323E-02	8.6434614102E-01	9.0538542491E-01	1.1510357560E-01	8.6434614102E-01	1.1510357560E-01	1.1366360707E-01	1.1510357560E-01	1.1367152885E-01	6.7495401321E-02	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.3927162409E00	1.4814284713E00	1.1539167537E-01	1.1539167537E-01	1.2479567307E-01	9.2195259820E-02	?	0.0000000000E00	0.0000000000E00	9.6306643386E-03	1.1539167537E-01	1.1539167537E-01	1.1451013662E-01	1.1462184154E-01	?	1.1499787057E-01	1.1499787057E-01	1.1503859565E-01	1.1539167537E-01	1.1539167537E-01	4.4320590487E-02	4.4860088564E-02	4.3047601660E-02	1.1539167537E-01	1.1539167537E-01	1.1204262102E-01	1.1285502930E-01	1.1216273280E-01	7.2042045464E-02	7.6424413323E-02	8.6434614102E-01	9.0538542491E-01	1.1510357560E-01	8.6434614102E-01	1.1510357560E-01	1.1366360707E-01	1.1510357560E-01	1.1367152885E-01	6.7495401321E-02	
Caplet Vola Monte-Carlo Multi-Curve	1.4023372804E00	1.4910495108E00	1.0577063587E-01	1.0577063587E-01	1.3441671257E-01	1.0110899972E-01	?	9.6306643386E-03	9.6306643386E-03	0.0000000000E00	1.0577063587E-01	1.0577063587E-01	1.0488909712E-01	1.0500080204E-01	?	1.0537683107E-01	1.0537683107E-01	1.0541755614E-01	1.0577063587E-01	1.0577063587E-01	4.6342965805E-02	4.0017597333E-02	4.3765612484E-02	1.0577063587E-01	1.0577063587E-01	1.0242158152E-01	1.0323398980E-01	1.0254169330E-01	7.1836540586E-02	7.5979759152E-02	8.7396718053E-01	9.1500646442E-01	1.0548253610E-01	8.7396718053E-01	1.0548253610E-01	1.0404256756E-01	1.0548253610E-01	1.0405048935E-01	7.0581000524E-02	
