Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	0.00	0.00	12.78	12.53	?	12.63	12.63	12.65	0.00	0.00	0.01	0.01	?	0.01	0.01	0.01	0.00	0.00	13.16	13.01	13.04	0.00	0.00	0.04	0.04	0.04	1.00	2.00	99.75	100.25	-0.50	99.75	-0.50	-0.22	-0.50	-0.22	0.50	
204.12	216.13	0.00	0.00	13.22	12.64	?	12.86	12.86	12.73	0.00	0.00	0.02	0.02	?	0.02	0.02	0.02	0.00	0.00	13.36	13.13	13.24	0.00	0.00	0.12	0.12	0.12	1.00	6.00	99.50	100.50	-0.51	99.50	-0.51	-0.24	-0.51	-0.24	1.00	
190.21	201.39	0.00	0.00	13.58	12.61	?	12.94	12.94	12.81	0.00	0.00	0.03	0.02	?	0.02	0.02	0.02	0.00	0.00	12.50	12.23	12.42	0.00	0.00	0.20	0.20	0.20	1.00	10.00	99.25	100.76	-0.50	99.25	-0.50	-0.25	-0.50	-0.25	1.50	
180.88	191.52	0.00	0.00	13.84	12.45	?	12.88	12.88	12.81	0.00	0.00	0.03	0.03	?	0.03	0.03	0.03	0.00	0.00	11.17	10.89	11.10	0.00	0.00	0.27	0.26	0.27	1.00	14.00	99.00	101.01	-0.49	99.00	-0.49	-0.26	-0.49	-0.26	2.00	
174.62	184.90	0.00	0.00	14.02	12.19	?	12.69	12.69	12.53	0.00	0.00	0.03	0.03	?	0.03	0.03	0.03	0.00	0.00	9.60	9.33	9.55	0.00	0.00	0.32	0.31	0.31	1.00	18.00	98.75	101.26	-0.48	98.75	-0.48	-0.25	-0.48	-0.25	2.50	
170.43	180.46	0.00	0.00	14.13	11.88	0.92	12.40	12.40	12.18	0.00	0.00	0.04	0.03	0.00	0.03	0.03	0.03	0.00	0.00	9.34	9.07	9.32	0.00	0.00	0.35	0.34	0.35	1.00	22.00	98.52	101.51	-0.46	98.52	-0.46	-0.24	-0.46	-0.24	3.00	
167.62	177.48	0.00	0.00	14.18	11.55	5.39	12.01	12.01	11.73	0.00	0.00	0.04	0.03	0.02	0.04	0.04	0.03	0.00	0.00	9.45	9.17	9.46	0.00	0.00	0.38	0.37	0.38	1.00	26.00	98.29	101.74	-0.43	98.29	-0.43	-0.23	-0.43	-0.23	3.50	
165.74	175.49	0.00	0.00	14.19	11.24	7.18	11.56	11.56	11.21	0.00	0.00	0.05	0.04	0.02	0.04	0.04	0.04	0.00	0.00	9.17	8.90	9.23	0.00	0.00	0.40	0.39	0.40	1.00	30.00	98.08	101.96	-0.40	98.08	-0.40	-0.20	-0.40	-0.20	4.00	
164.48	174.15	0.00	0.00	14.26	11.06	8.05	11.15	11.15	10.78	0.00	0.00	0.05	0.04	0.03	0.04	0.04	0.04	0.00	0.00	8.68	8.42	8.76	0.00	0.00	0.42	0.41	0.43	1.00	34.00	97.88	102.16	-0.35	97.88	-0.35	-0.15	-0.35	-0.15	4.50	
193.94	205.35	0.00	0.00	14.42	11.02	8.49	10.78	10.78	10.36	0.00	0.00	0.06	0.05	0.03	0.04	0.04	0.04	0.00	0.00	11.92	10.64	11.63	0.00	0.00	0.07	0.06	0.07	3.50	2.00	97.71	102.34	-0.30	97.71	-0.30	-0.10	-0.30	-0.10	5.00	
177.77	188.23	0.00	0.00	14.47	10.98	8.62	10.31	10.31	9.87	0.00	0.00	0.06	0.05	0.04	0.05	0.05	0.04	0.00	0.00	11.29	9.80	10.92	0.00	0.00	0.22	0.19	0.22	3.50	6.00	97.56	102.50	-0.27	97.56	-0.27	-0.07	-0.27	-0.07	5.50	
166.93	176.75	0.00	0.00	14.41	10.93	8.52	9.76	9.76	9.25	0.00	0.00	0.07	0.05	0.04	0.05	0.05	0.04	0.00	0.00	9.85	8.37	9.49	0.00	0.00	0.34	0.29	0.33	3.50	10.00	97.43	102.63	-0.24	97.43	-0.24	-0.05	-0.24	-0.05	6.00	
159.67	169.06	0.00	0.00	14.24	10.86	8.28	9.13	9.13	8.59	0.00	0.00	0.07	0.05	0.04	0.05	0.05	0.04	0.00	0.00	8.29	6.94	8.03	0.00	0.00	0.43	0.36	0.41	3.50	14.00	97.32	102.75	-0.21	97.32	-0.21	-0.03	-0.21	-0.03	6.50	
154.80	163.91	0.00	0.00	13.97	10.78	7.92	8.45	8.45	7.81	0.00	0.00	0.07	0.06	0.04	0.04	0.04	0.04	0.00	0.00	8.69	7.26	8.51	0.00	0.00	0.49	0.41	0.48	3.50	18.00	97.22	102.86	-0.18	97.22	-0.18	-0.02	-0.18	-0.02	7.00	
151.54	160.45	0.00	0.00	13.61	10.68	7.50	7.76	7.76	7.05	0.00	0.00	0.08	0.06	0.04	0.04	0.04	0.04	0.00	0.00	8.87	7.39	8.76	0.00	0.00	0.55	0.46	0.54	3.50	22.00	97.13	102.95	-0.15	97.13	-0.15	-0.00	-0.15	-0.00	7.50	
149.35	158.13	0.00	0.00	13.19	10.57	7.05	7.06	7.06	6.36	0.00	0.00	0.08	0.06	0.04	0.04	0.04	0.04	0.00	0.00	8.61	7.16	8.55	0.00	0.00	0.60	0.50	0.60	3.50	26.00	97.06	103.03	-0.12	97.06	-0.12	0.01	-0.12	0.01	8.00	
147.88	156.58	0.00	0.00	12.76	10.45	6.59	6.41	6.41	5.73	0.00	0.00	0.08	0.06	0.04	0.04	0.04	0.04	0.00	0.00	8.12	6.75	8.12	0.00	0.00	0.64	0.53	0.64	3.50	30.00	97.00	103.09	-0.09	97.00	-0.09	0.03	-0.09	0.03	8.50	
169.84	179.83	0.00	0.00	12.38	10.37	6.17	5.83	5.83	5.24	0.00	0.00	0.08	0.07	0.04	0.04	0.04	0.03	0.00	0.00	9.51	7.31	8.98	0.00	0.00	0.09	0.07	0.09	6.00	2.00	96.95	103.14	-0.07	96.95	-0.07	0.05	-0.07	0.05	9.00	
157.25	166.50	0.00	0.00	12.14	10.38	5.80	5.35	5.35	4.87	0.00	0.00	0.08	0.07	0.04	0.04	0.04	0.03	0.00	0.00	8.17	6.05	7.63	0.00	0.00	0.24	0.18	0.23	6.00	6.00	96.92	103.18	-0.03	96.92	-0.03	0.07	-0.03	0.07	9.50	
148.81	157.56	0.00	0.00	12.13	10.56	5.53	5.01	5.01	4.63	0.00	0.00	0.09	0.08	0.04	0.04	0.04	0.03	0.00	0.00	7.14	5.17	6.71	0.00	0.00	0.35	0.25	0.33	6.00	10.00	96.90	103.19	0.00	96.90	0.00	0.10	0.00	0.10	10.00	
143.15	151.57	0.00	0.00	20.51	17.21	7.74	8.52	8.52	7.98	0.00	0.00	0.09	0.07	0.03	0.04	0.04	0.03	0.00	0.00	8.17	5.88	7.78	0.00	0.00	0.44	0.32	0.42	6.00	14.00	96.90	103.19	0.04	96.90	0.04	0.14	0.04	0.13	10.50	
139.36	147.56	0.00	0.00	45.69	38.16	17.97	31.15	31.15	30.04	0.00	0.00	0.05	0.04	0.02	0.04	0.04	0.03	0.00	0.00	8.48	6.08	8.17	0.00	0.00	0.53	0.38	0.51	6.00	18.00	96.92	103.18	0.08	96.92	0.08	0.18	0.08	0.17	11.00	
136.82	144.87	0.00	0.00	42.63	34.24	15.16	25.34	25.34	23.92	0.00	0.00	0.06	0.05	0.02	0.04	0.04	0.03	0.00	0.00	8.21	5.88	7.97	0.00	0.00	0.60	0.43	0.58	6.00	22.00	96.96	103.14	0.12	96.96	0.12	0.22	0.12	0.21	11.50	
135.11	143.06	0.00	0.00	40.32	32.21	13.27	21.39	21.39	19.98	0.00	0.00	0.07	0.06	0.02	0.04	0.04	0.04	0.00	0.00	7.70	5.50	7.54	0.00	0.00	0.66	0.47	0.64	6.00	26.00	97.02	103.08	0.16	97.02	0.16	0.26	0.16	0.26	12.00	
151.07	159.96	0.00	0.00	38.59	31.14	11.91	18.59	18.59	17.16	0.00	0.00	0.08	0.07	0.03	0.04	0.04	0.04	0.00	0.00	6.15	4.01	5.50	0.00	0.00	0.08	0.05	0.07	8.50	2.00	97.09	102.99	0.20	97.09	0.20	0.31	0.20	0.30	12.50	
141.27	149.58	0.00	0.00	37.28	30.55	10.86	16.50	16.50	14.99	0.00	0.00	0.09	0.07	0.03	0.04	0.04	0.04	0.00	0.00	6.84	4.35	6.22	0.00	0.00	0.21	0.13	0.19	8.50	6.00	97.19	102.89	0.24	97.19	0.24	0.35	0.24	0.35	13.00	
134.70	142.62	0.00	0.00	36.25	30.22	10.02	14.86	14.86	13.37	0.00	0.00	0.10	0.08	0.03	0.04	0.04	0.04	0.00	0.00	8.89	5.62	8.24	0.00	0.00	0.33	0.21	0.30	8.50	10.00	97.31	102.76	0.29	97.31	0.29	0.39	0.29	0.39	13.50	
130.29	137.95	0.00	0.00	35.41	30.03	9.31	13.51	13.51	12.18	0.00	0.00	0.11	0.09	0.03	0.04	0.04	0.04	0.00	0.00	9.21	5.79	8.73	0.00	0.00	0.44	0.28	0.42	8.50	14.00	97.45	102.62	0.33	97.45	0.33	0.43	0.33	0.43	14.00	
127.34	134.83	0.00	0.00	34.66	29.88	8.68	12.34	12.34	11.08	0.00	0.00	0.12	0.10	0.03	0.04	0.04	0.04	0.00	0.00	8.68	5.44	8.31	0.00	0.00	0.53	0.33	0.51	8.50	18.00	97.61	102.45	0.36	97.61	0.36	0.47	0.36	0.47	14.50	
125.36	132.73	0.00	0.00	33.91	29.71	8.10	11.27	11.27	9.95	0.00	0.00	0.12	0.11	0.03	0.04	0.04	0.04	0.00	0.00	7.94	4.97	7.70	0.00	0.00	0.60	0.38	0.59	8.50	22.00	97.79	102.26	0.40	97.79	0.40	0.50	0.40	0.50	15.00	
136.46	144.49	0.00	0.00	33.28	29.58	7.60	10.36	10.36	8.82	0.00	0.00	0.13	0.12	0.03	0.04	0.04	0.04	0.00	0.00	28.07	18.71	26.67	0.00	0.00	0.07	0.05	0.07	11.00	2.00	97.98	102.06	0.43	97.98	0.43	0.53	0.43	0.53	15.50	
