Time	F	S	L	N	E(L/N)
0.0	-0.00127	NaN	NaN	0.999365	NaN
0.5	-0.001348530614535513	NaN	NaN	0.9986911838051514	NaN
1.0	-0.0014144596307516532	NaN	NaN	0.9979848851252178	NaN
1.5	-0.001467138091979668	NaN	NaN	0.9972528030132889	NaN
2.0	-0.0015056804388743183	NaN	NaN	0.9965019985070108	NaN
2.5	-0.0015295354367303214	NaN	NaN	0.9957398915555788	NaN
3.0	-0.0015375326453044233	NaN	NaN	0.9949742583701531	NaN
3.5	-0.0015293669412879969	NaN	NaN	0.9942132292241995	NaN
4.0	-0.0015041653353061427	NaN	NaN	0.9934652869005315	NaN
4.5	-0.001461354667167529	NaN	NaN	0.9927392656969863	NaN
5.0	-0.0013998610535172825	NaN	NaN	0.9920443514104585	NaN
5.5	-0.0013105673940661997	NaN	NaN	0.9913942520099314	NaN
6.0	-0.001190202482711291	NaN	NaN	0.9908042191184718	NaN
6.5	-0.0010471880085645238	NaN	NaN	0.9902854022391879	NaN
7.0	-8.897469667586896E-4	NaN	NaN	0.9898448690091913	NaN
7.5	-7.260250369939464E-4	NaN	NaN	0.9894856222174476	NaN
8.0	-5.642663386389952E-4	NaN	NaN	0.9892066124747604	NaN
8.5	-4.1272424526244035E-4	NaN	NaN	0.9890027460235835	NaN
9.0	-2.7935011416614896E-4	NaN	NaN	0.9888648882855269	NaN
9.5	-1.7260183283408467E-4	NaN	NaN	0.9887798618099168	NaN
10.0	-1.009740906948051E-4	NaN	NaN	0.9887304413300649	NaN
10.5	-5.0779300599528555E-5	NaN	NaN	0.9887058807906265	NaN
11.0	-4.1212377159621085E-6	NaN	NaN	0.988704480916124	NaN
11.5	3.860021082330168E-5	1.645256588817014E-4	1.9655306054221545E-4	0.9887243447742606	1.965282455835501E-4
12.0	7.563389645564352E-5	1.4796104219083245E-4	2.1805875170002268E-4	0.9887634088069728	2.1799626223156573E-4
12.5	1.1085207095398386E-4	1.3788650659096177E-4	2.4379880568956903E-4	0.9888194087154459	2.4366177552435374E-4
13.0	1.425975649476516E-4	1.265643068648787E-4	2.647806706023085E-4	0.9888898939579108	2.645162875757067E-4
13.5	1.735454133101696E-4	1.2546375572043401E-4	2.947730492533042E-4	0.9889722749996271	2.9425319165210295E-4
14.0	1.9721567060872934E-4	1.238036443087254E-4	3.16895485047919E-4	0.9890637685310916	3.160119128192964E-4
14.5	2.136492538949861E-4	1.1636120414071316E-4	3.261608300371669E-4	0.9891613886148298	3.2480494907136863E-4
15.0	2.167826149496888E-4	1.1158306783511707E-4	3.24678634071619E-4	0.9892617652423275	3.229659831020177E-4
15.5	2.1145081853845315E-4	1.0269985361072518E-4	3.107734628467135E-4	0.9893629402596716	3.087607104885414E-4
16.0	1.9985727899321198E-4	9.824879981310434E-5	2.948799927609437E-4	0.9894637999916182	2.933043346775983E-4
16.5	1.8934428130142257E-4	9.59675388100831E-5	2.821184188257922E-4	0.9895634509348754	2.809970201464192E-4
17.0	1.8098707006798643E-4	1.0071846348202249E-4	2.7828024640864284E-4	0.9896610938158423	2.7734626592290743E-4
17.5	1.821666936208439E-4	1.0517282938164809E-4	2.8374978575021877E-4	0.9897558000780178	2.8240085193749465E-4
18.0	1.870313861025033E-4	9.353950768070359E-5	2.7734149281113176E-4	0.9898463420130041	2.7536315147226777E-4
18.5	1.8777817491354786E-4	9.403613331783167E-5	2.7847953240156775E-4	0.989930584858036	2.7625863063626867E-4
19.0	1.5963113698102657E-4	1.0224721217204908E-4	2.582577982235723E-4	0.9900059410055468	2.566105416375316E-4
19.5	1.2303086999995315E-4	9.343198159349324E-5	2.1315220258533328E-4	0.9900692645197628	2.1269874557646893E-4
