Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
88.65	93.86	88.88	91.01	90.47	90.46	?	90.55	90.54	90.26	0.06	0.06	0.10	0.10	?	0.10	0.10	0.10	93.08	88.36	94.90	94.56	89.26	0.18	0.17	0.28	0.28	0.26	1.00	2.00	99.75	100.25	-0.50	99.75	-0.50	-0.22	-0.50	-0.22	0.50	
91.21	96.58	91.15	86.94	93.14	93.11	?	93.19	93.18	87.70	0.09	0.08	0.14	0.14	?	0.14	0.14	0.13	94.02	88.63	94.24	94.19	89.26	0.57	0.54	0.83	0.83	0.79	1.00	6.00	99.50	100.50	-0.51	99.50	-0.52	-0.26	-0.51	-0.24	1.00	
92.88	98.34	92.70	94.61	94.81	94.77	?	94.83	94.83	84.63	0.11	0.11	0.17	0.17	?	0.17	0.17	0.15	87.43	82.05	86.73	87.20	82.77	1.00	0.94	1.37	1.38	1.31	1.00	10.00	99.25	100.76	-0.49	99.25	-0.52	-0.28	-0.50	-0.25	1.50	
93.78	99.30	93.60	86.27	95.66	95.62	?	95.67	95.66	99.13	0.13	0.12	0.19	0.19	?	0.19	0.19	0.19	76.16	71.07	75.92	77.24	72.81	1.37	1.28	1.80	1.83	1.73	1.00	14.00	99.00	101.01	-0.51	99.00	-0.49	-0.25	-0.49	-0.26	2.00	
94.06	99.59	93.94	75.87	95.85	95.81	?	95.84	95.83	103.98	0.14	0.12	0.21	0.21	?	0.21	0.21	0.22	62.55	57.90	63.72	66.67	61.13	1.60	1.49	2.06	2.15	1.98	1.00	18.00	98.77	101.26	-0.54	98.77	-0.46	-0.23	-0.48	-0.25	2.50	
93.81	99.33	93.79	61.85	95.50	95.46	?	95.48	95.47	94.92	0.16	0.11	0.23	0.23	?	0.23	0.23	0.23	56.09	51.71	57.93	?	55.42	1.64	1.51	2.12	?	2.04	1.00	22.00	98.54	101.51	-0.56	98.55	-0.47	-0.25	-0.46	-0.24	3.00	
93.15	98.63	93.21	67.21	94.72	94.69	?	94.71	94.70	98.90	0.18	0.14	0.25	0.25	?	0.25	0.25	0.25	52.64	48.42	54.68	46.02	52.23	1.63	1.51	2.15	1.82	2.06	1.00	26.00	98.33	101.74	-0.53	98.36	-0.42	-0.22	-0.43	-0.23	3.50	
92.15	97.57	92.28	61.01	93.60	93.58	?	93.60	93.59	87.24	0.20	0.14	0.27	0.27	?	0.27	0.27	0.25	47.74	43.80	50.25	35.26	47.90	1.63	1.50	2.18	1.54	2.08	1.00	30.00	98.16	101.96	-0.52	98.21	-0.42	-0.23	-0.40	-0.20	4.00	
90.88	96.23	91.06	58.16	92.23	92.21	?	92.23	92.22	85.80	0.22	0.15	0.29	0.29	?	0.29	0.29	0.28	42.65	39.03	45.68	31.89	43.44	1.63	1.49	2.20	1.54	2.09	1.00	34.00	98.03	102.16	-0.50	98.11	-0.37	-0.18	-0.35	-0.15	4.50	
89.40	94.66	89.59	54.15	90.66	90.65	?	90.67	90.65	68.81	0.25	0.16	0.32	0.32	?	0.32	0.32	0.26	93.24	66.33	94.20	93.86	98.64	0.37	0.28	0.50	0.50	0.52	3.50	2.00	98.25	102.34	-0.48	98.08	-0.39	-0.22	-0.30	-0.10	5.00	
87.77	92.93	87.94	50.20	88.93	88.92	?	88.93	88.92	71.43	0.26	0.17	0.33	0.33	?	0.33	0.33	0.28	87.99	61.60	87.87	92.06	92.45	1.21	0.90	1.57	1.63	1.63	3.50	6.00	99.47	102.50	-0.47	98.09	-0.34	-0.17	-0.27	-0.07	5.50	
86.02	91.08	86.14	49.00	87.07	87.06	?	87.07	87.06	81.38	0.28	0.18	0.35	0.35	?	0.35	0.35	0.33	78.02	55.53	77.66	126.12	81.03	2.02	1.50	2.50	3.58	2.59	3.50	10.00	103.90	102.63	-0.46	98.19	-0.26	-0.08	-0.24	-0.05	6.00	
84.20	89.15	84.23	45.30	85.13	85.11	?	85.11	85.10	78.73	0.29	0.18	0.36	0.36	?	0.36	0.36	0.34	65.34	46.99	65.68	?	67.21	2.63	1.95	3.18	?	3.24	3.50	14.00	127.49	102.75	-0.45	98.47	-0.24	-0.07	-0.21	-0.03	6.50	
82.33	87.17	82.26	46.40	83.13	83.11	?	83.10	83.09	66.16	0.31	0.19	0.37	0.37	?	0.37	0.37	0.31	61.83	44.43	62.45	?	63.16	2.71	2.00	3.33	?	3.36	3.50	18.00	521.09	102.86	-0.42	100.12	-0.26	-0.12	-0.18	-0.02	7.00	
