Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	91.77	91.68	87.73	87.67	?	87.66	87.66	88.23	0.06	0.06	0.10	0.10	?	0.10	0.10	0.10	93.71	94.23	85.89	85.98	85.13	0.18	0.18	0.25	0.25	0.25	1.00	2.00	99.75	100.25	-0.50	99.75	-0.50	-0.22	-0.50	-0.22	0.50	
204.12	216.13	93.36	94.16	87.64	87.42	?	87.35	87.35	86.83	0.09	0.09	0.13	0.13	?	0.13	0.13	0.13	81.96	82.04	71.26	71.38	70.88	0.50	0.50	0.64	0.64	0.64	1.00	6.00	99.50	100.50	-0.50	99.50	-0.51	-0.24	-0.51	-0.24	1.00	
190.21	201.39	93.13	93.79	86.40	85.96	?	85.72	85.72	85.33	0.11	0.11	0.15	0.15	?	0.15	0.15	0.15	64.42	64.04	55.37	55.55	55.27	0.75	0.74	0.89	0.89	0.89	1.00	10.00	99.25	100.76	-0.50	99.25	-0.50	-0.25	-0.50	-0.25	1.50	
180.88	191.52	91.69	90.44	84.59	83.92	?	83.41	83.41	82.80	0.12	0.12	0.17	0.17	?	0.17	0.17	0.17	49.86	49.26	43.39	43.67	43.39	0.91	0.90	1.04	1.05	1.04	1.00	14.00	99.00	101.01	-0.50	99.00	-0.49	-0.26	-0.49	-0.26	2.00	
174.62	184.90	89.51	87.66	82.48	81.63	?	80.83	80.83	78.68	0.14	0.14	0.18	0.18	?	0.18	0.18	0.18	39.13	38.53	34.88	35.39	34.93	1.01	1.00	1.14	1.15	1.14	1.00	18.00	98.77	101.26	-0.48	98.77	-0.48	-0.26	-0.48	-0.25	2.50	
170.43	180.46	86.91	84.59	80.24	79.28	?	78.18	78.18	76.75	0.15	0.15	0.20	0.20	?	0.19	0.19	0.19	35.45	34.89	31.57	?	31.62	1.04	1.03	1.17	?	1.17	1.00	22.00	98.55	101.51	-0.47	98.55	-0.46	-0.25	-0.46	-0.24	3.00	
167.62	177.48	84.10	81.24	77.95	76.93	?	75.61	75.61	72.80	0.16	0.16	0.21	0.21	?	0.21	0.21	0.20	33.61	33.08	29.65	22.61	29.68	1.05	1.03	1.18	0.90	1.18	1.00	26.00	98.34	101.74	-0.44	98.35	-0.44	-0.23	-0.43	-0.23	3.50	
165.74	175.49	81.24	79.60	75.65	74.64	?	73.15	73.15	70.16	0.18	0.18	0.23	0.22	?	0.22	0.22	0.21	30.89	30.39	27.22	19.15	27.23	1.06	1.04	1.19	0.84	1.19	1.00	30.00	98.16	101.96	-0.40	98.18	-0.41	-0.21	-0.40	-0.20	4.00	
164.48	174.15	78.43	74.01	73.36	72.37	?	70.78	70.78	67.24	0.20	0.19	0.25	0.24	?	0.24	0.24	0.23	27.99	27.52	24.78	17.43	24.79	1.07	1.06	1.20	0.84	1.20	1.00	34.00	98.03	102.16	-0.37	98.06	-0.36	-0.16	-0.35	-0.15	4.50	
193.94	205.35	75.72	71.38	71.11	70.16	?	68.52	68.52	64.09	0.22	0.21	0.26	0.26	?	0.26	0.26	0.24	81.83	78.71	72.93	72.66	69.77	0.33	0.32	0.41	0.40	0.39	3.50	2.00	97.94	102.34	-0.32	98.00	-0.32	-0.12	-0.30	-0.10	5.00	
177.77	188.23	73.15	69.63	69.00	68.12	0.00	66.47	66.47	61.70	0.23	0.22	0.28	0.27	0.00	0.27	0.27	0.25	67.22	64.56	58.76	65.09	55.97	0.97	0.93	1.11	1.22	1.06	3.50	6.00	97.92	102.50	-0.28	98.09	-0.29	-0.10	-0.27	-0.07	5.50	
166.93	176.75	70.74	66.57	67.03	66.23	0.00	64.62	64.62	59.51	0.24	0.23	0.29	0.28	0.00	0.28	0.28	0.26	51.94	49.66	45.71	124.43	43.67	1.41	1.35	1.55	3.55	1.49	3.50	10.00	98.02	102.63	-0.26	98.85	-0.26	-0.08	-0.24	-0.05	6.00	
159.67	169.06	68.48	63.50	65.20	64.48	0.00	62.95	62.95	58.52	0.25	0.24	0.29	0.29	0.00	0.29	0.29	0.27	40.32	38.44	36.15	?	34.59	1.69	1.61	1.82	?	1.75	3.50	14.00	98.51	102.75	-0.23	104.49	-0.23	-0.06	-0.21	-0.03	6.50	
154.80	163.91	66.38	63.18	63.50	62.87	0.00	61.42	61.42	57.73	0.26	0.25	0.30	0.30	0.00	0.29	0.29	0.28	38.07	36.28	33.62	?	32.11	1.72	1.65	1.86	?	1.78	3.50	18.00	100.40	102.86	-0.19	162.23	-0.20	-0.04	-0.18	-0.02	7.00	
151.54	160.45	64.43	62.48	61.92	61.37	0.00	60.03	60.03	57.29	0.27	0.27	0.31	0.31	0.00	0.30	0.30	0.29	35.41	33.69	30.92	15.79	29.47	1.75	1.67	1.89	0.97	1.80	3.50	22.00	115.36	102.95	-0.16	1811.30	-0.16	-0.02	-0.15	-0.00	7.50	
149.35	158.13	62.61	61.01	60.44	59.96	0.00	58.73	58.73	56.07	0.28	0.28	0.32	0.31	0.00	0.31	0.31	0.30	31.93	30.30	27.83	11.23	26.46	1.78	1.69	1.92	0.78	1.83	3.50	26.00	591.40	103.03	-0.13	56360.67	-0.14	-0.00	-0.12	0.01	8.00	
147.88	156.58	60.93	60.01	59.04	58.63	0.00	57.51	57.51	54.79	0.29	0.29	0.32	0.32	0.00	0.32	0.32	0.31	28.47	26.96	24.90	9.95	23.64	1.81	1.72	1.95	0.79	1.85	3.50	30.00	29706.09	103.09	-0.10	99999.00	-0.11	0.01	-0.09	0.03	8.50	
169.84	179.83	59.36	58.78	57.71	57.36	0.00	56.34	56.34	53.63	0.30	0.30	0.33	0.33	0.00	0.33	0.33	0.31	68.43	64.39	62.30	63.10	57.61	0.48	0.46	0.55	0.55	0.51	6.00	2.00	99999.00	103.14	-0.07	99999.00	-0.08	0.03	-0.07	0.05	9.00	
157.25	166.50	57.90	56.90	56.44	56.14	0.00	55.20	55.20	52.99	0.31	0.31	0.34	0.34	0.00	0.33	0.33	0.32	55.59	52.88	50.46	63.33	47.50	1.30	1.25	1.41	1.72	1.34	6.00	6.00	99999.00	103.18	-0.04	99999.00	-0.05	0.06	-0.03	0.07	9.50	
148.81	157.56	56.53	55.17	55.22	54.95	0.00	54.08	54.08	51.55	0.32	0.32	0.35	0.35	0.00	0.34	0.34	0.33	44.59	42.39	40.67	?	38.36	1.81	1.73	1.92	?	1.82	6.00	10.00	99999.00	103.19	-0.01	99999.00	-0.02	0.08	0.00	0.10	10.00	
143.15	151.57	55.26	54.93	53.00	52.49	0.00	51.19	51.19	48.73	0.17	0.17	0.20	0.20	0.00	0.19	0.19	0.19	42.50	40.33	37.77	?	35.40	1.84	1.76	1.97	?	1.85	6.00	14.00	99999.00	103.19	0.04	99999.00	0.03	0.13	0.04	0.13	10.50	
139.36	147.56	54.06	52.76	43.82	42.08	?	40.05	40.05	38.30	0.02	0.02	0.05	0.05	?	0.04	0.04	0.04	38.26	36.03	33.52	14.67	31.18	1.90	1.80	2.03	0.91	1.89	6.00	18.00	99999.00	103.18	0.08	99999.00	0.07	0.17	0.08	0.17	11.00	
136.82	144.87	52.94	50.90	45.35	43.76	?	41.67	41.67	39.54	0.04	0.04	0.06	0.06	?	0.06	0.06	0.05	33.39	31.20	29.18	11.05	27.00	1.96	1.84	2.08	0.80	1.93	6.00	22.00	99999.00	103.14	0.12	99999.00	0.12	0.21	0.12	0.21	11.50	
135.11	143.06	51.89	51.06	45.90	44.52	?	42.50	42.50	40.12	0.05	0.05	0.08	0.07	?	0.07	0.07	0.07	28.96	26.92	25.38	9.67	23.39	2.01	1.87	2.13	0.82	1.97	6.00	26.00	99999.00	103.08	0.16	99999.00	0.16	0.26	0.16	0.26	12.00	
151.07	159.96	50.90	50.49	45.96	44.77	?	42.86	42.86	40.20	0.07	0.07	0.09	0.09	?	0.09	0.09	0.08	58.96	57.88	55.58	57.21	52.80	0.58	0.57	0.62	0.64	0.60	8.50	2.00	99999.00	102.99	0.20	99999.00	0.20	0.30	0.20	0.30	12.50	
141.27	149.58	49.96	48.85	45.76	44.73	?	42.94	42.94	40.45	0.08	0.08	0.11	0.10	?	0.10	0.10	0.10	51.22	50.29	47.53	?	44.84	1.24	1.22	1.33	?	1.27	8.50	6.00	99999.00	102.89	0.24	99999.00	0.24	0.34	0.24	0.35	13.00	
134.70	142.62	49.07	46.86	45.43	44.53	0.09	42.84	42.84	40.02	0.09	0.09	0.12	0.12	0.00	0.11	0.11	0.11	46.66	45.30	41.67	?	38.46	1.34	1.30	1.45	?	1.35	8.50	10.00	99999.00	102.76	0.28	99999.00	0.28	0.38	0.29	0.39	13.50	
130.29	137.95	48.23	45.42	45.02	44.23	0.54	42.65	42.65	40.77	0.11	0.10	0.13	0.13	0.00	0.13	0.13	0.12	38.90	36.97	34.14	22.36	30.99	1.44	1.38	1.56	1.05	1.43	8.50	14.00	99999.00	102.62	0.32	99999.00	0.32	0.43	0.33	0.43	14.00	
127.34	134.83	47.44	45.10	44.59	43.89	0.28	42.41	42.41	41.32	0.12	0.11	0.14	0.14	0.00	0.14	0.14	0.14	31.75	29.73	27.86	16.42	25.06	1.54	1.45	1.66	0.99	1.50	8.50	18.00	99999.00	102.45	0.36	99999.00	0.37	0.47	0.36	0.47	14.50	
125.36	132.73	46.68	45.92	44.15	43.53	0.14	42.15	42.15	40.92	0.13	0.13	0.15	0.15	0.00	0.15	0.15	0.15	26.17	24.31	23.06	13.69	20.65	1.61	1.50	1.73	1.04	1.55	8.50	22.00	99999.00	102.26	0.40	99999.00	0.40	0.50	0.40	0.50	15.00	
136.46	144.49	45.96	45.30	43.69	43.14	0.06	41.84	41.84	39.90	0.14	0.14	0.16	0.16	0.00	0.16	0.16	0.15	51.74	50.61	38.08	34.14	37.21	0.06	0.06	0.09	0.09	0.09	11.00	2.00	99999.00	102.06	0.43	99999.00	0.43	0.52	0.43	0.53	15.50	
128.82	136.40	45.27	44.82	43.19	42.69	0.04	41.47	41.47	40.13	0.15	0.15	0.17	0.17	0.00	0.17	0.17	0.16	39.43	38.95	30.11	25.79	30.01	0.27	0.27	0.33	0.29	0.33	11.00	6.00	99999.00	101.84	0.46	99999.00	0.46	0.55	0.46	0.56	16.00	
123.70	130.98	44.62	44.26	42.68	42.22	0.02	41.05	41.05	40.18	0.16	0.16	0.18	0.18	0.00	0.18	0.18	0.17	28.71	28.40	22.86	20.00	22.91	0.49	0.48	0.55	0.48	0.55	11.00	10.00	99999.00	101.61	0.48	99999.00	0.49	0.58	0.49	0.58	16.50	
120.27	127.35	43.99	43.34	42.15	41.72	0.02	40.59	40.59	39.55	0.16	0.16	0.19	0.19	0.00	0.18	0.18	0.18	21.32	21.17	17.55	15.47	17.64	0.65	0.64	0.70	0.62	0.70	11.00	14.00	99999.00	101.36	0.51	99999.00	0.51	0.60	0.51	0.60	17.00	
125.08	132.43	43.39	43.55	41.63	41.22	0.01	40.13	40.13	39.61	0.17	0.17	0.19	0.19	0.00	0.19	0.19	0.19	47.17	44.90	41.01	37.22	38.45	0.19	0.19	0.23	0.21	0.22	13.50	2.00	99999.00	101.10	0.53	99999.00	0.53	0.63	0.53	0.62	17.50	
