	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	8.3940639658E-01	8.6094416489E-01	8.9075276234E-01	9.0026936204E-01	?	9.1771423851E-01	9.1747887617E-01	9.4595730431E-01	1.9955268786E00	1.9956270601E00	1.9946557173E00	1.9947017180E00	?	1.9947966450E00	1.9947952439E00	1.9949606503E00	1.0926579693E00	1.1146985937E00	1.1794415092E00	?	1.2041262779E00	1.9714941764E00	1.9725808234E00	1.9687579431E00	?	1.9701078285E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	3.8541160459E-01	1.9994047846E00	2.0000000000E00	1.9994150250E00	1.9956086072E00	1.9992360103E00	1.9954428016E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	8.8592565851E-01	9.0693247598E-01	9.3598517124E-01	9.4525529939E-01	?	9.6224190851E-01	9.6201278462E-01	9.8972533418E-01	1.9957751229E00	1.9958697504E00	1.9949522472E00	1.9949956987E00	?	1.9950853651E00	1.9950840417E00	1.9952402810E00	1.1321289730E00	1.1534732366E00	1.2160941953E00	?	1.2399399314E00	1.9730671701E00	1.9740942456E00	1.9704808041E00	?	1.9717567790E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	4.4013115239E-01	1.9994378475E00	2.0000000000E00	1.9994475191E00	1.9958523205E00	1.9992784465E00	1.9956957068E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	8.3940639658E-01	8.8592565851E-01	0.0000000000E00	2.8097984122E-02	6.3150904978E-02	7.5039685323E-02	?	9.6985720603E-02	9.6688305349E-02	1.3294114031E-01	1.9890741278E00	1.9893184409E00	1.9869503676E00	1.9870624768E00	?	1.9872938375E00	1.9872904226E00	1.9876935963E00	3.6515343284E-01	3.8394293175E-01	4.5964466768E-01	?	4.9011649789E-01	1.9309717333E00	1.9335772678E00	1.9244198321E00	?	1.9276505249E00	1.6280065110E00	1.2909170370E00	2.0000000000E00	4.9394466159E-01	1.9985441118E00	2.0000000000E00	1.9985691543E00	1.9892734383E00	1.9981314060E00	1.9888691023E00	1.4416774925E00	
Caplet Vola Monte-Carlo Single-Curve	8.6094416489E-01	9.0693247598E-01	2.8097984122E-02	0.0000000000E00	4.0380520143E-02	5.0062513464E-02	?	7.0743744465E-02	7.0446001749E-02	1.0674733509E-01	1.9887839095E00	1.9890346944E00	1.9866039264E00	1.9867190020E00	?	1.9869564849E00	1.9869529797E00	1.9873668238E00	3.4916547710E-01	3.6803255840E-01	4.3752300715E-01	?	4.6577984393E-01	1.9291655765E00	1.9318381040E00	1.9224456241E00	?	1.9257591085E00	1.6190413722E00	1.2754503887E00	2.0000000000E00	5.1854847302E-01	1.9985053455E00	2.0000000000E00	1.9985310546E00	1.9889884996E00	1.9980816559E00	1.9885734537E00	1.4289286219E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.9075276234E-01	9.3598517124E-01	6.3150904978E-02	4.0380520143E-02	0.0000000000E00	1.1902881761E-02	?	3.3894630639E-02	3.3598724088E-02	7.0366936145E-02	1.9883637250E00	1.9886238781E00	1.9861023584E00	1.9862217277E00	?	1.9864680724E00	1.9864644364E00	1.9868937259E00	3.3106668054E-01	3.4885230431E-01	4.1027829594E-01	?	4.3565934802E-01	1.9265530565E00	1.9293223792E00	1.9195903303E00	?	1.9230234122E00	1.6061373861E00	1.2533093854E00	2.0000000000E00	5.5278480522E-01	1.9984492102E00	2.0000000000E00	1.9984758844E00	1.9885759576E00	1.9980096158E00	1.9881454083E00	1.4106337538E00	
Caplet Vola Analytic Multi-Curve Ju	9.0026936204E-01	9.4525529939E-01	7.5039685323E-02	5.0062513464E-02	1.1902881761E-02	0.0000000000E00	?	2.2044292632E-02	2.1748342217E-02	5.8529958614E-02	1.9882248007E00	1.9884880508E00	1.9859365312E00	1.9860573198E00	?	1.9863065939E00	1.9863029146E00	1.9867373098E00	3.2562557848E-01	3.4331661304E-01	4.0267621888E-01	?	4.2618166527E-01	1.9256899304E00	1.9284912047E00	1.9186470757E00	?	1.9221196295E00	1.6018906057E00	1.2460536587E00	2.0000000000E00	5.6376033897E-01	1.9984306481E00	2.0000000000E00	1.9984576415E00	1.9884395598E00	1.9979857946E00	1.9880038854E00	1.4046270070E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.1771423851E-01	9.6224190851E-01	9.6985720603E-02	7.0743744465E-02	3.3894630639E-02	2.2044292632E-02	?	0.0000000000E00	2.9811413750E-04	3.6858809078E-02	1.9879638208E00	1.9882328882E00	1.9856250179E00	1.9857484725E00	?	1.9860032489E00	1.9859994885E00	1.9864434739E00	3.1761932622E-01	3.3428769907E-01	3.9060705662E-01	?	4.1188179022E-01	1.9240693448E00	1.9269305734E00	1.9168761488E00	?	1.9204227597E00	1.5939388920E00	1.2325090082E00	2.0000000000E00	5.8393692310E-01	1.9983957747E00	2.0000000000E00	1.9984233677E00	1.9881833256E00	1.9979410411E00	1.9877380243E00	1.3933987680E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.1747887617E-01	9.6201278462E-01	9.6688305349E-02	7.0446001749E-02	3.3598724088E-02	2.1748342217E-02	?	2.9811413750E-04	0.0000000000E00	3.7143350347E-02	1.9879673976E00	1.9882363853E00	1.9856292873E00	1.9857527053E00	?	1.9860074063E00	1.9860036470E00	1.9864475010E00	3.1772606423E-01	3.3444535967E-01	3.9078809927E-01	?	4.1208816277E-01	1.9240915479E00	1.9269519555E00	1.9169004108E00	?	1.9204460075E00	1.5940476430E00	1.2326938907E00	2.0000000000E00	5.8366421001E-01	1.9983962527E00	2.0000000000E00	1.9984238375E00	1.9881868374E00	1.9979416545E00	1.9877416680E00	1.3935521646E00	
Caplet Vola Monte-Carlo Multi-Curve	9.4595730431E-01	9.8972533418E-01	1.3294114031E-01	1.0674733509E-01	7.0366936145E-02	5.8529958614E-02	?	3.6858809078E-02	3.7143350347E-02	0.0000000000E00	1.9875230602E00	1.9878019507E00	1.9850989312E00	1.9852268872E00	?	1.9854909541E00	1.9854870565E00	1.9859472350E00	3.0905033193E-01	3.2161954265E-01	3.7273328436E-01	?	3.9152809193E-01	1.9213349453E00	1.9242972241E00	1.9138883939E00	?	1.9175597989E00	1.5805865806E00	1.2098847884E00	2.0000000000E00	6.1676081482E-01	1.9983368693E00	2.0000000000E00	1.9983654750E00	1.9877505785E00	1.9978654472E00	1.9872890215E00	1.3745996951E00	
