Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	91.77	40.87	65.52	65.31	26.59	63.42	63.42	65.37	0.70	0.32	0.53	0.53	0.22	0.52	0.52	0.53	43.63	40.99	61.70	63.61	61.67	0.96	0.90	1.41	1.45	1.41	1.00	2.00	99.75	100.25	-0.51	99.75	-0.50	-0.21	-0.50	-0.22	0.50	
204.12	216.13	93.36	41.09	66.24	65.37	47.32	62.08	62.08	64.24	0.99	0.45	0.75	0.74	0.54	0.71	0.71	0.73	38.54	36.06	48.78	54.24	47.51	2.57	2.40	3.37	3.74	3.29	1.00	6.00	99.51	100.50	-0.50	99.51	-0.52	-0.26	-0.51	-0.24	1.00	
190.21	201.39	93.13	40.09	66.00	64.12	49.81	59.91	59.91	62.91	1.20	0.54	0.91	0.89	0.70	0.83	0.83	0.87	31.49	29.49	37.44	43.54	35.97	3.55	3.33	4.38	5.09	4.21	1.00	10.00	99.29	100.76	-0.51	99.29	-0.52	-0.27	-0.50	-0.25	1.50	
180.88	191.52	91.69	38.14	65.27	62.28	49.05	57.41	57.41	61.01	1.35	0.59	1.03	0.99	0.79	0.92	0.92	0.97	25.58	23.93	29.51	35.42	28.18	4.11	3.84	4.90	5.88	4.68	1.00	14.00	99.15	101.01	-0.53	99.15	-0.52	-0.26	-0.49	-0.26	2.00	
174.62	184.90	89.51	36.62	64.25	60.26	47.22	54.85	54.85	57.25	1.46	0.64	1.13	1.07	0.85	0.98	0.98	1.02	21.09	19.72	24.01	30.91	22.87	4.42	4.13	5.19	6.66	4.94	1.00	18.00	99.12	101.26	-0.53	99.13	-0.54	-0.30	-0.48	-0.25	2.50	
170.43	180.46	86.91	35.30	63.02	58.26	45.09	52.40	52.40	54.78	1.55	0.68	1.21	1.13	0.89	1.02	1.02	1.07	17.81	16.66	20.13	?	19.14	4.62	4.32	5.37	?	5.11	1.00	22.00	99.32	101.51	-0.52	99.34	-0.51	-0.29	-0.46	-0.24	3.00	
167.62	177.48	84.10	33.80	61.63	56.33	42.95	50.11	50.11	51.36	1.61	0.70	1.28	1.18	0.92	1.06	1.06	1.09	15.38	14.38	17.29	?	16.41	4.77	4.46	5.51	?	5.23	1.00	26.00	100.04	101.74	-0.50	100.30	-0.51	-0.31	-0.43	-0.23	3.50	
165.74	175.49	81.24	32.92	60.14	54.49	40.94	48.02	48.02	48.97	1.67	0.74	1.34	1.23	0.94	1.09	1.09	1.11	13.51	12.63	15.13	?	14.34	4.90	4.58	5.62	?	5.33	1.00	30.00	104.11	101.96	-0.46	108.11	-0.49	-0.29	-0.40	-0.20	4.00	
164.48	174.15	78.43	31.48	58.63	52.76	39.12	46.15	46.15	47.21	1.72	0.76	1.39	1.27	0.96	1.12	1.12	1.15	12.07	11.27	13.46	?	12.75	5.01	4.68	5.72	?	5.42	1.00	34.00	213.68	102.16	-0.44	243.28	-0.44	-0.23	-0.35	-0.15	4.50	
193.94	205.35	75.72	30.72	57.08	51.12	37.48	44.45	44.45	45.16	1.76	0.78	1.44	1.31	0.98	1.15	1.15	1.17	38.83	33.11	48.97	50.92	48.07	1.62	1.39	2.09	2.16	2.05	3.50	2.00	3936.43	102.34	-0.39	4142.48	-0.40	-0.19	-0.30	-0.10	5.00	
