Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	91.77	91.68	70.28	69.22	33.25	67.95	67.95	69.31	0.06	0.06	0.08	0.08	0.04	0.07	0.07	0.08	93.71	94.23	68.58	68.32	68.93	0.18	0.18	0.20	0.20	0.21	1.00	2.00	99.75	100.25	-0.50	99.75	-0.50	-0.22	-0.50	-0.22	0.50	
204.12	216.13	93.36	94.16	73.57	71.01	51.23	68.75	68.75	69.82	0.09	0.09	0.11	0.11	0.08	0.10	0.10	0.10	81.96	82.04	60.16	60.40	59.36	0.50	0.50	0.54	0.55	0.54	1.00	6.00	99.50	100.50	-0.50	99.50	-0.51	-0.24	-0.51	-0.24	1.00	
190.21	201.39	93.13	93.79	75.60	71.74	54.23	68.60	68.60	69.95	0.11	0.11	0.14	0.13	0.10	0.12	0.12	0.13	64.42	64.04	48.67	49.05	47.81	0.75	0.74	0.78	0.79	0.77	1.00	10.00	99.25	100.76	-0.50	99.25	-0.50	-0.25	-0.50	-0.25	1.50	
180.88	191.52	91.69	90.44	76.54	71.88	54.11	67.91	67.92	69.25	0.12	0.12	0.16	0.15	0.11	0.14	0.14	0.14	49.86	49.26	39.07	39.50	38.32	0.91	0.90	0.94	0.95	0.92	1.00	14.00	99.00	101.01	-0.50	99.00	-0.49	-0.25	-0.49	-0.26	2.00	
174.62	184.90	89.51	87.66	76.55	71.62	52.85	66.94	66.94	66.49	0.14	0.14	0.17	0.16	0.12	0.15	0.15	0.15	39.13	38.53	31.85	32.49	31.25	1.01	1.00	1.04	1.06	1.02	1.00	18.00	98.77	101.26	-0.48	98.77	-0.48	-0.26	-0.48	-0.25	2.50	
170.43	180.46	86.91	84.59	75.85	71.04	51.17	65.81	65.82	65.53	0.15	0.15	0.19	0.18	0.13	0.17	0.17	0.17	35.45	34.89	28.93	?	28.39	1.04	1.03	1.07	?	1.05	1.00	22.00	98.55	101.51	-0.47	98.55	-0.46	-0.25	-0.46	-0.24	3.00	
167.62	177.48	84.10	81.24	74.65	70.19	49.38	64.63	64.63	62.65	0.16	0.16	0.20	0.19	0.14	0.18	0.18	0.17	33.61	33.08	27.19	21.24	26.67	1.05	1.03	1.08	0.85	1.06	1.00	26.00	98.34	101.74	-0.44	98.35	-0.44	-0.23	-0.43	-0.23	3.50	
165.74	175.49	81.24	79.60	73.13	69.14	47.64	63.41	63.42	60.91	0.18	0.18	0.22	0.21	0.15	0.19	0.19	0.19	30.89	30.39	24.99	17.80	24.51	1.06	1.04	1.09	0.78	1.07	1.00	30.00	98.16	101.96	-0.40	98.18	-0.41	-0.21	-0.40	-0.20	4.00	
164.48	174.15	78.43	74.01	71.36	67.84	45.97	62.09	62.09	58.95	0.20	0.19	0.24	0.23	0.16	0.21	0.21	0.20	27.99	27.52	22.78	16.22	22.34	1.07	1.06	1.10	0.79	1.08	1.00	34.00	98.03	102.16	-0.37	98.06	-0.36	-0.16	-0.35	-0.15	4.50	
193.94	205.35	75.72	71.38	69.48	66.39	44.40	60.70	60.70	56.63	0.22	0.21	0.26	0.25	0.18	0.23	0.23	0.22	81.83	78.71	63.23	60.70	60.36	0.33	0.32	0.36	0.35	0.34	3.50	2.00	97.94	102.34	-0.32	98.00	-0.32	-0.12	-0.30	-0.10	5.00	
177.77	188.23	73.15	69.63	67.66	65.01	43.02	59.45	59.46	55.00	0.23	0.22	0.27	0.26	0.18	0.24	0.24	0.23	67.22	64.56	53.18	61.84	49.90	0.97	0.93	1.02	1.16	0.96	3.50	6.00	97.92	102.50	-0.28	98.09	-0.29	-0.09	-0.27	-0.07	5.50	
166.93	176.75	70.74	66.57	65.92	63.71	41.82	58.36	58.36	53.38	0.24	0.23	0.28	0.28	0.19	0.26	0.26	0.24	51.94	49.66	42.45	124.42	39.92	1.41	1.35	1.45	3.55	1.37	3.50	10.00	98.02	102.63	-0.26	98.85	-0.26	-0.08	-0.24	-0.05	6.00	
159.67	169.06	68.48	63.50	64.28	62.48	40.79	57.39	57.39	52.91	0.25	0.24	0.29	0.29	0.20	0.27	0.27	0.25	40.32	38.44	34.06	?	32.10	1.69	1.61	1.72	?	1.63	3.50	14.00	98.51	102.75	-0.23	104.49	-0.23	-0.06	-0.21	-0.03	6.50	
154.80	163.91	66.38	63.18	62.73	61.32	39.92	56.51	56.52	52.65	0.26	0.25	0.30	0.29	0.20	0.28	0.28	0.26	38.07	36.28	31.69	?	29.85	1.72	1.65	1.76	?	1.66	3.50	18.00	100.40	102.86	-0.19	162.23	-0.20	-0.04	-0.18	-0.02	7.00	
151.54	160.45	64.43	62.48	61.28	60.21	39.18	55.72	55.72	52.65	0.27	0.27	0.31	0.30	0.21	0.28	0.28	0.27	35.41	33.69	29.16	15.58	27.43	1.75	1.67	1.79	0.96	1.68	3.50	22.00	115.36	102.95	-0.16	1811.30	-0.16	-0.02	-0.15	-0.00	7.50	
149.35	158.13	62.61	61.01	59.90	59.12	38.55	54.96	54.96	51.90	0.28	0.28	0.31	0.31	0.22	0.29	0.29	0.28	31.93	30.30	26.27	11.03	24.67	1.78	1.69	1.82	0.77	1.71	3.50	26.00	591.40	103.03	-0.13	56360.67	-0.14	-0.00	-0.12	0.01	8.00	
147.88	156.58	60.93	60.01	58.59	58.04	38.00	54.21	54.22	51.09	0.29	0.29	0.32	0.32	0.22	0.30	0.30	0.29	28.47	26.96	23.53	9.80	22.08	1.81	1.72	1.85	0.77	1.73	3.50	30.00	29706.09	103.09	-0.10	99999.00	-0.11	0.01	-0.09	0.03	8.50	
169.84	179.83	59.36	58.78	57.33	56.96	37.51	53.45	53.45	50.36	0.30	0.30	0.33	0.33	0.23	0.31	0.31	0.30	68.43	64.39	56.85	55.61	52.01	0.48	0.46	0.51	0.50	0.47	6.00	2.00	99999.00	103.14	-0.07	99999.00	-0.08	0.03	-0.07	0.05	9.00	
157.25	166.50	57.90	56.90	56.11	55.87	37.01	52.64	52.64	49.99	0.31	0.31	0.34	0.34	0.24	0.32	0.32	0.31	55.59	52.88	47.54	62.99	44.14	1.30	1.25	1.34	1.71	1.26	6.00	6.00	99999.00	103.18	-0.04	99999.00	-0.05	0.06	-0.03	0.07	9.50	
148.81	157.56	56.53	55.17	54.92	54.76	36.47	51.75	51.75	48.82	0.32	0.32	0.35	0.35	0.25	0.33	0.33	0.32	44.59	42.39	38.86	?	36.23	1.81	1.73	1.85	?	1.73	6.00	10.00	99999.00	103.19	-0.01	99999.00	-0.02	0.08	0.00	0.10	10.00	
143.15	151.57	55.26	54.93	52.49	51.49	33.15	47.43	47.43	44.65	0.17	0.17	0.20	0.20	0.13	0.18	0.18	0.17	42.50	40.33	36.00	?	33.46	1.84	1.76	1.88	?	1.76	6.00	14.00	99999.00	103.19	0.04	99999.00	0.03	0.13	0.04	0.13	10.50	
139.36	147.56	54.06	52.76	40.83	36.24	25.63	30.60	30.60	32.20	0.02	0.02	0.04	0.04	0.03	0.03	0.03	0.04	38.26	36.03	31.95	14.27	29.53	1.90	1.80	1.94	0.88	1.80	6.00	18.00	99999.00	103.18	0.08	99999.00	0.07	0.17	0.08	0.17	11.00	
136.82	144.87	52.94	50.90	43.29	38.32	26.29	33.06	33.06	33.57	0.04	0.04	0.06	0.05	0.04	0.05	0.05	0.05	33.39	31.20	27.85	10.84	25.62	1.96	1.84	1.99	0.79	1.84	6.00	22.00	99999.00	103.14	0.12	99999.00	0.12	0.21	0.12	0.21	11.50	
135.11	143.06	51.89	51.06	44.37	39.91	26.73	34.92	34.92	34.32	0.05	0.05	0.07	0.07	0.05	0.06	0.06	0.06	28.96	26.92	24.24	9.53	22.23	2.01	1.87	2.04	0.81	1.88	6.00	26.00	99999.00	103.08	0.16	99999.00	0.16	0.26	0.16	0.26	12.00	
151.07	159.96	50.90	50.49	44.75	40.97	27.01	36.17	36.17	34.76	0.07	0.07	0.09	0.08	0.06	0.07	0.07	0.07	58.96	57.88	52.77	53.30	49.54	0.58	0.57	0.60	0.60	0.57	8.50	2.00	99999.00	102.99	0.20	99999.00	0.20	0.30	0.20	0.30	12.50	
141.27	149.58	49.96	48.85	44.77	41.60	27.16	36.99	36.99	35.34	0.08	0.08	0.10	0.10	0.07	0.09	0.09	0.08	51.22	50.29	45.17	?	42.48	1.24	1.22	1.28	?	1.21	8.50	6.00	99999.00	102.89	0.24	99999.00	0.24	0.34	0.24	0.35	13.00	
134.70	142.62	49.07	46.86	44.59	41.95	27.23	37.50	37.51	35.15	0.09	0.09	0.12	0.11	0.08	0.10	0.10	0.10	46.66	45.30	39.24	?	36.44	1.34	1.30	1.38	?	1.29	8.50	10.00	99999.00	102.76	0.28	99999.00	0.28	0.38	0.29	0.39	13.50	
