	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	8.9167611456E-01	1.2402849612E00	1.0265333191E00	1.0615856246E00	?	1.1023173915E00	1.1018411463E00	1.1097640036E00	1.4895609521E00	1.4990881424E00	1.4924366441E00	1.4935481145E00	?	1.4948807060E00	1.4948640322E00	1.4951318520E00	1.2991638477E00	1.3178705407E00	1.2488204391E00	?	1.2645703284E00	1.4535643708E00	1.4581046553E00	1.4426265855E00	?	1.4472153469E00	1.4449027881E00	1.3752874035E00	4.8913353900E150	4.8733081603E-01	1.5082428410E00	9.6976282469E143	1.5083704435E00	1.5066590234E00	1.5078198165E00	1.5063877698E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	9.8038834493E-01	1.3289971916E00	1.1152455495E00	1.1502978549E00	?	1.1910296219E00	1.1905533766E00	1.1984762340E00	1.5782731825E00	1.5878003728E00	1.5811488745E00	1.5822603449E00	?	1.5835929363E00	1.5835762625E00	1.5838440824E00	1.3878760780E00	1.4065827711E00	1.3375326694E00	?	1.3532825588E00	1.5422766011E00	1.5468168857E00	1.5313388159E00	?	1.5359275772E00	1.5336150185E00	1.4639996339E00	4.8913353900E150	5.7604304640E-01	1.5969550714E00	9.6976282469E143	1.5970826739E00	1.5953712538E00	1.5965320469E00	1.5951000002E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	8.9167611456E-01	9.8038834493E-01	0.0000000000E00	3.4860884662E-01	1.3485720457E-01	1.6990951001E-01	?	2.1064127694E-01	2.1016503169E-01	2.1808788906E-01	5.9788483752E-01	6.0741202787E-01	6.0076052955E-01	6.0187199993E-01	?	6.0320459139E-01	6.0318791759E-01	6.0345573743E-01	4.0748773310E-01	4.2619442617E-01	3.5714432449E-01	?	3.7289421385E-01	5.6188825619E-01	5.6642854074E-01	5.5095047092E-01	?	5.5553923231E-01	5.5322667354E-01	4.8361128893E-01	4.8913353900E150	4.0434529853E-01	6.1656672646E-01	9.6976282469E143	6.1669432896E-01	6.1498290885E-01	6.1614370198E-01	6.1471165523E-01	5.1643180175E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2402849612E00	1.3289971916E00	3.4860884662E-01	0.0000000000E00	2.1375164205E-01	1.7869933661E-01	?	1.3796756968E-01	1.3844381493E-01	1.3052095755E-01	2.4927599090E-01	2.5880318125E-01	2.5215168293E-01	2.5326315331E-01	?	2.5459574477E-01	2.5457907097E-01	2.5484689081E-01	8.0350947953E-02	8.3272212171E-02	9.0446299701E-02	?	9.0842974341E-02	2.1327940957E-01	2.1781969412E-01	2.0234162430E-01	?	2.0693038569E-01	2.0461782692E-01	1.3956919197E-01	4.8913353900E150	7.5295414515E-01	2.6795787984E-01	9.6976282469E143	2.6808548234E-01	2.6637406223E-01	2.6753485536E-01	2.6610280861E-01	1.6782295513E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0265333191E00	1.1152455495E00	1.3485720457E-01	2.1375164205E-01	0.0000000000E00	3.5052305441E-02	?	7.5784072365E-02	7.5307827120E-02	8.3230684492E-02	4.6302763295E-01	4.7255482330E-01	4.6590332497E-01	4.6701479536E-01	?	4.6834738682E-01	4.6833071302E-01	4.6859853286E-01	2.7263052853E-01	2.9133722160E-01	2.2228711992E-01	?	2.3803700928E-01	4.2703105162E-01	4.3157133617E-01	4.1609326635E-01	?	4.2068202774E-01	4.1836946897E-01	3.4875408436E-01	4.8913353900E150	5.3920250311E-01	4.8170952189E-01	9.6976282469E143	4.8183712439E-01	4.8012570428E-01	4.8128649741E-01	4.7985445066E-01	3.8157459718E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0615856246E00	1.1502978549E00	1.6990951001E-01	1.7869933661E-01	3.5052305441E-02	0.0000000000E00	?	4.0731766923E-02	4.0255521678E-02	4.8178379051E-02	4.2797532751E-01	4.3750251786E-01	4.3085101953E-01	4.3196248992E-01	?	4.3329508138E-01	4.3327840758E-01	4.3354622742E-01	2.3757822308E-01	2.5628491616E-01	1.8759465795E-01	?	2.0298470384E-01	3.9197874617E-01	3.9651903073E-01	3.8104096091E-01	?	3.8562972230E-01	3.8331716353E-01	3.1370177891E-01	4.8913353900E150	5.7425480855E-01	4.4665721645E-01	9.6976282469E143	4.4678481895E-01	4.4507339884E-01	4.4623419196E-01	4.4480214521E-01	3.4652229173E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1023173915E00	1.1910296219E00	2.1064127694E-01	1.3796756968E-01	7.5784072365E-02	4.0731766923E-02	?	0.0000000000E00	4.7624524520E-04	8.1915745007E-03	3.8724356059E-01	3.9677075094E-01	3.9011925261E-01	3.9123072300E-01	?	3.9256331446E-01	3.9254664065E-01	3.9281446049E-01	1.9684645616E-01	2.1555314924E-01	1.5711357348E-01	?	1.6724009063E-01	3.5124697925E-01	3.5578726380E-01	3.4030919398E-01	?	3.4489795537E-01	3.4258539661E-01	2.7297001199E-01	4.8913353900E150	6.1498657547E-01	4.0592544953E-01	9.6976282469E143	4.0605305203E-01	4.0434163192E-01	4.0550242504E-01	4.0407037829E-01	3.0579052481E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1018411463E00	1.1905533766E00	2.1016503169E-01	1.3844381493E-01	7.5307827120E-02	4.0255521678E-02	?	4.7624524520E-04	0.0000000000E00	8.5932072218E-03	3.8771980583E-01	3.9724699618E-01	3.9059549785E-01	3.9170696824E-01	?	3.9303955970E-01	3.9302288590E-01	3.9329070574E-01	1.9732270141E-01	2.1602939448E-01	1.5742713364E-01	?	1.6758020046E-01	3.5172322450E-01	3.5626350905E-01	3.4078543923E-01	?	3.4537420062E-01	3.4306164185E-01	2.7344625724E-01	4.8913353900E150	6.1451033023E-01	4.0640169477E-01	9.6976282469E143	4.0652929727E-01	4.0481787716E-01	4.0597867029E-01	4.0454662354E-01	3.0626677006E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.1097640036E00	1.1984762340E00	2.1808788906E-01	1.3052095755E-01	8.3230684492E-02	4.8178379051E-02	?	8.1915745007E-03	8.5932072218E-03	0.0000000000E00	3.7979694846E-01	3.8932413881E-01	3.8267264048E-01	3.8378411087E-01	?	3.8511670233E-01	3.8510002853E-01	3.8536784836E-01	1.8939984403E-01	2.0810653711E-01	1.5213365783E-01	?	1.6225407060E-01	3.4380036712E-01	3.4834065167E-01	3.3286258185E-01	?	3.3745134325E-01	3.3513878448E-01	2.6552339986E-01	4.8913353900E150	6.2243318760E-01	3.9847883740E-01	9.6976282469E143	3.9860643990E-01	3.9689501979E-01	3.9805581291E-01	3.9662376616E-01	2.9834391268E-01	
