Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.8422482167781735
1	2	0.8697437818485212
1	3	0.8416038908076436
1	4	0.7730158957795494
1	5	0.6759433857081326
1	6	0.5644413531214827
1	7	0.45450236171684055
1	8	0.3588015521022127
1	9	0.2828845915768866
1	10	0.22611828148089116
1	11	0.18474881490687028
1	12	0.15435322697675066
1	13	0.13122363445217175
1	14	0.11295517446220309
1	15	0.09828526304997669
1	16	0.08646160311801768
1	17	0.0767290264074393
1	18	0.06820118189153457
1	19	0.060058669025478004
1	20	0.051958135229132806
1	21	0.044279171339812046
1	22	0.03778163914927918
1	23	0.03299928963431732
1	24	0.029978097451444877
1	25	0.02833951573759847
1	26	0.027475373970065022
1	27	0.026900317048943714
1	28	0.026494720991647742
1	29	0.026258748204672982
1	30	0.02586397181773064
1	31	0.024553334148581046
1	32	0.022014593140260566
1	33	0.01934336961383811
1	34	0.017960755067578212
1	35	0.01807203147359622
1	36	0.018205789618000588
1	37	0.0180740281503988
1	38	0.0185675402595172
1	39	0.011537481385704691
1	40	0.0
1	41	0.2952864336972631
1	42	0.2635142508158923
1	43	0.2188429761284293
1	44	0.17171164281436713
1	45	0.1277612829300158
1	46	0.09043262877525671
1	47	0.06147655099791407
1	48	0.04079126478913112
1	49	0.026896399714625076
1	50	0.017878710441078912
1	51	0.0120702140566592
1	52	0.008272685746645875
1	53	0.0057232258636161415
1	54	0.003973513290690403
1	55	0.0027618799603390284
1	56	0.0019209166684883091
1	57	0.0013332587291561408
1	58	9.166009386571363E-4
1	59	6.17334108360084E-4
1	60	4.039554837476546E-4
1	61	2.575990209806239E-4
1	62	1.6279879476972293E-4
1	63	1.0431743159977995E-4
1	64	6.891813373681533E-5
1	65	4.700636604583092E-5
1	66	3.264885836610074E-5
1	67	2.2757540702500933E-5
1	68	1.587054569580562E-5
1	69	1.108414654418085E-5
1	70	7.661771368551709E-6
1	71	5.086354457770883E-6
1	72	3.1793639245012906E-6
1	73	1.942457577586111E-6
1	74	1.2512625144920585E-6
1	75	8.717342275935652E-7
1	76	6.070187880481581E-7
1	77	4.159303855017606E-7
1	78	2.9453087042702E-7
1	79	1.2600943072835468E-7
2	0	0.0
2	1	0.8697437818485211
2	2	0.9008722894155635
2	3	0.8760325115208998
2	4	0.8101361097990285
2	5	0.714525162333688
2	6	0.6027467953313703
2	7	0.4907890048737837
2	8	0.39180031714253444
2	9	0.31191793508457033
2	10	0.25093611418721534
2	11	0.20532800438686719
2	12	0.17081020537089908
2	13	0.14385143914418627
2	14	0.12227997553292697
2	15	0.10501947838277863
2	16	0.09136290539312539
2	17	0.08047317670535019
2	18	0.071322245292486
2	19	0.0629335274786995
2	20	0.05480714990893428
2	21	0.04718609936551989
2	22	0.04073642408526182
2	23	0.03593767059735079
2	24	0.03279510329068915
2	25	0.030891017707456468
2	26	0.029610774071677826
2	27	0.028541496593736605
2	28	0.027689700015707818
2	29	0.027157024717669797
2	30	0.026662641722435067
2	31	0.02544262356334341
2	32	0.023106855252662335
2	33	0.02063984318306457
2	34	0.019375418583588305
2	35	0.019395084969165144
2	36	0.01911987308003479
2	37	0.018542815085458665
2	38	0.018972321860003225
2	39	0.012282325389297001
2	40	0.0
2	41	0.3049261897577407
2	42	0.27294554026197726
2	43	0.22779547967930455
2	44	0.1799572338374053
2	45	0.13505369437100684
2	46	0.09656977981190877
2	47	0.06638472718462161
2	48	0.0445428131160197
2	49	0.029656862586362756
2	50	0.019841005757607773
2	51	0.013414716440944168
2	52	0.009154710782731694
2	53	0.0062739786202803535
2	54	0.004301539174975709
2	55	0.0029511158009839895
2	56	0.0020298088575991546
2	57	0.001398317824803395
2	58	9.585469806989033E-4
2	59	6.468843499601443E-4
2	60	4.2610553008992755E-4
2	61	2.745103991935717E-4
2	62	1.7553078409610146E-4
2	63	1.1360624837499238E-4
2	64	7.539428805184078E-5
2	65	5.1238507366533924E-5
2	66	3.518634431801074E-5
2	67	2.4145970817386984E-5
2	68	1.6586347504507537E-5
2	69	1.1463320312467372E-5
2	70	7.898364040857102E-6
2	71	5.270575515149623E-6
2	72	3.3371092316320805E-6
2	73	2.072649212185412E-6
2	74	1.3498171365857742E-6
2	75	9.355538938391567E-7
2	76	6.374962266509994E-7
2	77	4.267183918606719E-7
2	78	3.009517897010678E-7
2	79	1.3414442707083093E-7
3	0	0.0
3	1	0.8416038908076436
3	2	0.8760325115208998
3	3	0.8586644089139207
3	4	0.8027134984066586
3	5	0.7175574081604669
3	6	0.6147753227583395
3	7	0.5089998578591924
3	8	0.41304142835880864
3	9	0.3334818898402042
3	10	0.27082586066470654
3	11	0.22220733680717306
3	12	0.1839223097725047
3	13	0.15301603787116186
3	14	0.12787641755945228
3	15	0.10782587866120856
3	16	0.09229913021649923
3	17	0.08040268762192937
3	18	0.07096638455721836
3	19	0.06283899964244477
3	20	0.055308025071176437
3	21	0.048378018111383765
3	22	0.04251344470464388
3	23	0.0380706782331303
3	24	0.03498911610047781
3	25	0.032818214451767816
3	26	0.030976788680600147
3	27	0.02919890542742481
3	28	0.027696572175813394
3	29	0.026731501702314205
3	30	0.02612236865581368
3	31	0.025148542696998347
3	32	0.023319502417401595
3	33	0.021369665150887937
3	34	0.020399166996922343
3	35	0.020281209405137127
3	36	0.019364098752328553
3	37	0.01810253768297032
3	38	0.018409721318249122
3	39	0.012723386152278372
3	40	0.0
3	41	0.2950605374422325
3	42	0.2654196049245223
3	43	0.22327923717409495
3	44	0.1783084335952432
3	45	0.13562682464371836
3	46	0.09849694434282145
3	47	0.06884794965951489
3	48	0.04695766273682513
3	49	0.03170714303218895
3	50	0.02141364736663038
3	51	0.014517495668780078
3	52	0.00985746459822552
3	53	0.00667368610196124
3	54	0.004498409631586954
3	55	0.0030299774781994662
3	56	0.002050608956184148
3	57	0.0013970929925569647
3	58	9.53764332144568E-4
3	59	6.4591271241878E-4
3	60	4.299996511465907E-4
3	61	2.814445195199594E-4
3	62	1.8318785831602355E-4
3	63	1.2034911710377368E-4
3	64	8.043821282025567E-5
3	65	5.4435122172666437E-5
3	66	3.6809573087938324E-5
3	67	2.4702135574241783E-5
3	68	1.6590463982315292E-5
3	69	1.1283701717423916E-5
3	70	7.738317133049941E-6
3	71	5.209655091209322E-6
3	72	3.3678198934150163E-6
3	73	2.1459377984032514E-6
3	74	1.4211380810035266E-6
