	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	8.4764110274E-01	8.6913759232E-01	9.2650290204E-01	9.4937815970E-01	?	9.9254209137E-01	9.9254209137E-01	1.0227713931E00	2.0250915167E00	2.0251921851E00	2.0243038574E00	2.0244079432E00	?	2.0246391932E00	2.0246391932E00	2.0248277485E00	1.1081322927E00	1.1297739703E00	1.2340513172E00	?	1.2625638794E00	2.0012681583E00	2.0023317644E00	1.9998047586E00	?	2.0013011748E00	1.8780167299E00	1.7100751465E00	5.6075328061E00	4.3726760122E-01	2.0297408208E00	1.1629328233E01	2.0297566629E00	2.0258403497E00	2.0295715998E00	2.0256608062E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	8.9469771159E-01	9.1568053716E-01	9.7165874936E-01	9.9393541300E-01	?	1.0359148783E00	1.0359148783E00	1.0652849766E00	2.0253400740E00	2.0254351621E00	2.0245960721E00	2.0246943896E00	?	2.0249128243E00	2.0249128243E00	2.0250909298E00	1.1476967095E00	1.1686773305E00	1.2696759395E00	?	1.2972386035E00	2.0028290128E00	2.0038344246E00	2.0014457601E00	?	2.0028603433E00	1.8860485700E00	1.7262427875E00	5.6075328061E00	4.8819675643E-01	2.0297310529E00	1.1629328233E01	2.0297460109E00	2.0260470976E00	2.0295712317E00	2.0258775136E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	8.4764110274E-01	8.9469771159E-01	0.0000000000E00	3.5026084174E-02	1.1777720665E-01	1.4824095667E-01	?	1.9918349134E-01	1.9918349134E-01	2.3460102912E-01	2.0632948135E00	2.0635419250E00	2.0613528569E00	2.0616107189E00	?	2.0621726404E00	2.0621726404E00	2.0626297985E00	4.6811130504E-01	4.8920847079E-01	6.0856627348E-01	?	6.4092738837E-01	2.0054621657E00	2.0079815847E00	2.0019208715E00	?	2.0054369081E00	1.7419359652E00	1.3701743407E00	5.6075328061E00	5.3655136977E-01	2.0758809467E00	1.1629328233E01	2.0759184652E00	2.0661522257E00	2.0754638092E00	2.0657122678E00	1.5720010415E00	
Caplet Vola Monte-Carlo Single-Curve	8.6913759232E-01	9.1568053716E-01	3.5026084174E-02	0.0000000000E00	1.0402328576E-01	1.3135319437E-01	?	1.7784815755E-01	1.7784815755E-01	2.0975431666E-01	2.0654869574E00	2.0657381696E00	2.0634963947E00	2.0637603643E00	?	2.0643355555E00	2.0643355555E00	2.0648022793E00	4.4932501021E-01	4.6929390000E-01	5.8792530716E-01	?	6.1949563264E-01	2.0062645462E00	2.0088410817E00	2.0026346603E00	?	2.0062305722E00	1.7367239285E00	1.3594831613E00	5.6075328061E00	5.5941342091E-01	2.0784004417E00	1.1629328233E01	2.0784402189E00	2.0684085398E00	2.0779768637E00	2.0679603005E00	1.5638246455E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	9.2650290204E-01	9.7165874936E-01	1.1777720665E-01	1.0402328576E-01	0.0000000000E00	3.3828394046E-02	?	9.0769381977E-02	9.0769381977E-02	1.3412151537E-01	2.0489825799E00	2.0492572017E00	2.0468489048E00	2.0471318208E00	?	2.0477540140E00	2.0477540140E00	2.0482635965E00	4.0856573434E-01	4.2746307524E-01	5.2933714335E-01	?	5.6040258754E-01	1.9856255452E00	1.9883903945E00	1.9817557373E00	?	1.9856137020E00	1.6970514695E00	1.3041067026E00	5.6075328061E00	6.0804175815E-01	2.0626320357E00	1.1629328233E01	2.0626750434E00	2.0520081942E00	2.0621684635E00	2.0515180462E00	1.5140314530E00	
Caplet Vola Analytic Multi-Curve Ju	9.4937815970E-01	9.9393541300E-01	1.4824095667E-01	1.3135319437E-01	3.3828394046E-02	0.0000000000E00	?	5.8647242117E-02	5.8647242117E-02	1.0449536739E-01	2.0496100263E00	2.0498929909E00	2.0474145406E00	2.0477051031E00	?	2.0483459846E00	2.0483459846E00	2.0488716617E00	3.9200872207E-01	4.0953551712E-01	5.0700358232E-01	?	5.3707016622E-01	1.9845659995E00	1.9874031836E00	1.9805890617E00	?	1.9845475207E00	1.6884987504E00	1.2901587333E00	5.6075328061E00	6.3282801465E-01	2.0636819384E00	1.1629328233E01	2.0637269547E00	2.0527459083E00	2.0632044298E00	2.0522404509E00	1.5020260129E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.9254209137E-01	1.0359148783E00	1.9918349134E-01	1.7784815755E-01	9.0769381977E-02	5.8647242117E-02	?	0.0000000000E00	0.0000000000E00	4.9668014157E-02	2.0569655270E00	2.0572644109E00	2.0546425066E00	2.0549494301E00	?	2.0556265324E00	2.0556265324E00	2.0561820281E00	3.7048751106E-01	3.8418710403E-01	4.7132377856E-01	?	4.9833741121E-01	1.9884178996E00	1.9913986078E00	1.9842184676E00	?	1.9883754008E00	1.6793520786E00	1.2664800153E00	5.6075328061E00	6.8308924198E-01	2.0720251353E00	1.1629328233E01	2.0720734896E00	2.0604220794E00	2.0715208368E00	2.0598877438E00	1.4867204025E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.9254209137E-01	1.0359148783E00	1.9918349134E-01	1.7784815755E-01	9.0769381977E-02	5.8647242117E-02	?	0.0000000000E00	0.0000000000E00	4.9668014157E-02	2.0569655270E00	2.0572644109E00	2.0546425066E00	2.0549494301E00	?	2.0556265324E00	2.0556265324E00	2.0561820281E00	3.7048751106E-01	3.8418710403E-01	4.7132377856E-01	?	4.9833741121E-01	1.9884178996E00	1.9913986078E00	1.9842184676E00	?	1.9883754008E00	1.6793520786E00	1.2664800153E00	5.6075328061E00	6.8308924198E-01	2.0720251353E00	1.1629328233E01	2.0720734896E00	2.0604220794E00	2.0715208368E00	2.0598877438E00	1.4867204025E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0227713931E00	1.0652849766E00	2.3460102912E-01	2.0975431666E-01	1.3412151537E-01	1.0449536739E-01	?	4.9668014157E-02	4.9668014157E-02	0.0000000000E00	2.0611788394E00	2.0614869495E00	2.0587645048E00	2.0590832020E00	?	2.0597846241E00	2.0597846241E00	2.0603569650E00	3.5983410554E-01	3.6965619924E-01	4.4828273479E-01	?	4.7198756712E-01	1.9900534192E00	1.9931363950E00	1.9856918421E00	?	1.9899908397E00	1.6708224931E00	1.2480082023E00	5.6075328061E00	7.1798726149E-01	2.0768671824E00	1.1629328233E01	2.0769152910E00	2.0647607626E00	2.0763472944E00	2.0642120123E00	1.4737933064E00	
