	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	8.4764110274E-01	1.4155627280E00	1.0288656509E00	1.0699660541E00	?	1.1192885527E00	1.1180982388E00	1.1436623436E00	1.9816266532E00	2.0062055238E00	1.9885250569E00	1.9906906048E00	?	1.9933264503E00	1.9932619813E00	1.9944997781E00	1.5341783757E00	1.5727520884E00	1.4012022231E00	?	1.4360784733E00	1.8930597083E00	1.9039807803E00	1.8585107852E00	?	1.8701726817E00	1.8780167299E00	1.7100751465E00	1.2488806383E01	4.3726760122E-01	2.0306813419E00	1.2489952563E01	2.0310494375E00	2.0260667578E00	2.0295715998E00	2.0256608062E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	8.9469771159E-01	1.4447559028E00	1.0712731117E00	1.1111434440E00	?	1.1589162681E00	1.1577641836E00	1.1825065928E00	1.9842587518E00	2.0074960228E00	1.9907822407E00	1.9928299089E00	?	1.9953220989E00	1.9952611457E00	1.9964313820E00	1.5584047336E00	1.5953449578E00	1.4306713067E00	?	1.4642012457E00	1.9003737365E00	1.9107298642E00	1.8675961761E00	?	1.8786665203E00	1.8860485700E00	1.7262427875E00	1.2488806383E01	4.8819675643E-01	2.0306193313E00	1.2489952563E01	2.0309669439E00	2.0262609050E00	2.0295712317E00	2.0258775136E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	8.4764110274E-01	8.9469771159E-01	0.0000000000E00	8.2584256295E-01	2.4153574857E-01	2.9439635239E-01	?	3.6092824572E-01	3.5929244664E-01	3.9614101931E-01	1.9598894269E00	2.0181725150E00	1.9761836030E00	1.9812171068E00	?	1.9873426428E00	1.9871929087E00	1.9901080762E00	1.0587046195E00	1.1222673935E00	8.5214615565E-01	?	9.0444330968E-01	1.7586070852E00	1.7823329923E00	1.6828931705E00	?	1.7077121384E00	1.7419359652E00	1.3701743407E00	1.2488806383E01	5.3655136977E-01	2.0781950352E00	1.2489952563E01	2.0790943292E00	2.0667736474E00	2.0754638092E00	2.0657122678E00	1.5720010415E00	
Caplet Vola Monte-Carlo Single-Curve	1.4155627280E00	1.4447559028E00	8.2584256295E-01	0.0000000000E00	6.1087523362E-01	5.6512860003E-01	?	5.1200710196E-01	5.1325353840E-01	4.8235208204E-01	1.7992176241E00	1.9258763206E00	1.8341096699E00	1.8449991591E00	?	1.8583178339E00	1.8579911779E00	1.8643207576E00	4.0988281506E-01	4.5294493439E-01	4.3009032117E-01	?	4.2444170828E-01	1.4017129374E00	1.4455462348E00	1.2650170986E00	?	1.3082524344E00	1.3847062395E00	8.3906118401E-01	1.2488806383E01	1.1729804169E00	2.0608287956E00	1.2489952563E01	2.0628844298E00	2.0347159590E00	2.0545913253E00	2.0323823347E00	1.1118594696E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0288656509E00	1.0712731117E00	2.4153574857E-01	6.1087523362E-01	0.0000000000E00	5.9406442305E-02	?	1.3284359209E-01	1.3105591725E-01	1.6909245520E-01	1.9199403744E00	1.9922996567E00	1.9401030906E00	1.9463581834E00	?	1.9539799567E00	1.9537934750E00	1.9574136956E00	8.7271532985E-01	9.4092549775E-01	6.6523851638E-01	?	7.1745480728E-01	1.6746760202E00	1.7032422456E00	1.5841970977E00	?	1.6137233860E00	1.6545103671E00	1.2292084314E00	1.2488806383E01	7.2035141037E-01	2.0671886008E00	1.2489952563E01	2.0683111870E00	2.0528838141E00	2.0637669528E00	2.0515779149E00	1.4549692125E00	
Caplet Vola Analytic Multi-Curve Ju	1.0699660541E00	1.1111434440E00	2.9439635239E-01	5.6512860003E-01	5.9406442305E-02	0.0000000000E00	?	7.3599826714E-02	7.1806396381E-02	1.1013180766E-01	1.9238036513E00	2.0000119904E00	1.9450267845E00	1.9515902112E00	?	1.9595884609E00	1.9593927323E00	1.9631975868E00	8.3554344892E-01	9.0394400520E-01	6.2697910407E-01	?	6.7816851893E-01	1.6673698494E00	1.6970632996E00	1.5730248491E00	?	1.6036254344E00	1.6483730272E00	1.2069291249E00	1.2488806383E01	7.7044102915E-01	2.0792767130E00	1.2489952563E01	2.0804597349E00	2.0640911637E00	2.0756614876E00	2.0627061855E00	1.4429879375E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1192885527E00	1.1589162681E00	3.6092824572E-01	5.1200710196E-01	1.3284359209E-01	7.3599826714E-02	?	0.0000000000E00	1.8007671301E-03	3.8390841928E-02	1.9323196708E00	2.0135604190E00	1.9549279775E00	1.9618889108E00	?	1.9703721651E00	1.9701645293E00	1.9742097219E00	7.9304721307E-01	8.6105015565E-01	5.8494137138E-01	?	6.3396701267E-01	1.6616399096E00	1.6927324824E00	1.5623993102E00	?	1.5943152726E00	1.6448070055E00	1.1823862053E00	1.2488806383E01	8.3153007340E-01	2.0986386815E00	1.2489952563E01	2.0999016208E00	2.0822777582E00	2.0947663981E00	2.0807841893E00	1.4325815574E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1180982388E00	1.1577641836E00	3.5929244664E-01	5.1325353840E-01	1.3105591725E-01	7.1806396381E-02	?	1.8007671301E-03	0.0000000000E00	4.0043495034E-02	1.9320508655E00	2.0131637964E00	1.9546239878E00	1.9615748914E00	?	1.9700459214E00	1.9698385845E00	1.9738776439E00	7.9403426690E-01	8.6205510295E-01	5.8588827416E-01	?	6.3497942313E-01	1.6617297366E00	1.6927874105E00	1.5626117681E00	?	1.5944951194E00	1.6448200608E00	1.1829514415E00	1.2488806383E01	8.3003928292E-01	2.0980926353E00	1.2489952563E01	2.0993533532E00	2.0817616795E00	2.0942268843E00	2.0802710753E00	1.4327573072E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1436623436E00	1.1825065928E00	3.9614101931E-01	4.8235208204E-01	1.6909245520E-01	1.1013180766E-01	?	3.8390841928E-02	4.0043495034E-02	0.0000000000E00	1.9318145508E00	2.0156947153E00	1.9551436667E00	1.9623202080E00	?	1.9710684429E00	1.9708542351E00	1.9750199215E00	7.6745582042E-01	8.3519590553E-01	5.6136072258E-01	?	6.0898058161E-01	1.6536432172E00	1.6854914464E00	1.5519270869E00	?	1.5845360209E00	1.6364439881E00	1.1672380140E00	1.2488806383E01	8.6010328587E-01	2.1037241784E00	1.2489952563E01	2.1050156165E00	2.0867445540E00	2.0997176756E00	2.0852177378E00	1.4204885875E00	
Caplet Value Analytic Single-Curve	1.9816266532E00	1.9842587518E00	1.9598894269E00	1.7992176241E00	1.9199403744E00	1.9238036513E00	?	1.9323196708E00	1.9320508655E00	1.9318145508E00	0.0000000000E00	6.9811831551E-01	1.5706670841E-01	2.1410752693E-01	?	2.8872082167E-01	2.8682184686E-01	3.2227869923E-01	1.8264229971E00	1.7974196771E00	1.9773644059E00	?	1.9725066717E00	1.1444081622E00	1.0811571862E00	1.2781123518E00	?	1.2220554739E00	1.5058428211E00	1.9272882245E00	1.2488806383E01	1.9286988747E00	2.0434459218E00	1.2489952563E01	2.0747591788E00	1.7023636670E00	1.9522789243E00	1.6741245430E00	1.6450955530E00	
Caplet Value Monte-Carlo Single-Curve	2.0062055238E00	2.0074960228E00	2.0181725150E00	1.9258763206E00	1.9922996567E00	2.0000119904E00	?	2.0135604190E00	2.0131637964E00	2.0156947153E00	6.9811831551E-01	0.0000000000E00	5.5644256364E-01	5.0226808077E-01	?	4.3199922136E-01	4.3377275147E-01	4.0006619446E-01	1.9839015650E00	1.9678128868E00	2.1006694500E00	?	2.1035102161E00	1.5884573817E00	1.5464135172E00	1.6636109258E00	?	1.6263051486E00	1.9157262567E00	2.1647301914E00	1.2488806383E01	1.9650517252E00	2.1120292140E00	1.2489952563E01	2.1839306336E00	1.4575215752E00	1.9279138016E00	1.3976952745E00	1.9451405913E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.9885250569E00	1.9907822407E00	1.9761836030E00	1.8341096699E00	1.9401030906E00	1.9450267845E00	?	1.9549279775E00	1.9546239878E00	1.9551436667E00	1.5706670841E-01	5.5644256364E-01	0.0000000000E00	5.9326526289E-02	?	1.3677323698E-01	1.3479605743E-01	1.7073153706E-01	1.8692830836E00	1.8436634670E00	2.0111715747E00	?	2.0083611499E00	1.2558532305E00	1.1968130487E00	1.3771543033E00	?	1.3252970602E00	1.6077800403E00	1.9911963573E00	1.2488806383E01	1.9388530273E00	2.0499244456E00	1.2489952563E01	2.0869782082E00	1.6557393806E00	1.9436006171E00	1.6229511657E00	1.7230822322E00	
Caplet Value Analytic Multi-Curve Ju	1.9906906048E00	1.9928299089E00	1.9812171068E00	1.8449991591E00	1.9463581834E00	1.9515902112E00	?	1.9618889108E00	1.9615748914E00	1.9623202080E00	2.1410752693E-01	5.0226808077E-01	5.9326526289E-02	0.0000000000E00	?	7.7622719606E-02	7.5637527569E-02	1.1181842604E-01	1.8829216156E00	1.8583386189E00	2.0218234722E00	?	2.0196475765E00	1.2946182703E00	1.2371549623E00	1.4109378439E00	?	1.3605694101E00	1.6456814361E00	2.0116556715E00	1.2488806383E01	1.9421155629E00	2.0546095784E00	1.2489952563E01	2.0940851051E00	1.6390545685E00	1.9423566803E00	1.6040329719E00	1.7510280814E00	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.9933264503E00	1.9953220989E00	1.9873426428E00	1.8583178339E00	1.9539799567E00	1.9595884609E00	?	1.9703721651E00	1.9700459214E00	1.9710684429E00	2.8872082167E-01	4.3199922136E-01	1.3677323698E-01	7.7622719606E-02	?	0.0000000000E00	1.9948394997E-03	3.6036594683E-02	1.8996900161E00	1.8763957699E00	2.0348878453E00	?	2.0334970641E00	1.3434092668E00	1.2880625949E00	1.4531794341E00	?	1.4047450443E00	1.6937226287E00	2.0367899062E00	1.2488806383E01	1.9460982573E00	2.0636984469E00	1.2489952563E01	2.1066333241E00	1.6186976207E00	1.9432332477E00	1.5803858287E00	1.7859955754E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	1.9932619813E00	1.9952611457E00	1.9871929087E00	1.8579911779E00	1.9537934750E00	1.9593927323E00	?	1.9701645293E00	1.9698385845E00	1.9708542351E00	2.8682184686E-01	4.3377275147E-01	1.3479605743E-01	7.5637527569E-02	?	1.9948394997E-03	0.0000000000E00	3.7849747355E-02	1.8992768803E00	1.8759506006E00	2.0345664465E00	?	2.0331562009E00	1.3421949874E00	1.2867937160E00	1.4521318812E00	?	1.4036483771E00	1.6924982573E00	2.0361747570E00	1.2488806383E01	1.9460004434E00	2.0633905142E00	1.2489952563E01	2.1062259805E00	1.6191564441E00	1.9431395616E00	1.5809396386E00	1.7851156638E00	
Caplet Value Monte-Carlo Multi-Curve	1.9944997781E00	1.9964313820E00	1.9901080762E00	1.8643207576E00	1.9574136956E00	1.9631975868E00	?	1.9742097219E00	1.9738776439E00	1.9750199215E00	3.2227869923E-01	4.0006619446E-01	1.7073153706E-01	1.1181842604E-01	?	3.6036594683E-02	3.7849747355E-02	0.0000000000E00	1.9071134049E00	1.8844132921E00	2.0406883686E00	?	2.0396524273E00	1.3650642091E00	1.3107545351E00	1.4719189838E00	?	1.4243805423E00	1.7126895702E00	2.0484257953E00	1.2488806383E01	1.9478364365E00	2.0659353865E00	1.2489952563E01	2.1099449229E00	1.6063178751E00	1.9414344811E00	1.5672483968E00	1.8002333867E00	
Swaption Vola Analytic Single-Curve	1.5341783757E00	1.5584047336E00	1.0587046195E00	4.0988281506E-01	8.7271532985E-01	8.3554344892E-01	?	7.9304721307E-01	7.9403426690E-01	7.6745582042E-01	1.8264229971E00	1.9839015650E00	1.8692830836E00	1.8829216156E00	?	1.8996900161E00	1.8992768803E00	1.9071134049E00	0.0000000000E00	1.0846142051E-01	3.5200585207E-01	?	2.9485744598E-01	1.4009381865E00	1.4487818033E00	1.2554248593E00	?	1.2987356547E00	1.2938199294E00	1.0455318656E00	1.2488806383E01	1.3275158704E00	2.1530572297E00	1.2489952563E01	2.1555238546E00	2.1194870425E00	2.1450828382E00	2.1168765363E00	1.0202768059E00	
Swaption Vola Monte-Carlo Single-Curve	1.5727520884E00	1.5953449578E00	1.1222673935E00	4.5294493439E-01	9.4092549775E-01	9.0394400520E-01	?	8.6105015565E-01	8.6205510295E-01	8.3519590553E-01	1.7974196771E00	1.9678128868E00	1.8436634670E00	1.8583386189E00	?	1.8763957699E00	1.8759506006E00	1.8844132921E00	1.0846142051E-01	0.0000000000E00	4.4764304420E-01	?	3.8715982950E-01	1.3456077263E00	1.3952489437E00	1.1943715199E00	?	1.2385719288E00	1.2455059062E00	1.0119968778E00	1.2488806383E01	1.3775942595E00	2.1529842931E00	1.2489952563E01	2.1556845015E00	2.1160438549E00	2.1442471854E00	2.1131642639E00	9.7518273606E-01	
Swaption Vola Analytic Multi-Curve Drift-Freeze	1.4012022231E00	1.4306713067E00	8.5214615565E-01	4.3009032117E-01	6.6523851638E-01	6.2697910407E-01	?	5.8494137138E-01	5.8588827416E-01	5.6136072258E-01	1.9773644059E00	2.1006694500E00	2.0111715747E00	2.0218234722E00	?	2.0348878453E00	2.0345664465E00	2.0406883686E00	3.5200585207E-01	4.4764304420E-01	0.0000000000E00	?	7.3298127528E-02	1.6291155870E00	1.6697712410E00	1.5029121712E00	?	1.5412341247E00	1.5336863484E00	1.2351235953E00	1.2488806383E01	1.1721644882E00	2.2313773976E00	1.2489952563E01	2.2332586792E00	2.2055069527E00	2.2253256840E00	2.2034830387E00	1.2806318746E00	
Swaption Vola Analytic Multi-Curve Integrated-Expectation	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Swaption Vola Monte-Carlo Multi-Curve	1.4360784733E00	1.4642012457E00	9.0444330968E-01	4.2444170828E-01	7.1745480728E-01	6.7816851893E-01	?	6.3396701267E-01	6.3497942313E-01	6.0898058161E-01	1.9725066717E00	2.1035102161E00	2.0083611499E00	2.0196475765E00	?	2.0334970641E00	2.0331562009E00	2.0396524273E00	2.9485744598E-01	3.8715982950E-01	7.3298127528E-02	?	0.0000000000E00	1.6084581766E00	1.6505639793E00	1.4777678278E00	?	1.5170547777E00	1.5101400326E00	1.2165978532E00	1.2488806383E01	1.2153964722E00	2.2432597121E00	1.2489952563E01	2.2452674566E00	2.2155069727E00	2.2367830408E00	2.2133410341E00	1.2535018393E00	
Swaption Value Analytic Single-Curve	1.8930597083E00	1.9003737365E00	1.7586070852E00	1.4017129374E00	1.6746760202E00	1.6673698494E00	?	1.6616399096E00	1.6617297366E00	1.6536432172E00	1.1444081622E00	1.5884573817E00	1.2558532305E00	1.2946182703E00	?	1.3434092668E00	1.3421949874E00	1.3650642091E00	1.4009381865E00	1.3456077263E00	1.6291155870E00	?	1.6084581766E00	0.0000000000E00	9.5114515730E-02	2.3702929398E-01	?	1.6052561363E-01	8.2005653610E-01	1.1880927903E00	1.2488806383E01	1.7975180448E00	2.1630838049E00	1.2489952563E01	2.1738398608E00	2.0433653913E00	2.1323307706E00	2.0336838141E00	9.0751922353E-01	
Swaption Value Monte-Carlo Single-Curve	1.9039807803E00	1.9107298642E00	1.7823329923E00	1.4455462348E00	1.7032422456E00	1.6970632996E00	?	1.6927324824E00	1.6927874105E00	1.6854914464E00	1.0811571862E00	1.5464135172E00	1.1968130487E00	1.2371549623E00	?	1.2880625949E00	1.2867937160E00	1.3107545351E00	1.4487818033E00	1.3952489437E00	1.6697712410E00	?	1.6505639793E00	9.5114515730E-02	0.0000000000E00	3.2672752096E-01	?	2.4780037607E-01	8.6665201542E-01	1.2552325915E00	1.2488806383E01	1.8135633861E00	2.1655949653E00	1.2489952563E01	2.1773223940E00	2.0351319085E00	2.1320373917E00	2.0245017332E00	9.7806626478E-01	
Swaption Value Analytic Multi-Curve Drift-Freeze	1.8585107852E00	1.8675961761E00	1.6828931705E00	1.2650170986E00	1.5841970977E00	1.5730248491E00	?	1.5623993102E00	1.5626117681E00	1.5519270869E00	1.2781123518E00	1.6636109258E00	1.3771543033E00	1.4109378439E00	?	1.4531794341E00	1.4521318812E00	1.4719189838E00	1.2554248593E00	1.1943715199E00	1.5029121712E00	?	1.4777678278E00	2.3702929398E-01	3.2672752096E-01	0.0000000000E00	?	8.3171659947E-02	7.6271600785E-01	9.9717691320E-01	1.2488806383E01	1.7482023035E00	2.1348909063E00	1.2489952563E01	2.1433725341E00	2.0390374834E00	2.1104616945E00	2.0311816165E00	7.5338712503E-01	
Swaption Value Analytic Multi-Curve Integrated-Expectation	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Swaption Value Monte-Carlo Multi-Curve	1.8701726817E00	1.8786665203E00	1.7077121384E00	1.3082524344E00	1.6137233860E00	1.6036254344E00	?	1.5943152726E00	1.5944951194E00	1.5845360209E00	1.2220554739E00	1.6263051486E00	1.3252970602E00	1.3605694101E00	?	1.4047450443E00	1.4036483771E00	1.4243805423E00	1.2987356547E00	1.2385719288E00	1.5412341247E00	?	1.5170547777E00	1.6052561363E-01	2.4780037607E-01	8.3171659947E-02	?	0.0000000000E00	7.7206375667E-01	1.0609391021E00	1.2488806383E01	1.7651500007E00	2.1296438801E00	1.2489952563E01	2.1387481633E00	2.0264207422E00	2.1033124345E00	2.0179539323E00	8.0403694193E-01	
Swaption Exercise Date	1.8780167299E00	1.8860485700E00	1.7419359652E00	1.3847062395E00	1.6545103671E00	1.6483730272E00	?	1.6448070055E00	1.6448200608E00	1.6364439881E00	1.5058428211E00	1.9157262567E00	1.6077800403E00	1.6456814361E00	?	1.6937226287E00	1.6924982573E00	1.7126895702E00	1.2938199294E00	1.2455059062E00	1.5336863484E00	?	1.5101400326E00	8.2005653610E-01	8.6665201542E-01	7.6271600785E-01	?	7.7206375667E-01	0.0000000000E00	1.4001936390E00	1.2488806383E01	1.7689842515E00	2.3950888624E00	1.2489952563E01	2.3995905246E00	2.2881904935E00	2.3669818697E00	2.2856461181E00	4.9749066255E-01	
Swaption Number Of Periods	1.7100751465E00	1.7262427875E00	1.3701743407E00	8.3906118401E-01	1.2292084314E00	1.2069291249E00	?	1.1823862053E00	1.1829514415E00	1.1672380140E00	1.9272882245E00	2.1647301914E00	1.9911963573E00	2.0116556715E00	?	2.0367899062E00	2.0361747570E00	2.0484257953E00	1.0455318656E00	1.0119968778E00	1.2351235953E00	?	1.2165978532E00	1.1880927903E00	1.2552325915E00	9.9717691320E-01	?	1.0609391021E00	1.4001936390E00	0.0000000000E00	1.2488806383E01	1.5469902367E00	2.4351309435E00	1.2489952563E01	2.4400743086E00	2.3836774719E00	2.4221291768E00	2.3781387144E00	1.0671823216E00	
Numeraire Single-Curve	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	?	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	?	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	?	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	?	1.2488806383E01	1.2488806383E01	1.2488806383E01	0.0000000000E00	1.2488806383E01	1.2488806383E01	1.2488801430E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	1.2488806383E01	
Discount Single-Curve	4.3726760122E-01	4.8819675643E-01	5.3655136977E-01	1.1729804169E00	7.2035141037E-01	7.7044102915E-01	?	8.3153007340E-01	8.3003928292E-01	8.6010328587E-01	1.9286988747E00	1.9650517252E00	1.9388530273E00	1.9421155629E00	?	1.9460982573E00	1.9460004434E00	1.9478364365E00	1.3275158704E00	1.3775942595E00	1.1721644882E00	?	1.2153964722E00	1.7975180448E00	1.8135633861E00	1.7482023035E00	?	1.7651500007E00	1.7689842515E00	1.5469902367E00	1.2488806383E01	0.0000000000E00	2.0006385554E00	1.2489952563E01	2.0011464305E00	1.9939099740E00	1.9989827415E00	1.9933828650E00	1.6463253062E00	
